date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,24,9,0.0,8.7,4,31,10:15 AM,10:05 PM,07:14 AM,05:49 PM,4,17,17,17,10,2,46,0.0,1017,24,10,45,6,"bundi,rajasthan"
2009-01-02,25,9,0.0,8.7,5,38,10:45 AM,10:59 PM,07:14 AM,05:50 PM,3,16,16,16,13,8,43,0.0,1016,25,10,106,7,"bundi,rajasthan"
2009-01-03,27,10,0.0,8.7,5,45,11:17 AM,11:54 PM,07:14 AM,05:50 PM,5,18,18,18,12,7,43,0.0,1015,27,10,136,7,"bundi,rajasthan"
2009-01-04,27,11,0.0,8.7,5,52,11:49 AM,No moonset,07:14 AM,05:51 PM,7,20,19,20,9,2,46,0.0,1014,27,10,271,5,"bundi,rajasthan"
2009-01-05,25,13,0.0,8.7,5,60,12:24 PM,12:51 AM,07:15 AM,05:52 PM,7,18,18,18,16,12,49,0.0,1013,25,10,141,8,"bundi,rajasthan"
2009-01-06,24,12,0.0,8.7,5,67,01:05 PM,01:53 AM,07:15 AM,05:52 PM,4,17,17,17,19,4,44,0.0,1014,24,10,39,10,"bundi,rajasthan"
2009-01-07,24,10,0.0,8.7,5,74,01:53 PM,02:58 AM,07:15 AM,05:53 PM,3,16,17,16,20,2,41,0.0,1017,24,10,47,12,"bundi,rajasthan"
2009-01-08,22,10,0.0,8.7,5,82,02:49 PM,04:07 AM,07:15 AM,05:54 PM,4,15,16,15,23,14,48,0.0,1020,22,10,66,13,"bundi,rajasthan"
2009-01-09,22,11,0.0,8.7,5,89,03:53 PM,05:16 AM,07:15 AM,05:54 PM,5,15,16,15,20,26,50,0.1,1021,22,10,42,12,"bundi,rajasthan"
2009-01-10,24,11,0.0,8.7,5,96,05:04 PM,06:21 AM,07:15 AM,05:55 PM,10,18,19,18,19,29,61,0.0,1019,24,10,41,11,"bundi,rajasthan"
2009-01-11,25,13,0.0,8.7,5,100,06:16 PM,07:20 AM,07:15 AM,05:56 PM,9,18,19,18,17,5,54,0.0,1019,25,10,46,10,"bundi,rajasthan"
2009-01-12,22,13,0.0,8.7,5,89,07:26 PM,08:10 AM,07:15 AM,05:57 PM,4,17,18,17,19,23,44,0.0,1020,22,10,49,11,"bundi,rajasthan"
2009-01-13,27,13,0.0,8.7,5,82,08:32 PM,08:54 AM,07:15 AM,05:57 PM,7,20,20,20,16,11,45,0.0,1021,27,10,58,9,"bundi,rajasthan"
2009-01-14,19,15,0.0,7.1,5,75,09:35 PM,09:32 AM,07:15 AM,05:58 PM,10,17,17,17,10,40,64,0.0,1021,19,10,53,5,"bundi,rajasthan"
2009-01-15,27,14,0.0,8.7,5,68,10:34 PM,10:07 AM,07:15 AM,05:59 PM,12,20,20,20,12,14,60,0.0,1020,27,10,74,7,"bundi,rajasthan"
2009-01-16,30,17,0.0,10.9,6,60,11:32 PM,10:40 AM,07:15 AM,06:00 PM,10,23,23,23,14,7,46,0.0,1019,30,10,131,8,"bundi,rajasthan"
