date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,28,15,0.0,8.7,6,31,09:52 AM,09:57 PM,06:36 AM,05:58 PM,18,23,24,23,9,7,76,0.0,1013,28,8,136,6,"chittoor,andhra+pradesh"
2009-01-02,29,16,0.0,8.7,6,38,10:28 AM,10:44 PM,06:36 AM,05:59 PM,18,23,24,23,11,25,77,0.0,1014,29,8,133,7,"chittoor,andhra+pradesh"
2009-01-03,28,16,0.0,8.7,6,45,11:05 AM,11:34 PM,06:37 AM,05:59 PM,17,22,23,22,10,26,75,0.0,1015,28,8,108,7,"chittoor,andhra+pradesh"
2009-01-04,28,16,0.0,10.2,6,52,11:44 AM,No moonset,06:37 AM,06:00 PM,17,22,23,22,11,24,76,0.0,1014,28,7,93,7,"chittoor,andhra+pradesh"
2009-01-05,28,16,0.0,11.6,6,60,12:25 PM,12:25 AM,06:37 AM,06:00 PM,17,22,23,22,11,18,73,0.0,1012,28,8,130,7,"chittoor,andhra+pradesh"
2009-01-06,29,15,0.0,11.6,6,67,01:11 PM,01:21 AM,06:38 AM,06:01 PM,17,24,24,24,8,14,72,0.0,1012,29,7,129,5,"chittoor,andhra+pradesh"
2009-01-07,27,17,0.0,8.7,6,74,02:04 PM,02:20 AM,06:38 AM,06:02 PM,18,22,23,22,10,57,83,0.5,1014,27,7,144,7,"chittoor,andhra+pradesh"
2009-01-08,23,19,0.0,10.2,5,82,03:03 PM,03:25 AM,06:38 AM,06:02 PM,20,21,23,21,10,59,93,1.2,1016,23,6,59,7,"chittoor,andhra+pradesh"
2009-01-09,28,18,0.0,11.6,6,89,04:09 PM,04:31 AM,06:39 AM,06:03 PM,18,24,24,23,13,46,77,0.0,1016,28,8,92,9,"chittoor,andhra+pradesh"
2009-01-10,28,19,0.0,11.6,6,96,05:17 PM,05:38 AM,06:39 AM,06:03 PM,18,25,25,23,15,28,74,0.0,1016,28,10,55,11,"chittoor,andhra+pradesh"
2009-01-11,28,17,0.0,11.6,6,100,06:25 PM,06:40 AM,06:39 AM,06:04 PM,18,22,23,22,14,38,77,0.0,1016,28,7,95,9,"chittoor,andhra+pradesh"
2009-01-12,29,16,0.0,11.6,6,89,07:29 PM,07:36 AM,06:39 AM,06:04 PM,17,23,23,23,14,2,72,0.0,1017,29,8,79,9,"chittoor,andhra+pradesh"
