date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,24,9,0.0,8.7,4,31,10:03 AM,09:53 PM,07:03 AM,05:37 PM,5,16,16,16,13,1,51,0.0,1017,24,10,220,7,"datia,madhya+pradesh"
2009-01-02,24,6,0.0,8.7,4,38,10:34 AM,10:47 PM,07:03 AM,05:38 PM,6,16,16,16,9,1,53,0.0,1017,24,10,111,5,"datia,madhya+pradesh"
2009-01-03,25,8,0.0,8.7,5,45,11:05 AM,11:42 PM,07:03 AM,05:39 PM,4,16,17,16,18,8,46,0.0,1017,25,10,137,9,"datia,madhya+pradesh"
2009-01-04,25,10,0.0,8.7,5,52,11:38 AM,No moonset,07:03 AM,05:39 PM,7,17,17,17,14,3,52,0.0,1014,25,10,105,8,"datia,madhya+pradesh"
2009-01-05,24,10,0.0,8.7,5,60,12:13 PM,12:40 AM,07:04 AM,05:40 PM,8,17,17,17,17,3,56,0.0,1013,24,10,55,9,"datia,madhya+pradesh"
2009-01-06,23,11,0.0,8.7,5,67,12:53 PM,01:42 AM,07:04 AM,05:41 PM,6,16,16,16,17,14,54,0.0,1015,23,10,53,9,"datia,madhya+pradesh"
2009-01-07,23,12,0.0,8.7,5,74,01:41 PM,02:47 AM,07:04 AM,05:41 PM,7,16,16,16,16,22,54,0.0,1017,23,10,34,9,"datia,madhya+pradesh"
2009-01-08,20,13,0.0,8.7,5,82,02:36 PM,03:56 AM,07:04 AM,05:42 PM,7,15,15,15,17,37,56,0.0,1021,20,10,26,10,"datia,madhya+pradesh"
2009-01-09,20,11,0.0,8.7,5,89,03:41 PM,05:05 AM,07:04 AM,05:43 PM,10,16,16,16,10,25,71,0.1,1021,20,10,69,6,"datia,madhya+pradesh"
2009-01-10,24,13,0.0,8.7,5,96,04:51 PM,06:10 AM,07:04 AM,05:44 PM,14,18,18,18,11,33,78,0.9,1020,24,9,97,7,"datia,madhya+pradesh"
2009-01-11,24,12,0.0,8.7,5,100,06:04 PM,07:09 AM,07:04 AM,05:44 PM,13,19,19,19,9,3,72,0.0,1020,24,10,23,5,"datia,madhya+pradesh"
2009-01-12,23,11,0.0,8.7,5,89,07:14 PM,07:59 AM,07:04 AM,05:45 PM,6,16,17,16,11,18,52,0.0,1021,23,10,48,6,"datia,madhya+pradesh"
2009-01-13,25,12,0.0,8.7,5,82,08:20 PM,08:42 AM,07:04 AM,05:46 PM,8,18,18,18,14,18,53,0.0,1022,25,10,81,8,"datia,madhya+pradesh"
2009-01-14,27,12,0.0,8.7,5,75,09:23 PM,09:21 AM,07:04 AM,05:47 PM,12,20,20,20,8,16,62,0.0,1022,27,10,45,5,"datia,madhya+pradesh"
2009-01-15,26,14,0.0,8.7,5,68,10:22 PM,09:55 AM,07:04 AM,05:47 PM,11,20,20,20,7,8,61,0.0,1021,26,10,93,4,"datia,madhya+pradesh"
2009-01-16,28,15,0.0,8.7,5,60,11:20 PM,10:28 AM,07:04 AM,05:48 PM,10,21,21,21,12,6,53,0.0,1020,28,10,84,6,"datia,madhya+pradesh"
2009-01-17,29,13,0.0,8.7,6,53,No moonrise,11:01 AM,07:04 AM,05:49 PM,13,22,22,22,10,6,60,0.0,1018,29,10,146,5,"datia,madhya+pradesh"
2009-01-18,29,14,0.0,8.7,6,46,12:16 AM,11:36 AM,07:04 AM,05:50 PM,12,22,22,22,9,19,57,0.0,1017,29,10,109,5,"datia,madhya+pradesh"
2009-01-19,26,16,0.0,8.7,5,38,01:12 AM,12:12 PM,07:04 AM,05:50 PM,12,21,21,21,17,5,59,0.0,1017,26,10,349,9,"datia,madhya+pradesh"
2009-01-20,25,13,0.0,8.7,5,31,02:08 AM,12:52 PM,07:04 AM,05:51 PM,7,18,18,18,20,24,51,0.0,1018,25,10,317,12,"datia,madhya+pradesh"
2009-01-21,23,12,0.0,8.7,5,24,03:03 AM,01:36 PM,07:04 AM,05:52 PM,2,17,18,17,20,18,36,0.0,1017,23,10,303,11,"datia,madhya+pradesh"
2009-01-22,26,12,0.0,8.7,5,17,03:57 AM,02:24 PM,07:03 AM,05:53 PM,2,18,18,18,16,7,35,0.0,1016,26,10,277,9,"datia,madhya+pradesh"
2009-01-23,27,11,0.0,8.7,5,9,04:48 AM,03:16 PM,07:03 AM,05:53 PM,2,18,18,18,21,17,35,0.0,1015,27,10,318,11,"datia,madhya+pradesh"
2009-01-24,28,13,0.0,5.5,5,2,05:36 AM,04:10 PM,07:03 AM,05:54 PM,5,19,19,19,13,49,41,0.0,1013,28,10,240,7,"datia,madhya+pradesh"
2009-01-25,31,15,0.0,8.7,6,0,06:19 AM,05:05 PM,07:03 AM,05:55 PM,10,23,23,23,11,7,44,0.0,1012,31,10,114,6,"datia,madhya+pradesh"
2009-01-26,31,15,0.0,8.7,6,0,06:58 AM,06:01 PM,07:02 AM,05:56 PM,9,23,23,23,15,1,42,0.0,1012,31,10,259,8,"datia,madhya+pradesh"
2009-01-27,27,14,0.0,8.7,5,5,07:34 AM,06:55 PM,07:02 AM,05:56 PM,6,21,20,21,15,1,41,0.0,1014,27,10,302,8,"datia,madhya+pradesh"
2009-01-28,26,11,0.0,8.7,5,12,08:06 AM,07:49 PM,07:02 AM,05:57 PM,8,19,19,19,14,0,51,0.0,1015,26,10,212,8,"datia,madhya+pradesh"
2009-01-29,26,8,0.0,8.7,5,20,08:37 AM,08:43 PM,07:01 AM,05:58 PM,7,18,18,18,12,20,52,0.0,1015,26,10,103,7,"datia,madhya+pradesh"
