date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,29,16,0.0,10.9,6,31,10:15 AM,10:11 PM,07:08 AM,06:01 PM,4,23,23,23,13,1,30,0.0,1014,29,10,69,8,"dhule,maharashtra"
2009-01-02,29,16,0.0,10.9,6,38,10:48 AM,11:02 PM,07:08 AM,06:02 PM,6,23,23,23,15,5,34,0.0,1014,29,10,106,8,"dhule,maharashtra"
2009-01-03,31,17,0.0,10.9,6,45,11:21 AM,11:55 PM,07:08 AM,06:02 PM,9,25,25,24,12,4,38,0.0,1014,31,10,185,7,"dhule,maharashtra"
2009-01-04,30,18,0.0,10.9,6,52,11:56 AM,No moonset,07:09 AM,06:03 PM,11,25,25,25,9,7,42,0.0,1014,30,10,186,5,"dhule,maharashtra"
2009-01-05,30,19,0.0,11.0,6,60,12:34 PM,12:50 AM,07:09 AM,06:04 PM,7,25,25,25,13,6,34,0.0,1012,30,10,247,7,"dhule,maharashtra"
2009-01-06,30,17,0.0,11.0,6,67,01:17 PM,01:50 AM,07:09 AM,06:04 PM,9,24,24,24,11,4,40,0.0,1012,30,10,146,7,"dhule,maharashtra"
2009-01-07,28,17,0.0,11.0,6,74,02:06 PM,02:53 AM,07:09 AM,06:05 PM,7,23,23,23,15,16,38,0.0,1013,28,10,106,10,"dhule,maharashtra"
2009-01-08,29,19,0.0,11.0,6,82,03:04 PM,04:00 AM,07:10 AM,06:06 PM,10,24,24,24,14,35,43,0.0,1015,29,10,125,9,"dhule,maharashtra"
2009-01-09,26,22,0.0,11.0,6,89,04:09 PM,05:08 AM,07:10 AM,06:06 PM,12,25,25,24,12,39,50,0.3,1016,26,10,87,8,"dhule,maharashtra"
2009-01-10,30,21,0.0,11.0,7,96,05:19 PM,06:13 AM,07:10 AM,06:07 PM,15,26,26,25,11,32,53,0.3,1016,30,10,88,8,"dhule,maharashtra"
2009-01-11,30,22,0.0,11.0,7,100,06:29 PM,07:14 AM,07:10 AM,06:08 PM,13,26,26,26,12,24,46,0.0,1015,30,10,77,8,"dhule,maharashtra"
2009-01-12,30,21,0.0,11.0,7,89,07:37 PM,08:06 AM,07:10 AM,06:08 PM,11,26,26,26,9,24,40,0.0,1017,30,10,99,6,"dhule,maharashtra"
2009-01-13,31,20,0.0,11.0,7,82,08:40 PM,08:52 AM,07:10 AM,06:09 PM,11,27,27,26,11,6,38,0.0,1018,31,10,105,7,"dhule,maharashtra"
2009-01-14,32,20,0.0,11.0,7,75,09:40 PM,09:33 AM,07:10 AM,06:10 PM,10,27,27,27,11,6,36,0.0,1019,32,10,123,7,"dhule,maharashtra"
2009-01-15,31,20,0.0,11.0,7,68,10:37 PM,10:10 AM,07:10 AM,06:10 PM,10,26,26,26,14,7,37,0.0,1018,31,10,127,9,"dhule,maharashtra"
2009-01-16,31,19,0.0,11.0,6,60,11:32 PM,10:46 AM,07:10 AM,06:11 PM,9,26,26,26,17,3,36,0.0,1017,31,10,140,10,"dhule,maharashtra"
