date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,23,9,0.0,8.7,4,31,10:04 AM,09:51 PM,07:06 AM,05:32 PM,3,15,16,15,19,5,46,0.0,1016,23,10,312,11,"etah,uttar+pradesh"
2009-01-02,22,6,0.0,8.7,4,38,10:34 AM,10:46 PM,07:06 AM,05:33 PM,7,17,17,17,8,1,56,0.0,1017,22,10,265,5,"etah,uttar+pradesh"
2009-01-03,23,7,0.0,8.7,4,45,11:04 AM,11:43 PM,07:07 AM,05:34 PM,6,16,17,16,8,4,54,0.0,1017,23,10,200,5,"etah,uttar+pradesh"
2009-01-04,23,8,0.0,8.7,5,52,11:35 AM,No moonset,07:07 AM,05:34 PM,4,17,17,17,10,16,45,0.0,1015,23,10,133,6,"etah,uttar+pradesh"
2009-01-05,23,13,0.0,8.7,5,60,12:09 PM,12:41 AM,07:07 AM,05:35 PM,4,18,18,18,13,23,42,0.0,1014,23,10,122,8,"etah,uttar+pradesh"
2009-01-06,24,12,0.0,8.7,5,67,12:49 PM,01:44 AM,07:07 AM,05:36 PM,8,18,18,18,12,3,53,0.0,1015,24,10,85,7,"etah,uttar+pradesh"
2009-01-07,24,11,0.0,8.7,5,74,01:35 PM,02:50 AM,07:07 AM,05:37 PM,5,16,17,16,21,6,47,0.0,1017,24,10,102,12,"etah,uttar+pradesh"
2009-01-08,19,10,0.0,8.7,4,82,02:30 PM,04:00 AM,07:07 AM,05:37 PM,5,14,15,14,16,21,52,0.0,1020,19,10,145,8,"etah,uttar+pradesh"
2009-01-09,22,9,0.0,8.7,3,89,03:35 PM,05:09 AM,07:07 AM,05:38 PM,5,15,16,15,15,32,52,0.1,1020,22,10,153,8,"etah,uttar+pradesh"
2009-01-10,24,10,0.0,8.7,5,96,04:45 PM,06:14 AM,07:07 AM,05:39 PM,11,17,17,17,13,18,71,0.0,1019,24,10,206,7,"etah,uttar+pradesh"
2009-01-11,23,11,0.0,8.7,5,100,05:59 PM,07:12 AM,07:08 AM,05:40 PM,9,17,17,17,17,4,63,0.0,1019,23,10,316,10,"etah,uttar+pradesh"
2009-01-12,24,9,0.0,8.7,4,89,07:10 PM,08:02 AM,07:08 AM,05:40 PM,6,16,16,16,14,5,53,0.0,1021,24,10,317,8,"etah,uttar+pradesh"
2009-01-13,23,9,0.0,8.7,5,82,08:18 PM,08:44 AM,07:07 AM,05:41 PM,5,17,17,17,14,4,47,0.0,1022,23,10,238,7,"etah,uttar+pradesh"
2009-01-14,25,10,0.0,8.7,5,75,09:22 PM,09:21 AM,07:07 AM,05:42 PM,7,17,17,17,16,12,51,0.0,1021,25,10,312,9,"etah,uttar+pradesh"
2009-01-15,25,10,0.0,8.7,5,68,10:22 PM,09:55 AM,07:07 AM,05:43 PM,4,18,18,18,16,14,40,0.0,1020,25,10,309,9,"etah,uttar+pradesh"
2009-01-16,26,13,0.0,7.1,5,60,11:21 PM,10:26 AM,07:07 AM,05:44 PM,5,19,19,19,15,21,41,0.0,1019,26,10,326,8,"etah,uttar+pradesh"
2009-01-17,25,13,0.0,8.7,5,53,No moonrise,10:59 AM,07:07 AM,05:44 PM,10,19,20,19,16,7,56,0.0,1017,25,10,316,9,"etah,uttar+pradesh"
2009-01-18,28,14,0.0,8.7,5,46,12:18 AM,11:32 AM,07:07 AM,05:45 PM,12,21,21,21,14,16,60,0.0,1016,28,10,254,7,"etah,uttar+pradesh"
