date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,24,10,0.0,8.7,5,31,09:49 AM,09:38 PM,06:50 AM,05:20 PM,9,18,18,18,11,2,58,0.0,1015,24,10,276,6,"faizabad,uttar+pradesh"
2009-01-02,23,8,0.0,8.7,4,38,10:19 AM,10:31 PM,06:50 AM,05:21 PM,6,17,17,17,11,2,50,0.0,1016,23,10,210,6,"faizabad,uttar+pradesh"
2009-01-03,23,8,0.0,8.7,4,45,10:50 AM,11:28 PM,06:51 AM,05:21 PM,6,17,17,17,9,3,51,0.0,1016,23,10,295,5,"faizabad,uttar+pradesh"
2009-01-04,23,7,0.0,8.7,4,52,11:22 AM,No moonset,06:51 AM,05:22 PM,6,17,17,17,8,3,50,0.0,1015,23,10,175,4,"faizabad,uttar+pradesh"
2009-01-05,25,10,0.0,8.7,5,60,11:56 AM,12:26 AM,06:51 AM,05:23 PM,5,17,17,17,7,15,46,0.0,1013,25,10,157,4,"faizabad,uttar+pradesh"
2009-01-06,25,12,0.0,8.7,5,67,12:36 PM,01:28 AM,06:51 AM,05:24 PM,4,18,18,18,12,18,41,0.0,1014,25,10,117,7,"faizabad,uttar+pradesh"
2009-01-07,26,15,0.0,8.7,5,74,01:23 PM,02:34 AM,06:51 AM,05:24 PM,7,19,19,19,13,17,47,0.0,1016,26,10,111,8,"faizabad,uttar+pradesh"
2009-01-08,25,13,0.0,8.7,5,82,02:18 PM,03:43 AM,06:52 AM,05:25 PM,11,18,19,18,10,15,66,0.0,1019,25,10,196,6,"faizabad,uttar+pradesh"
2009-01-09,26,12,0.0,8.7,5,89,03:23 PM,04:52 AM,06:52 AM,05:26 PM,12,19,19,19,9,13,67,0.0,1019,26,10,230,5,"faizabad,uttar+pradesh"
2009-01-10,25,14,0.0,8.7,5,96,04:33 PM,05:58 AM,06:52 AM,05:27 PM,10,19,19,19,16,6,59,0.0,1019,25,10,286,9,"faizabad,uttar+pradesh"
