date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,27,14,0.0,8.7,5,31,09:21 AM,09:14 PM,06:17 AM,05:03 PM,11,24,24,24,11,0,45,0.0,1014,27,10,163,7,"hooghly,west+bengal"
2009-01-02,27,15,0.0,8.7,5,38,09:53 AM,10:06 PM,06:17 AM,05:04 PM,10,23,23,23,14,0,44,0.0,1016,27,10,258,9,"hooghly,west+bengal"
2009-01-03,26,14,0.0,8.7,5,45,10:25 AM,11:00 PM,06:18 AM,05:04 PM,10,23,24,23,13,0,44,0.0,1016,26,10,178,8,"hooghly,west+bengal"
2009-01-04,27,13,0.0,8.7,5,52,10:59 AM,11:56 PM,06:18 AM,05:05 PM,11,24,24,24,8,0,47,0.0,1014,27,10,147,6,"hooghly,west+bengal"
2009-01-05,28,14,0.0,8.7,6,60,11:36 AM,No moonset,06:18 AM,05:06 PM,13,23,24,23,8,10,58,0.0,1013,28,10,139,5,"hooghly,west+bengal"
2009-01-06,29,17,0.0,8.7,6,67,12:17 PM,12:56 AM,06:18 AM,05:06 PM,16,25,26,25,9,4,62,0.0,1014,29,10,142,6,"hooghly,west+bengal"
2009-01-07,28,17,0.0,7.2,6,74,01:06 PM,02:00 AM,06:18 AM,05:07 PM,16,25,25,24,7,27,64,0.0,1016,28,10,168,4,"hooghly,west+bengal"
2009-01-08,29,18,0.0,8.7,6,82,02:02 PM,03:07 AM,06:19 AM,05:08 PM,16,25,25,24,11,31,62,0.1,1018,29,10,46,7,"hooghly,west+bengal"
2009-01-09,29,19,0.0,8.7,6,89,03:07 PM,04:16 AM,06:19 AM,05:08 PM,14,25,25,24,13,13,54,0.0,1018,29,10,68,8,"hooghly,west+bengal"
2009-01-10,29,18,0.0,8.7,6,96,04:16 PM,05:22 AM,06:19 AM,05:09 PM,12,24,24,24,14,6,48,0.0,1017,29,10,98,9,"hooghly,west+bengal"
2009-01-11,28,17,0.0,8.7,6,100,05:28 PM,06:21 AM,06:19 AM,05:10 PM,13,23,24,23,7,11,54,0.0,1017,28,10,215,4,"hooghly,west+bengal"
2009-01-12,28,17,0.0,8.7,6,89,06:36 PM,07:13 AM,06:19 AM,05:10 PM,13,24,24,24,12,6,54,0.0,1020,28,10,100,8,"hooghly,west+bengal"
2009-01-13,27,15,0.0,8.7,5,82,07:42 PM,07:58 AM,06:19 AM,05:11 PM,12,23,23,23,9,2,50,0.0,1021,27,10,263,6,"hooghly,west+bengal"
2009-01-14,27,14,0.0,8.7,5,75,08:43 PM,08:38 AM,06:19 AM,05:12 PM,10,24,24,24,10,0,45,0.0,1020,27,10,253,6,"hooghly,west+bengal"
2009-01-15,27,13,0.0,8.7,5,68,09:41 PM,09:15 AM,06:19 AM,05:13 PM,12,24,24,24,9,0,48,0.0,1019,27,10,219,5,"hooghly,west+bengal"
2009-01-16,27,13,0.0,8.7,5,60,10:36 PM,09:49 AM,06:19 AM,05:13 PM,11,24,24,24,8,0,44,0.0,1019,27,10,157,5,"hooghly,west+bengal"
2009-01-17,28,14,0.0,8.7,6,53,11:32 PM,10:23 AM,06:19 AM,05:14 PM,12,25,25,25,8,0,48,0.0,1017,28,10,215,5,"hooghly,west+bengal"
2009-01-18,29,15,0.0,8.7,6,46,No moonrise,10:59 AM,06:19 AM,05:15 PM,14,25,26,25,7,0,51,0.0,1015,29,10,259,5,"hooghly,west+bengal"
2009-01-19,29,15,0.0,8.7,6,38,12:26 AM,11:37 AM,06:19 AM,05:15 PM,13,25,26,25,10,0,51,0.0,1014,29,10,254,6,"hooghly,west+bengal"
2009-01-20,29,17,0.0,8.7,6,31,01:21 AM,12:17 PM,06:19 AM,05:16 PM,12,25,26,25,14,0,45,0.0,1013,29,10,305,9,"hooghly,west+bengal"
2009-01-21,28,16,0.0,8.7,6,24,02:15 AM,01:02 PM,06:19 AM,05:17 PM,10,24,24,24,11,0,43,0.0,1014,28,10,225,8,"hooghly,west+bengal"
2009-01-22,28,13,0.0,8.7,5,17,03:09 AM,01:50 PM,06:19 AM,05:18 PM,8,23,23,23,11,1,41,0.0,1013,28,10,174,6,"hooghly,west+bengal"
2009-01-23,28,13,0.0,8.7,5,9,04:00 AM,02:42 PM,06:18 AM,05:18 PM,9,25,24,25,9,0,39,0.0,1012,28,10,199,6,"hooghly,west+bengal"
2009-01-24,30,15,0.0,8.7,6,2,04:48 AM,03:36 PM,06:18 AM,05:19 PM,13,26,27,26,9,0,49,0.0,1012,30,10,188,6,"hooghly,west+bengal"
2009-01-25,31,17,0.0,8.7,6,0,05:32 AM,04:30 PM,06:18 AM,05:20 PM,19,28,28,26,13,4,68,0.0,1012,31,10,202,8,"hooghly,west+bengal"
2009-01-26,32,19,0.0,8.7,6,0,06:12 AM,05:24 PM,06:18 AM,05:20 PM,15,27,27,27,13,4,54,0.0,1011,32,9,256,8,"hooghly,west+bengal"
2009-01-27,34,18,0.0,8.7,6,5,06:49 AM,06:17 PM,06:17 AM,05:21 PM,13,29,29,29,10,1,41,0.0,1011,34,10,260,6,"hooghly,west+bengal"
2009-01-28,32,18,0.0,8.7,6,12,07:23 AM,07:10 PM,06:17 AM,05:22 PM,14,29,29,28,11,2,42,0.0,1011,32,10,176,7,"hooghly,west+bengal"
2009-01-29,30,18,0.0,8.7,6,20,07:55 AM,08:02 PM,06:17 AM,05:22 PM,9,26,26,26,14,1,37,0.0,1014,30,10,185,9,"hooghly,west+bengal"
2009-01-30,29,15,0.0,8.7,6,27,08:27 AM,08:56 PM,06:17 AM,05:23 PM,8,26,25,26,9,1,34,0.0,1013,29,10,165,6,"hooghly,west+bengal"
2009-01-31,29,14,0.0,8.7,6,31,09:00 AM,09:50 PM,06:16 AM,05:24 PM,8,25,25,25,12,0,37,0.0,1012,29,10,279,8,"hooghly,west+bengal"
2009-02-01,30,16,0.0,8.7,6,43,09:36 AM,10:47 PM,06:16 AM,05:24 PM,8,25,25,25,15,2,36,0.0,1014,30,10,146,9,"hooghly,west+bengal"
2009-02-02,29,16,0.0,8.7,6,50,10:14 AM,11:48 PM,06:15 AM,05:25 PM,9,24,24,24,10,6,40,0.0,1014,29,10,75,6,"hooghly,west+bengal"
2009-02-03,29,15,0.0,8.7,6,58,10:58 AM,No moonset,06:15 AM,05:26 PM,8,26,26,26,9,0,35,0.0,1014,29,10,80,6,"hooghly,west+bengal"
2009-02-04,30,15,0.0,8.7,6,66,11:50 AM,12:52 AM,06:15 AM,05:26 PM,12,26,26,26,12,1,46,0.0,1014,30,10,156,7,"hooghly,west+bengal"
2009-02-05,30,15,0.0,8.7,6,73,12:48 PM,01:58 AM,06:14 AM,05:27 PM,8,25,26,25,8,0,35,0.0,1014,30,10,260,5,"hooghly,west+bengal"
2009-02-06,30,15,0.0,8.7,6,81,01:54 PM,03:03 AM,06:14 AM,05:28 PM,9,27,27,27,8,0,35,0.0,1014,30,10,184,5,"hooghly,west+bengal"
2009-02-07,32,16,0.0,8.7,6,88,03:03 PM,04:04 AM,06:13 AM,05:28 PM,10,27,27,27,12,0,36,0.0,1013,32,10,223,7,"hooghly,west+bengal"
2009-02-08,31,16,0.0,8.7,6,96,04:12 PM,04:58 AM,06:13 AM,05:29 PM,10,27,27,27,8,0,38,0.0,1015,31,10,171,6,"hooghly,west+bengal"
2009-02-09,30,15,0.0,8.7,6,100,05:19 PM,05:46 AM,06:12 AM,05:29 PM,10,26,26,26,6,0,38,0.0,1016,30,10,156,4,"hooghly,west+bengal"
2009-02-10,31,16,0.0,8.7,6,89,06:22 PM,06:29 AM,06:12 AM,05:30 PM,15,27,27,27,9,2,52,0.0,1013,31,10,214,5,"hooghly,west+bengal"
2009-02-11,32,19,0.0,8.7,6,82,07:23 PM,07:08 AM,06:11 AM,05:31 PM,18,29,29,28,7,5,60,0.0,1011,32,9,226,5,"hooghly,west+bengal"
2009-02-12,33,20,0.0,8.7,7,74,08:21 PM,07:44 AM,06:10 AM,05:31 PM,15,29,29,28,13,5,51,0.0,1009,33,10,240,8,"hooghly,west+bengal"
2009-02-13,30,19,0.0,8.7,6,67,09:19 PM,08:19 AM,06:10 AM,05:32 PM,9,26,26,26,14,1,35,0.0,1011,30,10,171,10,"hooghly,west+bengal"
2009-02-14,31,16,0.0,8.7,6,59,10:15 PM,08:55 AM,06:09 AM,05:32 PM,11,27,27,27,8,0,38,0.0,1011,31,10,244,5,"hooghly,west+bengal"
2009-02-15,31,17,0.0,8.7,6,51,11:11 PM,09:33 AM,06:09 AM,05:33 PM,10,27,27,27,12,0,37,0.0,1011,31,10,246,8,"hooghly,west+bengal"
2009-02-16,32,16,0.0,8.7,6,44,No moonrise,10:13 AM,06:08 AM,05:34 PM,8,27,27,27,15,0,31,0.0,1013,32,10,214,9,"hooghly,west+bengal"
2009-02-17,32,18,0.0,8.7,6,36,12:06 AM,10:57 AM,06:07 AM,05:34 PM,8,27,27,27,14,0,32,0.0,1013,32,10,250,9,"hooghly,west+bengal"
2009-02-18,31,14,0.0,8.7,6,29,01:01 AM,11:44 AM,06:07 AM,05:35 PM,6,26,26,27,9,0,27,0.0,1012,31,10,313,6,"hooghly,west+bengal"
2009-02-19,31,15,0.0,8.7,6,21,01:54 AM,12:35 PM,06:06 AM,05:35 PM,6,26,26,26,10,0,29,0.0,1011,31,10,273,6,"hooghly,west+bengal"
2009-02-20,33,16,0.0,8.7,6,14,02:43 AM,01:28 PM,06:05 AM,05:36 PM,9,28,28,28,9,0,33,0.0,1013,33,10,238,5,"hooghly,west+bengal"
2009-02-21,33,17,0.0,8.7,6,6,03:29 AM,02:22 PM,06:04 AM,05:36 PM,10,28,28,28,12,1,38,0.0,1011,33,10,285,8,"hooghly,west+bengal"
2009-02-22,34,17,0.0,8.7,6,0,04:10 AM,03:16 PM,06:04 AM,05:37 PM,5,27,27,28,16,1,24,0.0,1008,34,10,249,9,"hooghly,west+bengal"
2009-02-23,34,18,0.0,8.7,7,0,04:48 AM,04:10 PM,06:03 AM,05:37 PM,8,27,27,28,13,3,31,0.0,1008,34,10,265,8,"hooghly,west+bengal"
2009-02-24,36,19,0.0,8.7,7,0,05:23 AM,05:04 PM,06:02 AM,05:38 PM,16,30,30,29,11,3,48,0.0,1007,36,10,237,7,"hooghly,west+bengal"
2009-02-25,37,21,0.0,8.7,7,1,05:57 AM,05:57 PM,06:01 AM,05:38 PM,13,31,31,31,10,2,41,0.0,1006,37,10,288,6,"hooghly,west+bengal"
2009-02-26,35,19,0.0,8.7,7,9,06:29 AM,06:50 PM,06:01 AM,05:39 PM,9,30,30,30,10,0,27,0.0,1008,35,10,290,6,"hooghly,west+bengal"
2009-02-27,36,19,0.0,11.4,7,16,07:02 AM,07:46 PM,06:00 AM,05:39 PM,8,29,29,29,10,4,29,0.0,1009,36,10,263,6,"hooghly,west+bengal"
2009-02-28,35,19,0.0,11.6,7,24,07:38 AM,08:43 PM,05:59 AM,05:40 PM,8,28,28,29,11,4,28,0.0,1008,35,10,280,7,"hooghly,west+bengal"
2009-03-01,34,20,0.0,11.6,7,30,08:15 AM,09:43 PM,05:58 AM,05:40 PM,5,28,28,29,12,1,22,0.0,1009,34,10,237,7,"hooghly,west+bengal"
2009-03-02,34,16,0.0,11.6,6,37,08:57 AM,10:45 PM,05:57 AM,05:40 PM,9,29,29,30,6,0,29,0.0,1009,34,10,203,4,"hooghly,west+bengal"
2009-03-03,35,17,0.0,11.6,7,45,09:46 AM,11:49 PM,05:56 AM,05:41 PM,15,30,30,29,4,3,44,0.0,1008,35,10,238,3,"hooghly,west+bengal"
2009-03-04,35,20,0.0,11.6,7,52,10:40 AM,No moonset,05:56 AM,05:41 PM,13,31,31,30,10,0,40,0.0,1007,35,10,274,6,"hooghly,west+bengal"
2009-03-05,36,20,0.0,11.6,7,59,11:42 AM,12:53 AM,05:55 AM,05:42 PM,10,31,31,31,13,0,30,0.0,1006,36,10,276,8,"hooghly,west+bengal"
2009-03-06,36,21,0.0,11.6,7,67,12:47 PM,01:53 AM,05:54 AM,05:42 PM,11,31,31,31,9,0,30,0.0,1008,36,10,248,5,"hooghly,west+bengal"
2009-03-07,36,20,0.0,11.6,7,74,01:54 PM,02:48 AM,05:53 AM,05:43 PM,9,30,30,31,12,0,31,0.0,1009,36,10,236,7,"hooghly,west+bengal"
2009-03-08,37,20,0.0,11.6,7,81,03:00 PM,03:38 AM,05:52 AM,05:43 PM,14,32,32,31,12,0,43,0.0,1009,37,10,218,8,"hooghly,west+bengal"
2009-03-09,38,21,0.0,11.6,7,88,04:04 PM,04:21 AM,05:51 AM,05:43 PM,17,34,34,32,9,3,50,0.0,1011,38,9,187,6,"hooghly,west+bengal"
