date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,27,14,0.0,8.7,5,31,10:12 AM,10:06 PM,07:07 AM,05:54 PM,5,20,20,20,19,1,40,0.0,1015,27,10,44,10,"indore,madhya+pradesh"
2009-01-02,27,14,0.0,8.7,5,38,10:44 AM,10:58 PM,07:08 AM,05:54 PM,4,19,19,19,17,10,37,0.0,1015,27,10,110,9,"indore,madhya+pradesh"
2009-01-03,28,14,0.0,8.7,5,45,11:17 AM,11:52 PM,07:08 AM,05:55 PM,6,21,20,21,17,5,39,0.0,1015,28,10,152,10,"indore,madhya+pradesh"
2009-01-04,28,15,0.0,8.7,6,52,11:50 AM,No moonset,07:08 AM,05:56 PM,6,22,22,22,12,3,36,0.0,1014,28,10,288,6,"indore,madhya+pradesh"
2009-01-05,27,14,0.0,8.7,5,60,12:27 PM,12:48 AM,07:08 AM,05:56 PM,6,21,20,21,15,5,39,0.0,1012,27,10,322,8,"indore,madhya+pradesh"
2009-01-06,27,14,0.0,8.7,5,67,01:09 PM,01:48 AM,07:09 AM,05:57 PM,8,20,20,20,14,7,46,0.0,1012,27,10,139,8,"indore,madhya+pradesh"
2009-01-07,22,14,0.0,7.1,5,74,01:58 PM,02:52 AM,07:09 AM,05:58 PM,7,18,19,18,20,29,47,0.0,1015,22,10,40,12,"indore,madhya+pradesh"
2009-01-08,25,18,0.0,8.7,5,82,02:55 PM,04:00 AM,07:09 AM,05:58 PM,10,20,20,20,20,36,54,0.0,1017,25,10,73,13,"indore,madhya+pradesh"
2009-01-09,21,17,0.0,8.7,5,89,04:00 PM,05:08 AM,07:09 AM,05:59 PM,14,19,19,19,18,45,73,0.6,1018,21,10,58,12,"indore,madhya+pradesh"
2009-01-10,23,17,0.0,10.9,5,96,05:10 PM,06:13 AM,07:09 AM,06:00 PM,14,20,21,20,18,35,68,0.7,1017,23,10,71,11,"indore,madhya+pradesh"
2009-01-11,28,18,0.0,10.9,6,100,06:21 PM,07:13 AM,07:09 AM,06:00 PM,12,23,23,22,18,21,53,0.3,1017,28,10,80,12,"indore,madhya+pradesh"
2009-01-12,29,17,0.0,10.9,6,89,07:30 PM,08:05 AM,07:09 AM,06:01 PM,11,22,22,22,16,38,51,0.0,1018,29,10,94,10,"indore,madhya+pradesh"
2009-01-13,29,17,0.0,10.9,6,82,08:34 PM,08:50 AM,07:09 AM,06:02 PM,11,23,23,23,14,17,48,0.0,1019,29,10,109,8,"indore,madhya+pradesh"
2009-01-14,30,19,0.0,10.9,6,75,09:35 PM,09:30 AM,07:09 AM,06:02 PM,11,24,24,24,15,14,45,0.0,1020,30,10,101,8,"indore,madhya+pradesh"
2009-01-15,29,19,0.0,10.9,6,68,10:33 PM,10:06 AM,07:09 AM,06:03 PM,11,24,24,23,13,9,47,0.0,1019,29,10,118,8,"indore,madhya+pradesh"
2009-01-16,30,18,0.0,11.0,6,60,11:29 PM,10:40 AM,07:09 AM,06:04 PM,10,24,24,23,14,6,43,0.0,1018,30,10,123,8,"indore,madhya+pradesh"
2009-01-17,30,16,0.0,11.0,6,53,No moonrise,11:15 AM,07:09 AM,06:04 PM,9,23,23,23,12,6,43,0.0,1017,30,10,149,7,"indore,madhya+pradesh"
2009-01-18,30,16,0.0,11.0,6,46,12:23 AM,11:51 AM,07:09 AM,06:05 PM,7,23,23,23,12,3,36,0.0,1015,30,10,158,7,"indore,madhya+pradesh"
2009-01-19,30,16,0.0,11.0,6,38,01:18 AM,12:28 PM,07:09 AM,06:06 PM,7,23,23,23,14,11,36,0.0,1016,30,10,59,7,"indore,madhya+pradesh"
2009-01-20,30,16,0.0,11.0,6,31,02:12 AM,01:10 PM,07:09 AM,06:06 PM,9,22,22,22,18,14,46,0.0,1016,30,10,45,10,"indore,madhya+pradesh"
2009-01-21,27,17,0.0,11.0,6,24,03:07 AM,01:54 PM,07:09 AM,06:07 PM,6,21,21,21,18,12,40,0.0,1016,27,10,77,10,"indore,madhya+pradesh"
2009-01-22,29,15,0.0,10.1,5,17,04:00 AM,02:43 PM,07:09 AM,06:08 PM,3,21,20,21,15,39,33,0.0,1015,29,10,84,8,"indore,madhya+pradesh"
2009-01-23,31,15,0.0,11.0,6,9,04:52 AM,03:35 PM,07:09 AM,06:09 PM,1,22,22,22,17,9,26,0.0,1014,31,10,59,9,"indore,madhya+pradesh"
2009-01-24,31,16,0.0,5.5,5,2,05:40 AM,04:28 PM,07:09 AM,06:09 PM,2,22,22,23,16,56,26,0.0,1012,31,10,130,9,"indore,madhya+pradesh"
2009-01-25,33,17,0.0,11.0,6,0,06:23 AM,05:23 PM,07:08 AM,06:10 PM,4,25,25,25,12,19,26,0.0,1012,33,10,222,7,"indore,madhya+pradesh"
2009-01-26,31,16,0.0,11.0,6,0,07:03 AM,06:16 PM,07:08 AM,06:11 PM,7,24,24,24,17,0,35,0.0,1013,31,10,292,10,"indore,madhya+pradesh"
2009-01-27,30,16,0.0,11.0,6,5,07:40 AM,07:10 PM,07:08 AM,06:11 PM,3,24,23,24,15,0,28,0.0,1014,30,10,223,8,"indore,madhya+pradesh"
2009-01-28,31,14,0.0,11.1,6,12,08:14 AM,08:02 PM,07:07 AM,06:12 PM,4,24,23,24,11,0,28,0.0,1013,31,10,96,7,"indore,madhya+pradesh"
2009-01-29,30,16,0.0,8.6,6,20,08:47 AM,08:55 PM,07:07 AM,06:13 PM,2,22,22,23,17,28,27,0.0,1013,30,10,176,9,"indore,madhya+pradesh"
2009-01-30,32,16,0.0,11.1,6,27,09:19 AM,09:48 PM,07:07 AM,06:13 PM,1,23,23,24,14,7,22,0.0,1014,32,10,223,7,"indore,madhya+pradesh"
2009-01-31,30,17,0.0,11.1,6,31,09:52 AM,10:42 PM,07:06 AM,06:14 PM,3,23,23,23,17,1,28,0.0,1013,30,10,116,10,"indore,madhya+pradesh"
2009-02-01,30,15,0.0,11.1,6,43,10:27 AM,11:40 PM,07:06 AM,06:15 PM,5,23,23,23,15,0,31,0.0,1014,30,10,125,9,"indore,madhya+pradesh"
