date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,30,15,0.0,8.7,6,31,10:08 AM,10:04 PM,07:01 AM,05:54 PM,2,22,21,22,11,0,29,0.0,1014,30,10,82,6,"jalgaon,maharashtra"
2009-01-02,29,15,0.0,8.7,6,38,10:40 AM,10:55 PM,07:01 AM,05:55 PM,6,22,21,22,13,4,36,0.0,1015,29,10,110,7,"jalgaon,maharashtra"
2009-01-03,30,16,0.0,8.7,6,45,11:14 AM,11:48 PM,07:02 AM,05:55 PM,7,22,22,22,13,3,38,0.0,1016,30,10,149,7,"jalgaon,maharashtra"
2009-01-04,30,16,0.0,8.7,6,52,11:49 AM,No moonset,07:02 AM,05:56 PM,9,23,23,23,6,5,42,0.0,1014,30,10,225,3,"jalgaon,maharashtra"
2009-01-05,30,17,0.0,8.7,6,60,12:26 PM,12:43 AM,07:02 AM,05:57 PM,10,24,24,24,7,10,44,0.0,1011,30,10,188,4,"jalgaon,maharashtra"
2009-01-06,30,21,0.0,8.7,7,67,01:09 PM,01:43 AM,07:02 AM,05:57 PM,9,26,26,26,7,23,35,0.0,1012,30,10,181,4,"jalgaon,maharashtra"
2009-01-07,29,22,0.0,8.7,6,74,01:59 PM,02:46 AM,07:03 AM,05:58 PM,10,25,25,25,8,42,40,0.0,1014,29,10,82,5,"jalgaon,maharashtra"
2009-01-08,25,21,0.0,8.7,6,82,02:56 PM,03:53 AM,07:03 AM,05:59 PM,8,24,24,23,16,30,40,0.0,1016,25,10,118,10,"jalgaon,maharashtra"
2009-01-09,30,19,0.0,8.7,6,89,04:01 PM,05:01 AM,07:03 AM,05:59 PM,8,24,24,24,13,26,39,0.0,1017,30,10,148,8,"jalgaon,maharashtra"
2009-01-10,31,22,0.0,11.0,7,96,05:11 PM,06:06 AM,07:03 AM,06:00 PM,12,26,26,25,10,39,42,0.0,1016,31,10,169,6,"jalgaon,maharashtra"
2009-01-11,31,23,0.0,11.0,7,100,06:21 PM,07:06 AM,07:03 AM,06:00 PM,11,26,26,26,12,21,39,0.0,1017,31,10,89,7,"jalgaon,maharashtra"
2009-01-12,32,21,0.0,11.0,7,89,07:29 PM,07:59 AM,07:03 AM,06:01 PM,10,26,26,26,17,21,38,0.0,1018,32,10,112,10,"jalgaon,maharashtra"
2009-01-13,31,21,0.0,11.0,7,82,08:33 PM,08:45 AM,07:04 AM,06:02 PM,10,26,26,25,15,8,39,0.0,1019,31,10,123,9,"jalgaon,maharashtra"
2009-01-14,32,20,0.0,11.0,7,75,09:33 PM,09:26 AM,07:04 AM,06:02 PM,11,26,26,26,13,6,39,0.0,1019,32,10,126,8,"jalgaon,maharashtra"
2009-01-15,31,19,0.0,11.0,6,68,10:29 PM,10:03 AM,07:04 AM,06:03 PM,9,25,25,25,14,7,39,0.0,1019,31,10,125,9,"jalgaon,maharashtra"
2009-01-16,31,17,0.0,11.0,6,60,11:25 PM,10:38 AM,07:04 AM,06:04 PM,9,25,25,25,15,4,39,0.0,1018,31,10,112,9,"jalgaon,maharashtra"
2009-01-17,31,18,0.0,11.0,6,53,No moonrise,11:14 AM,07:04 AM,06:04 PM,7,24,24,24,14,2,34,0.0,1017,31,10,123,8,"jalgaon,maharashtra"
2009-01-18,31,17,0.0,11.0,6,46,12:18 AM,11:50 AM,07:04 AM,06:05 PM,4,24,24,24,14,0,28,0.0,1016,31,10,117,8,"jalgaon,maharashtra"
2009-01-19,32,17,0.0,11.0,6,38,01:12 AM,12:28 PM,07:04 AM,06:06 PM,5,24,24,25,11,1,30,0.0,1015,32,10,107,7,"jalgaon,maharashtra"
2009-01-20,33,18,0.0,11.0,6,31,02:06 AM,01:10 PM,07:03 AM,06:06 PM,6,25,25,25,11,6,30,0.0,1015,33,10,50,6,"jalgaon,maharashtra"
2009-01-21,32,18,0.0,11.0,6,24,03:00 AM,01:55 PM,07:03 AM,06:07 PM,5,24,24,24,15,4,30,0.0,1015,32,10,113,8,"jalgaon,maharashtra"
2009-01-22,32,16,0.0,11.1,6,17,03:54 AM,02:44 PM,07:03 AM,06:08 PM,4,24,24,25,11,2,27,0.0,1014,32,10,161,6,"jalgaon,maharashtra"
2009-01-23,34,17,0.0,11.1,6,9,04:44 AM,03:36 PM,07:03 AM,06:08 PM,2,24,24,25,10,1,23,0.0,1013,34,10,63,5,"jalgaon,maharashtra"
2009-01-24,34,17,0.0,11.1,6,2,05:33 AM,04:29 PM,07:03 AM,06:09 PM,-1,25,25,26,10,13,19,0.0,1012,34,10,116,5,"jalgaon,maharashtra"
2009-01-25,35,19,0.0,11.1,7,0,06:17 AM,05:23 PM,07:03 AM,06:10 PM,5,26,26,26,8,42,25,0.0,1012,35,10,157,4,"jalgaon,maharashtra"
2009-01-26,34,20,0.0,11.1,7,0,06:57 AM,06:16 PM,07:03 AM,06:10 PM,4,26,26,27,13,0,25,0.0,1012,34,10,231,7,"jalgaon,maharashtra"
2009-01-27,33,19,0.0,11.1,7,5,07:35 AM,07:09 PM,07:02 AM,06:11 PM,5,26,26,27,11,0,25,0.0,1013,33,10,216,6,"jalgaon,maharashtra"
2009-01-28,34,17,0.0,11.1,7,12,08:10 AM,08:00 PM,07:02 AM,06:12 PM,5,27,27,27,9,0,25,0.0,1013,34,10,94,5,"jalgaon,maharashtra"
2009-01-29,34,19,0.0,11.1,7,20,08:43 AM,08:52 PM,07:02 AM,06:12 PM,3,26,26,26,11,16,23,0.0,1013,34,10,92,6,"jalgaon,maharashtra"
2009-01-30,35,19,0.0,11.1,7,27,09:16 AM,09:44 PM,07:02 AM,06:13 PM,4,26,26,27,8,6,23,0.0,1013,35,10,159,4,"jalgaon,maharashtra"
2009-01-31,34,20,0.0,11.1,7,31,09:50 AM,10:38 PM,07:01 AM,06:13 PM,4,27,27,27,12,1,23,0.0,1012,34,10,246,7,"jalgaon,maharashtra"
2009-02-01,34,18,0.0,11.1,7,43,10:26 AM,11:35 PM,07:01 AM,06:14 PM,3,26,26,27,13,0,23,0.0,1013,34,10,158,8,"jalgaon,maharashtra"
