date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,24,8,0.0,8.7,4,31,10:15 AM,10:03 PM,07:16 AM,05:45 PM,3,15,16,15,11,4,44,0.0,1017,24,10,64,6,"jalore,rajasthan"
2009-01-02,24,7,0.0,8.7,4,38,10:45 AM,10:58 PM,07:16 AM,05:46 PM,5,15,15,15,10,5,53,0.0,1017,24,10,137,6,"jalore,rajasthan"
2009-01-03,25,8,0.0,8.7,4,45,11:16 AM,11:54 PM,07:17 AM,05:46 PM,3,15,16,15,18,7,44,0.0,1016,25,10,126,10,"jalore,rajasthan"
2009-01-04,25,9,0.0,8.7,5,52,11:47 AM,No moonset,07:17 AM,05:47 PM,6,16,16,16,13,9,51,0.0,1014,25,10,97,7,"jalore,rajasthan"
2009-01-05,23,12,0.0,8.7,5,60,12:22 PM,12:52 AM,07:17 AM,05:48 PM,5,16,16,16,21,13,49,0.0,1014,23,10,56,11,"jalore,rajasthan"
2009-01-06,23,10,0.0,8.7,4,67,01:02 PM,01:55 AM,07:17 AM,05:49 PM,5,14,15,14,18,4,54,0.0,1015,23,10,68,9,"jalore,rajasthan"
2009-01-07,22,10,0.0,8.7,4,74,01:49 PM,03:01 AM,07:17 AM,05:49 PM,2,14,15,14,23,2,44,0.0,1018,22,10,58,12,"jalore,rajasthan"
2009-01-08,23,9,0.0,8.7,4,82,02:44 PM,04:10 AM,07:17 AM,05:50 PM,1,13,14,13,25,0,42,0.0,1021,23,10,55,13,"jalore,rajasthan"
2009-01-09,17,8,0.0,8.7,4,89,03:49 PM,05:19 AM,07:17 AM,05:51 PM,-5,12,13,12,18,26,30,0.0,1022,17,10,52,10,"jalore,rajasthan"
2009-01-10,22,10,0.0,8.7,5,96,04:59 PM,06:24 AM,07:18 AM,05:52 PM,4,15,16,15,19,19,45,0.0,1021,22,10,41,11,"jalore,rajasthan"
2009-01-11,23,10,0.0,8.7,4,100,06:12 PM,07:23 AM,07:18 AM,05:52 PM,4,15,16,15,14,6,48,0.0,1020,23,10,30,8,"jalore,rajasthan"
2009-01-12,22,10,0.0,8.7,4,89,07:23 PM,08:12 AM,07:18 AM,05:53 PM,1,15,15,15,15,17,39,0.0,1022,22,10,93,8,"jalore,rajasthan"
2009-01-13,25,13,0.0,8.7,5,82,08:30 PM,08:55 AM,07:18 AM,05:54 PM,5,18,18,18,18,10,43,0.0,1022,25,10,70,10,"jalore,rajasthan"
2009-01-14,23,12,0.0,8.7,5,75,09:34 PM,09:32 AM,07:18 AM,05:55 PM,8,17,18,17,12,18,56,0.0,1022,23,10,88,6,"jalore,rajasthan"
2009-01-15,26,12,0.0,8.7,5,68,10:34 PM,10:06 AM,07:17 AM,05:55 PM,9,19,19,19,13,12,53,0.0,1021,26,10,87,7,"jalore,rajasthan"
2009-01-16,28,16,0.0,8.7,6,60,11:32 PM,10:39 AM,07:17 AM,05:56 PM,9,21,21,21,17,9,49,0.0,1019,28,10,122,9,"jalore,rajasthan"
2009-01-17,25,15,0.0,8.7,5,53,No moonrise,11:11 AM,07:17 AM,05:57 PM,11,19,20,19,15,11,58,0.0,1018,25,10,63,8,"jalore,rajasthan"
2009-01-18,27,15,0.0,8.7,5,46,12:28 AM,11:45 AM,07:17 AM,05:58 PM,10,19,20,19,21,22,56,0.0,1016,27,10,205,12,"jalore,rajasthan"
2009-01-19,24,13,0.0,8.7,5,38,01:25 AM,12:20 PM,07:17 AM,05:58 PM,7,17,18,17,23,8,51,0.0,1019,24,10,346,13,"jalore,rajasthan"
2009-01-20,25,10,0.0,8.7,5,31,02:21 AM,01:00 PM,07:17 AM,05:59 PM,3,16,16,16,20,7,43,0.0,1018,25,10,294,11,"jalore,rajasthan"
2009-01-21,22,11,0.0,10.8,5,24,03:18 AM,01:44 PM,07:17 AM,06:00 PM,-1,15,16,15,19,17,33,0.0,1017,22,10,318,10,"jalore,rajasthan"
