date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,28,17,0.0,8.7,6,31,09:29 AM,09:26 PM,06:22 AM,05:19 PM,18,26,26,25,11,9,68,0.0,1014,28,10,209,7,"kalahandi,orissa"
2009-01-02,28,18,0.0,8.7,6,38,10:02 AM,10:16 PM,06:22 AM,05:19 PM,17,25,25,24,11,17,70,0.0,1016,28,10,102,7,"kalahandi,orissa"
2009-01-03,28,18,0.0,8.7,6,45,10:36 AM,11:09 PM,06:23 AM,05:20 PM,17,25,25,24,12,7,69,0.0,1016,28,10,104,8,"kalahandi,orissa"
2009-01-04,28,17,0.0,8.7,6,52,11:11 AM,No moonset,06:23 AM,05:20 PM,18,27,27,25,10,2,68,0.0,1014,28,10,165,6,"kalahandi,orissa"
2009-01-05,29,18,0.0,8.7,6,60,11:49 AM,12:04 AM,06:23 AM,05:21 PM,17,25,25,24,15,4,67,0.0,1012,29,10,220,10,"kalahandi,orissa"
2009-01-06,29,19,0.0,8.7,6,67,12:32 PM,01:02 AM,06:23 AM,05:22 PM,17,25,25,24,17,7,67,0.0,1013,29,10,205,11,"kalahandi,orissa"
2009-01-07,28,18,0.0,8.7,6,74,01:22 PM,02:05 AM,06:24 AM,05:22 PM,17,25,25,24,15,6,70,0.0,1015,28,10,177,10,"kalahandi,orissa"
2009-01-08,29,18,0.0,8.7,6,82,02:19 PM,03:12 AM,06:24 AM,05:23 PM,18,25,25,24,14,9,72,0.0,1017,29,10,99,9,"kalahandi,orissa"
2009-01-09,30,19,0.0,8.7,6,89,03:24 PM,04:20 AM,06:24 AM,05:24 PM,17,25,25,24,14,6,69,0.0,1018,30,10,99,9,"kalahandi,orissa"
2009-01-10,30,18,0.0,8.7,6,96,04:33 PM,05:26 AM,06:24 AM,05:24 PM,17,25,25,24,11,9,67,0.0,1017,30,10,193,7,"kalahandi,orissa"
2009-01-11,30,18,0.0,8.7,6,100,05:44 PM,06:26 AM,06:24 AM,05:25 PM,17,26,26,25,10,14,66,0.0,1017,30,10,203,6,"kalahandi,orissa"
2009-01-12,29,18,0.0,8.7,6,89,06:51 PM,07:19 AM,06:24 AM,05:26 PM,18,26,26,24,11,15,68,0.0,1019,29,10,132,7,"kalahandi,orissa"
2009-01-13,28,19,0.0,8.7,6,82,07:55 PM,08:06 AM,06:25 AM,05:26 PM,18,25,25,24,14,10,70,0.0,1020,28,10,95,9,"kalahandi,orissa"
2009-01-14,28,17,0.0,8.7,6,75,08:54 PM,08:47 AM,06:25 AM,05:27 PM,17,25,25,24,10,4,66,0.0,1020,28,10,158,6,"kalahandi,orissa"
2009-01-15,28,17,0.0,8.7,6,68,09:51 PM,09:25 AM,06:25 AM,05:28 PM,18,27,27,25,11,1,67,0.0,1019,28,10,127,7,"kalahandi,orissa"
2009-01-16,29,16,0.0,8.7,6,60,10:45 PM,10:01 AM,06:25 AM,05:28 PM,17,26,26,25,10,4,66,0.0,1018,29,10,136,7,"kalahandi,orissa"
2009-01-17,29,17,0.0,8.7,6,53,11:39 PM,10:36 AM,06:25 AM,05:29 PM,18,27,27,25,12,0,68,0.0,1017,29,10,201,8,"kalahandi,orissa"
2009-01-18,29,17,0.0,8.7,6,46,No moonrise,11:13 AM,06:25 AM,05:30 PM,18,27,27,25,11,0,68,0.0,1015,29,10,214,8,"kalahandi,orissa"
2009-01-19,30,17,0.0,8.7,6,38,12:32 AM,11:52 AM,06:25 AM,05:30 PM,16,27,27,26,10,0,59,0.0,1014,30,10,205,6,"kalahandi,orissa"
2009-01-20,30,18,0.0,8.7,6,31,01:26 AM,12:33 PM,06:25 AM,05:31 PM,15,27,27,25,13,0,56,0.0,1014,30,10,208,8,"kalahandi,orissa"
2009-01-21,30,18,0.0,8.7,6,24,02:20 AM,01:19 PM,06:25 AM,05:32 PM,16,26,26,25,15,0,61,0.0,1014,30,10,187,9,"kalahandi,orissa"
2009-01-22,30,17,0.0,8.7,6,17,03:13 AM,02:07 PM,06:24 AM,05:32 PM,17,26,26,25,10,0,65,0.0,1013,30,10,169,6,"kalahandi,orissa"
2009-01-23,30,16,0.0,8.7,6,9,04:04 AM,02:59 PM,06:24 AM,05:33 PM,18,27,27,26,10,0,66,0.0,1012,30,10,208,7,"kalahandi,orissa"
2009-01-24,31,18,0.0,8.7,6,2,04:52 AM,03:52 PM,06:24 AM,05:34 PM,18,27,27,25,16,0,69,0.0,1012,31,10,193,11,"kalahandi,orissa"
2009-01-25,32,19,0.0,8.7,6,0,05:37 AM,04:46 PM,06:24 AM,05:34 PM,18,27,27,25,20,0,67,0.0,1012,32,10,207,12,"kalahandi,orissa"
2009-01-26,34,19,0.0,8.7,7,0,06:18 AM,05:39 PM,06:24 AM,05:35 PM,17,27,27,26,18,3,60,0.0,1012,34,10,227,10,"kalahandi,orissa"
2009-01-27,35,19,0.0,8.7,7,5,06:56 AM,06:31 PM,06:24 AM,05:35 PM,14,29,29,28,16,0,45,0.0,1011,35,10,265,9,"kalahandi,orissa"
2009-01-28,34,19,0.0,8.7,7,12,07:31 AM,07:23 PM,06:23 AM,05:36 PM,14,29,29,29,10,1,43,0.0,1012,34,10,233,6,"kalahandi,orissa"
2009-01-29,32,20,0.0,8.7,7,20,08:05 AM,08:13 PM,06:23 AM,05:37 PM,18,28,28,26,15,7,64,0.0,1013,32,10,91,10,"kalahandi,orissa"
2009-01-30,32,19,0.0,8.7,6,27,08:38 AM,09:05 PM,06:23 AM,05:37 PM,19,28,28,26,11,6,69,0.0,1013,32,8,125,6,"kalahandi,orissa"
2009-01-31,32,20,0.0,8.7,7,31,09:13 AM,09:59 PM,06:23 AM,05:38 PM,20,28,28,26,14,11,72,0.0,1012,32,9,198,9,"kalahandi,orissa"
2009-02-01,31,21,0.0,8.7,6,43,09:49 AM,10:55 PM,06:22 AM,05:38 PM,21,28,28,26,15,18,78,0.0,1013,31,9,144,10,"kalahandi,orissa"
2009-02-02,31,22,0.0,8.7,7,50,10:29 AM,11:54 PM,06:22 AM,05:39 PM,21,28,28,26,18,23,76,0.1,1014,31,10,159,12,"kalahandi,orissa"
2009-02-03,31,22,0.0,8.7,7,58,11:14 AM,No moonset,06:22 AM,05:40 PM,20,28,28,26,16,21,74,0.0,1013,31,8,144,11,"kalahandi,orissa"
2009-02-04,33,20,0.0,8.7,7,66,12:06 PM,12:57 AM,06:21 AM,05:40 PM,18,29,29,27,8,4,63,0.0,1014,33,8,192,5,"kalahandi,orissa"
2009-02-05,32,19,0.0,8.7,6,73,01:06 PM,02:02 AM,06:21 AM,05:41 PM,19,28,28,27,12,2,68,0.0,1014,32,10,121,7,"kalahandi,orissa"
2009-02-06,31,20,0.0,8.7,6,81,02:11 PM,03:07 AM,06:20 AM,05:41 PM,19,27,27,26,12,13,71,0.0,1014,31,9,165,8,"kalahandi,orissa"
2009-02-07,32,20,0.0,8.7,7,88,03:19 PM,04:08 AM,06:20 AM,05:42 PM,18,28,28,26,14,8,63,0.0,1013,32,10,159,9,"kalahandi,orissa"
2009-02-08,31,19,0.0,8.7,6,96,04:27 PM,05:04 AM,06:20 AM,05:42 PM,18,27,27,26,14,10,65,0.0,1015,31,10,155,10,"kalahandi,orissa"
2009-02-09,30,18,0.0,8.7,6,100,05:33 PM,05:53 AM,06:19 AM,05:43 PM,19,28,28,27,12,7,67,0.0,1015,30,10,215,8,"kalahandi,orissa"
2009-02-10,31,19,0.0,8.7,6,89,06:35 PM,06:37 AM,06:19 AM,05:43 PM,19,28,28,26,16,3,67,0.0,1014,31,10,192,11,"kalahandi,orissa"
2009-02-11,32,21,0.0,8.7,7,82,07:34 PM,07:17 AM,06:18 AM,05:44 PM,19,28,28,26,22,3,67,0.0,1011,32,10,202,15,"kalahandi,orissa"
2009-02-12,34,21,0.0,8.7,7,74,08:31 PM,07:55 AM,06:18 AM,05:44 PM,13,28,28,27,21,2,48,0.0,1010,34,10,278,13,"kalahandi,orissa"
2009-02-13,32,18,0.0,8.7,6,67,09:27 PM,08:31 AM,06:17 AM,05:45 PM,13,27,27,26,15,0,46,0.0,1011,32,10,162,9,"kalahandi,orissa"
2009-02-14,33,18,0.0,8.7,6,59,10:21 PM,09:09 AM,06:17 AM,05:45 PM,18,29,29,28,10,0,61,0.0,1011,33,10,246,6,"kalahandi,orissa"
2009-02-15,33,18,0.0,8.7,7,51,11:17 PM,09:48 AM,06:16 AM,05:46 PM,18,29,29,28,11,0,60,0.0,1010,33,10,207,7,"kalahandi,orissa"
2009-02-16,32,19,0.0,8.7,6,44,No moonrise,10:29 AM,06:15 AM,05:46 PM,18,28,28,26,13,4,66,0.0,1013,32,9,121,9,"kalahandi,orissa"
2009-02-17,32,18,0.0,8.7,6,36,12:11 AM,11:14 AM,06:15 AM,05:47 PM,16,27,27,26,15,4,60,0.0,1013,32,10,212,10,"kalahandi,orissa"
2009-02-18,32,19,0.0,8.7,7,29,01:05 AM,12:01 PM,06:14 AM,05:47 PM,19,29,29,27,13,3,65,0.0,1012,32,10,204,9,"kalahandi,orissa"
2009-02-19,33,19,0.0,8.7,7,21,01:58 AM,12:52 PM,06:14 AM,05:48 PM,20,30,30,28,11,3,65,0.0,1011,33,10,206,8,"kalahandi,orissa"
2009-02-20,34,20,0.0,8.7,7,14,02:47 AM,01:45 PM,06:13 AM,05:48 PM,19,30,30,28,13,1,64,0.0,1013,34,10,201,9,"kalahandi,orissa"
2009-02-21,35,20,0.0,8.7,7,6,03:33 AM,02:38 PM,06:12 AM,05:49 PM,17,30,30,29,13,0,55,0.0,1012,35,10,242,8,"kalahandi,orissa"
2009-02-22,36,20,0.0,8.7,7,0,04:15 AM,03:32 PM,06:12 AM,05:49 PM,11,29,29,29,12,0,37,0.0,1009,36,10,270,8,"kalahandi,orissa"
2009-02-23,36,19,0.0,8.7,7,0,04:54 AM,04:24 PM,06:11 AM,05:49 PM,12,28,28,29,18,4,40,0.0,1009,36,10,253,10,"kalahandi,orissa"
2009-02-24,37,23,0.0,8.7,7,0,05:31 AM,05:17 PM,06:10 AM,05:50 PM,17,31,31,29,24,10,50,0.0,1007,37,10,219,14,"kalahandi,orissa"
2009-02-25,38,23,0.0,8.7,7,1,06:05 AM,06:08 PM,06:10 AM,05:50 PM,14,31,31,30,17,1,43,0.0,1006,38,10,258,11,"kalahandi,orissa"
2009-02-26,37,22,0.0,8.7,7,9,06:39 AM,07:01 PM,06:09 AM,05:51 PM,14,30,30,30,15,0,43,0.0,1008,37,10,192,8,"kalahandi,orissa"
2009-02-27,37,20,0.0,8.7,7,16,07:14 AM,07:55 PM,06:08 AM,05:51 PM,18,31,31,30,18,1,54,0.0,1009,37,10,221,10,"kalahandi,orissa"
2009-02-28,36,21,0.0,8.7,7,24,07:50 AM,08:50 PM,06:07 AM,05:51 PM,18,30,30,29,14,3,57,0.0,1009,36,10,123,9,"kalahandi,orissa"
2009-03-01,35,21,0.0,8.7,7,30,08:29 AM,09:49 PM,06:07 AM,05:52 PM,19,31,31,29,12,0,59,0.0,1010,35,10,199,8,"kalahandi,orissa"
2009-03-02,35,19,0.0,8.7,7,37,09:13 AM,10:50 PM,06:06 AM,05:52 PM,18,31,31,29,14,0,56,0.0,1010,35,9,211,8,"kalahandi,orissa"
