date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,23,9,0.0,8.7,4,31,10:08 AM,09:55 PM,07:10 AM,05:36 PM,4,14,15,14,17,1,51,0.0,1016,23,10,322,10,"mathura,uttar+pradesh"
2009-01-02,23,5,0.0,8.7,4,38,10:38 AM,10:50 PM,07:10 AM,05:37 PM,7,16,16,16,6,1,60,0.0,1017,23,10,296,4,"mathura,uttar+pradesh"
2009-01-03,23,6,0.0,8.7,4,45,11:08 AM,11:47 PM,07:10 AM,05:38 PM,6,16,16,16,11,4,53,0.0,1017,23,10,157,6,"mathura,uttar+pradesh"
2009-01-04,23,8,0.0,8.7,4,52,11:39 AM,No moonset,07:10 AM,05:39 PM,5,15,16,15,12,17,52,0.0,1015,23,10,92,7,"mathura,uttar+pradesh"
2009-01-05,23,12,0.0,8.7,5,60,12:13 PM,12:45 AM,07:11 AM,05:39 PM,5,16,16,16,15,16,47,0.0,1014,23,10,202,9,"mathura,uttar+pradesh"
2009-01-06,23,9,0.0,8.7,4,67,12:53 PM,01:48 AM,07:11 AM,05:40 PM,7,16,16,16,15,2,58,0.0,1015,23,10,81,8,"mathura,uttar+pradesh"
2009-01-07,23,9,0.0,8.7,4,74,01:40 PM,02:54 AM,07:11 AM,05:41 PM,4,15,16,15,20,4,48,0.0,1018,23,10,144,11,"mathura,uttar+pradesh"
2009-01-08,23,8,0.0,8.7,4,82,02:35 PM,04:04 AM,07:11 AM,05:41 PM,5,14,15,14,16,3,52,0.0,1021,23,10,62,9,"mathura,uttar+pradesh"
2009-01-09,20,6,0.0,7.1,4,89,03:39 PM,05:13 AM,07:11 AM,05:42 PM,1,13,13,13,13,24,43,0.0,1021,20,10,168,7,"mathura,uttar+pradesh"
2009-01-10,23,11,0.0,8.7,5,96,04:50 PM,06:18 AM,07:11 AM,05:43 PM,9,16,16,16,14,17,63,0.0,1020,23,10,221,7,"mathura,uttar+pradesh"
2009-01-11,23,10,0.0,8.7,4,100,06:03 PM,07:16 AM,07:11 AM,05:44 PM,7,15,16,15,15,5,59,0.0,1020,23,10,289,9,"mathura,uttar+pradesh"
2009-01-12,23,7,0.0,8.7,4,89,07:15 PM,08:05 AM,07:11 AM,05:45 PM,4,14,15,14,12,4,52,0.0,1021,23,10,244,7,"mathura,uttar+pradesh"
2009-01-13,23,8,0.0,8.7,4,82,08:22 PM,08:48 AM,07:11 AM,05:45 PM,5,16,16,16,14,9,51,0.0,1022,23,10,152,7,"mathura,uttar+pradesh"
2009-01-14,25,9,0.0,8.7,5,75,09:26 PM,09:25 AM,07:11 AM,05:46 PM,7,16,17,16,14,6,54,0.0,1022,25,10,327,8,"mathura,uttar+pradesh"
2009-01-15,25,9,0.0,8.7,5,68,10:26 PM,09:59 AM,07:11 AM,05:47 PM,4,17,17,17,13,6,42,0.0,1020,25,10,323,7,"mathura,uttar+pradesh"
2009-01-16,26,12,0.0,8.7,5,60,11:25 PM,10:31 AM,07:11 AM,05:48 PM,7,19,19,19,12,6,45,0.0,1019,26,10,76,6,"mathura,uttar+pradesh"
2009-01-17,24,12,0.0,8.7,5,53,No moonrise,11:03 AM,07:11 AM,05:48 PM,11,18,18,18,12,14,65,0.0,1017,24,10,217,7,"mathura,uttar+pradesh"
2009-01-18,24,11,0.0,8.7,5,46,12:21 AM,11:36 AM,07:11 AM,05:49 PM,13,18,19,18,10,19,75,0.0,1016,24,10,66,5,"mathura,uttar+pradesh"
2009-01-19,25,13,0.0,8.7,5,38,01:19 AM,12:12 PM,07:10 AM,05:50 PM,11,18,18,18,22,5,66,0.0,1017,25,10,320,13,"mathura,uttar+pradesh"
2009-01-20,23,10,0.0,8.7,4,31,02:15 AM,12:51 PM,07:10 AM,05:51 PM,7,14,15,14,26,11,59,0.0,1017,23,10,310,15,"mathura,uttar+pradesh"
2009-01-21,21,10,0.0,8.7,4,24,03:11 AM,01:35 PM,07:10 AM,05:52 PM,3,14,15,14,25,20,45,0.0,1016,21,10,305,14,"mathura,uttar+pradesh"
2009-01-22,25,10,0.0,8.7,5,17,04:05 AM,02:22 PM,07:10 AM,05:52 PM,3,16,17,16,19,22,41,0.0,1015,25,10,310,10,"mathura,uttar+pradesh"
2009-01-23,26,12,0.0,7.1,5,9,04:57 AM,03:14 PM,07:10 AM,05:53 PM,2,18,18,18,28,28,36,0.0,1014,26,10,309,16,"mathura,uttar+pradesh"
2009-01-24,28,14,0.0,3.9,4,2,05:44 AM,04:09 PM,07:09 AM,05:54 PM,5,19,20,19,22,56,40,0.0,1012,28,10,303,12,"mathura,uttar+pradesh"
2009-01-25,29,13,0.0,8.7,5,0,06:26 AM,05:05 PM,07:09 AM,05:55 PM,10,21,21,21,11,15,50,0.0,1012,29,10,156,6,"mathura,uttar+pradesh"
2009-01-26,27,12,0.0,8.7,5,0,07:05 AM,06:01 PM,07:08 AM,05:56 PM,13,20,21,20,10,2,64,0.0,1011,27,10,222,6,"mathura,uttar+pradesh"
2009-01-27,25,10,0.0,8.7,5,5,07:39 AM,06:56 PM,07:08 AM,05:56 PM,10,20,20,20,14,0,59,0.0,1013,25,10,266,8,"mathura,uttar+pradesh"
2009-01-28,25,10,0.0,8.7,5,12,08:11 AM,07:51 PM,07:08 AM,05:57 PM,9,17,18,17,17,0,62,0.0,1014,25,10,314,10,"mathura,uttar+pradesh"
2009-01-29,25,8,0.0,8.7,5,20,08:41 AM,08:46 PM,07:07 AM,05:58 PM,11,19,19,19,8,1,64,0.0,1015,25,10,224,4,"mathura,uttar+pradesh"
2009-01-30,26,9,0.0,8.7,5,27,09:11 AM,09:42 PM,07:07 AM,05:59 PM,11,20,20,20,13,6,62,0.0,1015,26,10,252,7,"mathura,uttar+pradesh"
2009-01-31,25,10,0.0,10.9,5,31,09:42 AM,10:39 PM,07:06 AM,06:00 PM,7,17,17,17,23,2,54,0.0,1015,25,10,279,13,"mathura,uttar+pradesh"
2009-02-01,24,9,0.0,10.9,5,43,10:14 AM,11:39 PM,07:06 AM,06:00 PM,6,17,17,17,16,2,54,0.0,1015,24,10,305,9,"mathura,uttar+pradesh"
2009-02-02,25,6,0.0,11.0,4,50,10:51 AM,No moonset,07:05 AM,06:01 PM,7,18,17,18,11,1,53,0.0,1015,25,10,242,6,"mathura,uttar+pradesh"
2009-02-03,28,7,0.0,11.0,5,58,11:33 AM,12:42 AM,07:05 AM,06:02 PM,10,20,20,20,10,0,59,0.0,1014,28,10,112,5,"mathura,uttar+pradesh"
2009-02-04,28,8,0.0,11.0,5,66,12:22 PM,01:48 AM,07:04 AM,06:03 PM,9,21,21,21,12,0,52,0.0,1014,28,10,106,6,"mathura,uttar+pradesh"
2009-02-05,28,12,0.0,11.0,5,73,01:21 PM,02:55 AM,07:04 AM,06:03 PM,8,20,20,20,17,2,49,0.0,1014,28,10,110,9,"mathura,uttar+pradesh"
2009-02-06,29,12,0.0,11.0,5,81,02:26 PM,04:00 AM,07:03 AM,06:04 PM,9,22,21,22,19,2,47,0.0,1014,29,10,229,10,"mathura,uttar+pradesh"
2009-02-07,26,11,0.0,11.0,5,88,03:37 PM,05:00 AM,07:02 AM,06:05 PM,8,19,19,19,20,2,52,0.0,1016,26,10,326,12,"mathura,uttar+pradesh"
2009-02-08,25,9,0.0,11.0,5,96,04:48 PM,05:52 AM,07:02 AM,06:06 PM,7,17,17,17,14,2,52,0.0,1017,25,10,286,8,"mathura,uttar+pradesh"
2009-02-09,27,6,0.0,11.1,5,100,05:58 PM,06:37 AM,07:01 AM,06:06 PM,6,18,18,18,10,12,51,0.0,1015,27,10,229,5,"mathura,uttar+pradesh"
2009-02-10,29,12,0.0,11.1,5,89,07:04 PM,07:17 AM,07:00 AM,06:07 PM,6,20,20,20,17,13,43,0.0,1012,29,10,173,10,"mathura,uttar+pradesh"
2009-02-11,22,12,0.0,11.1,5,82,08:07 PM,07:53 AM,07:00 AM,06:08 PM,8,16,17,16,22,9,59,0.0,1013,22,10,275,13,"mathura,uttar+pradesh"
2009-02-12,24,10,0.0,11.5,5,74,09:08 PM,08:27 AM,06:59 AM,06:08 PM,10,16,17,16,19,5,66,0.0,1014,24,10,317,11,"mathura,uttar+pradesh"
2009-02-13,27,10,0.0,11.5,5,67,10:08 PM,09:00 AM,06:58 AM,06:09 PM,11,18,18,18,9,17,66,0.0,1011,27,10,214,5,"mathura,uttar+pradesh"
2009-02-14,28,11,0.0,11.5,5,59,11:07 PM,09:33 AM,06:57 AM,06:10 PM,11,21,21,21,14,7,56,0.0,1012,28,10,204,7,"mathura,uttar+pradesh"
2009-02-15,26,12,0.0,11.6,5,51,No moonrise,10:09 AM,06:56 AM,06:11 PM,7,19,19,19,20,3,48,0.0,1014,26,10,323,11,"mathura,uttar+pradesh"
2009-02-16,24,9,0.0,11.6,5,44,12:05 AM,10:47 AM,06:56 AM,06:11 PM,4,17,17,17,17,2,45,0.0,1016,24,10,314,10,"mathura,uttar+pradesh"
2009-02-17,26,9,0.0,11.6,5,36,01:02 AM,11:30 AM,06:55 AM,06:12 PM,4,18,18,18,18,7,42,0.0,1015,26,10,316,10,"mathura,uttar+pradesh"
2009-02-18,28,10,0.0,11.6,5,29,01:58 AM,12:16 PM,06:54 AM,06:13 PM,5,19,19,19,20,4,43,0.0,1014,28,10,318,12,"mathura,uttar+pradesh"
2009-02-19,29,10,0.0,11.6,5,21,02:50 AM,01:07 PM,06:53 AM,06:13 PM,6,20,20,20,21,7,42,0.0,1012,29,10,306,12,"mathura,uttar+pradesh"
2009-02-20,31,13,0.0,11.6,6,14,03:39 AM,02:01 PM,06:52 AM,06:14 PM,6,23,23,23,17,7,36,0.0,1015,31,10,325,9,"mathura,uttar+pradesh"
2009-02-21,32,14,0.0,11.6,6,6,04:23 AM,02:56 PM,06:51 AM,06:15 PM,5,23,22,23,19,3,35,0.0,1014,32,10,291,11,"mathura,uttar+pradesh"
2009-02-22,31,14,0.0,11.6,6,0,05:03 AM,03:52 PM,06:50 AM,06:15 PM,4,22,21,22,17,11,32,0.0,1010,31,10,245,9,"mathura,uttar+pradesh"
2009-02-23,32,16,0.0,11.6,6,0,05:39 AM,04:48 PM,06:49 AM,06:16 PM,7,23,23,23,8,14,39,0.0,1008,32,10,190,5,"mathura,uttar+pradesh"
2009-02-24,32,13,0.0,11.6,6,0,06:12 AM,05:44 PM,06:49 AM,06:17 PM,8,24,24,24,12,5,38,0.0,1007,32,10,270,7,"mathura,uttar+pradesh"
2009-02-25,31,14,0.0,11.6,6,1,06:43 AM,06:39 PM,06:48 AM,06:17 PM,8,23,23,23,18,3,40,0.0,1009,31,10,320,11,"mathura,uttar+pradesh"
