date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,26,15,0.0,8.7,5,31,09:22 AM,09:14 PM,06:20 AM,05:01 PM,11,22,22,22,15,1,50,0.0,1014,26,10,329,8,"murshidabad,west+bengal"
2009-01-02,25,14,0.0,8.7,5,38,09:54 AM,10:06 PM,06:20 AM,05:01 PM,10,21,22,21,14,0,51,0.0,1016,25,10,330,9,"murshidabad,west+bengal"
2009-01-03,25,13,0.0,8.7,5,45,10:25 AM,11:01 PM,06:21 AM,05:02 PM,10,22,22,22,13,0,50,0.0,1016,25,10,290,8,"murshidabad,west+bengal"
2009-01-04,25,13,0.0,8.7,5,52,10:58 AM,11:58 PM,06:21 AM,05:03 PM,10,21,22,21,10,1,51,0.0,1014,25,10,289,6,"murshidabad,west+bengal"
2009-01-05,26,12,0.0,8.7,5,60,11:35 AM,No moonset,06:21 AM,05:03 PM,10,21,21,21,7,4,50,0.0,1013,26,10,150,4,"murshidabad,west+bengal"
2009-01-06,27,15,0.0,8.7,6,67,12:15 PM,12:58 AM,06:21 AM,05:04 PM,12,23,23,23,12,2,52,0.0,1013,27,10,71,7,"murshidabad,west+bengal"
2009-01-07,26,19,0.0,8.7,6,74,01:03 PM,02:03 AM,06:21 AM,05:05 PM,14,22,23,22,10,24,61,0.5,1016,26,10,64,6,"murshidabad,west+bengal"
2009-01-08,27,17,0.0,8.7,6,82,01:59 PM,03:11 AM,06:22 AM,05:06 PM,14,22,23,22,12,19,61,0.1,1018,27,10,43,7,"murshidabad,west+bengal"
2009-01-09,28,16,0.0,8.7,6,89,03:04 PM,04:20 AM,06:22 AM,05:06 PM,12,22,23,22,13,9,52,0.0,1018,28,10,17,7,"murshidabad,west+bengal"
2009-01-10,27,16,0.0,8.7,6,96,04:14 PM,05:26 AM,06:22 AM,05:07 PM,11,22,23,22,13,4,51,0.0,1017,27,10,179,8,"murshidabad,west+bengal"
2009-01-11,27,16,0.0,8.7,6,100,05:26 PM,06:24 AM,06:22 AM,05:08 PM,12,22,22,22,11,8,55,0.0,1017,27,10,315,6,"murshidabad,west+bengal"
2009-01-12,26,16,0.0,8.7,5,89,06:35 PM,07:16 AM,06:22 AM,05:09 PM,13,22,23,22,14,3,57,0.0,1019,26,10,292,8,"murshidabad,west+bengal"
2009-01-13,26,13,0.0,8.7,5,82,07:41 PM,08:00 AM,06:22 AM,05:09 PM,12,23,23,23,9,0,55,0.0,1021,26,10,318,6,"murshidabad,west+bengal"
2009-01-14,26,14,0.0,8.7,5,75,08:43 PM,08:39 AM,06:22 AM,05:10 PM,12,23,23,23,11,0,53,0.0,1019,26,10,315,6,"murshidabad,west+bengal"
2009-01-15,26,14,0.0,8.7,5,68,09:42 PM,09:15 AM,06:22 AM,05:11 PM,12,23,23,23,10,0,52,0.0,1019,26,10,259,6,"murshidabad,west+bengal"
2009-01-16,27,14,0.0,8.7,5,60,10:38 PM,09:49 AM,06:22 AM,05:11 PM,11,23,24,23,11,0,49,0.0,1018,27,10,293,6,"murshidabad,west+bengal"
2009-01-17,27,14,0.0,8.7,5,53,11:34 PM,10:23 AM,06:22 AM,05:12 PM,12,23,23,23,8,0,51,0.0,1016,27,10,287,5,"murshidabad,west+bengal"
2009-01-18,28,14,0.0,8.7,5,46,No moonrise,10:58 AM,06:22 AM,05:13 PM,12,24,24,24,8,0,49,0.0,1015,28,10,250,5,"murshidabad,west+bengal"
2009-01-19,29,14,0.0,8.7,6,38,12:28 AM,11:35 AM,06:22 AM,05:14 PM,13,24,24,24,11,0,53,0.0,1013,29,10,304,7,"murshidabad,west+bengal"
2009-01-20,29,16,0.0,8.7,6,31,01:24 AM,12:15 PM,06:22 AM,05:14 PM,10,23,23,23,18,2,47,0.0,1013,29,10,307,11,"murshidabad,west+bengal"
2009-01-21,27,15,0.0,8.7,5,24,02:19 AM,12:59 PM,06:21 AM,05:15 PM,8,21,20,21,16,7,47,0.0,1014,27,10,329,9,"murshidabad,west+bengal"
