date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,29,16,0.0,11.6,6,31,09:42 AM,09:53 PM,06:20 AM,06:02 PM,18,23,24,23,12,3,75,0.0,1012,29,8,71,8,"nalanda,bihar"
2009-01-02,30,15,0.0,11.6,6,38,10:20 AM,10:38 PM,06:21 AM,06:02 PM,18,23,24,23,12,5,73,0.0,1012,30,9,67,8,"nalanda,bihar"
2009-01-03,30,16,0.0,11.6,6,45,11:00 AM,11:25 PM,06:21 AM,06:03 PM,17,24,24,23,11,17,71,0.0,1013,30,8,51,7,"nalanda,bihar"
2009-01-04,29,19,0.0,10.2,6,52,11:41 AM,No moonset,06:21 AM,06:03 PM,19,25,25,24,12,41,79,0.0,1012,29,7,54,8,"nalanda,bihar"
2009-01-05,29,19,0.0,10.2,6,60,12:24 PM,12:14 AM,06:22 AM,06:04 PM,19,25,25,23,13,54,79,0.2,1010,29,7,56,9,"nalanda,bihar"
2009-01-06,27,19,0.0,10.2,6,67,01:14 PM,01:07 AM,06:22 AM,06:04 PM,21,25,25,23,9,52,87,1.9,1011,27,7,68,6,"nalanda,bihar"
2009-01-07,28,20,0.0,11.6,6,74,02:08 PM,02:04 AM,06:22 AM,06:05 PM,21,25,25,23,11,42,85,2.0,1012,28,8,83,7,"nalanda,bihar"
2009-01-08,29,19,0.0,11.6,6,82,03:09 PM,03:07 AM,06:23 AM,06:05 PM,20,25,25,23,16,46,83,1.2,1013,29,8,74,11,"nalanda,bihar"
2009-01-09,26,22,0.0,5.9,5,89,04:14 PM,04:13 AM,06:23 AM,06:06 PM,21,25,25,23,16,78,91,8.8,1013,26,7,55,11,"nalanda,bihar"
2009-01-10,24,20,0.0,7.3,5,96,05:22 PM,05:20 AM,06:23 AM,06:06 PM,21,24,24,22,17,72,94,15.5,1013,24,6,63,11,"nalanda,bihar"
