date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,22,9,0.0,8.7,4,31,10:11 AM,09:57 PM,07:14 AM,05:36 PM,4,15,15,15,17,5,50,0.0,1016,22,10,312,11,"new+delhi,delhi"
2009-01-02,22,5,0.0,8.7,4,38,10:40 AM,10:52 PM,07:14 AM,05:37 PM,8,17,17,17,7,3,59,0.0,1017,22,10,289,4,"new+delhi,delhi"
2009-01-03,22,6,0.0,8.7,4,45,11:09 AM,11:49 PM,07:15 AM,05:37 PM,7,16,16,16,9,9,55,0.0,1017,22,10,99,5,"new+delhi,delhi"
2009-01-04,20,8,0.0,8.7,4,52,11:40 AM,No moonset,07:15 AM,05:38 PM,4,15,16,15,11,23,48,0.0,1015,20,10,85,6,"new+delhi,delhi"
2009-01-05,22,11,0.0,8.7,4,60,12:14 PM,12:48 AM,07:15 AM,05:39 PM,8,16,17,16,11,12,61,0.0,1015,22,10,159,6,"new+delhi,delhi"
2009-01-06,22,8,0.0,8.7,4,67,12:53 PM,01:52 AM,07:15 AM,05:40 PM,9,16,17,16,10,4,65,0.0,1015,22,10,160,6,"new+delhi,delhi"
2009-01-07,21,7,0.0,8.7,4,74,01:39 PM,02:59 AM,07:15 AM,05:40 PM,7,17,17,17,13,2,56,0.0,1018,21,10,298,8,"new+delhi,delhi"
2009-01-08,22,5,0.0,8.7,4,82,02:34 PM,04:09 AM,07:15 AM,05:41 PM,7,17,17,17,9,0,57,0.0,1021,22,10,273,6,"new+delhi,delhi"
2009-01-09,20,3,0.0,8.7,4,89,03:38 PM,05:18 AM,07:15 AM,05:42 PM,3,14,14,14,10,15,50,0.0,1021,20,10,202,5,"new+delhi,delhi"
2009-01-10,22,11,0.0,8.7,5,96,04:49 PM,06:23 AM,07:15 AM,05:43 PM,7,17,17,17,13,8,53,0.0,1020,22,10,294,8,"new+delhi,delhi"
