date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,29,15,0.0,8.7,6,31,10:00 AM,09:58 PM,06:50 AM,05:52 PM,10,24,24,24,14,1,45,0.0,1014,29,10,120,8,"nizamabad,andhra+pradesh"
2009-01-02,29,16,0.0,8.7,6,38,10:33 AM,10:49 PM,06:50 AM,05:53 PM,11,23,23,23,14,3,47,0.0,1015,29,10,110,8,"nizamabad,andhra+pradesh"
2009-01-03,29,16,0.0,8.7,6,45,11:08 AM,11:40 PM,06:51 AM,05:54 PM,13,23,23,23,12,5,54,0.0,1015,29,10,120,7,"nizamabad,andhra+pradesh"
2009-01-04,29,16,0.0,8.7,6,52,11:44 AM,No moonset,06:51 AM,05:54 PM,14,24,24,24,11,4,57,0.0,1014,29,10,142,6,"nizamabad,andhra+pradesh"
2009-01-05,30,16,0.0,8.7,6,60,12:23 PM,12:34 AM,06:51 AM,05:55 PM,11,24,24,24,14,4,47,0.0,1012,30,10,167,8,"nizamabad,andhra+pradesh"
2009-01-06,29,18,0.0,8.7,6,67,01:07 PM,01:33 AM,06:52 AM,05:55 PM,12,24,24,24,17,7,48,0.0,1012,29,10,161,10,"nizamabad,andhra+pradesh"
2009-01-07,30,19,0.0,8.7,6,74,01:57 PM,02:34 AM,06:52 AM,05:56 PM,11,24,24,24,22,4,47,0.0,1013,30,10,140,14,"nizamabad,andhra+pradesh"
2009-01-08,30,17,0.0,8.7,6,82,02:55 PM,03:41 AM,06:52 AM,05:57 PM,11,24,24,24,21,1,49,0.0,1016,30,10,135,13,"nizamabad,andhra+pradesh"
2009-01-09,30,17,0.0,8.7,6,89,04:00 PM,04:48 AM,06:52 AM,05:57 PM,14,25,25,24,17,15,53,0.0,1017,30,10,137,11,"nizamabad,andhra+pradesh"
2009-01-10,30,21,0.0,8.7,6,96,05:10 PM,05:54 AM,06:52 AM,05:58 PM,12,26,26,25,17,14,47,0.0,1016,30,10,135,11,"nizamabad,andhra+pradesh"
2009-01-11,31,19,0.0,8.7,6,100,06:19 PM,06:55 AM,06:53 AM,05:58 PM,13,25,25,25,18,5,49,0.0,1016,31,10,142,10,"nizamabad,andhra+pradesh"
2009-01-12,30,19,0.0,8.7,6,89,07:26 PM,07:49 AM,06:53 AM,05:59 PM,12,26,26,25,15,6,47,0.0,1018,30,10,133,9,"nizamabad,andhra+pradesh"
2009-01-13,30,19,0.0,11.5,6,82,08:28 PM,08:35 AM,06:53 AM,06:00 PM,12,25,25,24,20,7,50,0.0,1019,30,10,125,13,"nizamabad,andhra+pradesh"
2009-01-14,30,18,0.0,11.5,6,75,09:27 PM,09:18 AM,06:53 AM,06:00 PM,11,25,25,25,17,4,43,0.0,1019,30,10,100,11,"nizamabad,andhra+pradesh"
2009-01-15,30,17,0.0,11.5,6,68,10:22 PM,09:56 AM,06:53 AM,06:01 PM,11,25,25,24,16,5,45,0.0,1018,30,10,108,10,"nizamabad,andhra+pradesh"
2009-01-16,30,17,0.0,11.5,6,60,11:16 PM,10:33 AM,06:53 AM,06:02 PM,12,25,25,25,14,4,46,0.0,1018,30,10,109,8,"nizamabad,andhra+pradesh"
2009-01-17,30,17,0.0,11.5,6,53,No moonrise,11:10 AM,06:53 AM,06:02 PM,11,25,25,25,13,1,46,0.0,1016,30,10,105,8,"nizamabad,andhra+pradesh"
2009-01-18,31,16,0.0,11.5,6,46,12:09 AM,11:47 AM,06:53 AM,06:03 PM,10,26,26,25,14,0,39,0.0,1015,31,10,109,9,"nizamabad,andhra+pradesh"
2009-01-19,31,17,0.0,11.5,6,38,01:02 AM,12:26 PM,06:53 AM,06:03 PM,8,25,25,25,16,1,36,0.0,1015,31,10,99,10,"nizamabad,andhra+pradesh"
2009-01-20,32,16,0.0,11.5,6,31,01:55 AM,01:09 PM,06:53 AM,06:04 PM,9,26,26,26,12,0,37,0.0,1014,32,10,99,8,"nizamabad,andhra+pradesh"
2009-01-21,31,16,0.0,11.5,6,24,02:48 AM,01:54 PM,06:53 AM,06:05 PM,10,26,26,26,11,0,38,0.0,1014,31,10,95,7,"nizamabad,andhra+pradesh"
2009-01-22,31,15,0.0,11.5,6,17,03:41 AM,02:43 PM,06:53 AM,06:05 PM,8,25,25,26,10,0,34,0.0,1013,31,10,77,6,"nizamabad,andhra+pradesh"
2009-01-23,32,15,0.0,11.5,6,9,04:32 AM,03:35 PM,06:53 AM,06:06 PM,4,24,24,25,13,0,27,0.0,1012,32,10,86,8,"nizamabad,andhra+pradesh"
2009-01-24,33,16,0.0,11.5,6,2,05:21 AM,04:27 PM,06:53 AM,06:06 PM,7,26,26,27,13,0,30,0.0,1012,33,10,110,8,"nizamabad,andhra+pradesh"
2009-01-25,34,17,0.0,11.5,7,0,06:05 AM,05:21 PM,06:53 AM,06:07 PM,9,27,27,27,14,6,36,0.0,1012,34,10,155,8,"nizamabad,andhra+pradesh"
2009-01-26,35,18,0.0,11.6,7,0,06:47 AM,06:13 PM,06:53 AM,06:08 PM,10,28,28,28,16,0,35,0.0,1012,35,10,164,9,"nizamabad,andhra+pradesh"
2009-01-27,34,19,0.0,11.6,7,5,07:25 AM,07:05 PM,06:52 AM,06:08 PM,9,28,28,28,14,0,33,0.0,1013,34,10,147,8,"nizamabad,andhra+pradesh"
2009-01-28,34,18,0.0,11.6,7,12,08:01 AM,07:56 PM,06:52 AM,06:09 PM,6,28,28,28,13,0,26,0.0,1012,34,10,163,7,"nizamabad,andhra+pradesh"
2009-01-29,34,18,0.0,11.6,7,20,08:35 AM,08:46 PM,06:52 AM,06:09 PM,7,27,27,27,14,6,29,0.0,1013,34,10,136,8,"nizamabad,andhra+pradesh"
2009-01-30,34,19,0.0,11.6,7,27,09:10 AM,09:37 PM,06:52 AM,06:10 PM,7,27,27,27,13,6,28,0.0,1012,34,10,126,7,"nizamabad,andhra+pradesh"
2009-01-31,35,19,0.0,11.6,7,31,09:45 AM,10:29 PM,06:51 AM,06:10 PM,10,29,29,29,10,3,33,0.0,1011,35,10,186,6,"nizamabad,andhra+pradesh"
2009-02-01,35,21,0.0,11.6,7,43,10:22 AM,11:25 PM,06:51 AM,06:11 PM,11,29,29,29,11,2,33,0.0,1012,35,10,213,7,"nizamabad,andhra+pradesh"
2009-02-02,34,19,0.0,11.6,7,50,11:03 AM,No moonset,06:51 AM,06:12 PM,9,29,29,29,11,0,31,0.0,1013,34,10,131,7,"nizamabad,andhra+pradesh"
