date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,29,16,0.0,10.9,6,31,10:32 AM,10:27 PM,07:27 AM,06:14 PM,-1,22,21,22,25,3,23,0.0,1014,29,10,37,14,"rajkot,gujarat"
2009-01-02,29,17,0.0,10.9,6,38,11:05 AM,11:19 PM,07:27 AM,06:15 PM,-1,22,21,22,19,2,22,0.0,1014,29,10,34,11,"rajkot,gujarat"
2009-01-03,30,17,0.0,10.9,6,45,11:37 AM,No moonset,07:27 AM,06:16 PM,3,23,22,23,15,0,29,0.0,1014,30,10,254,9,"rajkot,gujarat"
2009-01-04,29,16,0.0,10.9,6,52,12:11 PM,12:12 AM,07:28 AM,06:16 PM,13,23,23,23,16,1,59,0.0,1014,29,10,314,9,"rajkot,gujarat"
2009-01-05,28,18,0.0,10.9,6,60,12:48 PM,01:09 AM,07:28 AM,06:17 PM,12,23,23,23,16,9,57,0.0,1012,28,10,246,10,"rajkot,gujarat"
2009-01-06,27,17,0.0,10.9,6,67,01:31 PM,02:08 AM,07:28 AM,06:18 PM,4,22,21,22,18,7,33,0.0,1012,27,10,31,10,"rajkot,gujarat"
2009-01-07,27,16,0.0,10.9,6,74,02:20 PM,03:12 AM,07:28 AM,06:18 PM,1,21,21,21,28,6,27,0.0,1015,27,10,33,17,"rajkot,gujarat"
2009-01-08,27,16,0.0,10.9,6,82,03:17 PM,04:20 AM,07:28 AM,06:19 PM,0,21,20,21,30,3,26,0.0,1016,27,10,35,19,"rajkot,gujarat"
2009-01-09,27,16,0.0,10.9,6,89,04:22 PM,05:28 AM,07:29 AM,06:20 PM,7,21,21,21,28,2,41,0.0,1017,27,10,20,18,"rajkot,gujarat"
2009-01-10,28,16,0.0,10.9,6,96,05:32 PM,06:33 AM,07:29 AM,06:20 PM,4,21,21,21,28,0,35,0.0,1017,28,10,21,17,"rajkot,gujarat"
2009-01-11,29,16,0.0,10.9,6,100,06:43 PM,07:33 AM,07:29 AM,06:21 PM,7,22,22,22,28,3,38,0.0,1016,29,10,18,17,"rajkot,gujarat"
2009-01-12,29,18,0.0,10.9,6,89,07:51 PM,08:25 AM,07:29 AM,06:22 PM,5,23,23,23,24,10,33,0.0,1017,29,10,16,15,"rajkot,gujarat"
2009-01-13,31,19,0.0,10.9,6,82,08:56 PM,09:10 AM,07:29 AM,06:22 PM,11,24,24,25,15,19,42,0.0,1018,31,10,43,9,"rajkot,gujarat"
2009-01-14,31,21,0.0,10.9,6,75,09:56 PM,09:50 AM,07:29 AM,06:23 PM,11,26,26,25,15,15,42,0.0,1018,31,10,59,8,"rajkot,gujarat"
2009-01-15,31,20,0.0,11.0,7,68,10:54 PM,10:26 AM,07:29 AM,06:24 PM,12,26,26,26,14,18,44,0.0,1017,31,10,130,8,"rajkot,gujarat"
2009-01-16,32,20,0.0,11.0,7,60,11:49 PM,11:02 AM,07:29 AM,06:24 PM,12,26,26,26,17,23,44,0.0,1017,32,10,234,11,"rajkot,gujarat"
2009-01-17,30,20,0.0,11.0,6,53,No moonrise,11:36 AM,07:29 AM,06:25 PM,10,24,24,24,19,14,41,0.0,1016,30,10,226,13,"rajkot,gujarat"
2009-01-18,29,19,0.0,11.0,6,46,12:44 AM,12:12 PM,07:29 AM,06:26 PM,10,23,23,23,22,8,45,0.0,1015,29,10,52,13,"rajkot,gujarat"
2009-01-19,30,18,0.0,11.0,6,38,01:38 AM,12:50 PM,07:29 AM,06:27 PM,8,23,23,23,24,4,39,0.0,1015,30,10,31,15,"rajkot,gujarat"
2009-01-20,29,19,0.0,11.0,6,31,02:32 AM,01:31 PM,07:29 AM,06:27 PM,8,24,24,24,21,13,37,0.0,1015,29,10,42,13,"rajkot,gujarat"
2009-01-21,25,21,0.0,11.0,6,24,03:27 AM,02:16 PM,07:29 AM,06:28 PM,7,23,23,22,23,16,38,0.0,1015,25,10,38,14,"rajkot,gujarat"
2009-01-22,32,18,0.0,11.0,6,17,04:20 AM,03:05 PM,07:29 AM,06:29 PM,5,24,24,25,19,11,29,0.0,1013,32,10,79,10,"rajkot,gujarat"
