date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,22,7,0.0,8.7,4,31,10:13 AM,09:59 PM,07:16 AM,05:39 PM,4,13,14,13,14,2,54,0.0,1017,22,10,319,8,"rewari,haryana"
2009-01-02,22,5,0.0,8.7,4,38,10:42 AM,10:55 PM,07:16 AM,05:40 PM,6,15,15,15,5,2,59,0.0,1017,22,10,192,3,"rewari,haryana"
2009-01-03,22,5,0.0,8.7,4,45,11:12 AM,11:51 PM,07:16 AM,05:41 PM,5,15,15,15,11,5,54,0.0,1017,22,10,125,6,"rewari,haryana"
2009-01-04,20,7,0.0,8.7,4,52,11:43 AM,No moonset,07:16 AM,05:41 PM,5,15,15,15,13,27,51,0.0,1015,20,10,89,7,"rewari,haryana"
2009-01-05,21,9,0.0,8.7,4,60,12:17 PM,12:50 AM,07:16 AM,05:42 PM,7,15,15,15,10,10,64,0.0,1014,21,10,34,6,"rewari,haryana"
2009-01-06,21,7,0.0,8.7,4,67,12:56 PM,01:53 AM,07:17 AM,05:43 PM,8,15,15,15,11,3,68,0.0,1016,21,10,43,6,"rewari,haryana"
2009-01-07,21,5,0.0,8.7,4,74,01:43 PM,03:00 AM,07:17 AM,05:44 PM,6,14,15,14,14,2,58,0.0,1019,21,10,140,7,"rewari,haryana"
2009-01-08,21,3,0.0,8.7,4,82,02:37 PM,04:10 AM,07:17 AM,05:44 PM,5,14,14,14,9,0,61,0.0,1022,21,10,218,5,"rewari,haryana"
2009-01-09,19,2,0.0,8.7,4,89,03:42 PM,05:20 AM,07:17 AM,05:45 PM,2,12,12,12,8,14,53,0.0,1021,19,10,145,4,"rewari,haryana"
2009-01-10,21,8,0.0,8.7,4,96,04:53 PM,06:24 AM,07:17 AM,05:46 PM,5,14,14,14,14,10,57,0.0,1021,21,10,298,8,"rewari,haryana"
2009-01-11,21,5,0.0,8.7,4,100,06:06 PM,07:22 AM,07:17 AM,05:47 PM,4,13,13,13,12,11,59,0.0,1020,21,10,277,7,"rewari,haryana"
2009-01-12,21,5,0.0,8.7,4,89,07:18 PM,08:11 AM,07:17 AM,05:47 PM,3,12,13,12,12,5,55,0.0,1022,21,10,214,6,"rewari,haryana"
2009-01-13,21,5,0.0,8.7,4,82,08:26 PM,08:53 AM,07:17 AM,05:48 PM,5,13,13,13,10,24,58,0.0,1023,21,10,111,5,"rewari,haryana"
2009-01-14,23,7,0.0,8.7,4,75,09:30 PM,09:30 AM,07:17 AM,05:49 PM,5,14,14,14,11,9,58,0.0,1022,23,10,287,6,"rewari,haryana"
2009-01-15,23,6,0.0,8.7,4,68,10:30 PM,10:03 AM,07:17 AM,05:50 PM,4,15,15,15,9,9,50,0.0,1021,23,10,251,5,"rewari,haryana"
2009-01-16,25,12,0.0,8.7,5,60,11:30 PM,10:35 AM,07:17 AM,05:51 PM,6,18,18,18,11,16,47,0.0,1020,25,10,112,6,"rewari,haryana"
2009-01-17,21,12,0.0,8.7,5,53,No moonrise,11:07 AM,07:16 AM,05:51 PM,10,16,17,16,11,29,66,0.0,1018,21,10,141,6,"rewari,haryana"
2009-01-18,24,12,0.0,8.7,5,46,12:27 AM,11:40 AM,07:16 AM,05:52 PM,13,17,18,17,11,30,77,0.0,1016,24,10,155,6,"rewari,haryana"
2009-01-19,22,12,0.0,8.7,5,38,01:24 AM,12:14 PM,07:16 AM,05:53 PM,10,16,17,16,21,12,70,0.0,1018,22,9,311,12,"rewari,haryana"
2009-01-20,21,8,0.0,8.7,4,31,02:21 AM,12:54 PM,07:16 AM,05:54 PM,6,13,14,13,22,14,63,0.0,1018,21,10,303,13,"rewari,haryana"
2009-01-21,20,9,0.0,8.7,4,24,03:18 AM,01:37 PM,07:16 AM,05:55 PM,2,13,14,13,24,29,44,0.0,1016,20,10,301,13,"rewari,haryana"
2009-01-22,23,11,0.0,8.7,5,17,04:12 AM,02:25 PM,07:15 AM,05:55 PM,2,16,16,16,16,39,39,0.0,1015,23,10,308,9,"rewari,haryana"
2009-01-23,24,12,0.0,8.7,5,9,05:03 AM,03:17 PM,07:15 AM,05:56 PM,2,17,18,17,26,31,36,0.0,1015,24,10,309,14,"rewari,haryana"
2009-01-24,25,13,0.0,7.1,5,2,05:50 AM,04:11 PM,07:15 AM,05:57 PM,5,18,18,18,22,37,44,0.0,1012,25,10,295,12,"rewari,haryana"
2009-01-25,28,13,0.0,8.7,5,0,06:32 AM,05:08 PM,07:14 AM,05:58 PM,9,19,19,19,11,13,54,0.0,1011,28,10,212,6,"rewari,haryana"
2009-01-26,26,12,0.0,8.7,5,0,07:10 AM,06:04 PM,07:14 AM,05:59 PM,9,19,19,19,14,5,54,0.0,1012,26,10,241,8,"rewari,haryana"
2009-01-27,23,9,0.0,8.7,5,5,07:45 AM,07:00 PM,07:14 AM,05:59 PM,10,18,18,18,15,0,61,0.0,1014,23,10,305,8,"rewari,haryana"
2009-01-28,23,8,0.0,10.9,4,12,08:16 AM,07:55 PM,07:13 AM,06:00 PM,10,16,17,16,14,0,68,0.0,1015,23,10,307,9,"rewari,haryana"
