date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,25,11,0.0,8.7,5,31,09:31 AM,09:22 PM,06:29 AM,05:08 PM,9,20,20,20,10,1,51,0.0,1015,25,10,222,5,"saran,bihar"
2009-01-02,25,11,0.0,8.7,5,38,10:02 AM,10:14 PM,06:29 AM,05:09 PM,9,20,20,20,12,0,52,0.0,1017,25,10,201,7,"saran,bihar"
2009-01-03,25,10,0.0,8.7,5,45,10:33 AM,11:09 PM,06:29 AM,05:09 PM,9,20,20,20,8,0,52,0.0,1017,25,10,217,4,"saran,bihar"
2009-01-04,25,10,0.0,8.7,5,52,11:06 AM,No moonset,06:29 AM,05:10 PM,8,20,20,20,6,1,46,0.0,1015,25,10,161,3,"saran,bihar"
2009-01-05,26,11,0.0,8.7,5,60,11:42 AM,12:06 AM,06:30 AM,05:11 PM,6,20,19,20,8,4,44,0.0,1013,26,10,143,4,"saran,bihar"
2009-01-06,27,13,0.0,8.7,5,67,12:23 PM,01:07 AM,06:30 AM,05:12 PM,9,21,21,21,8,23,48,0.0,1014,27,10,160,5,"saran,bihar"
2009-01-07,26,18,0.0,8.7,6,74,01:11 PM,02:12 AM,06:30 AM,05:12 PM,12,21,22,21,14,33,55,0.1,1016,26,10,109,9,"saran,bihar"
2009-01-08,26,17,0.0,8.7,6,82,02:07 PM,03:20 AM,06:30 AM,05:13 PM,14,21,22,21,9,39,64,0.2,1018,26,10,92,5,"saran,bihar"
2009-01-09,28,16,0.0,8.7,6,89,03:11 PM,04:29 AM,06:30 AM,05:14 PM,13,23,23,23,8,24,58,0.2,1019,28,10,111,5,"saran,bihar"
2009-01-10,27,16,0.0,8.7,6,96,04:21 PM,05:35 AM,06:30 AM,05:14 PM,12,22,22,22,12,16,56,0.0,1018,27,10,141,7,"saran,bihar"
2009-01-11,26,15,0.0,8.7,5,100,05:33 PM,06:33 AM,06:30 AM,05:15 PM,11,21,21,21,12,14,56,0.0,1018,26,10,314,7,"saran,bihar"
2009-01-12,26,14,0.0,8.7,5,89,06:43 PM,07:25 AM,06:30 AM,05:16 PM,12,21,22,21,13,0,58,0.0,1020,26,10,321,8,"saran,bihar"
2009-01-13,25,12,0.0,8.7,5,82,07:49 PM,08:09 AM,06:30 AM,05:17 PM,8,21,21,21,10,0,49,0.0,1021,25,10,326,6,"saran,bihar"
2009-01-14,26,12,0.0,8.7,5,75,08:51 PM,08:48 AM,06:30 AM,05:17 PM,7,21,21,21,14,0,43,0.0,1020,26,10,326,8,"saran,bihar"
2009-01-15,26,11,0.0,8.7,5,68,09:50 PM,09:23 AM,06:30 AM,05:18 PM,8,21,21,21,11,0,46,0.0,1020,26,10,329,6,"saran,bihar"
2009-01-16,26,12,0.0,8.7,5,60,10:46 PM,09:57 AM,06:30 AM,05:19 PM,9,21,21,21,10,0,48,0.0,1019,26,10,333,6,"saran,bihar"
2009-01-17,27,12,0.0,8.7,5,53,11:42 PM,10:30 AM,06:30 AM,05:20 PM,8,21,22,21,10,0,46,0.0,1017,27,10,286,6,"saran,bihar"
2009-01-18,28,12,0.0,8.7,5,46,No moonrise,11:05 AM,06:30 AM,05:20 PM,9,22,22,22,12,0,46,0.0,1016,28,10,300,7,"saran,bihar"
2009-01-19,28,15,0.0,8.7,6,38,12:37 AM,11:42 AM,06:30 AM,05:21 PM,11,22,22,22,23,0,52,0.0,1015,28,10,298,14,"saran,bihar"
2009-01-20,28,16,0.0,8.7,6,31,01:33 AM,12:22 PM,06:30 AM,05:22 PM,8,21,21,21,26,4,44,0.0,1014,28,10,295,16,"saran,bihar"
2009-01-21,27,14,0.0,8.7,5,24,02:28 AM,01:07 PM,06:30 AM,05:23 PM,5,19,19,19,18,9,41,0.0,1015,27,10,307,11,"saran,bihar"
2009-01-22,26,11,0.0,8.7,5,17,03:22 AM,01:55 PM,06:30 AM,05:23 PM,5,19,19,19,13,3,42,0.0,1014,26,10,302,8,"saran,bihar"
