date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,24,10,0.0,8.7,5,31,10:06 AM,09:57 PM,07:05 AM,05:41 PM,2,17,17,17,13,1,40,0.0,1017,24,10,72,7,"shivpuri,madhya+pradesh"
2009-01-02,24,9,0.0,8.7,5,38,10:37 AM,10:50 PM,07:06 AM,05:42 PM,2,17,17,17,13,2,40,0.0,1017,24,10,96,7,"shivpuri,madhya+pradesh"
2009-01-03,27,11,0.0,8.7,5,45,11:08 AM,11:46 PM,07:06 AM,05:42 PM,3,17,17,17,17,7,41,0.0,1016,27,10,146,9,"shivpuri,madhya+pradesh"
2009-01-04,27,13,0.0,8.7,5,52,11:41 AM,No moonset,07:06 AM,05:43 PM,6,19,19,19,15,2,44,0.0,1014,27,10,199,8,"shivpuri,madhya+pradesh"
2009-01-05,26,11,0.0,8.7,5,60,12:16 PM,12:43 AM,07:06 AM,05:44 PM,7,18,18,18,15,4,50,0.0,1013,26,10,67,8,"shivpuri,madhya+pradesh"
2009-01-06,24,13,0.0,8.7,5,67,12:57 PM,01:45 AM,07:07 AM,05:44 PM,5,17,17,17,21,18,47,0.0,1015,24,10,66,12,"shivpuri,madhya+pradesh"
2009-01-07,23,12,0.0,8.7,5,74,01:45 PM,02:50 AM,07:07 AM,05:45 PM,5,16,17,16,22,16,46,0.0,1017,23,10,57,13,"shivpuri,madhya+pradesh"
2009-01-08,21,12,0.0,8.7,5,82,02:40 PM,03:59 AM,07:07 AM,05:46 PM,5,15,16,15,22,40,52,0.1,1021,21,10,54,15,"shivpuri,madhya+pradesh"
2009-01-09,18,11,0.0,8.7,4,89,03:45 PM,05:08 AM,07:07 AM,05:47 PM,9,15,15,15,15,25,70,0.2,1021,18,10,83,9,"shivpuri,madhya+pradesh"
2009-01-10,23,13,0.0,8.7,5,96,04:55 PM,06:13 AM,07:07 AM,05:47 PM,13,18,18,18,16,35,76,2.0,1020,23,10,80,9,"shivpuri,madhya+pradesh"
2009-01-11,25,13,0.0,8.7,5,100,06:07 PM,07:12 AM,07:07 AM,05:48 PM,11,18,18,18,15,8,66,0.0,1020,25,10,67,8,"shivpuri,madhya+pradesh"
2009-01-12,24,13,0.0,8.7,5,89,07:18 PM,08:02 AM,07:07 AM,05:49 PM,6,18,18,18,17,27,46,0.0,1021,24,10,71,11,"shivpuri,madhya+pradesh"
2009-01-13,27,17,0.0,8.7,5,82,08:24 PM,08:45 AM,07:07 AM,05:49 PM,8,20,20,20,17,19,46,0.0,1021,27,10,88,10,"shivpuri,madhya+pradesh"
2009-01-14,27,14,0.0,8.7,6,75,09:27 PM,09:24 AM,07:07 AM,05:50 PM,11,21,21,21,12,21,54,0.0,1021,27,10,149,7,"shivpuri,madhya+pradesh"
2009-01-15,27,15,0.0,8.7,5,68,10:26 PM,09:59 AM,07:07 AM,05:51 PM,11,21,21,21,11,11,56,0.0,1020,27,10,66,6,"shivpuri,madhya+pradesh"
