date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,24,11,0.0,8.7,5,31,09:49 AM,09:38 PM,06:49 AM,05:21 PM,8,17,18,17,12,2,56,0.0,1015,24,10,283,7,"sultanpur,uttar+pradesh"
2009-01-02,24,8,0.0,8.7,5,38,10:19 AM,10:32 PM,06:50 AM,05:22 PM,6,18,18,18,11,2,50,0.0,1016,24,10,255,6,"sultanpur,uttar+pradesh"
2009-01-03,23,8,0.0,8.7,4,45,10:50 AM,11:28 PM,06:50 AM,05:23 PM,6,17,17,17,8,2,51,0.0,1016,23,10,177,5,"sultanpur,uttar+pradesh"
2009-01-04,24,7,0.0,8.7,4,52,11:22 AM,No moonset,06:50 AM,05:24 PM,6,17,17,17,9,3,49,0.0,1014,24,10,100,5,"sultanpur,uttar+pradesh"
2009-01-05,25,9,0.0,8.7,5,60,11:57 AM,12:25 AM,06:50 AM,05:24 PM,4,17,17,17,10,10,43,0.0,1013,25,10,81,6,"sultanpur,uttar+pradesh"
2009-01-06,23,11,0.0,8.7,5,67,12:37 PM,01:28 AM,06:50 AM,05:25 PM,4,17,17,17,13,13,43,0.0,1014,23,10,99,7,"sultanpur,uttar+pradesh"
2009-01-07,25,15,0.0,8.7,5,74,01:25 PM,02:33 AM,06:51 AM,05:26 PM,8,18,19,18,14,15,51,0.0,1016,25,10,104,9,"sultanpur,uttar+pradesh"
2009-01-08,25,13,0.0,8.7,5,82,02:20 PM,03:42 AM,06:51 AM,05:26 PM,13,19,19,19,13,23,69,0.5,1019,25,9,214,8,"sultanpur,uttar+pradesh"
2009-01-09,26,13,0.0,8.7,5,89,03:24 PM,04:51 AM,06:51 AM,05:27 PM,14,20,20,20,8,11,69,0.0,1019,26,10,164,5,"sultanpur,uttar+pradesh"
2009-01-10,24,15,0.0,8.7,5,96,04:34 PM,05:57 AM,06:51 AM,05:28 PM,12,19,19,19,13,9,64,0.0,1019,24,10,256,8,"sultanpur,uttar+pradesh"
2009-01-11,25,13,0.0,8.7,5,100,05:47 PM,06:55 AM,06:51 AM,05:29 PM,13,19,19,19,18,2,68,0.0,1018,25,10,291,10,"sultanpur,uttar+pradesh"
2009-01-12,25,11,0.0,8.7,5,89,06:58 PM,07:45 AM,06:51 AM,05:29 PM,9,18,18,18,14,0,58,0.0,1020,25,10,294,8,"sultanpur,uttar+pradesh"
2009-01-13,25,11,0.0,8.7,5,82,08:05 PM,08:28 AM,06:51 AM,05:30 PM,6,17,18,17,15,4,47,0.0,1021,25,10,314,8,"sultanpur,uttar+pradesh"
2009-01-14,26,12,0.0,8.7,5,75,09:08 PM,09:06 AM,06:51 AM,05:31 PM,8,18,18,18,13,8,54,0.0,1020,26,10,303,7,"sultanpur,uttar+pradesh"
2009-01-15,26,12,0.0,8.7,5,68,10:07 PM,09:41 AM,06:51 AM,05:32 PM,8,19,19,19,15,19,52,0.0,1019,26,10,305,9,"sultanpur,uttar+pradesh"
2009-01-16,26,11,0.0,8.7,5,60,11:05 PM,10:13 AM,06:51 AM,05:33 PM,6,18,18,18,14,12,48,0.0,1018,26,10,307,8,"sultanpur,uttar+pradesh"
2009-01-17,27,11,0.0,8.7,5,53,No moonrise,10:46 AM,06:51 AM,05:33 PM,8,19,19,19,15,9,51,0.0,1016,27,10,301,8,"sultanpur,uttar+pradesh"
2009-01-18,29,14,0.0,8.7,6,46,12:02 AM,11:20 AM,06:51 AM,05:34 PM,12,22,22,22,18,2,58,0.0,1015,29,10,293,10,"sultanpur,uttar+pradesh"
2009-01-19,29,16,0.0,8.7,6,38,12:58 AM,11:56 AM,06:50 AM,05:35 PM,10,22,22,22,26,1,50,0.0,1013,29,10,293,14,"sultanpur,uttar+pradesh"
2009-01-20,27,15,0.0,8.7,5,31,01:54 AM,12:36 PM,06:50 AM,05:36 PM,8,19,20,19,30,10,50,0.0,1013,27,10,279,17,"sultanpur,uttar+pradesh"
2009-01-21,24,12,0.0,8.7,5,24,02:50 AM,01:20 PM,06:50 AM,05:36 PM,6,17,17,17,23,19,48,0.0,1013,24,10,271,13,"sultanpur,uttar+pradesh"
2009-01-22,25,12,0.0,8.7,5,17,03:44 AM,02:07 PM,06:50 AM,05:37 PM,5,18,18,18,18,9,45,0.0,1013,25,10,273,10,"sultanpur,uttar+pradesh"
2009-01-23,27,12,0.0,8.7,5,9,04:35 AM,02:59 PM,06:50 AM,05:38 PM,6,19,19,19,23,6,44,0.0,1011,27,10,269,13,"sultanpur,uttar+pradesh"
2009-01-24,26,11,0.0,8.7,5,2,05:23 AM,03:54 PM,06:49 AM,05:39 PM,9,17,18,17,12,40,58,0.0,1011,26,10,249,7,"sultanpur,uttar+pradesh"
2009-01-25,28,14,0.0,8.7,5,0,06:05 AM,04:49 PM,06:49 AM,05:40 PM,12,20,20,20,7,21,64,0.0,1012,28,10,127,4,"sultanpur,uttar+pradesh"
2009-01-26,31,14,0.0,8.7,6,0,06:44 AM,05:45 PM,06:49 AM,05:40 PM,13,23,24,23,15,2,56,0.0,1010,31,10,283,9,"sultanpur,uttar+pradesh"
2009-01-27,30,15,0.0,8.7,6,5,07:20 AM,06:39 PM,06:48 AM,05:41 PM,11,23,23,23,19,1,48,0.0,1011,30,10,295,11,"sultanpur,uttar+pradesh"
2009-01-28,27,14,0.0,8.7,5,12,07:52 AM,07:34 PM,06:48 AM,05:42 PM,9,20,20,20,21,0,53,0.0,1012,27,10,291,13,"sultanpur,uttar+pradesh"
2009-01-29,26,11,0.0,8.7,5,20,08:23 AM,08:28 PM,06:48 AM,05:43 PM,9,18,18,18,16,17,56,0.0,1014,26,10,294,9,"sultanpur,uttar+pradesh"
2009-01-30,27,11,0.0,8.7,5,27,08:53 AM,09:23 PM,06:47 AM,05:43 PM,10,19,20,19,18,6,55,0.0,1013,27,10,302,10,"sultanpur,uttar+pradesh"
2009-01-31,27,13,0.0,8.7,5,31,09:25 AM,10:19 PM,06:47 AM,05:44 PM,8,19,19,19,24,0,50,0.0,1012,27,10,293,14,"sultanpur,uttar+pradesh"
2009-02-01,25,11,0.0,8.7,5,43,09:58 AM,11:19 PM,06:46 AM,05:45 PM,7,18,18,18,19,0,51,0.0,1014,25,10,289,11,"sultanpur,uttar+pradesh"
2009-02-02,26,10,0.0,8.7,5,50,10:35 AM,No moonset,06:46 AM,05:46 PM,9,18,18,18,14,0,56,0.0,1015,26,10,295,8,"sultanpur,uttar+pradesh"
2009-02-03,27,9,0.0,8.7,5,58,11:18 AM,12:21 AM,06:45 AM,05:46 PM,11,20,20,20,7,0,61,0.0,1014,27,10,289,4,"sultanpur,uttar+pradesh"
2009-02-04,28,10,0.0,8.7,5,66,12:07 PM,01:27 AM,06:45 AM,05:47 PM,12,21,21,21,6,0,59,0.0,1014,28,10,145,4,"sultanpur,uttar+pradesh"
2009-02-05,29,11,0.0,8.7,5,73,01:06 PM,02:33 AM,06:44 AM,05:48 PM,12,22,22,22,10,0,57,0.0,1014,29,10,95,6,"sultanpur,uttar+pradesh"
2009-02-06,30,11,0.0,8.7,5,81,02:11 PM,03:38 AM,06:43 AM,05:48 PM,13,23,23,23,7,0,57,0.0,1014,30,10,144,4,"sultanpur,uttar+pradesh"
2009-02-07,29,12,0.0,8.7,5,88,03:22 PM,04:38 AM,06:43 AM,05:49 PM,10,23,22,23,14,0,48,0.0,1013,29,10,245,8,"sultanpur,uttar+pradesh"
