date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,29,19,0.0,11.6,6,31,09:50 AM,09:58 PM,06:32 AM,06:02 PM,21,27,27,25,15,2,80,0.0,1013,29,9,117,11,"thanjavur,tamil+nadu"
2009-01-02,29,20,0.0,11.6,6,38,10:27 AM,10:44 PM,06:32 AM,06:03 PM,21,27,27,25,17,6,80,0.0,1013,29,9,128,11,"thanjavur,tamil+nadu"
2009-01-03,28,20,0.0,11.6,6,45,11:05 AM,11:33 PM,06:32 AM,06:03 PM,21,27,27,25,18,7,80,0.2,1014,28,8,83,12,"thanjavur,tamil+nadu"
2009-01-04,29,19,0.0,11.6,6,52,11:45 AM,No moonset,06:33 AM,06:04 PM,20,26,26,24,19,3,79,0.0,1013,29,9,113,12,"thanjavur,tamil+nadu"
2009-01-05,29,20,0.0,11.6,6,60,12:27 PM,12:23 AM,06:33 AM,06:04 PM,20,26,26,24,19,3,77,0.0,1012,29,9,115,12,"thanjavur,tamil+nadu"
2009-01-06,29,19,0.0,11.6,6,67,01:15 PM,01:17 AM,06:33 AM,06:05 PM,21,27,27,25,17,5,80,0.0,1012,29,8,118,11,"thanjavur,tamil+nadu"
2009-01-07,22,22,0.0,7.3,5,74,02:08 PM,02:16 AM,06:34 AM,06:05 PM,21,25,25,22,15,70,94,6.6,1013,22,6,227,10,"thanjavur,tamil+nadu"
2009-01-08,29,21,0.0,11.6,6,82,03:09 PM,03:20 AM,06:34 AM,06:06 PM,22,27,27,25,17,18,84,0.4,1014,29,8,76,11,"thanjavur,tamil+nadu"
2009-01-09,28,21,0.0,11.6,6,89,04:14 PM,04:26 AM,06:34 AM,06:06 PM,21,27,27,24,22,41,82,0.6,1015,28,8,70,14,"thanjavur,tamil+nadu"
2009-01-10,29,21,0.0,11.6,6,96,05:22 PM,05:33 AM,06:35 AM,06:07 PM,20,27,27,25,22,14,79,0.0,1015,29,9,73,15,"thanjavur,tamil+nadu"
2009-01-11,28,21,0.0,11.6,6,100,06:29 PM,06:35 AM,06:35 AM,06:08 PM,21,27,27,25,21,17,81,0.2,1015,28,8,77,14,"thanjavur,tamil+nadu"
2009-01-12,29,21,0.0,11.6,6,89,07:32 PM,07:32 AM,06:35 AM,06:08 PM,20,26,26,24,22,9,78,0.0,1016,29,9,113,15,"thanjavur,tamil+nadu"
2009-01-13,29,20,0.0,11.6,6,82,08:30 PM,08:23 AM,06:35 AM,06:09 PM,20,26,26,24,23,4,77,0.0,1017,29,10,70,16,"thanjavur,tamil+nadu"
2009-01-14,29,21,0.0,11.6,6,75,09:25 PM,09:09 AM,06:36 AM,06:09 PM,19,27,27,25,25,19,75,0.1,1017,29,10,76,16,"thanjavur,tamil+nadu"
2009-01-15,26,21,0.0,8.7,5,68,10:17 PM,09:52 AM,06:36 AM,06:10 PM,21,26,26,23,25,57,88,5.5,1017,26,10,24,16,"thanjavur,tamil+nadu"
2009-01-16,28,20,0.0,11.6,6,60,11:07 PM,10:32 AM,06:36 AM,06:10 PM,20,26,26,24,22,14,81,0.0,1016,28,9,76,15,"thanjavur,tamil+nadu"
2009-01-17,28,21,0.0,11.6,6,53,11:56 PM,11:12 AM,06:36 AM,06:11 PM,21,26,26,24,19,21,82,0.1,1015,28,8,117,13,"thanjavur,tamil+nadu"
2009-01-18,28,20,0.0,11.6,6,46,No moonrise,11:53 AM,06:36 AM,06:11 PM,20,26,26,24,19,27,83,0.3,1014,28,8,110,13,"thanjavur,tamil+nadu"
