date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,28,13,0.0,11.6,6,31,10:00 AM,10:05 PM,06:44 AM,06:06 PM,13,23,23,23,13,1,59,0.0,1014,28,9,86,8,"tumkur,karnataka"
2009-01-02,28,15,0.0,11.6,6,38,10:36 AM,10:53 PM,06:45 AM,06:06 PM,14,22,22,22,13,25,66,0.0,1014,28,9,94,8,"tumkur,karnataka"
2009-01-03,26,16,0.0,11.6,6,45,11:13 AM,11:42 PM,06:45 AM,06:07 PM,15,21,22,21,12,33,68,0.0,1015,26,9,92,8,"tumkur,karnataka"
2009-01-04,27,16,0.0,11.6,6,52,11:52 AM,No moonset,06:45 AM,06:08 PM,14,22,22,22,13,23,63,0.0,1014,27,10,80,8,"tumkur,karnataka"
2009-01-05,28,16,0.0,11.6,6,60,12:33 PM,12:33 AM,06:46 AM,06:08 PM,14,23,23,23,11,13,63,0.0,1013,28,9,101,7,"tumkur,karnataka"
2009-01-06,28,15,0.0,11.6,6,67,01:20 PM,01:29 AM,06:46 AM,06:09 PM,12,23,23,23,13,3,56,0.0,1013,28,10,109,8,"tumkur,karnataka"
2009-01-07,27,15,0.0,11.6,6,74,02:12 PM,02:29 AM,06:46 AM,06:09 PM,14,22,22,22,13,24,66,0.0,1014,27,10,125,9,"tumkur,karnataka"
2009-01-08,26,20,0.0,8.7,6,82,03:12 PM,03:34 AM,06:47 AM,06:10 PM,18,21,22,21,15,65,80,1.3,1016,26,10,111,10,"tumkur,karnataka"
2009-01-09,29,18,0.0,11.6,6,89,04:17 PM,04:40 AM,06:47 AM,06:10 PM,16,24,24,23,15,34,67,0.0,1016,29,10,97,11,"tumkur,karnataka"
2009-01-10,28,17,0.0,11.6,6,96,05:26 PM,05:47 AM,06:47 AM,06:11 PM,14,23,23,22,18,16,60,0.0,1016,28,10,92,13,"tumkur,karnataka"
2009-01-11,28,16,0.0,11.6,6,100,06:33 PM,06:48 AM,06:47 AM,06:11 PM,15,22,23,22,15,13,64,0.0,1016,28,10,90,11,"tumkur,karnataka"
2009-01-12,28,16,0.0,11.6,6,89,07:38 PM,07:45 AM,06:48 AM,06:12 PM,13,22,23,22,18,4,58,0.0,1018,28,10,78,13,"tumkur,karnataka"
2009-01-13,27,14,0.0,11.6,6,82,08:37 PM,08:34 AM,06:48 AM,06:13 PM,12,21,21,21,23,5,60,0.0,1018,27,10,84,16,"tumkur,karnataka"
