date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,30,17,0.0,10.9,6,31,10:22 AM,10:17 PM,07:17 AM,06:05 PM,3,22,22,22,26,2,30,0.0,1014,30,10,40,15,"vadodara,gujarat"
2009-01-02,30,16,0.0,10.9,6,38,10:55 AM,11:09 PM,07:17 AM,06:05 PM,5,22,22,22,16,9,34,0.0,1014,30,10,54,9,"vadodara,gujarat"
2009-01-03,31,16,0.0,10.9,6,45,11:27 AM,No moonset,07:18 AM,06:06 PM,9,26,26,25,12,0,37,0.0,1014,31,10,159,7,"vadodara,gujarat"
2009-01-04,29,15,0.0,10.9,6,52,12:01 PM,12:02 AM,07:18 AM,06:07 PM,9,24,24,24,10,0,39,0.0,1014,29,10,198,6,"vadodara,gujarat"
2009-01-05,28,15,0.0,10.9,6,60,12:38 PM,12:58 AM,07:18 AM,06:07 PM,12,24,25,24,12,7,49,0.0,1012,28,10,207,7,"vadodara,gujarat"
2009-01-06,28,17,0.0,10.9,6,67,01:21 PM,01:58 AM,07:18 AM,06:08 PM,6,22,22,22,19,4,37,0.0,1012,28,10,141,11,"vadodara,gujarat"
2009-01-07,28,15,0.0,10.9,6,74,02:10 PM,03:02 AM,07:19 AM,06:09 PM,3,21,21,21,25,3,31,0.0,1015,28,10,34,14,"vadodara,gujarat"
2009-01-08,28,16,0.0,10.9,6,82,03:07 PM,04:09 AM,07:19 AM,06:09 PM,8,21,22,21,27,6,44,0.0,1016,28,10,30,17,"vadodara,gujarat"
2009-01-09,30,19,0.0,10.9,6,89,04:12 PM,05:18 AM,07:19 AM,06:10 PM,12,24,24,24,21,8,50,0.0,1016,30,10,170,13,"vadodara,gujarat"
2009-01-10,30,19,0.0,10.9,6,96,05:22 PM,06:23 AM,07:19 AM,06:11 PM,14,25,25,24,20,9,53,0.0,1016,30,10,146,12,"vadodara,gujarat"
2009-01-11,32,19,0.0,10.9,6,100,06:32 PM,07:23 AM,07:19 AM,06:11 PM,14,26,26,25,18,5,49,0.0,1015,32,10,73,11,"vadodara,gujarat"
2009-01-12,32,20,0.0,10.9,6,89,07:41 PM,08:15 AM,07:19 AM,06:12 PM,14,27,27,26,13,4,47,0.0,1016,32,10,162,8,"vadodara,gujarat"
2009-01-13,32,20,0.0,10.9,7,82,08:46 PM,09:00 AM,07:19 AM,06:13 PM,13,27,27,26,17,11,44,0.0,1018,32,10,58,9,"vadodara,gujarat"
2009-01-14,33,24,0.0,10.9,7,75,09:46 PM,09:40 AM,07:19 AM,06:13 PM,12,28,28,28,15,11,38,0.0,1018,33,10,159,9,"vadodara,gujarat"
2009-01-15,32,22,0.0,11.0,7,68,10:43 PM,10:16 AM,07:19 AM,06:14 PM,12,27,27,27,15,10,41,0.0,1017,32,10,141,9,"vadodara,gujarat"
2009-01-16,33,20,0.0,11.0,7,60,11:39 PM,10:52 AM,07:19 AM,06:15 PM,11,27,27,27,11,11,38,0.0,1017,33,10,147,7,"vadodara,gujarat"
2009-01-17,32,20,0.0,11.0,7,53,No moonrise,11:27 AM,07:19 AM,06:16 PM,10,27,27,27,11,15,37,0.0,1015,32,10,221,6,"vadodara,gujarat"
2009-01-18,31,19,0.0,11.0,6,46,12:33 AM,12:02 PM,07:19 AM,06:16 PM,11,26,26,25,17,6,41,0.0,1015,31,10,248,10,"vadodara,gujarat"
2009-01-19,32,20,0.0,11.0,6,38,01:28 AM,12:40 PM,07:19 AM,06:17 PM,9,25,25,25,21,4,38,0.0,1015,32,10,67,12,"vadodara,gujarat"
2009-01-20,31,20,0.0,10.1,6,31,02:22 AM,01:21 PM,07:19 AM,06:18 PM,10,25,25,25,20,25,39,0.0,1015,31,10,42,12,"vadodara,gujarat"
2009-01-21,31,21,0.0,11.0,6,24,03:17 AM,02:06 PM,07:19 AM,06:18 PM,9,25,25,25,22,11,37,0.0,1015,31,10,33,13,"vadodara,gujarat"
2009-01-22,32,20,0.0,11.0,7,17,04:10 AM,02:55 PM,07:19 AM,06:19 PM,7,26,26,26,17,19,31,0.0,1014,32,10,123,9,"vadodara,gujarat"
2009-01-23,34,19,0.0,11.0,7,9,05:01 AM,03:47 PM,07:19 AM,06:20 PM,4,25,25,26,22,19,26,0.0,1012,34,10,51,12,"vadodara,gujarat"
2009-01-24,34,20,0.0,11.0,7,2,05:49 AM,04:40 PM,07:18 AM,06:20 PM,4,26,26,26,18,39,25,0.0,1011,34,10,145,10,"vadodara,gujarat"
2009-01-25,31,19,0.0,11.0,6,0,06:33 AM,05:34 PM,07:18 AM,06:21 PM,11,27,27,26,12,3,39,0.0,1012,31,10,298,7,"vadodara,gujarat"
2009-01-26,30,17,0.0,11.0,6,0,07:14 AM,06:28 PM,07:18 AM,06:22 PM,10,25,25,25,15,0,40,0.0,1013,30,10,331,10,"vadodara,gujarat"
2009-01-27,30,16,0.0,11.0,6,5,07:50 AM,07:21 PM,07:18 AM,06:22 PM,5,24,24,25,16,0,30,0.0,1014,30,10,133,10,"vadodara,gujarat"
2009-01-28,32,17,0.0,11.1,6,12,08:24 AM,08:13 PM,07:17 AM,06:23 PM,3,24,24,25,19,0,26,0.0,1013,32,10,107,11,"vadodara,gujarat"
2009-01-29,32,17,0.0,11.1,6,20,08:57 AM,09:06 PM,07:17 AM,06:24 PM,1,23,23,24,19,19,22,0.0,1013,32,10,133,10,"vadodara,gujarat"
2009-01-30,32,18,0.0,11.1,6,27,09:30 AM,09:58 PM,07:17 AM,06:24 PM,-0,24,24,25,23,6,20,0.0,1014,32,10,194,13,"vadodara,gujarat"
2009-01-31,32,17,0.0,11.1,6,31,10:03 AM,10:53 PM,07:17 AM,06:25 PM,2,24,24,24,20,0,24,0.0,1013,32,10,106,12,"vadodara,gujarat"
2009-02-01,32,16,0.0,11.1,6,43,10:38 AM,11:50 PM,07:16 AM,06:26 PM,5,25,25,26,15,0,28,0.0,1013,32,10,182,9,"vadodara,gujarat"
2009-02-02,32,16,0.0,11.1,6,50,11:18 AM,No moonset,07:16 AM,06:26 PM,5,26,26,27,11,0,26,0.0,1014,32,10,230,6,"vadodara,gujarat"
2009-02-03,31,15,0.0,11.1,6,58,12:02 PM,12:51 AM,07:15 AM,06:27 PM,4,25,25,25,12,0,26,0.0,1014,31,10,289,7,"vadodara,gujarat"
2009-02-04,32,16,0.0,11.1,6,66,12:54 PM,01:54 AM,07:15 AM,06:28 PM,8,26,26,26,11,1,33,0.0,1013,32,10,175,7,"vadodara,gujarat"
2009-02-05,30,16,0.0,11.1,6,73,01:53 PM,03:00 AM,07:14 AM,06:28 PM,11,25,25,25,11,1,44,0.0,1014,30,10,219,7,"vadodara,gujarat"
2009-02-06,31,16,0.0,11.2,6,81,02:59 PM,04:05 AM,07:14 AM,06:29 PM,9,25,25,25,14,0,38,0.0,1015,31,10,283,8,"vadodara,gujarat"
2009-02-07,33,17,0.0,11.2,6,88,04:08 PM,05:05 AM,07:14 AM,06:29 PM,5,25,25,26,15,0,28,0.0,1014,33,10,136,9,"vadodara,gujarat"
2009-02-08,33,17,0.0,11.2,6,96,05:17 PM,06:00 AM,07:13 AM,06:30 PM,4,26,26,26,15,0,25,0.0,1014,33,10,171,9,"vadodara,gujarat"
2009-02-09,33,16,0.0,11.2,6,100,06:23 PM,06:48 AM,07:12 AM,06:31 PM,3,25,25,26,15,3,24,0.0,1014,33,10,324,9,"vadodara,gujarat"
2009-02-10,30,19,0.0,11.2,6,89,07:27 PM,07:31 AM,07:12 AM,06:31 PM,4,24,24,24,19,7,28,0.0,1013,30,10,304,12,"vadodara,gujarat"
2009-02-11,29,15,0.0,11.2,6,82,08:26 PM,08:10 AM,07:11 AM,06:32 PM,5,24,23,24,14,1,32,0.0,1014,29,10,218,9,"vadodara,gujarat"
2009-02-12,30,15,0.0,11.2,6,74,09:25 PM,08:46 AM,07:11 AM,06:32 PM,4,24,24,24,14,0,29,0.0,1013,30,10,161,9,"vadodara,gujarat"
2009-02-13,31,15,0.0,11.2,6,67,10:21 PM,09:22 AM,07:10 AM,06:33 PM,6,25,25,25,10,8,31,0.0,1011,31,10,220,6,"vadodara,gujarat"
2009-02-14,31,16,0.0,11.2,6,59,11:17 PM,09:58 AM,07:10 AM,06:33 PM,13,26,26,26,12,3,46,0.0,1012,31,10,317,8,"vadodara,gujarat"
2009-02-15,32,18,0.0,11.3,6,51,No moonrise,10:36 AM,07:09 AM,06:34 PM,7,26,26,26,17,2,32,0.0,1012,32,10,101,10,"vadodara,gujarat"
2009-02-16,34,18,0.0,11.3,7,44,12:13 AM,11:17 AM,07:08 AM,06:34 PM,4,26,26,27,19,1,24,0.0,1013,34,10,148,10,"vadodara,gujarat"
2009-02-17,35,20,0.0,11.3,7,36,01:08 AM,12:01 PM,07:08 AM,06:35 PM,3,27,27,28,20,2,21,0.0,1012,35,10,144,11,"vadodara,gujarat"
2009-02-18,35,19,0.0,11.3,7,29,02:03 AM,12:48 PM,07:07 AM,06:35 PM,3,27,27,28,16,2,20,0.0,1012,35,10,206,10,"vadodara,gujarat"
2009-02-19,36,19,0.0,11.3,7,21,02:55 AM,01:40 PM,07:06 AM,06:36 PM,5,29,29,29,14,0,22,0.0,1011,36,10,143,8,"vadodara,gujarat"
2009-02-20,37,20,0.0,11.3,7,14,03:45 AM,02:32 PM,07:06 AM,06:37 PM,5,29,29,30,15,7,21,0.0,1012,37,10,134,9,"vadodara,gujarat"
2009-02-21,38,23,0.0,11.3,7,6,04:29 AM,03:26 PM,07:05 AM,06:37 PM,6,29,29,30,16,10,23,0.0,1012,38,10,184,9,"vadodara,gujarat"
2009-02-22,37,21,0.0,11.3,7,0,05:11 AM,04:20 PM,07:04 AM,06:38 PM,5,29,29,30,12,12,21,0.0,1009,37,10,175,7,"vadodara,gujarat"
2009-02-23,35,21,0.0,11.4,7,0,05:49 AM,05:14 PM,07:03 AM,06:38 PM,5,27,27,28,14,14,23,0.0,1010,35,10,272,9,"vadodara,gujarat"
2009-02-24,35,18,0.0,11.4,7,0,06:24 AM,06:07 PM,07:03 AM,06:38 PM,9,28,28,28,15,2,31,0.0,1010,35,10,272,9,"vadodara,gujarat"
