date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,24,10,0.0,8.7,5,31,10:19 AM,10:08 PM,07:20 AM,05:51 PM,1,17,17,17,11,4,34,0.0,1017,24,10,122,6,"ajmer,rajasthan"
2009-01-02,24,10,0.0,8.7,5,38,10:50 AM,11:03 PM,07:20 AM,05:51 PM,1,17,17,17,16,8,35,0.0,1016,24,10,123,9,"ajmer,rajasthan"
2009-01-03,26,12,0.0,8.7,5,45,11:21 AM,11:59 PM,07:20 AM,05:52 PM,1,18,18,18,11,10,32,0.0,1015,26,10,186,6,"ajmer,rajasthan"
2009-01-04,26,10,0.0,8.7,5,52,11:52 AM,No moonset,07:21 AM,05:53 PM,5,19,19,19,13,7,41,0.0,1013,26,10,196,7,"ajmer,rajasthan"
2009-01-05,24,12,0.0,8.7,5,60,12:27 PM,12:57 AM,07:21 AM,05:54 PM,5,17,18,17,14,10,46,0.0,1013,24,10,150,8,"ajmer,rajasthan"
2009-01-06,23,10,0.0,8.7,5,67,01:08 PM,01:59 AM,07:21 AM,05:54 PM,4,16,16,16,16,5,45,0.0,1015,23,10,68,9,"ajmer,rajasthan"
2009-01-07,22,10,0.0,8.7,4,74,01:55 PM,03:05 AM,07:21 AM,05:55 PM,2,16,16,16,16,2,39,0.0,1018,22,10,49,10,"ajmer,rajasthan"
2009-01-08,23,9,0.0,8.7,4,82,02:50 PM,04:14 AM,07:21 AM,05:56 PM,1,15,16,15,18,1,39,0.0,1021,23,10,64,11,"ajmer,rajasthan"
2009-01-09,22,9,0.0,8.7,4,89,03:55 PM,05:23 AM,07:21 AM,05:56 PM,-3,14,15,14,16,17,31,0.0,1021,22,10,84,10,"ajmer,rajasthan"
2009-01-10,23,10,0.0,8.7,5,96,05:06 PM,06:28 AM,07:21 AM,05:57 PM,2,16,16,16,18,18,39,0.0,1020,23,10,54,11,"ajmer,rajasthan"
2009-01-11,23,10,0.0,8.7,5,100,06:18 PM,07:26 AM,07:21 AM,05:58 PM,2,16,17,16,16,7,38,0.0,1020,23,10,32,9,"ajmer,rajasthan"
2009-01-12,21,12,0.0,8.7,5,89,07:29 PM,08:16 AM,07:21 AM,05:59 PM,0,17,17,17,15,29,33,0.0,1021,21,10,86,9,"ajmer,rajasthan"
2009-01-13,26,15,0.0,8.7,5,82,08:36 PM,08:59 AM,07:21 AM,05:59 PM,6,20,20,20,15,12,41,0.0,1021,26,10,81,9,"ajmer,rajasthan"
2009-01-14,25,15,0.0,10.8,5,75,09:39 PM,09:37 AM,07:21 AM,06:00 PM,9,19,19,19,13,21,53,0.0,1021,25,10,107,7,"ajmer,rajasthan"
2009-01-15,27,14,0.0,10.8,5,68,10:38 PM,10:11 AM,07:21 AM,06:01 PM,11,21,21,21,15,19,55,0.0,1020,27,10,121,9,"ajmer,rajasthan"
2009-01-16,29,19,0.0,10.8,6,60,11:37 PM,10:44 AM,07:21 AM,06:02 PM,9,23,23,23,15,23,43,0.0,1018,29,10,127,9,"ajmer,rajasthan"
2009-01-17,27,17,0.0,10.8,6,53,No moonrise,11:17 AM,07:21 AM,06:02 PM,9,22,22,22,11,23,46,0.0,1017,27,10,79,7,"ajmer,rajasthan"
2009-01-18,27,16,0.0,10.8,5,46,12:33 AM,11:50 AM,07:21 AM,06:03 PM,9,20,20,20,16,20,51,0.0,1017,27,10,219,10,"ajmer,rajasthan"
2009-01-19,24,13,0.0,10.8,5,38,01:30 AM,12:26 PM,07:21 AM,06:04 PM,6,17,18,17,20,8,48,0.0,1019,24,10,219,12,"ajmer,rajasthan"
2009-01-20,25,11,0.0,10.8,5,31,02:25 AM,01:06 PM,07:21 AM,06:05 PM,3,18,18,18,16,5,39,0.0,1018,25,10,218,10,"ajmer,rajasthan"
2009-01-21,22,12,0.0,10.9,5,24,03:21 AM,01:50 PM,07:20 AM,06:06 PM,-2,17,17,17,15,28,29,0.0,1018,22,10,330,8,"ajmer,rajasthan"
2009-01-22,26,12,0.0,10.9,5,17,04:15 AM,02:38 PM,07:20 AM,06:06 PM,-3,19,18,19,14,15,23,0.0,1016,26,10,262,8,"ajmer,rajasthan"
2009-01-23,28,12,0.0,8.5,5,9,05:06 AM,03:30 PM,07:20 AM,06:07 PM,-1,20,20,20,15,35,26,0.0,1015,28,10,30,8,"ajmer,rajasthan"
2009-01-24,28,15,0.0,10.9,6,2,05:54 AM,04:24 PM,07:20 AM,06:08 PM,1,21,21,21,15,36,28,0.0,1013,28,10,70,8,"ajmer,rajasthan"
2009-01-25,29,16,0.0,10.9,6,0,06:36 AM,05:20 PM,07:19 AM,06:09 PM,4,22,21,22,21,2,32,0.0,1011,29,10,241,13,"ajmer,rajasthan"
2009-01-26,27,13,0.0,10.9,5,0,07:15 AM,06:15 PM,07:19 AM,06:09 PM,3,20,20,20,18,2,35,0.0,1013,27,10,214,10,"ajmer,rajasthan"
