date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,30,15,0.0,8.7,6,31,10:05 AM,10:02 PM,06:59 AM,05:53 PM,2,22,21,22,10,0,28,0.0,1014,30,10,91,5,"akola,maharashtra"
2009-01-02,29,15,0.0,8.7,6,38,10:38 AM,10:53 PM,06:59 AM,05:53 PM,6,22,21,22,13,3,36,0.0,1015,29,10,114,7,"akola,maharashtra"
2009-01-03,29,16,0.0,8.7,6,45,11:12 AM,11:46 PM,06:59 AM,05:54 PM,6,22,21,22,14,3,37,0.0,1016,29,10,145,8,"akola,maharashtra"
2009-01-04,30,16,0.0,8.7,6,52,11:47 AM,No moonset,06:59 AM,05:55 PM,9,23,23,23,7,5,42,0.0,1014,30,10,210,4,"akola,maharashtra"
2009-01-05,30,17,0.0,8.7,6,60,12:25 PM,12:41 AM,07:00 AM,05:55 PM,10,24,24,24,6,9,45,0.0,1012,30,10,176,4,"akola,maharashtra"
2009-01-06,30,21,0.0,8.7,6,67,01:08 PM,01:40 AM,07:00 AM,05:56 PM,9,26,26,25,6,27,37,0.0,1012,30,10,153,4,"akola,maharashtra"
2009-01-07,30,22,0.0,8.7,6,74,01:58 PM,02:43 AM,07:00 AM,05:57 PM,10,26,26,25,9,42,40,0.0,1014,30,10,117,5,"akola,maharashtra"
2009-01-08,26,21,0.0,8.7,6,82,02:55 PM,03:50 AM,07:00 AM,05:57 PM,9,24,24,23,15,29,40,0.0,1016,26,10,119,10,"akola,maharashtra"
2009-01-09,30,18,0.0,8.7,6,89,04:00 PM,04:58 AM,07:01 AM,05:58 PM,8,23,23,23,14,24,39,0.0,1017,30,10,147,8,"akola,maharashtra"
2009-01-10,31,22,0.0,8.7,7,96,05:10 PM,06:04 AM,07:01 AM,05:59 PM,11,26,26,25,13,35,41,0.0,1016,31,10,174,8,"akola,maharashtra"
2009-01-11,31,22,0.0,8.7,7,100,06:20 PM,07:04 AM,07:01 AM,05:59 PM,10,26,26,26,13,26,38,0.0,1017,31,10,94,8,"akola,maharashtra"
2009-01-12,31,22,0.0,11.0,7,89,07:28 PM,07:57 AM,07:01 AM,06:00 PM,10,26,26,26,17,22,38,0.0,1018,31,10,105,10,"akola,maharashtra"
2009-01-13,31,21,0.0,11.0,7,82,08:31 PM,08:42 AM,07:01 AM,06:01 PM,10,26,26,25,16,8,39,0.0,1019,31,10,118,10,"akola,maharashtra"
2009-01-14,32,20,0.0,11.0,7,75,09:31 PM,09:24 AM,07:01 AM,06:01 PM,10,26,26,26,14,7,40,0.0,1019,32,10,123,8,"akola,maharashtra"
2009-01-15,31,18,0.0,11.0,6,68,10:27 PM,10:01 AM,07:01 AM,06:02 PM,9,25,25,24,15,7,39,0.0,1019,31,10,119,9,"akola,maharashtra"
2009-01-16,31,17,0.0,11.0,6,60,11:22 PM,10:37 AM,07:01 AM,06:03 PM,9,24,24,24,15,4,40,0.0,1019,31,10,107,10,"akola,maharashtra"
2009-01-17,31,18,0.0,11.0,6,53,No moonrise,11:12 AM,07:01 AM,06:03 PM,6,24,24,24,14,1,34,0.0,1017,31,10,122,8,"akola,maharashtra"
2009-01-18,31,17,0.0,11.0,6,46,12:16 AM,11:49 AM,07:01 AM,06:04 PM,4,23,23,24,15,0,29,0.0,1016,31,10,113,8,"akola,maharashtra"
2009-01-19,32,17,0.0,11.0,6,38,01:10 AM,12:27 PM,07:01 AM,06:04 PM,5,24,24,24,12,1,30,0.0,1015,32,10,109,7,"akola,maharashtra"
2009-01-20,33,18,0.0,11.0,6,31,02:04 AM,01:09 PM,07:01 AM,06:05 PM,6,25,25,25,10,4,30,0.0,1015,33,10,54,5,"akola,maharashtra"
2009-01-21,32,18,0.0,11.1,6,24,02:58 AM,01:54 PM,07:01 AM,06:06 PM,5,24,24,24,15,3,29,0.0,1015,32,10,110,8,"akola,maharashtra"
2009-01-22,32,16,0.0,11.1,6,17,03:51 AM,02:43 PM,07:01 AM,06:06 PM,3,24,24,25,11,2,26,0.0,1014,32,10,164,6,"akola,maharashtra"
2009-01-23,34,17,0.0,11.1,6,9,04:42 AM,03:35 PM,07:01 AM,06:07 PM,1,24,24,25,9,0,22,0.0,1013,34,10,79,5,"akola,maharashtra"
2009-01-24,34,17,0.0,11.1,6,2,05:30 AM,04:27 PM,07:01 AM,06:08 PM,-1,25,25,25,10,8,19,0.0,1012,34,10,118,5,"akola,maharashtra"
2009-01-25,35,19,0.0,11.1,7,0,06:14 AM,05:22 PM,07:00 AM,06:08 PM,5,26,26,26,10,41,25,0.0,1012,35,10,155,5,"akola,maharashtra"
2009-01-26,34,20,0.0,11.1,7,0,06:55 AM,06:14 PM,07:00 AM,06:09 PM,4,26,26,27,15,0,24,0.0,1012,34,10,221,8,"akola,maharashtra"
2009-01-27,33,19,0.0,11.1,7,5,07:33 AM,07:07 PM,07:00 AM,06:10 PM,4,26,26,27,12,0,25,0.0,1013,33,10,244,7,"akola,maharashtra"
2009-01-28,34,17,0.0,11.1,7,12,08:07 AM,07:59 PM,07:00 AM,06:10 PM,4,26,26,27,10,0,24,0.0,1013,34,10,139,5,"akola,maharashtra"
2009-01-29,34,19,0.0,11.5,7,20,08:41 AM,08:50 PM,06:59 AM,06:11 PM,3,25,25,26,11,15,23,0.0,1013,34,10,96,7,"akola,maharashtra"
2009-01-30,35,19,0.0,11.5,7,27,09:14 AM,09:42 PM,06:59 AM,06:11 PM,4,26,26,27,8,6,24,0.0,1013,35,10,219,4,"akola,maharashtra"
2009-01-31,35,20,0.0,11.5,7,31,09:48 AM,10:36 PM,06:59 AM,06:12 PM,4,27,27,27,13,2,23,0.0,1012,35,10,241,7,"akola,maharashtra"
2009-02-01,34,18,0.0,11.5,7,43,10:24 AM,11:32 PM,06:59 AM,06:13 PM,3,26,26,27,13,0,23,0.0,1013,34,10,159,8,"akola,maharashtra"
2009-02-02,34,18,0.0,11.6,6,50,11:05 AM,No moonset,06:58 AM,06:13 PM,0,25,25,26,11,0,20,0.0,1014,34,10,150,6,"akola,maharashtra"
2009-02-03,34,17,0.0,11.6,6,58,11:50 AM,12:32 AM,06:58 AM,06:14 PM,-0,26,26,27,9,0,18,0.0,1014,34,10,94,5,"akola,maharashtra"
