date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,23,9,0.0,8.7,4,31,10:07 AM,09:54 PM,07:09 AM,05:34 PM,2,13,14,13,21,6,46,0.0,1016,23,10,309,12,"aligarh,uttar+pradesh"
2009-01-02,22,6,0.0,8.7,4,38,10:36 AM,10:48 PM,07:09 AM,05:35 PM,5,14,15,14,8,2,58,0.0,1017,22,10,226,4,"aligarh,uttar+pradesh"
2009-01-03,23,7,0.0,8.7,4,45,11:06 AM,11:45 PM,07:09 AM,05:35 PM,6,15,15,15,8,6,57,0.0,1017,23,10,196,5,"aligarh,uttar+pradesh"
2009-01-04,23,8,0.0,8.7,5,52,11:37 AM,No moonset,07:10 AM,05:36 PM,3,16,16,16,12,20,45,0.0,1015,23,10,133,6,"aligarh,uttar+pradesh"
2009-01-05,23,11,0.0,8.7,5,60,12:11 PM,12:44 AM,07:10 AM,05:37 PM,5,16,16,16,14,10,50,0.0,1014,23,10,153,8,"aligarh,uttar+pradesh"
2009-01-06,23,10,0.0,8.7,4,67,12:51 PM,01:47 AM,07:10 AM,05:38 PM,7,15,15,15,11,4,63,0.0,1015,23,10,214,6,"aligarh,uttar+pradesh"
2009-01-07,23,9,0.0,8.7,5,74,01:37 PM,02:53 AM,07:10 AM,05:38 PM,5,15,15,15,19,4,51,0.0,1017,23,10,185,10,"aligarh,uttar+pradesh"
2009-01-08,21,9,0.0,8.7,4,82,02:32 PM,04:03 AM,07:10 AM,05:39 PM,5,14,15,14,15,9,52,0.0,1021,21,10,178,8,"aligarh,uttar+pradesh"
2009-01-09,22,7,0.0,7.1,4,89,03:37 PM,05:13 AM,07:10 AM,05:40 PM,3,14,15,14,14,27,49,0.6,1021,22,10,234,7,"aligarh,uttar+pradesh"
2009-01-10,23,10,0.0,8.7,5,96,04:47 PM,06:17 AM,07:10 AM,05:41 PM,10,16,16,16,12,15,72,0.1,1020,23,10,204,7,"aligarh,uttar+pradesh"
2009-01-11,23,10,0.0,8.7,4,100,06:00 PM,07:15 AM,07:10 AM,05:41 PM,7,15,16,15,17,5,62,0.0,1019,23,10,314,10,"aligarh,uttar+pradesh"
2009-01-12,23,8,0.0,8.7,4,89,07:12 PM,08:05 AM,07:10 AM,05:42 PM,5,14,15,14,15,3,56,0.0,1021,23,10,318,8,"aligarh,uttar+pradesh"
2009-01-13,23,7,0.0,8.7,4,82,08:20 PM,08:47 AM,07:10 AM,05:43 PM,4,14,15,14,15,20,51,0.0,1022,23,10,239,8,"aligarh,uttar+pradesh"
2009-01-14,24,8,0.0,8.7,4,75,09:24 PM,09:24 AM,07:10 AM,05:44 PM,5,15,15,15,17,13,53,0.0,1021,24,10,309,9,"aligarh,uttar+pradesh"
2009-01-15,24,8,0.0,8.7,5,68,10:24 PM,09:57 AM,07:10 AM,05:45 PM,3,16,16,16,16,16,42,0.0,1020,24,10,308,9,"aligarh,uttar+pradesh"
2009-01-16,25,12,0.0,8.7,5,60,11:23 PM,10:29 AM,07:10 AM,05:45 PM,4,17,17,17,16,10,41,0.0,1019,25,10,322,8,"aligarh,uttar+pradesh"
2009-01-17,25,13,0.0,8.7,5,53,No moonrise,11:01 AM,07:10 AM,05:46 PM,9,18,18,18,17,10,58,0.0,1017,25,10,316,9,"aligarh,uttar+pradesh"
2009-01-18,26,14,0.0,8.7,5,46,12:20 AM,11:34 AM,07:10 AM,05:47 PM,11,19,19,19,14,22,63,0.0,1016,26,10,213,7,"aligarh,uttar+pradesh"
2009-01-19,25,13,0.0,8.7,5,38,01:18 AM,12:09 PM,07:10 AM,05:48 PM,9,18,18,18,23,9,58,0.0,1016,25,10,308,13,"aligarh,uttar+pradesh"
2009-01-20,23,11,0.0,8.7,5,31,02:14 AM,12:48 PM,07:09 AM,05:49 PM,8,15,16,15,29,11,62,0.0,1016,23,10,298,17,"aligarh,uttar+pradesh"
2009-01-21,21,11,0.0,8.7,5,24,03:11 AM,01:32 PM,07:09 AM,05:49 PM,3,14,15,14,29,22,45,0.0,1014,21,10,299,17,"aligarh,uttar+pradesh"
2009-01-22,24,11,0.0,8.7,5,17,04:05 AM,02:19 PM,07:09 AM,05:50 PM,3,16,17,16,23,19,41,0.0,1014,24,10,309,13,"aligarh,uttar+pradesh"
2009-01-23,26,13,0.0,8.7,5,9,04:56 AM,03:12 PM,07:09 AM,05:51 PM,3,18,18,18,31,17,37,0.0,1013,26,10,303,17,"aligarh,uttar+pradesh"
2009-01-24,27,15,0.0,5.5,5,2,05:43 AM,04:06 PM,07:08 AM,05:52 PM,6,19,20,19,25,54,43,0.0,1011,27,10,295,14,"aligarh,uttar+pradesh"
2009-01-25,29,15,0.0,8.7,5,0,06:25 AM,05:02 PM,07:08 AM,05:53 PM,10,20,21,20,12,16,52,0.0,1011,29,10,130,7,"aligarh,uttar+pradesh"
2009-01-26,27,12,0.0,8.7,5,0,07:04 AM,05:58 PM,07:08 AM,05:53 PM,13,20,20,20,10,3,65,0.0,1011,27,10,222,6,"aligarh,uttar+pradesh"
2009-01-27,26,11,0.0,8.7,5,5,07:38 AM,06:54 PM,07:07 AM,05:54 PM,11,19,19,19,13,0,61,0.0,1013,26,10,250,7,"aligarh,uttar+pradesh"
2009-01-28,24,11,0.0,8.7,5,12,08:10 AM,07:49 PM,07:07 AM,05:55 PM,9,16,17,16,22,0,64,0.0,1013,24,10,292,13,"aligarh,uttar+pradesh"
2009-01-29,25,9,0.0,8.7,5,20,08:40 AM,08:44 PM,07:06 AM,05:56 PM,11,17,17,17,11,1,69,0.0,1015,25,10,311,6,"aligarh,uttar+pradesh"
2009-01-30,26,10,0.0,8.7,5,27,09:09 AM,09:40 PM,07:06 AM,05:57 PM,11,18,18,18,17,5,65,0.0,1014,26,10,228,10,"aligarh,uttar+pradesh"
2009-01-31,24,11,0.0,8.7,5,31,09:40 AM,10:37 PM,07:05 AM,05:57 PM,6,16,17,16,28,1,53,0.0,1014,24,10,311,17,"aligarh,uttar+pradesh"
2009-02-01,24,9,0.0,8.7,5,43,10:12 AM,11:38 PM,07:05 AM,05:58 PM,6,15,15,15,19,8,55,0.0,1014,24,10,292,11,"aligarh,uttar+pradesh"
2009-02-02,24,7,0.0,8.7,4,50,10:48 AM,No moonset,07:04 AM,05:59 PM,7,15,16,15,15,1,58,0.0,1015,24,10,309,8,"aligarh,uttar+pradesh"
2009-02-03,26,7,0.0,11.0,5,58,11:31 AM,12:41 AM,07:04 AM,06:00 PM,9,17,17,17,11,0,61,0.0,1014,26,10,145,6,"aligarh,uttar+pradesh"
2009-02-04,27,7,0.0,11.0,5,66,12:20 PM,01:47 AM,07:03 AM,06:00 PM,10,19,19,19,8,0,60,0.0,1014,27,10,117,5,"aligarh,uttar+pradesh"
2009-02-05,27,12,0.0,11.0,5,73,01:18 PM,02:54 AM,07:02 AM,06:01 PM,8,18,19,18,17,2,53,0.0,1014,27,10,98,9,"aligarh,uttar+pradesh"
2009-02-06,28,12,0.0,11.0,5,81,02:23 PM,03:59 AM,07:02 AM,06:02 PM,9,19,20,19,17,4,51,0.0,1014,28,10,212,9,"aligarh,uttar+pradesh"
2009-02-07,26,11,0.0,11.0,5,88,03:34 PM,04:59 AM,07:01 AM,06:03 PM,8,18,18,18,20,3,56,0.0,1015,26,10,308,12,"aligarh,uttar+pradesh"
2009-02-08,25,9,0.0,11.0,5,96,04:46 PM,05:51 AM,07:01 AM,06:03 PM,8,16,17,16,16,1,62,0.0,1017,25,10,306,9,"aligarh,uttar+pradesh"
2009-02-09,26,8,0.0,11.0,5,100,05:56 PM,06:36 AM,07:00 AM,06:04 PM,7,16,16,16,11,8,59,0.0,1015,26,10,264,6,"aligarh,uttar+pradesh"
2009-02-10,27,11,0.0,11.5,5,89,07:02 PM,07:16 AM,06:59 AM,06:05 PM,8,19,19,19,19,10,53,0.0,1012,27,10,112,11,"aligarh,uttar+pradesh"
2009-02-11,24,12,0.0,11.5,5,82,08:06 PM,07:52 AM,06:58 AM,06:06 PM,9,17,18,17,17,12,60,0.1,1013,24,10,231,9,"aligarh,uttar+pradesh"
2009-02-12,24,10,0.0,11.5,5,74,09:07 PM,08:25 AM,06:58 AM,06:06 PM,9,16,17,16,22,4,62,0.0,1013,24,10,307,12,"aligarh,uttar+pradesh"
2009-02-13,26,10,0.0,11.5,5,67,10:06 PM,08:58 AM,06:57 AM,06:07 PM,11,17,17,17,12,3,70,0.0,1011,26,10,266,7,"aligarh,uttar+pradesh"
2009-02-14,28,12,0.0,11.5,5,59,11:06 PM,09:31 AM,06:56 AM,06:08 PM,10,19,20,19,16,9,57,0.0,1012,28,10,206,8,"aligarh,uttar+pradesh"
2009-02-15,26,12,0.0,11.5,5,51,No moonrise,10:06 AM,06:55 AM,06:09 PM,7,18,18,18,21,3,49,0.0,1013,26,10,307,12,"aligarh,uttar+pradesh"
2009-02-16,24,9,0.0,11.6,5,44,12:04 AM,10:45 AM,06:54 AM,06:09 PM,5,15,16,15,19,2,53,0.0,1014,24,10,297,11,"aligarh,uttar+pradesh"
2009-02-17,25,9,0.0,11.6,5,36,01:01 AM,11:27 AM,06:54 AM,06:10 PM,6,16,17,16,18,4,52,0.0,1014,25,10,300,10,"aligarh,uttar+pradesh"
