date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,25,11,0.0,8.7,5,31,09:50 AM,09:40 PM,06:49 AM,05:24 PM,8,18,18,18,12,1,56,0.0,1016,25,10,290,7,"allahabad,uttar+pradesh"
2009-01-02,24,8,0.0,8.7,5,38,10:20 AM,10:33 PM,06:49 AM,05:25 PM,9,19,18,19,7,0,58,0.0,1017,24,10,301,4,"allahabad,uttar+pradesh"
2009-01-03,25,8,0.0,8.7,5,45,10:51 AM,11:28 PM,06:49 AM,05:25 PM,6,18,18,18,8,5,49,0.0,1017,25,10,149,4,"allahabad,uttar+pradesh"
2009-01-04,26,9,0.0,8.7,5,52,11:24 AM,No moonset,06:49 AM,05:26 PM,4,18,18,18,14,4,42,0.0,1014,26,10,102,8,"allahabad,uttar+pradesh"
2009-01-05,26,11,0.0,8.7,5,60,11:59 AM,12:25 AM,06:49 AM,05:27 PM,5,18,18,18,16,5,43,0.0,1013,26,10,86,9,"allahabad,uttar+pradesh"
2009-01-06,23,13,0.0,8.7,5,67,12:39 PM,01:27 AM,06:50 AM,05:28 PM,5,17,17,17,17,13,44,0.0,1014,23,10,78,9,"allahabad,uttar+pradesh"
2009-01-07,21,12,0.0,8.7,5,74,01:27 PM,02:32 AM,06:50 AM,05:28 PM,11,16,17,16,15,20,70,0.0,1017,21,10,101,8,"allahabad,uttar+pradesh"
2009-01-08,25,12,0.0,8.7,5,82,02:23 PM,03:41 AM,06:50 AM,05:29 PM,14,18,18,18,15,28,78,4.1,1020,25,9,110,9,"allahabad,uttar+pradesh"
2009-01-09,26,15,0.0,8.7,5,89,03:28 PM,04:50 AM,06:50 AM,05:30 PM,15,21,21,21,9,11,72,0.0,1020,26,9,86,5,"allahabad,uttar+pradesh"
2009-01-10,22,14,0.0,8.7,5,96,04:37 PM,05:56 AM,06:50 AM,05:30 PM,13,19,19,19,9,27,70,0.0,1019,22,10,142,6,"allahabad,uttar+pradesh"
2009-01-11,25,13,0.0,8.7,5,100,05:50 PM,06:54 AM,06:50 AM,05:31 PM,13,20,20,20,15,4,69,0.0,1019,25,10,282,8,"allahabad,uttar+pradesh"
2009-01-12,25,11,0.0,8.7,5,89,07:00 PM,07:45 AM,06:50 AM,05:32 PM,10,20,19,20,10,1,59,0.0,1020,25,10,302,6,"allahabad,uttar+pradesh"
2009-01-13,26,12,0.0,8.7,5,82,08:07 PM,08:28 AM,06:50 AM,05:33 PM,7,18,18,18,11,5,48,0.0,1022,26,10,238,6,"allahabad,uttar+pradesh"
2009-01-14,26,12,0.0,8.7,5,75,09:09 PM,09:07 AM,06:50 AM,05:33 PM,11,20,20,20,8,4,61,0.0,1021,26,10,280,5,"allahabad,uttar+pradesh"
2009-01-15,27,13,0.0,8.7,5,68,10:08 PM,09:42 AM,06:50 AM,05:34 PM,13,21,21,21,13,11,63,0.0,1020,27,10,309,7,"allahabad,uttar+pradesh"
2009-01-16,27,13,0.0,8.7,5,60,11:06 PM,10:15 AM,06:50 AM,05:35 PM,9,20,20,20,13,1,51,0.0,1019,27,10,301,8,"allahabad,uttar+pradesh"
2009-01-17,28,12,0.0,8.7,5,53,No moonrise,10:48 AM,06:50 AM,05:36 PM,12,21,21,21,11,4,59,0.0,1017,28,10,296,6,"allahabad,uttar+pradesh"
2009-01-18,29,14,0.0,8.7,6,46,12:02 AM,11:22 AM,06:50 AM,05:36 PM,15,23,24,23,12,1,61,0.0,1016,29,10,294,7,"allahabad,uttar+pradesh"
2009-01-19,29,16,0.0,8.7,6,38,12:58 AM,11:59 AM,06:50 AM,05:37 PM,13,22,23,22,19,4,56,0.0,1015,29,10,291,11,"allahabad,uttar+pradesh"
2009-01-20,27,16,0.0,8.7,5,31,01:53 AM,12:38 PM,06:50 AM,05:38 PM,9,20,20,20,28,19,53,0.0,1015,27,10,279,16,"allahabad,uttar+pradesh"
2009-01-21,24,12,0.0,8.7,5,24,02:49 AM,01:23 PM,06:49 AM,05:39 PM,5,17,18,17,24,28,45,0.0,1015,24,10,272,14,"allahabad,uttar+pradesh"
2009-01-22,24,12,0.0,8.7,5,17,03:43 AM,02:10 PM,06:49 AM,05:40 PM,5,18,18,18,19,11,44,0.0,1014,24,10,266,11,"allahabad,uttar+pradesh"
2009-01-23,27,12,0.0,8.7,5,9,04:34 AM,03:02 PM,06:49 AM,05:40 PM,6,19,20,19,23,5,43,0.0,1013,27,10,269,13,"allahabad,uttar+pradesh"
2009-01-24,28,13,0.0,8.7,5,2,05:22 AM,03:57 PM,06:49 AM,05:41 PM,8,19,19,19,15,34,53,0.0,1012,28,10,271,9,"allahabad,uttar+pradesh"
2009-01-25,29,15,0.0,8.7,5,0,06:04 AM,04:52 PM,06:48 AM,05:42 PM,13,22,22,22,6,17,59,0.0,1012,29,10,273,3,"allahabad,uttar+pradesh"
2009-01-26,32,13,0.0,8.7,6,0,06:43 AM,05:47 PM,06:48 AM,05:43 PM,13,24,24,24,10,1,52,0.0,1011,32,10,231,6,"allahabad,uttar+pradesh"
2009-01-27,31,16,0.0,8.7,6,5,07:19 AM,06:41 PM,06:48 AM,05:43 PM,11,23,23,23,19,2,48,0.0,1012,31,10,276,11,"allahabad,uttar+pradesh"
2009-01-28,27,13,0.0,8.7,5,12,07:52 AM,07:36 PM,06:47 AM,05:44 PM,9,20,20,20,19,0,49,0.0,1014,27,10,288,11,"allahabad,uttar+pradesh"
2009-01-29,27,11,0.0,8.7,5,20,08:23 AM,08:29 PM,06:47 AM,05:45 PM,9,19,19,19,11,16,54,0.0,1015,27,10,315,6,"allahabad,uttar+pradesh"
2009-01-30,28,10,0.0,8.7,5,27,08:54 AM,09:24 PM,06:47 AM,05:45 PM,10,20,20,20,13,7,54,0.0,1014,28,10,268,7,"allahabad,uttar+pradesh"
2009-01-31,27,12,0.0,8.7,5,31,09:26 AM,10:19 PM,06:46 AM,05:46 PM,10,20,20,20,18,1,53,0.0,1014,27,10,293,11,"allahabad,uttar+pradesh"
2009-02-01,26,12,0.0,8.7,5,43,10:00 AM,11:19 PM,06:46 AM,05:47 PM,8,19,19,19,16,0,50,0.0,1015,26,10,289,9,"allahabad,uttar+pradesh"
2009-02-02,26,10,0.0,8.7,5,50,10:37 AM,No moonset,06:45 AM,05:48 PM,9,19,19,19,12,0,54,0.0,1016,26,10,300,7,"allahabad,uttar+pradesh"
2009-02-03,28,9,0.0,8.7,5,58,11:20 AM,12:20 AM,06:45 AM,05:48 PM,10,21,21,21,7,0,57,0.0,1015,28,10,260,4,"allahabad,uttar+pradesh"
2009-02-04,29,11,0.0,8.7,5,66,12:10 PM,01:26 AM,06:44 AM,05:49 PM,11,22,22,22,9,0,52,0.0,1015,29,10,196,5,"allahabad,uttar+pradesh"
2009-02-05,30,12,0.0,8.7,6,73,01:09 PM,02:32 AM,06:44 AM,05:50 PM,9,22,23,22,14,1,45,0.0,1014,30,10,99,7,"allahabad,uttar+pradesh"
2009-02-06,31,13,0.0,8.7,6,81,02:14 PM,03:37 AM,06:43 AM,05:50 PM,11,24,24,24,10,0,50,0.0,1014,31,10,200,6,"allahabad,uttar+pradesh"
2009-02-07,30,13,0.0,8.7,6,88,03:24 PM,04:37 AM,06:43 AM,05:51 PM,9,23,22,23,15,0,44,0.0,1014,30,10,264,9,"allahabad,uttar+pradesh"
2009-02-08,28,13,0.0,8.7,5,96,04:34 PM,05:31 AM,06:42 AM,05:52 PM,11,22,22,22,13,0,53,0.0,1016,28,10,308,7,"allahabad,uttar+pradesh"
2009-02-09,29,11,0.0,8.7,5,100,05:43 PM,06:17 AM,06:41 AM,05:52 PM,11,22,22,22,8,0,55,0.0,1016,29,10,240,5,"allahabad,uttar+pradesh"
2009-02-10,30,14,0.0,8.7,6,89,06:48 PM,06:58 AM,06:41 AM,05:53 PM,8,23,23,23,20,2,40,0.0,1013,30,10,107,11,"allahabad,uttar+pradesh"
2009-02-11,29,16,0.0,8.7,6,82,07:50 PM,07:36 AM,06:40 AM,05:54 PM,6,22,22,22,21,5,35,0.0,1011,29,10,215,12,"allahabad,uttar+pradesh"
2009-02-12,26,13,0.0,8.7,5,74,08:50 PM,08:10 AM,06:39 AM,05:54 PM,9,19,19,19,22,4,52,0.0,1013,26,10,268,13,"allahabad,uttar+pradesh"
2009-02-13,28,13,0.0,8.7,5,67,09:48 PM,08:44 AM,06:39 AM,05:55 PM,9,19,20,19,13,12,56,0.0,1012,28,10,285,7,"allahabad,uttar+pradesh"
2009-02-14,30,11,0.0,8.7,5,59,10:46 PM,09:19 AM,06:38 AM,05:56 PM,10,22,22,22,10,5,51,0.0,1012,30,10,294,6,"allahabad,uttar+pradesh"
2009-02-15,30,13,0.0,8.7,6,51,11:43 PM,09:55 AM,06:37 AM,05:56 PM,12,23,23,23,12,1,54,0.0,1012,30,10,252,7,"allahabad,uttar+pradesh"
2009-02-16,29,14,0.0,8.7,6,44,No moonrise,10:34 AM,06:37 AM,05:57 PM,9,22,22,22,16,0,46,0.0,1015,29,10,309,9,"allahabad,uttar+pradesh"
2009-02-17,30,11,0.0,8.7,5,36,12:40 AM,11:18 AM,06:36 AM,05:58 PM,7,22,22,22,14,0,41,0.0,1014,30,10,309,8,"allahabad,uttar+pradesh"
2009-02-18,30,12,0.0,8.7,6,29,01:35 AM,12:05 PM,06:35 AM,05:58 PM,6,22,22,22,18,1,38,0.0,1013,30,10,303,11,"allahabad,uttar+pradesh"
2009-02-19,30,13,0.0,8.7,5,21,02:27 AM,12:55 PM,06:34 AM,05:59 PM,5,21,21,21,18,1,38,0.0,1012,30,10,275,11,"allahabad,uttar+pradesh"
2009-02-20,32,12,0.0,8.7,6,14,03:17 AM,01:49 PM,06:33 AM,05:59 PM,7,23,23,23,14,5,39,0.0,1014,32,10,282,8,"allahabad,uttar+pradesh"
2009-02-21,32,15,0.0,11.6,6,6,04:01 AM,02:43 PM,06:33 AM,06:00 PM,4,23,23,24,24,23,30,0.0,1013,32,10,280,13,"allahabad,uttar+pradesh"
2009-02-22,33,17,0.0,11.6,6,0,04:42 AM,03:39 PM,06:32 AM,06:01 PM,3,24,24,24,26,4,27,0.0,1009,33,10,283,16,"allahabad,uttar+pradesh"
2009-02-23,34,18,0.0,11.6,6,0,05:19 AM,04:34 PM,06:31 AM,06:01 PM,5,25,25,25,14,22,28,0.0,1008,34,10,281,8,"allahabad,uttar+pradesh"
2009-02-24,34,17,0.0,11.6,6,0,05:53 AM,05:29 PM,06:30 AM,06:02 PM,5,26,26,26,16,1,28,0.0,1007,34,10,267,10,"allahabad,uttar+pradesh"
2009-02-25,34,18,0.0,11.6,6,1,06:25 AM,06:23 PM,06:29 AM,06:02 PM,6,25,25,25,23,1,30,0.0,1008,34,10,275,13,"allahabad,uttar+pradesh"
2009-02-26,33,17,0.0,11.6,6,9,06:56 AM,07:18 PM,06:28 AM,06:03 PM,5,24,24,25,19,1,31,0.0,1009,33,10,281,12,"allahabad,uttar+pradesh"
2009-02-27,33,18,0.0,11.6,6,16,07:28 AM,08:14 PM,06:27 AM,06:03 PM,3,24,24,25,24,2,26,0.0,1010,33,10,292,14,"allahabad,uttar+pradesh"
2009-02-28,32,17,0.0,11.6,6,24,08:02 AM,09:13 PM,06:27 AM,06:04 PM,1,23,23,24,29,4,24,0.0,1010,32,10,279,18,"allahabad,uttar+pradesh"
2009-03-01,32,15,0.0,11.6,6,30,08:38 AM,10:14 PM,06:26 AM,06:04 PM,1,23,23,23,20,0,24,0.0,1010,32,10,278,12,"allahabad,uttar+pradesh"
2009-03-02,34,15,0.0,11.6,6,37,09:20 AM,11:18 PM,06:25 AM,06:05 PM,4,26,26,26,11,0,26,0.0,1010,34,10,183,7,"allahabad,uttar+pradesh"
2009-03-03,35,16,0.0,11.6,6,45,10:07 AM,No moonset,06:24 AM,06:05 PM,10,28,28,28,9,0,37,0.0,1009,35,10,197,5,"allahabad,uttar+pradesh"
2009-03-04,38,17,0.0,11.6,7,52,11:01 AM,12:23 AM,06:23 AM,06:06 PM,8,29,29,29,17,2,30,0.0,1007,38,10,260,10,"allahabad,uttar+pradesh"
2009-03-05,36,18,0.0,11.6,7,59,12:02 PM,01:27 AM,06:22 AM,06:06 PM,6,27,27,28,18,2,25,0.0,1007,36,10,288,11,"allahabad,uttar+pradesh"
2009-03-06,34,19,0.0,11.6,7,67,01:09 PM,02:27 AM,06:21 AM,06:07 PM,2,26,26,26,21,0,24,0.0,1009,34,10,284,13,"allahabad,uttar+pradesh"
2009-03-07,36,15,0.0,11.6,6,74,02:16 PM,03:21 AM,06:20 AM,06:07 PM,1,27,27,28,13,0,19,0.0,1009,36,10,262,7,"allahabad,uttar+pradesh"
2009-03-08,36,19,0.0,11.6,7,81,03:24 PM,04:09 AM,06:19 AM,06:08 PM,2,27,27,28,17,0,20,0.0,1008,36,10,252,10,"allahabad,uttar+pradesh"
2009-03-09,35,19,0.0,11.6,7,88,04:29 PM,04:51 AM,06:18 AM,06:08 PM,5,27,27,27,12,8,25,0.0,1011,35,10,182,7,"allahabad,uttar+pradesh"
2009-03-10,34,17,0.0,11.6,7,96,05:32 PM,05:29 AM,06:17 AM,06:09 PM,5,27,27,27,12,4,25,0.0,1012,34,10,193,7,"allahabad,uttar+pradesh"
2009-03-11,35,16,0.0,11.6,7,100,06:32 PM,06:05 AM,06:16 AM,06:09 PM,-1,25,25,26,20,2,18,0.0,1012,35,10,299,13,"allahabad,uttar+pradesh"
2009-03-12,35,16,0.0,11.6,6,90,07:32 PM,06:39 AM,06:15 AM,06:10 PM,-2,24,24,25,18,5,17,0.0,1011,35,10,274,11,"allahabad,uttar+pradesh"
2009-03-13,36,16,0.0,11.6,7,83,08:30 PM,07:14 AM,06:14 AM,06:10 PM,0,26,26,27,10,14,19,0.0,1014,36,10,171,5,"allahabad,uttar+pradesh"
2009-03-14,35,16,0.0,8.8,6,75,09:29 PM,07:50 AM,06:13 AM,06:11 PM,3,25,25,26,9,35,24,0.0,1012,35,10,175,5,"allahabad,uttar+pradesh"
2009-03-15,36,18,0.0,11.6,7,68,10:27 PM,08:29 AM,06:12 AM,06:11 PM,4,27,27,28,15,11,23,0.0,1010,36,10,215,9,"allahabad,uttar+pradesh"
2009-03-16,37,18,0.0,11.6,7,61,11:24 PM,09:11 AM,06:11 AM,06:12 PM,8,30,30,31,11,3,26,0.0,1010,37,10,111,6,"allahabad,uttar+pradesh"
2009-03-17,38,20,0.0,8.8,7,53,No moonrise,09:57 AM,06:10 AM,06:12 PM,3,30,30,31,17,21,19,0.0,1008,38,10,243,9,"allahabad,uttar+pradesh"
2009-03-18,37,20,0.0,11.6,7,46,12:18 AM,10:47 AM,06:09 AM,06:13 PM,4,29,29,30,13,0,20,0.0,1009,37,10,308,8,"allahabad,uttar+pradesh"
2009-03-19,38,18,0.0,11.6,7,39,01:09 AM,11:40 AM,06:08 AM,06:13 PM,4,30,30,31,8,2,20,0.0,1008,38,10,202,5,"allahabad,uttar+pradesh"
2009-03-20,40,24,0.0,11.6,8,32,01:56 AM,12:34 PM,06:07 AM,06:14 PM,5,31,31,32,17,3,19,0.0,1006,40,10,189,10,"allahabad,uttar+pradesh"
2009-03-21,34,23,0.0,11.6,7,24,02:37 AM,01:29 PM,06:06 AM,06:14 PM,8,27,27,28,20,8,29,0.0,1009,34,10,153,14,"allahabad,uttar+pradesh"
2009-03-22,35,18,0.0,11.6,7,17,03:16 AM,02:23 PM,06:05 AM,06:14 PM,9,27,27,28,9,4,33,0.0,1010,35,10,181,6,"allahabad,uttar+pradesh"
2009-03-23,36,20,0.0,11.6,7,10,03:51 AM,03:18 PM,06:04 AM,06:15 PM,7,29,29,29,11,4,25,0.0,1011,36,10,196,7,"allahabad,uttar+pradesh"
2009-03-24,38,21,0.0,11.6,7,3,04:24 AM,04:13 PM,06:03 AM,06:15 PM,6,30,30,31,10,3,23,0.0,1010,38,10,214,6,"allahabad,uttar+pradesh"
2009-03-25,37,22,0.0,11.6,7,0,04:56 AM,05:08 PM,06:02 AM,06:16 PM,7,29,29,30,15,11,26,0.0,1009,37,10,160,10,"allahabad,uttar+pradesh"
2009-03-26,36,21,0.0,11.6,7,0,05:28 AM,06:05 PM,06:01 AM,06:16 PM,10,29,29,29,11,5,33,0.0,1008,36,10,200,7,"allahabad,uttar+pradesh"
2009-03-27,35,17,0.0,12.2,7,5,06:01 AM,07:04 PM,06:00 AM,06:17 PM,6,27,27,28,13,18,25,0.0,1010,35,10,231,8,"allahabad,uttar+pradesh"
2009-03-28,39,24,0.0,12.6,8,12,06:37 AM,08:05 PM,05:58 AM,06:17 PM,10,31,31,31,16,6,28,0.1,1008,39,10,52,10,"allahabad,uttar+pradesh"
2009-03-29,38,23,0.0,12.6,8,19,07:18 AM,09:10 PM,05:57 AM,06:18 PM,10,31,31,31,13,11,28,0.0,1007,38,10,112,8,"allahabad,uttar+pradesh"
2009-03-30,38,24,0.0,12.6,8,26,08:05 AM,10:15 PM,05:56 AM,06:18 PM,10,30,30,31,15,11,29,0.0,1007,38,10,247,10,"allahabad,uttar+pradesh"
2009-03-31,37,23,0.0,12.6,7,30,08:58 AM,11:21 PM,05:55 AM,06:18 PM,5,29,29,30,20,4,22,0.0,1006,37,10,289,13,"allahabad,uttar+pradesh"
2009-04-01,38,21,0.0,12.7,7,42,09:57 AM,No moonset,05:54 AM,06:19 PM,3,29,29,30,15,4,19,0.0,1007,38,10,293,9,"allahabad,uttar+pradesh"
2009-04-02,39,20,0.0,12.7,7,50,11:01 AM,12:21 AM,05:53 AM,06:19 PM,5,30,30,31,11,4,21,0.0,1007,39,10,306,7,"allahabad,uttar+pradesh"
2009-04-03,41,23,0.0,12.7,8,58,12:08 PM,01:17 AM,05:52 AM,06:20 PM,8,33,33,34,15,3,22,0.0,1007,41,10,303,10,"allahabad,uttar+pradesh"
2009-04-04,41,25,0.0,12.7,8,65,01:14 PM,02:05 AM,05:51 AM,06:20 PM,5,32,32,33,18,2,18,0.0,1006,41,10,304,12,"allahabad,uttar+pradesh"
2009-04-05,40,24,0.0,12.7,8,73,02:17 PM,02:48 AM,05:50 AM,06:21 PM,0,31,31,32,17,17,14,0.0,1008,40,10,297,10,"allahabad,uttar+pradesh"
2009-04-06,39,25,0.0,12.7,8,80,03:19 PM,03:27 AM,05:49 AM,06:21 PM,6,31,31,32,22,9,21,0.0,1007,39,10,285,14,"allahabad,uttar+pradesh"
2009-04-07,40,22,0.0,12.7,8,88,04:18 PM,04:02 AM,05:48 AM,06:22 PM,7,33,33,33,12,4,23,0.0,1006,40,10,273,8,"allahabad,uttar+pradesh"
2009-04-08,36,25,0.0,12.8,8,95,05:18 PM,04:36 AM,05:47 AM,06:22 PM,6,29,29,31,16,16,23,0.0,1008,36,10,192,10,"allahabad,uttar+pradesh"
2009-04-09,38,24,0.0,12.8,7,100,06:16 PM,05:11 AM,05:46 AM,06:22 PM,11,30,30,31,7,9,31,0.0,1007,38,10,178,5,"allahabad,uttar+pradesh"
2009-04-10,37,23,0.0,12.8,7,90,07:15 PM,05:46 AM,05:45 AM,06:23 PM,7,30,30,31,18,0,25,0.0,1008,37,10,288,12,"allahabad,uttar+pradesh"
2009-04-11,39,21,0.0,12.8,7,82,08:13 PM,06:24 AM,05:44 AM,06:23 PM,3,30,30,32,14,0,18,0.0,1008,39,10,280,9,"allahabad,uttar+pradesh"
2009-04-12,40,23,0.0,12.8,8,75,09:11 PM,07:05 AM,05:43 AM,06:24 PM,6,33,33,34,12,1,19,0.0,1006,40,10,292,8,"allahabad,uttar+pradesh"
2009-04-13,42,24,0.0,12.8,8,67,10:07 PM,07:50 AM,05:42 AM,06:24 PM,6,34,34,35,14,0,19,0.0,1003,42,10,308,9,"allahabad,uttar+pradesh"
2009-04-14,41,23,0.0,12.8,8,59,11:00 PM,08:38 AM,05:41 AM,06:25 PM,3,35,35,35,11,0,15,0.0,1003,41,10,234,7,"allahabad,uttar+pradesh"
2009-04-15,43,23,0.0,12.9,8,52,11:49 PM,09:30 AM,05:40 AM,06:25 PM,2,38,38,37,8,0,13,0.0,1003,43,10,240,6,"allahabad,uttar+pradesh"
2009-04-16,44,26,0.0,12.9,9,44,No moonrise,10:24 AM,05:40 AM,06:26 PM,3,37,37,37,17,8,13,0.0,1002,44,10,328,10,"allahabad,uttar+pradesh"
2009-04-17,39,28,0.0,12.9,8,37,12:32 AM,11:19 AM,05:39 AM,06:26 PM,2,32,32,34,20,19,14,0.0,1002,39,10,302,13,"allahabad,uttar+pradesh"
2009-04-18,42,25,0.0,12.9,8,29,01:12 AM,12:13 PM,05:38 AM,06:27 PM,-5,33,33,34,29,0,9,0.0,1003,42,10,280,19,"allahabad,uttar+pradesh"
