date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,30,16,0.0,10.9,6,31,10:23 AM,10:18 PM,07:19 AM,06:05 PM,3,21,21,21,26,2,30,0.0,1014,30,10,39,15,"anand,gujarat"
2009-01-02,30,15,0.0,10.9,6,38,10:56 AM,11:10 PM,07:19 AM,06:06 PM,4,21,21,21,17,10,33,0.0,1014,30,10,133,9,"anand,gujarat"
2009-01-03,31,16,0.0,10.9,6,45,11:28 AM,No moonset,07:19 AM,06:07 PM,7,24,24,24,14,0,34,0.0,1014,31,10,157,8,"anand,gujarat"
2009-01-04,29,15,0.0,10.9,6,52,12:02 PM,12:04 AM,07:19 AM,06:07 PM,8,24,24,24,10,0,40,0.0,1014,29,10,235,6,"anand,gujarat"
2009-01-05,28,15,0.0,10.9,6,60,12:39 PM,01:00 AM,07:20 AM,06:08 PM,12,23,23,23,13,9,52,0.0,1012,28,10,289,7,"anand,gujarat"
2009-01-06,28,16,0.0,10.9,6,67,01:22 PM,02:00 AM,07:20 AM,06:09 PM,5,22,21,22,20,6,34,0.0,1013,28,10,139,11,"anand,gujarat"
2009-01-07,28,15,0.0,10.9,6,74,02:10 PM,03:04 AM,07:20 AM,06:09 PM,3,21,20,21,24,2,31,0.0,1015,28,10,28,14,"anand,gujarat"
2009-01-08,28,15,0.0,10.9,6,82,03:08 PM,04:11 AM,07:20 AM,06:10 PM,7,20,20,20,30,6,43,0.0,1016,28,10,34,19,"anand,gujarat"
2009-01-09,30,18,0.0,10.9,6,89,04:12 PM,05:20 AM,07:20 AM,06:11 PM,12,23,23,23,25,7,52,0.0,1016,30,10,128,15,"anand,gujarat"
2009-01-10,30,18,0.0,10.9,6,96,05:22 PM,06:25 AM,07:21 AM,06:11 PM,12,23,23,23,24,8,52,0.0,1016,30,10,189,14,"anand,gujarat"
2009-01-11,31,19,0.0,10.9,6,100,06:33 PM,07:25 AM,07:21 AM,06:12 PM,13,25,25,24,22,6,49,0.0,1016,31,10,68,13,"anand,gujarat"
2009-01-12,31,19,0.0,10.9,6,89,07:42 PM,08:16 AM,07:21 AM,06:13 PM,13,26,26,25,16,5,48,0.0,1017,31,10,200,9,"anand,gujarat"
2009-01-13,32,19,0.0,10.9,6,82,08:46 PM,09:01 AM,07:21 AM,06:13 PM,12,26,26,25,18,9,46,0.0,1018,32,10,65,10,"anand,gujarat"
2009-01-14,33,23,0.0,10.9,7,75,09:47 PM,09:42 AM,07:21 AM,06:14 PM,12,27,27,27,17,12,40,0.0,1018,33,10,123,9,"anand,gujarat"
2009-01-15,32,22,0.0,10.9,7,68,10:45 PM,10:18 AM,07:21 AM,06:15 PM,12,27,27,26,17,11,42,0.0,1017,32,10,132,10,"anand,gujarat"
