date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,28,14,0.0,11.0,6,31,10:12 AM,10:09 PM,07:04 AM,06:01 PM,3,23,23,23,14,0,28,0.0,1014,28,10,67,8,"aurangabad,maharashtra"
2009-01-02,28,15,0.0,11.0,6,38,10:45 AM,11:00 PM,07:04 AM,06:02 PM,6,23,23,23,15,2,35,0.0,1015,28,10,123,9,"aurangabad,maharashtra"
2009-01-03,28,15,0.0,11.0,6,45,11:19 AM,11:52 PM,07:04 AM,06:02 PM,8,22,22,22,13,3,42,0.0,1015,28,10,160,8,"aurangabad,maharashtra"
2009-01-04,29,16,0.0,11.0,6,52,11:54 AM,No moonset,07:05 AM,06:03 PM,10,23,24,23,8,5,45,0.0,1014,29,10,147,4,"aurangabad,maharashtra"
2009-01-05,28,17,0.0,11.0,6,60,12:33 PM,12:47 AM,07:05 AM,06:03 PM,10,23,24,23,9,11,46,0.0,1012,28,10,248,5,"aurangabad,maharashtra"
2009-01-06,28,18,0.0,11.0,6,67,01:16 PM,01:46 AM,07:05 AM,06:04 PM,9,24,24,24,10,17,39,0.0,1011,28,10,175,7,"aurangabad,maharashtra"
2009-01-07,28,20,0.0,11.0,6,74,02:06 PM,02:48 AM,07:05 AM,06:05 PM,9,25,25,24,10,37,39,0.0,1013,28,10,148,7,"aurangabad,maharashtra"
2009-01-08,29,20,0.0,11.0,6,82,03:04 PM,03:55 AM,07:06 AM,06:05 PM,8,24,24,24,16,39,37,0.0,1015,29,10,145,11,"aurangabad,maharashtra"
2009-01-09,27,21,0.0,11.0,6,89,04:09 PM,05:03 AM,07:06 AM,06:06 PM,12,25,25,24,14,42,46,0.1,1016,27,10,150,10,"aurangabad,maharashtra"
2009-01-10,27,21,0.0,11.0,6,96,05:19 PM,06:09 AM,07:06 AM,06:07 PM,14,26,26,24,12,32,52,0.0,1016,27,10,161,8,"aurangabad,maharashtra"
2009-01-11,30,21,0.0,11.0,6,100,06:28 PM,07:09 AM,07:06 AM,06:07 PM,11,26,26,25,13,30,40,0.0,1016,30,10,132,8,"aurangabad,maharashtra"
2009-01-12,29,20,0.0,11.0,6,89,07:36 PM,08:02 AM,07:06 AM,06:08 PM,9,25,25,25,15,16,39,0.0,1017,29,10,149,9,"aurangabad,maharashtra"
2009-01-13,29,17,0.0,11.0,6,82,08:39 PM,08:48 AM,07:06 AM,06:09 PM,10,24,24,24,13,8,41,0.0,1019,29,10,138,8,"aurangabad,maharashtra"
2009-01-14,30,18,0.0,11.0,6,75,09:38 PM,09:30 AM,07:06 AM,06:09 PM,10,25,25,25,15,6,41,0.0,1019,30,10,123,10,"aurangabad,maharashtra"
2009-01-15,30,17,0.0,11.0,6,68,10:34 PM,10:08 AM,07:06 AM,06:10 PM,9,24,24,24,17,3,40,0.0,1018,30,10,120,11,"aurangabad,maharashtra"
2009-01-16,30,17,0.0,11.1,6,60,11:29 PM,10:44 AM,07:06 AM,06:11 PM,9,24,24,24,16,3,40,0.0,1018,30,10,127,10,"aurangabad,maharashtra"
2009-01-17,29,18,0.0,11.1,6,53,No moonrise,11:20 AM,07:06 AM,06:11 PM,8,24,24,24,18,7,38,0.0,1016,29,10,116,10,"aurangabad,maharashtra"
2009-01-18,30,16,0.0,11.1,6,46,12:22 AM,11:57 AM,07:06 AM,06:12 PM,6,25,25,25,14,1,30,0.0,1015,30,10,117,9,"aurangabad,maharashtra"
2009-01-19,30,16,0.0,11.1,6,38,01:15 AM,12:35 PM,07:06 AM,06:12 PM,6,24,24,25,14,1,30,0.0,1015,30,10,99,9,"aurangabad,maharashtra"
2009-01-20,31,16,0.0,11.1,6,31,02:09 AM,01:18 PM,07:06 AM,06:13 PM,6,25,25,26,12,3,30,0.0,1015,31,10,79,8,"aurangabad,maharashtra"
2009-01-21,31,18,0.0,11.1,6,24,03:03 AM,02:03 PM,07:06 AM,06:14 PM,6,25,25,25,15,3,29,0.0,1014,31,10,53,8,"aurangabad,maharashtra"
2009-01-22,31,16,0.0,11.1,6,17,03:56 AM,02:52 PM,07:06 AM,06:14 PM,5,25,25,25,14,3,29,0.0,1014,31,10,51,8,"aurangabad,maharashtra"
2009-01-23,32,17,0.0,11.1,6,9,04:47 AM,03:44 PM,07:06 AM,06:15 PM,3,25,25,25,15,2,24,0.0,1012,32,10,77,8,"aurangabad,maharashtra"
2009-01-24,32,16,0.0,11.1,6,2,05:35 AM,04:36 PM,07:06 AM,06:16 PM,0,25,25,25,12,22,20,0.0,1012,32,10,133,7,"aurangabad,maharashtra"
2009-01-25,33,18,0.0,11.1,6,0,06:19 AM,05:30 PM,07:06 AM,06:16 PM,4,25,25,26,9,22,26,0.0,1012,33,10,172,5,"aurangabad,maharashtra"
2009-01-26,33,17,0.0,11.1,6,0,07:00 AM,06:23 PM,07:06 AM,06:17 PM,7,28,28,28,8,0,27,0.0,1012,33,10,208,5,"aurangabad,maharashtra"
2009-01-27,32,17,0.0,11.1,6,5,07:38 AM,07:15 PM,07:05 AM,06:17 PM,6,27,27,28,10,0,27,0.0,1013,32,10,114,6,"aurangabad,maharashtra"
2009-01-28,33,17,0.0,11.1,6,12,08:13 AM,08:06 PM,07:05 AM,06:18 PM,5,27,27,28,9,0,25,0.0,1012,33,10,109,6,"aurangabad,maharashtra"
2009-01-29,33,17,0.0,11.1,6,20,08:47 AM,08:57 PM,07:05 AM,06:19 PM,3,25,25,26,10,5,23,0.0,1012,33,10,115,6,"aurangabad,maharashtra"
2009-01-30,33,18,0.0,11.1,7,27,09:21 AM,09:49 PM,07:05 AM,06:19 PM,4,26,26,27,9,6,24,0.0,1012,33,10,72,5,"aurangabad,maharashtra"
2009-01-31,33,19,0.0,11.2,7,31,09:56 AM,10:42 PM,07:04 AM,06:20 PM,6,27,27,28,11,2,25,0.0,1012,33,10,194,6,"aurangabad,maharashtra"
2009-02-01,34,19,0.0,11.2,7,43,10:32 AM,11:38 PM,07:04 AM,06:20 PM,3,27,27,28,13,1,22,0.0,1013,34,10,201,8,"aurangabad,maharashtra"
2009-02-02,33,16,0.0,11.2,6,50,11:13 AM,No moonset,07:04 AM,06:21 PM,0,27,27,28,10,0,18,0.0,1014,33,10,214,6,"aurangabad,maharashtra"
2009-02-03,32,17,0.0,11.2,6,58,11:58 AM,12:37 AM,07:03 AM,06:22 PM,2,26,26,27,10,0,20,0.0,1014,32,10,284,6,"aurangabad,maharashtra"
2009-02-04,32,16,0.0,11.2,6,66,12:51 PM,01:40 AM,07:03 AM,06:22 PM,3,27,27,28,10,0,20,0.0,1013,32,10,240,6,"aurangabad,maharashtra"
2009-02-05,31,17,0.0,11.2,6,73,01:50 PM,02:45 AM,07:03 AM,06:23 PM,3,26,26,27,12,0,23,0.0,1014,31,10,281,7,"aurangabad,maharashtra"
2009-02-06,32,17,0.0,11.2,6,81,02:56 PM,03:50 AM,07:02 AM,06:23 PM,5,26,26,26,14,0,27,0.0,1014,32,10,257,9,"aurangabad,maharashtra"
2009-02-07,33,17,0.0,11.2,6,88,04:04 PM,04:51 AM,07:02 AM,06:24 PM,3,27,27,28,11,0,21,0.0,1013,33,10,68,7,"aurangabad,maharashtra"
2009-02-08,33,17,0.0,11.2,7,96,05:12 PM,05:47 AM,07:01 AM,06:24 PM,4,27,27,28,11,1,22,0.0,1014,33,10,97,7,"aurangabad,maharashtra"
2009-02-09,33,18,0.0,11.2,7,100,06:17 PM,06:36 AM,07:01 AM,06:25 PM,5,27,27,28,7,4,24,0.0,1014,33,10,175,4,"aurangabad,maharashtra"
2009-02-10,32,20,0.0,11.3,7,89,07:19 PM,07:20 AM,07:00 AM,06:25 PM,2,25,25,26,18,5,22,0.0,1012,32,10,323,11,"aurangabad,maharashtra"
2009-02-11,30,17,0.0,11.3,6,82,08:17 PM,08:00 AM,07:00 AM,06:26 PM,5,25,25,25,14,0,29,0.0,1013,30,10,248,10,"aurangabad,maharashtra"
2009-02-12,30,16,0.0,11.6,6,74,09:14 PM,08:38 AM,06:59 AM,06:26 PM,1,25,25,26,11,0,21,0.0,1013,30,10,63,7,"aurangabad,maharashtra"
2009-02-13,32,16,0.0,11.6,6,67,10:10 PM,09:15 AM,06:59 AM,06:27 PM,3,26,26,27,9,1,22,0.0,1011,32,10,211,6,"aurangabad,maharashtra"
2009-02-14,33,18,0.0,11.6,6,59,11:05 PM,09:53 AM,06:58 AM,06:27 PM,3,26,26,27,13,2,21,0.0,1011,33,10,211,7,"aurangabad,maharashtra"
2009-02-15,32,17,0.0,11.6,6,51,12:00 AM,10:31 AM,06:58 AM,06:28 PM,5,27,27,28,12,0,26,0.0,1011,32,10,187,7,"aurangabad,maharashtra"
2009-02-16,33,19,0.0,11.6,7,44,No moonrise,11:13 AM,06:57 AM,06:28 PM,3,26,26,27,16,7,23,0.0,1012,33,10,103,10,"aurangabad,maharashtra"
2009-02-17,34,21,0.0,11.6,7,36,12:54 AM,11:58 AM,06:57 AM,06:29 PM,7,28,28,29,7,14,25,0.0,1012,34,10,152,4,"aurangabad,maharashtra"
2009-02-18,35,24,0.0,11.6,7,29,01:48 AM,12:46 PM,06:56 AM,06:29 PM,7,29,29,30,6,9,24,0.0,1011,35,10,145,4,"aurangabad,maharashtra"
2009-02-19,34,22,0.0,11.6,7,21,02:40 AM,01:37 PM,06:55 AM,06:30 PM,5,28,28,29,13,5,22,0.0,1010,34,10,174,8,"aurangabad,maharashtra"
2009-02-20,34,20,0.0,11.6,7,14,03:30 AM,02:29 PM,06:55 AM,06:30 PM,6,28,28,29,13,7,24,0.0,1012,34,10,125,8,"aurangabad,maharashtra"
2009-02-21,34,21,0.0,11.6,7,6,04:15 AM,03:23 PM,06:54 AM,06:30 PM,8,28,28,29,13,9,28,0.0,1012,34,10,125,8,"aurangabad,maharashtra"
2009-02-22,36,21,0.0,11.6,7,0,04:58 AM,04:15 PM,06:53 AM,06:31 PM,7,29,29,30,9,7,26,0.0,1009,36,10,193,6,"aurangabad,maharashtra"
2009-02-23,36,23,0.0,11.6,7,0,05:37 AM,05:08 PM,06:53 AM,06:31 PM,6,30,30,31,12,3,22,0.0,1010,36,10,290,8,"aurangabad,maharashtra"
2009-02-24,37,21,0.0,11.6,7,0,06:13 AM,06:00 PM,06:52 AM,06:32 PM,1,28,28,30,19,0,17,0.0,1010,37,10,304,12,"aurangabad,maharashtra"
2009-02-25,36,20,0.0,11.6,7,1,06:48 AM,06:52 PM,06:51 AM,06:32 PM,3,29,29,30,14,0,19,0.0,1010,36,10,204,8,"aurangabad,maharashtra"
2009-02-26,37,19,0.0,11.6,7,9,07:23 AM,07:45 PM,06:51 AM,06:32 PM,4,31,31,32,7,0,20,0.0,1010,37,10,229,4,"aurangabad,maharashtra"
2009-02-27,37,22,0.0,11.6,7,16,07:57 AM,08:38 PM,06:50 AM,06:33 PM,4,30,30,31,15,0,19,0.0,1011,37,10,295,10,"aurangabad,maharashtra"
2009-02-28,36,20,0.0,11.6,7,24,08:33 AM,09:34 PM,06:49 AM,06:33 PM,4,29,29,31,14,0,19,0.0,1011,36,10,249,9,"aurangabad,maharashtra"
2009-03-01,36,22,0.0,11.6,7,30,09:13 AM,10:32 PM,06:48 AM,06:34 PM,3,30,30,31,14,0,19,0.0,1011,36,10,107,9,"aurangabad,maharashtra"
2009-03-02,37,21,0.0,11.6,7,37,09:57 AM,11:34 PM,06:48 AM,06:34 PM,3,31,31,32,12,0,16,0.0,1011,37,10,78,7,"aurangabad,maharashtra"
2009-03-03,38,22,0.0,11.6,7,45,10:46 AM,No moonset,06:47 AM,06:34 PM,0,32,32,33,11,0,14,0.0,1010,38,10,187,7,"aurangabad,maharashtra"
2009-03-04,38,21,0.0,11.6,7,52,11:43 AM,12:36 AM,06:46 AM,06:35 PM,0,31,31,32,12,0,13,0.0,1010,38,10,223,7,"aurangabad,maharashtra"
2009-03-05,37,22,0.0,11.6,7,59,12:44 PM,01:40 AM,06:45 AM,06:35 PM,2,30,30,31,16,0,16,0.0,1010,37,10,283,10,"aurangabad,maharashtra"
2009-03-06,36,20,0.0,11.6,7,67,01:49 PM,02:40 AM,06:45 AM,06:35 PM,2,30,30,31,12,1,16,0.0,1011,36,10,325,8,"aurangabad,maharashtra"
2009-03-07,36,20,0.0,11.6,7,74,02:55 PM,03:36 AM,06:44 AM,06:36 PM,1,30,30,31,13,0,15,0.0,1010,36,10,288,9,"aurangabad,maharashtra"
2009-03-08,37,21,0.0,11.6,7,81,03:59 PM,04:26 AM,06:43 AM,06:36 PM,3,31,31,32,11,1,17,0.0,1009,37,10,215,7,"aurangabad,maharashtra"
