date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,22,8,0.0,8.7,4,31,10:02 AM,09:48 PM,07:05 AM,05:28 PM,2,14,14,14,14,5,45,0.0,1016,22,10,296,8,"ballia,uttar+pradesh"
2009-01-02,22,6,0.0,8.7,4,38,10:31 AM,10:43 PM,07:05 AM,05:29 PM,3,14,14,14,9,3,51,0.0,1017,22,10,175,5,"ballia,uttar+pradesh"
2009-01-03,22,7,0.0,8.7,4,45,11:01 AM,11:40 PM,07:05 AM,05:30 PM,5,14,14,14,9,9,58,0.0,1017,22,10,142,5,"ballia,uttar+pradesh"
2009-01-04,23,7,0.0,8.7,4,52,11:32 AM,No moonset,07:05 AM,05:30 PM,3,15,16,15,10,16,47,0.0,1015,23,10,134,5,"ballia,uttar+pradesh"
2009-01-05,24,12,0.0,8.7,5,60,12:06 PM,12:39 AM,07:05 AM,05:31 PM,4,16,17,16,12,14,46,0.0,1014,24,10,240,7,"ballia,uttar+pradesh"
2009-01-06,23,12,0.0,8.7,5,67,12:45 PM,01:42 AM,07:06 AM,05:32 PM,5,16,16,16,11,11,51,0.0,1015,23,10,99,6,"ballia,uttar+pradesh"
2009-01-07,24,10,0.0,8.7,5,74,01:31 PM,02:49 AM,07:06 AM,05:33 PM,5,15,16,15,15,18,51,0.0,1017,24,10,145,8,"ballia,uttar+pradesh"
2009-01-08,23,10,0.0,8.7,5,82,02:26 PM,03:59 AM,07:06 AM,05:33 PM,4,17,17,17,14,20,43,0.0,1020,23,10,216,8,"ballia,uttar+pradesh"
2009-01-09,24,10,0.0,8.7,5,89,03:30 PM,05:08 AM,07:06 AM,05:34 PM,6,16,17,16,15,18,51,0.2,1020,24,10,240,8,"ballia,uttar+pradesh"
2009-01-10,24,11,0.0,8.7,5,96,04:41 PM,06:13 AM,07:06 AM,05:35 PM,10,17,17,17,12,15,67,0.0,1019,24,10,228,7,"ballia,uttar+pradesh"
2009-01-11,23,11,0.0,8.7,5,100,05:54 PM,07:11 AM,07:06 AM,05:36 PM,8,16,17,16,17,2,61,0.0,1018,23,10,303,10,"ballia,uttar+pradesh"
2009-01-12,24,8,0.0,8.7,4,89,07:06 PM,08:00 AM,07:06 AM,05:36 PM,4,14,15,14,15,4,52,0.0,1020,24,10,296,9,"ballia,uttar+pradesh"
2009-01-13,23,7,0.0,8.7,4,82,08:14 PM,08:42 AM,07:06 AM,05:37 PM,1,14,14,14,16,23,43,0.0,1021,23,10,310,9,"ballia,uttar+pradesh"
2009-01-14,24,9,0.0,8.7,4,75,09:19 PM,09:19 AM,07:06 AM,05:38 PM,3,14,15,14,19,13,46,0.0,1021,24,10,292,10,"ballia,uttar+pradesh"
2009-01-15,24,8,0.0,7.1,5,68,10:19 PM,09:52 AM,07:06 AM,05:39 PM,3,15,16,15,16,27,43,0.0,1019,24,10,291,9,"ballia,uttar+pradesh"
2009-01-16,24,12,0.0,7.1,5,60,11:18 PM,10:23 AM,07:06 AM,05:40 PM,2,16,16,16,19,29,41,0.0,1019,24,10,296,10,"ballia,uttar+pradesh"
2009-01-17,25,11,0.0,8.7,5,53,No moonrise,10:55 AM,07:05 AM,05:40 PM,7,17,18,17,17,10,53,0.0,1017,25,10,283,9,"ballia,uttar+pradesh"
2009-01-18,27,13,0.0,8.7,5,46,12:15 AM,11:28 AM,07:05 AM,05:41 PM,8,19,19,19,17,12,50,0.0,1016,27,10,303,9,"ballia,uttar+pradesh"
2009-01-19,26,15,0.0,8.7,5,38,01:13 AM,12:03 PM,07:05 AM,05:42 PM,7,19,19,19,26,6,47,0.0,1015,26,10,298,15,"ballia,uttar+pradesh"
2009-01-20,24,12,0.0,8.7,5,31,02:10 AM,12:42 PM,07:05 AM,05:43 PM,9,16,17,16,29,10,62,0.0,1015,24,10,285,17,"ballia,uttar+pradesh"
2009-01-21,22,12,0.0,8.7,5,24,03:06 AM,01:26 PM,07:05 AM,05:44 PM,4,15,16,15,28,15,47,0.0,1013,22,10,287,17,"ballia,uttar+pradesh"
2009-01-22,24,12,0.0,8.7,5,17,04:00 AM,02:13 PM,07:04 AM,05:45 PM,4,16,17,16,24,13,45,0.0,1013,24,10,288,14,"ballia,uttar+pradesh"
