date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,27,14,0.0,8.7,5,31,10:18 AM,10:11 PM,07:14 AM,05:57 PM,2,19,19,19,22,3,33,0.0,1015,27,10,53,12,"banswara,rajasthan"
2009-01-02,29,14,0.0,8.7,5,38,10:50 AM,11:04 PM,07:15 AM,05:58 PM,2,20,20,20,15,13,32,0.0,1015,29,10,126,8,"banswara,rajasthan"
2009-01-03,30,15,0.0,8.7,6,45,11:22 AM,11:58 PM,07:15 AM,05:59 PM,5,22,21,22,16,3,36,0.0,1015,30,10,187,9,"banswara,rajasthan"
2009-01-04,28,13,0.0,8.7,6,52,11:55 AM,No moonset,07:15 AM,05:59 PM,4,22,22,22,11,0,34,0.0,1014,28,10,258,6,"banswara,rajasthan"
2009-01-05,27,13,0.0,10.8,5,60,12:32 PM,12:54 AM,07:16 AM,06:00 PM,10,21,21,21,12,10,51,0.0,1012,27,10,248,7,"banswara,rajasthan"
2009-01-06,27,15,0.0,10.9,5,67,01:14 PM,01:55 AM,07:16 AM,06:01 PM,5,20,20,20,16,3,39,0.0,1013,27,10,218,9,"banswara,rajasthan"
2009-01-07,24,13,0.0,10.9,5,74,02:02 PM,02:59 AM,07:16 AM,06:01 PM,4,18,19,18,19,13,39,0.0,1016,24,10,65,11,"banswara,rajasthan"
2009-01-08,20,15,0.0,10.9,5,82,02:59 PM,04:07 AM,07:16 AM,06:02 PM,7,17,17,17,32,29,52,0.0,1018,20,10,52,21,"banswara,rajasthan"
2009-01-09,26,17,0.0,10.9,6,89,04:03 PM,05:16 AM,07:16 AM,06:03 PM,12,21,22,21,26,34,59,0.0,1018,26,10,72,18,"banswara,rajasthan"
2009-01-10,27,17,0.0,10.9,6,96,05:14 PM,06:21 AM,07:16 AM,06:03 PM,13,22,23,22,18,18,60,0.0,1017,27,10,61,12,"banswara,rajasthan"
2009-01-11,29,19,0.0,10.9,6,100,06:25 PM,07:21 AM,07:16 AM,06:04 PM,12,24,24,24,23,21,49,0.0,1017,29,10,59,15,"banswara,rajasthan"
2009-01-12,30,20,0.0,10.1,6,89,07:34 PM,08:12 AM,07:17 AM,06:05 PM,11,24,24,24,20,29,45,0.0,1018,30,10,71,13,"banswara,rajasthan"
2009-01-13,29,18,0.0,10.9,6,82,08:39 PM,08:56 AM,07:17 AM,06:06 PM,11,23,23,23,16,13,49,0.0,1019,29,10,135,9,"banswara,rajasthan"
2009-01-14,31,20,0.0,10.9,7,75,09:41 PM,09:36 AM,07:17 AM,06:06 PM,11,26,26,25,20,36,42,0.0,1020,31,10,130,12,"banswara,rajasthan"
2009-01-15,30,21,0.0,10.9,6,68,10:38 PM,10:11 AM,07:17 AM,06:07 PM,11,26,26,25,14,12,42,0.0,1019,30,10,114,9,"banswara,rajasthan"
2009-01-16,32,20,0.0,10.9,6,60,11:35 PM,10:46 AM,07:17 AM,06:08 PM,9,25,25,25,18,5,38,0.0,1018,32,10,135,10,"banswara,rajasthan"
2009-01-17,31,19,0.0,10.9,6,53,No moonrise,11:20 AM,07:17 AM,06:08 PM,8,24,24,24,11,20,38,0.0,1016,31,10,193,6,"banswara,rajasthan"
2009-01-18,31,17,0.0,10.9,6,46,12:30 AM,11:55 AM,07:16 AM,06:09 PM,8,24,24,24,14,6,38,0.0,1015,31,10,180,8,"banswara,rajasthan"
2009-01-19,29,18,0.0,10.9,6,38,01:25 AM,12:32 PM,07:16 AM,06:10 PM,8,22,22,23,24,3,42,0.0,1016,29,10,43,15,"banswara,rajasthan"
2009-01-20,29,18,0.0,10.1,6,31,02:20 AM,01:13 PM,07:16 AM,06:11 PM,10,23,23,23,20,18,45,0.0,1016,29,10,54,12,"banswara,rajasthan"
2009-01-21,26,19,0.0,11.0,6,24,03:15 AM,01:58 PM,07:16 AM,06:11 PM,6,22,22,22,17,22,38,0.0,1016,26,10,48,10,"banswara,rajasthan"
2009-01-22,30,17,0.0,11.0,6,17,04:08 AM,02:46 PM,07:16 AM,06:12 PM,3,22,22,23,14,19,29,0.0,1015,30,10,135,7,"banswara,rajasthan"
2009-01-23,32,17,0.0,11.0,6,9,04:59 AM,03:38 PM,07:16 AM,06:13 PM,0,22,22,23,22,17,23,0.0,1014,32,10,62,12,"banswara,rajasthan"
2009-01-24,32,18,0.0,7.0,5,2,05:47 AM,04:32 PM,07:15 AM,06:13 PM,2,23,23,24,15,60,25,0.0,1012,32,10,105,8,"banswara,rajasthan"
2009-01-25,32,19,0.0,11.0,6,0,06:31 AM,05:27 PM,07:15 AM,06:14 PM,5,24,24,25,16,2,30,0.0,1012,32,10,248,10,"banswara,rajasthan"
2009-01-26,30,16,0.0,11.0,6,0,07:11 AM,06:21 PM,07:15 AM,06:15 PM,6,23,22,23,17,0,37,0.0,1013,30,10,273,10,"banswara,rajasthan"
2009-01-27,29,15,0.0,11.0,6,5,07:47 AM,07:15 PM,07:15 AM,06:15 PM,2,22,21,22,16,0,27,0.0,1014,29,10,165,9,"banswara,rajasthan"
2009-01-28,30,14,0.0,11.0,6,12,08:20 AM,08:07 PM,07:14 AM,06:16 PM,1,22,21,22,15,0,26,0.0,1014,30,10,158,8,"banswara,rajasthan"
2009-01-29,31,15,0.0,10.1,6,20,08:53 AM,09:00 PM,07:14 AM,06:17 PM,-0,22,22,22,16,26,24,0.0,1014,31,10,197,9,"banswara,rajasthan"
