date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,22,8,0.0,8.7,4,31,10:21 AM,10:05 PM,07:27 AM,05:41 PM,0,14,14,14,14,10,41,0.0,1016,22,10,282,8,"bhatinda,punjab"
2009-01-02,22,8,0.0,8.7,4,38,10:50 AM,11:01 PM,07:27 AM,05:42 PM,2,14,14,14,11,3,47,0.0,1016,22,10,51,6,"bhatinda,punjab"
2009-01-03,22,8,0.0,8.7,4,45,11:18 AM,11:59 PM,07:27 AM,05:43 PM,1,14,14,14,15,17,42,0.0,1016,22,10,97,8,"bhatinda,punjab"
2009-01-04,23,12,0.0,8.7,5,52,11:48 AM,No moonset,07:27 AM,05:44 PM,4,16,17,16,20,23,44,0.0,1015,23,10,42,12,"bhatinda,punjab"
2009-01-05,21,10,0.0,8.7,4,60,12:21 PM,01:00 AM,07:28 AM,05:44 PM,4,14,15,14,19,3,50,0.0,1015,21,10,255,10,"bhatinda,punjab"
2009-01-06,21,6,0.0,8.7,4,67,12:59 PM,02:04 AM,07:28 AM,05:45 PM,3,14,15,14,12,3,49,0.0,1016,21,10,187,6,"bhatinda,punjab"
2009-01-07,20,7,0.0,8.7,4,74,01:45 PM,03:12 AM,07:28 AM,05:46 PM,0,13,13,13,13,4,42,0.0,1019,20,10,183,7,"bhatinda,punjab"
2009-01-08,20,7,0.0,8.7,4,82,02:39 PM,04:22 AM,07:28 AM,05:47 PM,5,14,14,14,9,0,57,0.0,1021,20,10,199,5,"bhatinda,punjab"
2009-01-09,20,6,0.0,8.7,4,89,03:43 PM,05:33 AM,07:28 AM,05:47 PM,4,13,13,13,10,13,57,0.0,1021,20,10,106,5,"bhatinda,punjab"
2009-01-10,21,7,0.0,8.7,4,96,04:54 PM,06:37 AM,07:28 AM,05:48 PM,2,13,14,13,16,0,46,0.0,1021,21,10,213,9,"bhatinda,punjab"
2009-01-11,21,6,0.0,7.1,4,100,06:08 PM,07:34 AM,07:28 AM,05:49 PM,1,13,13,13,12,21,45,0.0,1020,21,10,262,7,"bhatinda,punjab"
2009-01-12,21,6,0.0,8.7,4,89,07:22 PM,08:22 AM,07:28 AM,05:50 PM,5,13,14,13,9,6,59,0.0,1021,21,10,108,5,"bhatinda,punjab"
2009-01-13,22,5,0.0,8.7,4,82,08:30 PM,09:03 AM,07:28 AM,05:51 PM,4,14,15,14,10,3,54,0.0,1023,22,10,60,5,"bhatinda,punjab"
2009-01-14,23,8,0.0,8.7,4,75,09:36 PM,09:38 AM,07:28 AM,05:52 PM,0,13,14,13,16,6,41,0.0,1022,23,10,215,8,"bhatinda,punjab"
2009-01-15,24,9,0.0,8.7,4,68,10:38 PM,10:10 AM,07:28 AM,05:52 PM,1,15,15,15,15,10,39,0.0,1020,24,10,74,8,"bhatinda,punjab"
2009-01-16,19,12,0.0,8.7,5,60,11:38 PM,10:40 AM,07:27 AM,05:53 PM,3,15,16,15,17,29,44,0.2,1020,19,10,147,9,"bhatinda,punjab"
2009-01-17,18,11,0.0,8.7,4,53,No moonrise,11:11 AM,07:27 AM,05:54 PM,9,13,14,13,18,29,72,0.0,1019,18,10,168,10,"bhatinda,punjab"
2009-01-18,19,11,0.0,7.1,4,46,12:37 AM,11:43 AM,07:27 AM,05:55 PM,13,15,15,15,8,42,87,3.3,1017,19,8,156,5,"bhatinda,punjab"
2009-01-19,21,11,0.0,8.7,4,38,01:35 AM,12:17 PM,07:27 AM,05:56 PM,11,15,15,15,16,12,77,0.0,1019,21,7,327,9,"bhatinda,punjab"
2009-01-20,22,8,0.0,8.7,4,31,02:33 AM,12:55 PM,07:26 AM,05:57 PM,6,13,14,13,18,12,61,0.0,1018,22,10,320,10,"bhatinda,punjab"
2009-01-21,22,8,0.0,8.7,4,24,03:30 AM,01:38 PM,07:26 AM,05:57 PM,3,14,14,14,17,6,50,0.0,1016,22,10,303,9,"bhatinda,punjab"
2009-01-22,19,9,0.0,8.7,4,17,04:24 AM,02:26 PM,07:26 AM,05:58 PM,3,14,14,14,9,34,48,0.0,1015,19,10,247,5,"bhatinda,punjab"
2009-01-23,24,12,0.0,8.7,5,9,05:16 AM,03:18 PM,07:26 AM,05:59 PM,3,16,17,16,20,32,39,0.0,1015,24,10,326,11,"bhatinda,punjab"
2009-01-24,21,15,0.0,10.0,5,2,06:02 AM,04:13 PM,07:25 AM,06:00 PM,6,17,17,17,20,43,47,0.0,1012,21,10,172,10,"bhatinda,punjab"
2009-01-25,25,12,0.0,10.8,5,0,06:44 AM,05:10 PM,07:25 AM,06:01 PM,6,18,18,18,17,5,48,0.0,1010,25,10,161,9,"bhatinda,punjab"
2009-01-26,24,10,0.0,10.8,5,0,07:21 AM,06:07 PM,07:24 AM,06:02 PM,9,18,18,18,11,0,62,0.0,1012,24,10,254,6,"bhatinda,punjab"
2009-01-27,23,9,0.0,10.8,5,5,07:54 AM,07:04 PM,07:24 AM,06:03 PM,10,17,17,17,11,2,65,0.0,1014,23,10,258,6,"bhatinda,punjab"
2009-01-28,23,10,0.0,10.8,5,12,08:25 AM,08:00 PM,07:23 AM,06:03 PM,8,16,17,16,19,0,61,0.0,1014,23,10,312,10,"bhatinda,punjab"
2009-01-29,23,8,0.0,10.8,4,20,08:54 AM,08:57 PM,07:23 AM,06:04 PM,9,16,17,16,12,5,65,0.0,1015,23,10,160,6,"bhatinda,punjab"
2009-01-30,23,8,0.0,10.8,5,27,09:22 AM,09:54 PM,07:22 AM,06:05 PM,10,17,17,17,12,2,65,0.0,1015,23,10,189,7,"bhatinda,punjab"
2009-01-31,23,10,0.0,10.8,5,31,09:51 AM,10:53 PM,07:22 AM,06:06 PM,7,15,16,15,19,2,57,0.0,1015,23,10,319,11,"bhatinda,punjab"
2009-02-01,24,9,0.0,10.9,4,43,10:22 AM,11:54 PM,07:21 AM,06:07 PM,5,15,15,15,14,10,52,0.0,1015,24,10,302,8,"bhatinda,punjab"
2009-02-02,24,7,0.0,10.9,4,50,10:57 AM,No moonset,07:21 AM,06:08 PM,5,15,15,15,11,6,54,0.0,1016,24,10,188,6,"bhatinda,punjab"
2009-02-03,25,9,0.0,10.9,5,58,11:38 AM,12:59 AM,07:20 AM,06:09 PM,6,17,17,17,13,4,49,0.0,1015,25,10,108,7,"bhatinda,punjab"
2009-02-04,26,11,0.0,10.9,5,66,12:27 PM,02:06 AM,07:19 AM,06:09 PM,5,18,18,18,19,10,42,0.0,1014,26,10,84,10,"bhatinda,punjab"
2009-02-05,26,11,0.0,10.9,5,73,01:24 PM,03:14 AM,07:19 AM,06:10 PM,7,18,18,18,18,25,52,0.0,1012,26,10,138,10,"bhatinda,punjab"
2009-02-06,25,12,0.0,10.9,5,81,02:30 PM,04:19 AM,07:18 AM,06:11 PM,9,18,19,18,19,13,59,0.0,1015,25,10,199,11,"bhatinda,punjab"
2009-02-07,23,9,0.0,11.0,4,88,03:42 PM,05:18 AM,07:17 AM,06:12 PM,5,14,15,14,20,10,53,0.0,1017,23,10,321,11,"bhatinda,punjab"
2009-02-08,23,6,0.0,11.0,4,96,04:54 PM,06:09 AM,07:16 AM,06:13 PM,6,15,15,15,10,4,58,0.0,1017,23,10,307,5,"bhatinda,punjab"
2009-02-09,21,7,0.0,11.0,4,100,06:05 PM,06:53 AM,07:16 AM,06:14 PM,5,15,15,15,11,21,51,0.0,1015,21,10,153,6,"bhatinda,punjab"
2009-02-10,18,10,0.0,11.0,4,89,07:14 PM,07:31 AM,07:15 AM,06:14 PM,8,13,13,13,17,39,70,0.5,1012,18,9,29,10,"bhatinda,punjab"
2009-02-11,21,9,0.0,11.0,4,82,08:18 PM,08:05 AM,07:14 AM,06:15 PM,10,14,15,14,15,30,78,0.0,1015,21,8,154,8,"bhatinda,punjab"
2009-02-12,23,7,0.0,11.0,4,74,09:21 PM,08:37 AM,07:13 AM,06:16 PM,10,16,16,16,9,7,71,0.0,1015,23,10,276,6,"bhatinda,punjab"
2009-02-13,26,7,0.0,11.1,5,67,10:22 PM,09:09 AM,07:12 AM,06:17 PM,8,18,18,18,14,6,57,0.0,1009,26,10,134,8,"bhatinda,punjab"
2009-02-14,25,8,0.0,11.1,5,59,11:23 PM,09:41 AM,07:11 AM,06:18 PM,7,18,18,18,15,0,53,0.0,1014,25,10,191,9,"bhatinda,punjab"
2009-02-15,24,8,0.0,11.1,4,51,No moonrise,10:15 AM,07:11 AM,06:18 PM,6,14,15,14,18,8,57,0.0,1015,24,10,284,10,"bhatinda,punjab"
2009-02-16,23,6,0.0,11.1,4,44,12:22 AM,10:52 AM,07:10 AM,06:19 PM,4,14,15,14,13,8,52,0.0,1015,23,10,242,7,"bhatinda,punjab"
2009-02-17,24,6,0.0,11.1,4,36,01:20 AM,11:34 AM,07:09 AM,06:20 PM,5,15,16,15,13,10,53,0.0,1015,24,10,252,7,"bhatinda,punjab"
2009-02-18,26,7,0.0,11.1,5,29,02:16 AM,12:20 PM,07:08 AM,06:21 PM,5,16,17,16,17,8,49,0.0,1015,26,10,257,10,"bhatinda,punjab"
2009-02-19,26,10,0.0,11.1,5,21,03:10 AM,01:11 PM,07:07 AM,06:21 PM,6,17,18,17,19,23,49,0.0,1013,26,10,166,10,"bhatinda,punjab"
2009-02-20,28,11,0.0,11.2,5,14,03:58 AM,02:05 PM,07:06 AM,06:22 PM,9,20,20,20,15,3,50,0.0,1015,28,10,98,8,"bhatinda,punjab"
2009-02-21,28,14,0.0,11.2,5,6,04:41 AM,03:01 PM,07:05 AM,06:23 PM,5,19,19,19,23,10,40,0.0,1015,28,10,104,13,"bhatinda,punjab"
2009-02-22,27,13,0.0,10.1,5,0,05:20 AM,03:58 PM,07:04 AM,06:24 PM,6,20,20,20,16,30,42,0.0,1011,27,10,177,8,"bhatinda,punjab"
2009-02-23,29,12,0.0,11.2,6,0,05:55 AM,04:56 PM,07:03 AM,06:24 PM,7,21,21,21,14,6,41,0.0,1008,29,10,32,7,"bhatinda,punjab"
2009-02-24,29,14,0.0,11.2,6,0,06:26 AM,05:53 PM,07:02 AM,06:25 PM,7,21,21,21,21,3,41,0.0,1009,29,10,127,12,"bhatinda,punjab"
2009-02-25,28,12,0.0,11.3,5,1,06:56 AM,06:50 PM,07:01 AM,06:26 PM,7,20,20,20,15,6,46,0.0,1009,28,10,124,8,"bhatinda,punjab"
2009-02-26,28,15,0.0,11.3,6,9,07:25 AM,07:48 PM,07:00 AM,06:27 PM,5,21,20,21,18,8,35,0.0,1009,28,10,146,10,"bhatinda,punjab"
2009-02-27,28,12,0.0,11.6,5,16,07:54 AM,08:47 PM,06:59 AM,06:27 PM,3,19,19,19,18,3,34,0.0,1011,28,10,171,11,"bhatinda,punjab"
2009-02-28,27,11,0.0,11.6,5,24,08:25 AM,09:48 PM,06:58 AM,06:28 PM,2,18,18,18,20,1,34,0.0,1012,27,10,247,12,"bhatinda,punjab"
