date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,26,16,0.0,8.7,5,31,09:49 AM,09:39 PM,06:47 AM,05:26 PM,15,23,24,23,11,1,61,0.0,1014,26,10,337,8,"bishnupur,manipur"
2009-01-02,25,15,0.0,8.7,5,38,10:19 AM,10:32 PM,06:48 AM,05:26 PM,12,23,23,23,11,0,55,0.0,1015,25,10,252,8,"bishnupur,manipur"
2009-01-03,25,14,0.0,8.7,5,45,10:51 AM,11:27 PM,06:48 AM,05:27 PM,12,22,23,22,12,0,54,0.0,1016,25,10,249,8,"bishnupur,manipur"
2009-01-04,25,14,0.0,8.7,5,52,11:24 AM,No moonset,06:48 AM,05:28 PM,12,22,22,22,13,3,56,0.0,1014,25,10,326,8,"bishnupur,manipur"
2009-01-05,26,13,0.0,8.7,5,60,11:59 AM,12:24 AM,06:48 AM,05:28 PM,10,22,22,22,9,2,49,0.0,1012,26,10,236,5,"bishnupur,manipur"
2009-01-06,27,15,0.0,8.7,5,67,12:40 PM,01:25 AM,06:49 AM,05:29 PM,12,23,24,23,9,2,50,0.0,1013,27,10,59,5,"bishnupur,manipur"
2009-01-07,27,18,0.0,8.7,6,74,01:28 PM,02:30 AM,06:49 AM,05:30 PM,12,23,23,23,11,7,52,0.0,1015,27,10,35,7,"bishnupur,manipur"
2009-01-08,27,17,0.0,8.7,6,82,02:23 PM,03:39 AM,06:49 AM,05:30 PM,11,22,23,22,11,19,52,0.0,1018,27,10,73,7,"bishnupur,manipur"
2009-01-09,28,15,0.0,8.7,6,89,03:28 PM,04:47 AM,06:49 AM,05:31 PM,11,22,23,22,12,7,52,0.0,1018,28,10,182,7,"bishnupur,manipur"
2009-01-10,27,16,0.0,8.7,6,96,04:38 PM,05:53 AM,06:49 AM,05:32 PM,10,23,23,23,15,3,46,0.0,1017,27,10,260,10,"bishnupur,manipur"
2009-01-11,27,16,0.0,8.7,6,100,05:50 PM,06:52 AM,06:49 AM,05:33 PM,10,22,22,22,13,5,48,0.0,1016,27,10,279,8,"bishnupur,manipur"
2009-01-12,27,16,0.0,8.7,6,89,07:00 PM,07:43 AM,06:49 AM,05:33 PM,13,24,25,24,11,1,51,0.0,1018,27,10,287,7,"bishnupur,manipur"
2009-01-13,26,15,0.0,8.7,5,82,08:06 PM,08:27 AM,06:49 AM,05:34 PM,13,24,24,24,9,0,53,0.0,1020,26,10,183,6,"bishnupur,manipur"
2009-01-14,27,15,0.0,8.7,6,75,09:08 PM,09:06 AM,06:49 AM,05:35 PM,13,24,25,24,9,0,50,0.0,1019,27,10,192,6,"bishnupur,manipur"
2009-01-15,28,15,0.0,8.7,6,68,10:07 PM,09:41 AM,06:49 AM,05:36 PM,13,24,25,24,11,0,50,0.0,1018,28,10,261,7,"bishnupur,manipur"
2009-01-16,29,15,0.0,8.7,6,60,11:04 PM,10:14 AM,06:49 AM,05:36 PM,13,25,25,25,9,1,49,0.0,1017,29,10,260,6,"bishnupur,manipur"
2009-01-17,28,15,0.0,8.7,6,53,12:00 AM,10:48 AM,06:49 AM,05:37 PM,12,25,26,25,11,0,48,0.0,1016,28,10,296,8,"bishnupur,manipur"
2009-01-18,28,15,0.0,8.7,6,46,No moonrise,11:23 AM,06:49 AM,05:38 PM,11,25,25,25,11,0,44,0.0,1014,28,10,287,7,"bishnupur,manipur"
2009-01-19,29,14,0.0,8.7,6,38,12:56 AM,11:59 AM,06:49 AM,05:38 PM,12,25,25,25,10,0,46,0.0,1013,29,10,292,6,"bishnupur,manipur"
2009-01-20,29,16,0.0,8.7,6,31,01:51 AM,12:39 PM,06:49 AM,05:39 PM,13,25,26,25,13,1,48,0.0,1012,29,10,284,8,"bishnupur,manipur"
2009-01-21,28,16,0.0,8.7,6,24,02:46 AM,01:23 PM,06:49 AM,05:40 PM,11,23,24,23,14,3,46,0.0,1013,28,10,306,8,"bishnupur,manipur"
2009-01-22,28,15,0.0,8.7,6,17,03:40 AM,02:11 PM,06:48 AM,05:41 PM,9,23,23,23,13,3,43,0.0,1012,28,10,295,8,"bishnupur,manipur"
2009-01-23,28,14,0.0,8.7,6,9,04:31 AM,03:03 PM,06:48 AM,05:41 PM,12,25,25,25,10,0,46,0.0,1011,28,10,290,7,"bishnupur,manipur"
2009-01-24,28,14,0.0,8.7,6,2,05:19 AM,03:57 PM,06:48 AM,05:42 PM,11,25,25,25,8,0,42,0.0,1011,28,10,156,5,"bishnupur,manipur"
2009-01-25,29,15,0.0,8.7,6,0,06:03 AM,04:52 PM,06:48 AM,05:43 PM,13,25,25,25,8,5,48,0.0,1011,29,10,179,5,"bishnupur,manipur"
2009-01-26,30,16,0.0,8.7,6,0,06:42 AM,05:47 PM,06:47 AM,05:44 PM,15,27,27,26,9,5,56,0.0,1010,30,10,182,6,"bishnupur,manipur"
2009-01-27,32,17,0.0,8.7,6,5,07:18 AM,06:41 PM,06:47 AM,05:44 PM,15,28,28,26,12,1,54,0.0,1011,32,10,180,8,"bishnupur,manipur"
2009-01-28,31,16,0.0,8.7,6,12,07:51 AM,07:35 PM,06:47 AM,05:45 PM,11,27,27,26,12,1,41,0.0,1011,31,10,264,7,"bishnupur,manipur"
