date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,28,11,0.0,11.6,5,31,10:01 AM,10:07 PM,06:44 AM,06:09 PM,13,22,22,22,10,1,62,0.0,1013,28,9,87,6,"chamarajanagar,karnataka"
2009-01-02,28,12,0.0,11.6,5,38,10:38 AM,10:55 PM,06:45 AM,06:10 PM,14,21,21,21,10,4,65,0.0,1014,28,9,81,6,"chamarajanagar,karnataka"
2009-01-03,27,13,0.0,11.6,5,45,11:15 AM,11:44 PM,06:45 AM,06:11 PM,15,21,21,21,11,27,71,0.0,1014,27,9,94,7,"chamarajanagar,karnataka"
2009-01-04,28,14,0.0,11.6,6,52,11:54 AM,No moonset,06:45 AM,06:11 PM,14,22,22,22,10,19,65,0.0,1014,28,9,93,6,"chamarajanagar,karnataka"
2009-01-05,28,13,0.0,11.6,6,60,12:36 PM,12:34 AM,06:46 AM,06:12 PM,14,22,22,22,10,7,64,0.0,1012,28,9,106,6,"chamarajanagar,karnataka"
2009-01-06,28,14,0.0,11.6,6,67,01:23 PM,01:30 AM,06:46 AM,06:12 PM,12,22,22,22,10,4,56,0.0,1012,28,10,106,6,"chamarajanagar,karnataka"
2009-01-07,27,12,0.0,11.6,6,74,02:16 PM,02:29 AM,06:46 AM,06:13 PM,14,22,23,22,10,14,63,0.0,1013,27,10,109,7,"chamarajanagar,karnataka"
2009-01-08,25,19,0.0,11.6,6,82,03:16 PM,03:33 AM,06:47 AM,06:13 PM,18,22,23,22,9,44,79,0.2,1015,25,10,105,7,"chamarajanagar,karnataka"
2009-01-09,28,17,0.0,11.6,6,89,04:21 PM,04:40 AM,06:47 AM,06:14 PM,16,22,23,22,12,31,71,0.1,1016,28,9,94,8,"chamarajanagar,karnataka"
2009-01-10,28,16,0.0,11.6,6,96,05:30 PM,05:46 AM,06:47 AM,06:14 PM,14,22,22,22,14,15,64,0.0,1015,28,9,87,10,"chamarajanagar,karnataka"
2009-01-11,28,15,0.0,11.6,6,100,06:37 PM,06:48 AM,06:47 AM,06:15 PM,14,22,22,22,12,23,67,0.0,1016,28,9,87,8,"chamarajanagar,karnataka"
2009-01-12,28,15,0.0,11.6,6,89,07:41 PM,07:45 AM,06:48 AM,06:16 PM,13,22,22,22,13,19,64,0.0,1017,28,9,85,9,"chamarajanagar,karnataka"
2009-01-13,27,13,0.0,11.6,5,82,08:40 PM,08:35 AM,06:48 AM,06:16 PM,14,21,22,21,15,7,65,0.0,1017,27,9,82,11,"chamarajanagar,karnataka"
2009-01-14,25,15,0.0,11.6,5,75,09:35 PM,09:20 AM,06:48 AM,06:17 PM,14,20,20,20,15,27,72,0.0,1018,25,9,73,11,"chamarajanagar,karnataka"
2009-01-15,27,14,0.0,11.6,6,68,10:27 PM,10:02 AM,06:48 AM,06:17 PM,14,21,22,21,14,25,68,0.0,1017,27,10,86,10,"chamarajanagar,karnataka"
2009-01-16,28,15,0.0,11.6,6,60,11:18 PM,10:42 AM,06:48 AM,06:18 PM,13,22,21,22,12,19,65,0.0,1017,28,9,85,8,"chamarajanagar,karnataka"
2009-01-17,28,14,0.0,11.6,6,53,No moonrise,11:21 AM,06:49 AM,06:18 PM,14,22,21,22,13,6,66,0.0,1016,28,9,87,9,"chamarajanagar,karnataka"
2009-01-18,28,15,0.0,11.6,6,46,12:08 AM,12:01 PM,06:49 AM,06:19 PM,13,22,21,22,12,22,65,0.0,1015,28,8,79,8,"chamarajanagar,karnataka"
2009-01-19,29,15,0.0,11.6,6,38,12:58 AM,12:43 PM,06:49 AM,06:19 PM,13,22,22,22,13,20,61,0.0,1014,29,9,94,9,"chamarajanagar,karnataka"
2009-01-20,29,13,0.0,11.6,6,31,01:49 AM,01:28 PM,06:49 AM,06:20 PM,11,23,23,23,12,1,52,0.0,1014,29,10,85,8,"chamarajanagar,karnataka"
2009-01-21,30,13,0.0,11.6,6,24,02:41 AM,02:14 PM,06:49 AM,06:20 PM,9,23,23,23,11,1,49,0.0,1014,30,9,80,8,"chamarajanagar,karnataka"
2009-01-22,30,13,0.0,11.6,6,17,03:33 AM,03:04 PM,06:49 AM,06:21 PM,11,23,23,23,11,0,48,0.0,1013,30,10,96,7,"chamarajanagar,karnataka"
2009-01-23,31,13,0.0,11.6,6,9,04:23 AM,03:55 PM,06:49 AM,06:21 PM,11,25,24,25,10,0,47,0.0,1012,31,10,73,6,"chamarajanagar,karnataka"
2009-01-24,31,13,0.0,11.6,6,2,05:13 AM,04:47 PM,06:49 AM,06:22 PM,9,24,24,24,10,0,44,0.0,1012,31,10,109,7,"chamarajanagar,karnataka"
2009-01-25,31,12,0.0,11.6,6,0,05:59 AM,05:39 PM,06:49 AM,06:22 PM,10,24,24,24,9,4,46,0.0,1012,31,10,111,6,"chamarajanagar,karnataka"
2009-01-26,31,13,0.0,11.6,6,0,06:42 AM,06:28 PM,06:49 AM,06:23 PM,13,24,24,24,11,5,55,0.0,1013,31,10,107,7,"chamarajanagar,karnataka"
2009-01-27,30,15,0.0,11.6,6,5,07:24 AM,07:18 PM,06:49 AM,06:23 PM,17,25,25,24,8,25,69,0.8,1013,30,9,130,6,"chamarajanagar,karnataka"
2009-01-28,32,18,0.0,11.6,6,12,08:02 AM,08:05 PM,06:49 AM,06:23 PM,17,26,26,25,7,23,64,0.1,1013,32,8,159,5,"chamarajanagar,karnataka"
2009-01-29,32,17,0.0,11.6,6,20,08:39 AM,08:53 PM,06:49 AM,06:24 PM,14,25,25,25,11,5,56,0.0,1013,32,9,118,8,"chamarajanagar,karnataka"
2009-01-30,31,15,0.0,11.6,6,27,09:16 AM,09:41 PM,06:49 AM,06:24 PM,9,24,24,24,12,6,45,0.0,1013,31,10,109,8,"chamarajanagar,karnataka"
2009-01-31,31,14,0.0,11.6,6,31,09:54 AM,10:30 PM,06:49 AM,06:25 PM,9,24,24,24,13,3,43,0.0,1013,31,10,107,8,"chamarajanagar,karnataka"
2009-02-01,32,13,0.0,11.6,6,43,10:34 AM,11:23 PM,06:49 AM,06:25 PM,11,25,25,25,9,0,48,0.0,1014,32,10,115,7,"chamarajanagar,karnataka"
2009-02-02,32,13,0.0,11.6,6,50,11:18 AM,No moonset,06:49 AM,06:25 PM,11,25,25,26,9,0,47,0.0,1014,32,10,117,6,"chamarajanagar,karnataka"
2009-02-03,31,15,0.0,11.6,6,58,12:07 PM,12:19 AM,06:48 AM,06:26 PM,12,25,25,25,10,2,49,0.0,1014,31,10,137,7,"chamarajanagar,karnataka"
2009-02-04,32,15,0.0,11.6,6,66,01:02 PM,01:19 AM,06:48 AM,06:26 PM,12,25,25,25,9,3,50,0.0,1014,32,10,143,5,"chamarajanagar,karnataka"
2009-02-05,31,15,0.0,11.6,6,73,02:02 PM,02:22 AM,06:48 AM,06:27 PM,12,24,24,24,11,6,51,0.0,1014,31,10,115,7,"chamarajanagar,karnataka"
2009-02-06,31,14,0.0,11.6,6,81,03:08 PM,03:27 AM,06:48 AM,06:27 PM,11,25,25,25,10,2,45,0.0,1014,31,10,106,6,"chamarajanagar,karnataka"
2009-02-07,31,15,0.0,11.6,6,88,04:14 PM,04:29 AM,06:48 AM,06:27 PM,12,24,24,25,12,3,50,0.0,1013,31,10,109,8,"chamarajanagar,karnataka"
2009-02-08,31,14,0.0,11.6,6,96,05:19 PM,05:28 AM,06:47 AM,06:28 PM,12,24,24,25,11,4,51,0.0,1014,31,9,84,7,"chamarajanagar,karnataka"
2009-02-09,30,15,0.0,11.6,6,100,06:20 PM,06:20 AM,06:47 AM,06:28 PM,12,24,24,24,15,3,51,0.0,1015,30,10,95,11,"chamarajanagar,karnataka"
2009-02-10,31,13,0.0,11.6,6,89,07:18 PM,07:08 AM,06:47 AM,06:28 PM,10,25,24,25,8,1,46,0.0,1014,31,10,108,6,"chamarajanagar,karnataka"
2009-02-11,32,13,0.0,11.6,6,82,08:13 PM,07:52 AM,06:46 AM,06:29 PM,12,26,26,26,8,2,49,0.0,1013,32,10,136,5,"chamarajanagar,karnataka"
2009-02-12,32,16,0.0,11.6,6,74,09:06 PM,08:34 AM,06:46 AM,06:29 PM,15,26,26,26,9,9,58,0.0,1013,32,9,229,6,"chamarajanagar,karnataka"
2009-02-13,33,16,0.0,11.6,6,67,09:57 PM,09:15 AM,06:46 AM,06:29 PM,12,26,26,26,7,5,49,0.0,1012,33,10,220,5,"chamarajanagar,karnataka"
2009-02-14,32,15,0.0,11.6,6,59,10:49 PM,09:56 AM,06:46 AM,06:29 PM,12,25,25,25,7,6,51,0.0,1012,32,10,177,4,"chamarajanagar,karnataka"
2009-02-15,32,15,0.0,11.6,6,51,11:41 PM,10:38 AM,06:45 AM,06:30 PM,11,25,25,25,8,3,48,0.0,1011,32,10,144,5,"chamarajanagar,karnataka"
2009-02-16,32,15,0.0,11.6,6,44,No moonrise,11:22 AM,06:45 AM,06:30 PM,8,25,25,26,12,1,38,0.0,1012,32,10,113,8,"chamarajanagar,karnataka"
2009-02-17,31,15,0.0,11.6,6,36,12:33 AM,12:09 PM,06:44 AM,06:30 PM,9,24,24,25,13,0,40,0.0,1013,31,10,86,9,"chamarajanagar,karnataka"
2009-02-18,31,14,0.0,11.6,6,29,01:26 AM,12:58 PM,06:44 AM,06:30 PM,11,24,24,25,11,1,46,0.0,1012,31,10,87,8,"chamarajanagar,karnataka"
2009-02-19,32,15,0.0,11.6,6,21,02:17 AM,01:49 PM,06:44 AM,06:31 PM,10,25,25,25,14,1,44,0.0,1011,32,10,90,10,"chamarajanagar,karnataka"
2009-02-20,32,14,0.0,11.6,6,14,03:07 AM,02:40 PM,06:43 AM,06:31 PM,12,25,25,25,14,1,48,0.0,1012,32,10,91,10,"chamarajanagar,karnataka"
2009-02-21,32,17,0.0,11.6,6,6,03:55 AM,03:32 PM,06:43 AM,06:31 PM,16,26,26,25,12,8,59,0.0,1012,32,9,98,9,"chamarajanagar,karnataka"
2009-02-22,34,17,0.0,11.6,7,0,04:39 AM,04:22 PM,06:42 AM,06:31 PM,15,27,27,27,13,5,53,0.0,1010,34,9,103,9,"chamarajanagar,karnataka"
2009-02-23,34,17,0.0,11.6,7,0,05:21 AM,05:12 PM,06:42 AM,06:31 PM,14,28,28,28,10,4,49,0.0,1011,34,10,120,7,"chamarajanagar,karnataka"
2009-02-24,35,18,0.0,11.6,7,0,06:01 AM,06:01 PM,06:41 AM,06:32 PM,13,28,28,28,8,7,48,0.0,1011,35,10,174,5,"chamarajanagar,karnataka"
2009-02-25,36,18,0.0,11.6,7,1,06:39 AM,06:49 PM,06:41 AM,06:32 PM,15,29,29,29,10,4,49,0.0,1010,36,10,194,6,"chamarajanagar,karnataka"
2009-02-26,37,19,0.0,11.6,7,9,07:17 AM,07:38 PM,06:40 AM,06:32 PM,15,30,30,29,7,7,46,0.0,1010,37,10,167,5,"chamarajanagar,karnataka"
2009-02-27,36,19,0.0,11.6,7,16,07:55 AM,08:27 PM,06:40 AM,06:32 PM,11,29,29,28,10,2,42,0.0,1011,36,10,156,7,"chamarajanagar,karnataka"
2009-02-28,35,16,0.0,11.6,7,24,08:34 AM,09:20 PM,06:39 AM,06:32 PM,8,29,29,29,10,0,35,0.0,1011,35,10,181,6,"chamarajanagar,karnataka"
2009-03-01,36,16,0.0,11.6,7,30,09:18 AM,10:15 PM,06:39 AM,06:32 PM,10,29,29,29,9,0,39,0.0,1011,36,10,182,7,"chamarajanagar,karnataka"
2009-03-02,36,17,0.0,11.6,7,37,10:05 AM,11:13 PM,06:38 AM,06:33 PM,10,29,29,29,7,0,37,0.0,1011,36,10,136,5,"chamarajanagar,karnataka"
2009-03-03,35,16,0.0,11.6,7,45,10:57 AM,No moonset,06:38 AM,06:33 PM,9,29,29,29,8,1,35,0.0,1011,35,10,134,6,"chamarajanagar,karnataka"
2009-03-04,35,18,0.0,11.6,7,52,11:54 AM,12:14 AM,06:37 AM,06:33 PM,13,29,29,29,10,2,44,0.0,1011,35,10,163,7,"chamarajanagar,karnataka"
2009-03-05,35,18,0.0,11.6,7,59,12:56 PM,01:17 AM,06:37 AM,06:33 PM,12,29,29,29,11,1,45,0.0,1011,35,10,200,7,"chamarajanagar,karnataka"
2009-03-06,36,18,0.0,11.6,7,67,02:00 PM,02:18 AM,06:36 AM,06:33 PM,12,30,30,30,9,0,43,0.0,1011,36,10,181,6,"chamarajanagar,karnataka"
2009-03-07,36,17,0.0,11.6,7,74,03:03 PM,03:16 AM,06:36 AM,06:33 PM,11,30,30,29,11,0,41,0.0,1011,36,10,159,8,"chamarajanagar,karnataka"
2009-03-08,35,17,0.0,11.6,7,81,04:04 PM,04:09 AM,06:35 AM,06:33 PM,10,28,28,29,12,1,38,0.0,1011,35,10,151,8,"chamarajanagar,karnataka"
2009-03-09,32,15,0.0,10.2,6,88,05:02 PM,04:58 AM,06:34 AM,06:33 PM,10,24,24,24,11,33,47,2.0,1012,32,10,181,8,"chamarajanagar,karnataka"
2009-03-10,27,19,0.0,11.6,6,96,05:58 PM,05:43 AM,06:34 AM,06:33 PM,16,24,24,23,14,29,67,0.0,1013,27,10,80,10,"chamarajanagar,karnataka"
2009-03-11,30,18,0.0,11.6,6,100,06:51 PM,06:25 AM,06:33 AM,06:33 PM,19,25,25,24,8,48,76,2.1,1013,30,6,103,5,"chamarajanagar,karnataka"
2009-03-12,28,19,0.0,11.6,6,90,07:44 PM,07:06 AM,06:33 AM,06:34 PM,20,25,25,24,6,35,79,4.0,1013,28,8,139,4,"chamarajanagar,karnataka"
2009-03-13,32,18,0.0,11.6,6,83,08:36 PM,07:48 AM,06:32 AM,06:34 PM,16,26,26,26,9,29,61,0.0,1013,32,8,143,6,"chamarajanagar,karnataka"
2009-03-14,32,19,0.0,11.6,6,75,09:29 PM,08:30 AM,06:31 AM,06:34 PM,18,27,27,26,7,22,64,2.1,1013,32,10,194,5,"chamarajanagar,karnataka"
2009-03-15,31,19,0.0,11.6,6,68,10:22 PM,09:14 AM,06:31 AM,06:34 PM,18,26,26,25,5,22,67,1.1,1013,31,10,227,4,"chamarajanagar,karnataka"
2009-03-16,33,18,0.0,11.6,7,61,11:16 PM,10:01 AM,06:30 AM,06:34 PM,16,27,27,27,8,11,57,0.1,1011,33,10,144,5,"chamarajanagar,karnataka"
2009-03-17,34,19,0.0,11.6,7,53,No moonrise,10:49 AM,06:29 AM,06:34 PM,16,28,28,27,6,9,56,0.0,1011,34,10,200,4,"chamarajanagar,karnataka"
2009-03-18,34,20,0.0,11.6,7,46,12:08 AM,11:40 AM,06:29 AM,06:34 PM,14,28,28,28,7,6,47,0.1,1011,34,10,125,5,"chamarajanagar,karnataka"
