date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,22,12,0.0,8.7,5,31,09:06 AM,08:53 PM,06:07 AM,04:37 PM,11,17,17,17,8,16,72,0.0,1017,22,10,85,4,"darrang,assam"
2009-01-02,23,10,0.0,8.7,4,38,09:36 AM,09:48 PM,06:07 AM,04:38 PM,9,16,16,16,6,13,68,0.0,1018,23,10,48,3,"darrang,assam"
2009-01-03,22,11,0.0,8.7,4,45,10:06 AM,10:43 PM,06:08 AM,04:39 PM,10,17,17,17,8,4,67,0.0,1017,22,10,65,5,"darrang,assam"
2009-01-04,22,9,0.0,8.7,4,52,10:38 AM,11:42 PM,06:08 AM,04:39 PM,9,16,16,16,7,6,68,0.0,1015,22,10,106,4,"darrang,assam"
2009-01-05,21,11,0.0,8.7,4,60,11:13 AM,No moonset,06:08 AM,04:40 PM,11,15,16,15,7,23,76,0.0,1014,21,10,85,4,"darrang,assam"
2009-01-06,23,12,0.0,8.7,5,67,11:53 AM,12:43 AM,06:08 AM,04:41 PM,12,17,17,17,7,10,76,0.1,1016,23,10,75,4,"darrang,assam"
2009-01-07,23,11,0.0,8.7,5,74,12:39 PM,01:49 AM,06:08 AM,04:42 PM,11,17,17,17,7,7,68,0.0,1019,23,10,64,4,"darrang,assam"
2009-01-08,22,10,0.0,8.7,4,82,01:34 PM,02:58 AM,06:09 AM,04:42 PM,9,16,16,16,8,8,67,0.0,1022,22,10,60,5,"darrang,assam"
2009-01-09,23,10,0.0,8.7,5,89,02:38 PM,04:07 AM,06:09 AM,04:43 PM,7,17,17,17,7,5,58,0.0,1021,23,10,58,4,"darrang,assam"
2009-01-10,23,10,0.0,8.7,5,96,03:49 PM,05:13 AM,06:09 AM,04:44 PM,8,17,17,17,7,4,56,0.0,1019,23,10,88,4,"darrang,assam"
2009-01-11,23,10,0.0,8.7,5,100,05:01 PM,06:11 AM,06:09 AM,04:45 PM,9,16,16,16,6,10,64,0.0,1019,23,10,68,4,"darrang,assam"
2009-01-12,23,11,0.0,8.7,5,89,06:12 PM,07:02 AM,06:09 AM,04:45 PM,10,17,17,17,8,6,66,0.0,1021,23,10,156,4,"darrang,assam"
2009-01-13,24,11,0.0,8.7,5,82,07:20 PM,07:45 AM,06:09 AM,04:46 PM,9,18,17,18,7,10,62,0.0,1022,24,10,142,4,"darrang,assam"
2009-01-14,25,12,0.0,8.7,5,75,08:23 PM,08:22 AM,06:09 AM,04:47 PM,11,19,19,19,7,6,64,0.0,1021,25,10,99,4,"darrang,assam"
2009-01-15,25,13,0.0,8.7,5,68,09:23 PM,08:57 AM,06:09 AM,04:48 PM,12,19,19,19,7,6,65,0.0,1020,25,10,105,4,"darrang,assam"
2009-01-16,26,13,0.0,8.7,5,60,10:21 PM,09:30 AM,06:09 AM,04:49 PM,12,19,19,19,6,7,69,0.0,1019,26,10,131,3,"darrang,assam"
2009-01-17,25,12,0.0,8.7,5,53,11:18 PM,10:02 AM,06:08 AM,04:49 PM,12,19,19,19,5,4,69,0.0,1017,25,10,150,3,"darrang,assam"
2009-01-18,25,12,0.0,8.7,5,46,No moonrise,10:35 AM,06:08 AM,04:50 PM,13,19,19,19,6,5,73,0.0,1016,25,10,147,3,"darrang,assam"
2009-01-19,25,13,0.0,8.7,5,38,12:14 AM,11:11 AM,06:08 AM,04:51 PM,13,19,19,19,6,4,74,0.0,1015,25,10,113,3,"darrang,assam"
2009-01-20,25,13,0.0,8.7,5,31,01:11 AM,11:51 AM,06:08 AM,04:52 PM,13,19,19,19,6,12,71,0.0,1014,25,10,121,3,"darrang,assam"
2009-01-21,26,14,0.0,8.7,5,24,02:06 AM,12:34 PM,06:08 AM,04:52 PM,15,20,20,20,5,14,75,0.0,1014,26,10,171,3,"darrang,assam"
2009-01-22,26,14,0.0,8.7,5,17,03:00 AM,01:22 PM,06:08 AM,04:53 PM,14,20,20,20,6,23,73,0.0,1013,26,10,179,3,"darrang,assam"
2009-01-23,26,14,0.0,8.7,5,9,03:52 AM,02:14 PM,06:07 AM,04:54 PM,15,20,20,20,5,16,76,0.0,1012,26,10,168,3,"darrang,assam"
2009-01-24,27,15,0.0,8.7,5,2,04:39 AM,03:08 PM,06:07 AM,04:55 PM,15,21,21,21,5,14,75,0.0,1013,27,10,179,3,"darrang,assam"
2009-01-25,26,14,0.0,8.7,5,0,05:22 AM,04:04 PM,06:07 AM,04:56 PM,13,20,20,20,6,36,70,0.0,1013,26,10,231,3,"darrang,assam"
2009-01-26,25,12,0.0,8.7,5,0,06:01 AM,04:59 PM,06:06 AM,04:56 PM,11,19,19,19,6,22,66,0.0,1013,25,9,144,4,"darrang,assam"
2009-01-27,26,15,0.0,8.7,5,5,06:36 AM,05:55 PM,06:06 AM,04:57 PM,13,20,20,20,6,26,66,0.1,1013,26,10,92,4,"darrang,assam"
2009-01-28,25,14,0.0,8.7,5,12,07:08 AM,06:49 PM,06:06 AM,04:58 PM,13,20,20,20,6,10,67,0.0,1014,25,10,154,4,"darrang,assam"
2009-01-29,27,13,0.0,8.7,5,20,07:39 AM,07:44 PM,06:05 AM,04:59 PM,12,20,20,20,6,3,64,0.0,1015,27,10,137,4,"darrang,assam"
2009-01-30,27,13,0.0,8.7,5,27,08:09 AM,08:38 PM,06:05 AM,05:00 PM,12,20,20,20,6,8,66,0.0,1013,27,10,147,3,"darrang,assam"
2009-01-31,27,13,0.0,8.7,5,31,08:40 AM,09:35 PM,06:04 AM,05:00 PM,12,20,20,20,6,6,65,0.0,1013,27,10,157,4,"darrang,assam"
2009-02-01,26,13,0.0,8.7,5,43,09:14 AM,10:34 PM,06:04 AM,05:01 PM,11,20,20,20,7,4,61,0.0,1015,26,10,84,4,"darrang,assam"
2009-02-02,26,12,0.0,8.7,5,50,09:50 AM,11:37 PM,06:03 AM,05:02 PM,9,19,19,19,8,5,56,0.0,1016,26,10,114,5,"darrang,assam"
2009-02-03,26,12,0.0,8.7,5,58,10:32 AM,No moonset,06:03 AM,05:03 PM,10,20,20,20,7,2,55,0.0,1015,26,10,144,4,"darrang,assam"
2009-02-04,26,13,0.0,8.7,5,66,11:22 AM,12:42 AM,06:02 AM,05:03 PM,9,20,19,20,7,5,53,0.0,1016,26,10,154,4,"darrang,assam"
2009-02-05,27,12,0.0,8.7,5,73,12:20 PM,01:49 AM,06:02 AM,05:04 PM,9,20,20,20,6,3,55,0.0,1016,27,10,149,4,"darrang,assam"
2009-02-06,29,13,0.0,8.7,5,81,01:26 PM,02:54 AM,06:01 AM,05:05 PM,10,21,21,21,7,5,54,0.0,1015,29,10,140,4,"darrang,assam"
2009-02-07,29,15,0.0,8.7,6,88,02:35 PM,03:55 AM,06:01 AM,05:06 PM,11,22,22,22,8,10,51,0.0,1015,29,10,107,4,"darrang,assam"
2009-02-08,29,14,0.0,11.1,6,96,03:47 PM,04:48 AM,06:00 AM,05:06 PM,11,22,22,22,7,7,52,0.0,1016,29,10,160,4,"darrang,assam"
2009-02-09,29,14,0.0,11.5,6,100,04:56 PM,05:34 AM,05:59 AM,05:07 PM,11,22,22,22,8,6,53,0.0,1017,29,10,155,4,"darrang,assam"
2009-02-10,30,14,0.0,11.5,5,89,06:01 PM,06:14 AM,05:59 AM,05:08 PM,11,22,23,22,7,1,51,0.0,1015,30,10,95,4,"darrang,assam"
2009-02-11,29,14,0.0,11.5,6,82,07:04 PM,06:51 AM,05:58 AM,05:09 PM,11,22,22,22,7,4,51,0.0,1012,29,10,173,4,"darrang,assam"
2009-02-12,28,13,0.0,11.5,5,74,08:05 PM,07:25 AM,05:57 AM,05:09 PM,8,21,21,21,8,2,44,0.0,1011,28,10,144,5,"darrang,assam"
2009-02-13,28,13,0.0,11.5,5,67,09:04 PM,07:59 AM,05:57 AM,05:10 PM,7,20,20,20,9,4,44,0.0,1012,28,10,156,5,"darrang,assam"
2009-02-14,28,11,0.0,11.6,5,59,10:02 PM,08:32 AM,05:56 AM,05:11 PM,9,21,21,21,7,1,49,0.0,1012,28,10,187,4,"darrang,assam"
2009-02-15,29,12,0.0,11.6,5,51,11:00 PM,09:08 AM,05:55 AM,05:11 PM,9,22,22,22,8,1,47,0.0,1012,29,10,158,4,"darrang,assam"
2009-02-16,29,13,0.0,11.6,6,44,11:57 PM,09:47 AM,05:54 AM,05:12 PM,10,22,22,22,7,4,49,0.0,1014,29,10,231,4,"darrang,assam"
2009-02-17,30,14,0.0,11.6,6,36,No moonrise,10:29 AM,05:54 AM,05:13 PM,11,23,23,23,8,3,51,0.0,1014,30,10,143,4,"darrang,assam"
2009-02-18,30,13,0.0,11.6,5,29,12:52 AM,11:16 AM,05:53 AM,05:13 PM,10,23,23,23,7,1,48,0.0,1013,30,10,142,4,"darrang,assam"
2009-02-19,30,13,0.0,11.6,6,21,01:46 AM,12:07 PM,05:52 AM,05:14 PM,9,23,24,23,8,1,43,0.0,1013,30,10,145,5,"darrang,assam"
2009-02-20,31,14,0.0,11.6,6,14,02:34 AM,01:00 PM,05:51 AM,05:15 PM,8,23,23,23,7,2,41,0.0,1015,31,10,182,4,"darrang,assam"
2009-02-21,30,14,0.0,11.6,6,6,03:19 AM,01:55 PM,05:50 AM,05:15 PM,8,22,22,22,7,3,41,0.0,1011,30,10,158,5,"darrang,assam"
2009-02-22,30,12,0.0,11.6,5,0,03:59 AM,02:51 PM,05:49 AM,05:16 PM,8,22,22,22,6,3,43,0.0,1010,30,10,101,3,"darrang,assam"
2009-02-23,29,15,0.0,11.6,5,0,04:36 AM,03:47 PM,05:49 AM,05:17 PM,8,22,21,22,7,5,44,0.0,1011,29,10,72,4,"darrang,assam"
2009-02-24,29,15,0.0,11.6,6,0,05:09 AM,04:42 PM,05:48 AM,05:17 PM,9,21,21,21,8,19,51,0.8,1010,29,10,79,5,"darrang,assam"
2009-02-25,26,14,0.0,11.6,5,1,05:41 AM,05:37 PM,05:47 AM,05:18 PM,14,20,20,20,7,20,71,0.3,1009,26,9,128,4,"darrang,assam"
2009-02-26,28,15,0.0,11.6,6,9,06:12 AM,06:33 PM,05:46 AM,05:18 PM,12,21,21,21,9,16,60,0.3,1010,28,10,85,6,"darrang,assam"
2009-02-27,30,16,0.0,11.6,6,16,06:43 AM,07:30 PM,05:45 AM,05:19 PM,10,22,22,22,8,7,51,0.1,1010,30,10,118,6,"darrang,assam"
2009-02-28,30,18,0.0,11.6,6,24,07:16 AM,08:29 PM,05:44 AM,05:20 PM,9,23,23,23,10,9,43,0.0,1010,30,10,87,7,"darrang,assam"
2009-03-01,28,15,0.0,11.6,6,30,07:52 AM,09:31 PM,05:43 AM,05:20 PM,8,22,22,22,9,7,42,0.0,1013,28,10,86,6,"darrang,assam"
2009-03-02,28,14,0.0,11.6,5,37,08:32 AM,10:35 PM,05:42 AM,05:21 PM,8,21,21,21,10,4,45,0.0,1013,28,10,42,6,"darrang,assam"
2009-03-03,31,15,0.0,11.6,6,45,09:19 AM,11:40 PM,05:41 AM,05:21 PM,8,23,23,23,8,10,41,0.0,1011,31,10,143,5,"darrang,assam"
2009-03-04,30,16,0.0,11.6,6,52,10:12 AM,No moonset,05:40 AM,05:22 PM,9,23,23,23,7,21,44,0.0,1009,30,10,151,5,"darrang,assam"
2009-03-05,30,17,0.0,11.6,6,59,11:14 AM,12:44 AM,05:39 AM,05:22 PM,13,23,23,23,7,24,54,0.4,1008,30,9,110,5,"darrang,assam"
2009-03-06,28,17,0.0,11.6,6,67,12:19 PM,01:45 AM,05:38 AM,05:23 PM,15,24,24,23,8,36,64,0.3,1010,28,10,76,6,"darrang,assam"
2009-03-07,31,18,0.0,11.6,6,74,01:28 PM,02:38 AM,05:37 AM,05:24 PM,14,25,25,25,7,8,57,0.1,1011,31,10,163,5,"darrang,assam"
2009-03-08,31,18,0.0,11.6,6,81,02:36 PM,03:26 AM,05:36 AM,05:24 PM,13,25,25,24,8,7,52,0.0,1012,31,10,148,5,"darrang,assam"
2009-03-09,31,17,0.0,11.6,6,88,03:42 PM,04:07 AM,05:35 AM,05:25 PM,12,24,24,24,7,3,48,0.0,1014,31,10,117,4,"darrang,assam"
2009-03-10,33,17,0.0,11.6,6,96,04:45 PM,04:45 AM,05:34 AM,05:25 PM,10,24,24,25,8,7,41,0.0,1013,33,10,127,5,"darrang,assam"
2009-03-11,33,16,0.0,11.6,6,100,05:47 PM,05:20 AM,05:33 AM,05:26 PM,5,24,24,25,11,4,31,0.0,1011,33,10,240,7,"darrang,assam"
2009-03-12,33,13,0.0,11.6,6,90,06:47 PM,05:54 AM,05:32 AM,05:26 PM,-1,25,24,25,9,0,22,0.0,1012,33,10,122,5,"darrang,assam"
2009-03-13,31,16,0.0,11.6,6,83,07:46 PM,06:28 AM,05:31 AM,05:27 PM,-2,23,22,23,11,4,21,0.0,1018,31,10,62,7,"darrang,assam"
2009-03-14,33,14,0.0,11.6,6,75,08:45 PM,07:04 AM,05:30 AM,05:27 PM,3,24,23,24,9,7,28,0.0,1015,33,10,64,5,"darrang,assam"
2009-03-15,35,15,0.0,11.6,6,68,09:44 PM,07:42 AM,05:29 AM,05:28 PM,3,24,24,24,8,15,28,0.0,1013,35,10,142,4,"darrang,assam"
2009-03-16,31,17,0.0,11.6,6,61,10:41 PM,08:23 AM,05:28 AM,05:28 PM,3,24,24,24,7,10,27,0.0,1014,31,10,149,4,"darrang,assam"
2009-03-17,34,17,0.0,11.6,6,53,11:36 PM,09:09 AM,05:27 AM,05:29 PM,5,26,26,27,9,3,26,0.0,1012,34,10,154,5,"darrang,assam"
2009-03-18,33,18,0.0,11.6,6,46,No moonrise,09:58 AM,05:25 AM,05:29 PM,5,26,26,26,9,4,27,0.0,1012,33,10,161,6,"darrang,assam"
2009-03-19,34,17,0.0,11.6,6,39,12:27 AM,10:51 AM,05:24 AM,05:30 PM,7,26,26,26,9,5,32,0.0,1012,34,10,171,5,"darrang,assam"
2009-03-20,34,18,0.0,11.6,6,32,01:14 AM,11:46 AM,05:23 AM,05:30 PM,9,25,25,26,9,7,38,0.0,1012,34,10,164,5,"darrang,assam"
2009-03-21,33,18,0.0,11.6,6,24,01:55 AM,12:41 PM,05:22 AM,05:31 PM,10,25,25,26,9,9,40,0.0,1012,33,10,168,5,"darrang,assam"
2009-03-22,31,18,0.0,11.6,6,17,02:33 AM,01:36 PM,05:21 AM,05:31 PM,11,25,25,24,8,17,46,0.0,1012,31,10,162,5,"darrang,assam"
2009-03-23,33,18,0.0,11.6,7,10,03:08 AM,02:31 PM,05:20 AM,05:32 PM,12,26,26,26,9,14,43,0.1,1013,33,10,167,5,"darrang,assam"
2009-03-24,34,20,0.0,11.6,7,3,03:40 AM,03:27 PM,05:19 AM,05:32 PM,9,28,28,28,8,5,32,0.0,1013,34,10,169,5,"darrang,assam"
2009-03-25,33,20,0.0,11.6,7,0,04:11 AM,04:22 PM,05:18 AM,05:33 PM,8,27,27,27,10,5,31,0.0,1012,33,10,158,6,"darrang,assam"
2009-03-26,33,17,0.0,11.6,6,0,04:43 AM,05:20 PM,05:17 AM,05:33 PM,10,24,24,24,8,12,43,0.1,1011,33,10,170,5,"darrang,assam"
2009-03-27,27,15,0.0,11.6,6,5,05:16 AM,06:19 PM,05:16 AM,05:34 PM,13,22,22,22,8,9,61,0.1,1013,27,10,103,5,"darrang,assam"
2009-03-28,31,16,0.0,11.6,6,12,05:51 AM,07:22 PM,05:15 AM,05:34 PM,13,24,24,24,6,15,54,0.1,1013,31,10,153,4,"darrang,assam"
2009-03-29,27,17,0.0,8.9,5,19,06:31 AM,08:26 PM,05:13 AM,05:35 PM,16,22,23,22,7,50,70,0.5,1012,27,10,95,5,"darrang,assam"
2009-03-30,26,18,0.0,10.2,5,26,07:17 AM,09:33 PM,05:12 AM,05:35 PM,18,22,23,22,5,53,82,4.8,1011,26,8,113,3,"darrang,assam"
2009-03-31,29,18,0.0,11.6,6,30,08:09 AM,10:38 PM,05:11 AM,05:36 PM,18,23,23,23,9,30,76,2.6,1010,29,10,117,6,"darrang,assam"
2009-04-01,28,18,0.0,8.9,6,42,09:08 AM,11:39 PM,05:10 AM,05:36 PM,18,22,23,22,8,45,80,2.7,1012,28,9,78,5,"darrang,assam"
2009-04-02,27,17,0.0,11.6,6,50,10:12 AM,No moonset,05:09 AM,05:37 PM,17,21,22,21,8,41,79,0.4,1012,27,10,73,5,"darrang,assam"
2009-04-03,30,18,0.0,11.6,6,58,11:19 AM,12:34 AM,05:08 AM,05:37 PM,17,23,23,23,6,35,75,1.4,1012,30,10,150,4,"darrang,assam"
2009-04-04,26,18,0.0,10.2,5,65,12:25 PM,01:23 AM,05:07 AM,05:38 PM,19,22,22,22,8,36,83,4.5,1012,26,10,47,5,"darrang,assam"
2009-04-05,32,18,0.0,11.6,6,73,01:30 PM,02:05 AM,05:06 AM,05:38 PM,18,26,26,25,7,17,71,0.5,1012,32,10,127,4,"darrang,assam"
2009-04-06,33,19,0.0,11.6,7,80,02:32 PM,02:43 AM,05:05 AM,05:39 PM,18,27,27,26,8,17,64,0.5,1010,33,10,171,5,"darrang,assam"
2009-04-07,30,20,0.0,11.6,5,88,03:33 PM,03:18 AM,05:04 AM,05:39 PM,18,27,27,25,9,17,65,0.7,1009,30,10,167,6,"darrang,assam"
2009-04-08,31,18,0.0,11.6,6,95,04:32 PM,03:52 AM,05:03 AM,05:40 PM,18,26,26,25,8,14,66,0.7,1011,31,10,79,5,"darrang,assam"
2009-04-09,33,19,0.0,11.6,6,100,05:32 PM,04:25 AM,05:02 AM,05:40 PM,17,27,27,26,7,12,61,0.1,1012,33,10,166,4,"darrang,assam"
2009-04-10,31,19,0.0,11.6,5,90,06:31 PM,05:00 AM,05:00 AM,05:41 PM,16,26,26,25,9,17,60,1.1,1010,31,10,165,6,"darrang,assam"
2009-04-11,32,19,0.0,11.6,6,82,07:30 PM,05:37 AM,04:59 AM,05:41 PM,16,26,26,25,8,8,61,0.0,1011,32,10,72,6,"darrang,assam"
2009-04-12,34,19,0.0,11.6,7,75,08:28 PM,06:17 AM,04:58 AM,05:42 PM,14,28,28,27,8,5,49,0.0,1010,34,10,115,5,"darrang,assam"
2009-04-13,31,20,0.0,11.6,6,67,09:25 PM,07:02 AM,04:57 AM,05:42 PM,15,27,27,25,7,17,54,0.0,1008,31,10,116,4,"darrang,assam"
2009-04-14,34,21,0.0,11.6,7,59,10:18 PM,07:50 AM,04:56 AM,05:42 PM,16,29,29,27,7,16,54,0.1,1009,34,10,130,4,"darrang,assam"
2009-04-15,35,22,0.0,11.6,7,52,11:06 PM,08:42 AM,04:55 AM,05:43 PM,16,30,30,28,8,10,50,0.0,1009,35,10,205,6,"darrang,assam"
2009-04-16,36,21,0.0,11.6,7,44,11:50 PM,09:36 AM,04:54 AM,05:44 PM,16,30,30,29,7,18,47,0.0,1007,36,10,173,5,"darrang,assam"
2009-04-17,33,22,0.0,11.6,7,37,No moonrise,10:30 AM,04:53 AM,05:44 PM,19,29,29,27,7,28,64,2.0,1005,33,10,187,5,"darrang,assam"
2009-04-18,32,22,0.0,11.6,7,29,12:29 AM,11:26 AM,04:52 AM,05:45 PM,19,28,28,26,6,24,70,1.5,1005,32,10,156,5,"darrang,assam"
