date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,30,15,0.0,11.6,6,31,10:05 AM,10:09 PM,06:51 AM,06:09 PM,11,24,24,23,19,0,50,0.0,1013,30,10,92,11,"davangere,karnataka"
2009-01-02,29,16,0.0,11.6,6,38,10:41 AM,10:58 PM,06:51 AM,06:09 PM,11,23,23,23,20,1,50,0.0,1014,29,10,87,12,"davangere,karnataka"
2009-01-03,29,16,0.0,11.6,6,45,11:18 AM,11:48 PM,06:52 AM,06:10 PM,13,23,23,23,19,6,58,0.0,1015,29,10,83,12,"davangere,karnataka"
2009-01-04,28,17,0.0,11.6,6,52,11:56 AM,No moonset,06:52 AM,06:10 PM,13,23,23,23,18,12,59,0.0,1014,28,10,83,11,"davangere,karnataka"
2009-01-05,29,16,0.0,11.6,6,60,12:36 PM,12:39 AM,06:53 AM,06:11 PM,12,23,23,23,13,6,55,0.0,1012,29,10,76,8,"davangere,karnataka"
2009-01-06,30,16,0.0,11.6,6,67,01:23 PM,01:36 AM,06:53 AM,06:11 PM,10,24,24,24,16,2,44,0.0,1012,30,10,93,10,"davangere,karnataka"
2009-01-07,30,16,0.0,11.6,6,74,02:14 PM,02:36 AM,06:53 AM,06:12 PM,9,23,23,23,16,6,42,0.0,1013,30,10,113,10,"davangere,karnataka"
2009-01-08,28,17,0.0,11.6,6,82,03:14 PM,03:41 AM,06:53 AM,06:13 PM,16,24,24,23,19,25,64,0.0,1014,28,10,97,13,"davangere,karnataka"
2009-01-09,30,20,0.0,11.6,6,89,04:19 PM,04:48 AM,06:54 AM,06:13 PM,16,26,26,25,19,21,60,0.0,1015,30,10,101,14,"davangere,karnataka"
2009-01-10,30,21,0.0,11.6,6,96,05:28 PM,05:54 AM,06:54 AM,06:14 PM,13,26,26,25,23,11,50,0.0,1015,30,10,95,16,"davangere,karnataka"
2009-01-11,30,19,0.0,11.6,6,100,06:36 PM,06:56 AM,06:54 AM,06:14 PM,12,25,25,24,22,3,52,0.0,1015,30,10,95,15,"davangere,karnataka"
2009-01-12,30,18,0.0,11.6,6,89,07:41 PM,07:51 AM,06:54 AM,06:15 PM,11,24,24,23,24,2,49,0.0,1017,30,10,92,16,"davangere,karnataka"
2009-01-13,29,17,0.0,11.6,6,82,08:41 PM,08:40 AM,06:55 AM,06:15 PM,11,23,23,23,28,7,50,0.0,1018,29,10,93,19,"davangere,karnataka"
2009-01-14,29,17,0.0,11.6,6,75,09:38 PM,09:25 AM,06:55 AM,06:16 PM,13,23,23,23,26,9,54,0.0,1018,29,10,86,18,"davangere,karnataka"
2009-01-15,29,17,0.0,11.6,6,68,10:31 PM,10:05 AM,06:55 AM,06:17 PM,10,23,23,23,25,3,48,0.0,1017,29,10,92,17,"davangere,karnataka"
2009-01-16,30,17,0.0,11.6,6,60,11:23 PM,10:44 AM,06:55 AM,06:17 PM,10,23,23,23,23,4,47,0.0,1017,30,10,87,14,"davangere,karnataka"
