date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,25,11,0.0,8.7,5,31,09:29 AM,09:20 PM,06:27 AM,05:07 PM,8,19,19,19,12,1,52,0.0,1015,25,10,256,7,"deoghar,jharkhand"
2009-01-02,24,11,0.0,8.7,5,38,10:00 AM,10:13 PM,06:27 AM,05:07 PM,7,18,18,18,13,0,53,0.0,1017,24,10,333,8,"deoghar,jharkhand"
2009-01-03,25,10,0.0,8.7,5,45,10:31 AM,11:07 PM,06:28 AM,05:08 PM,8,19,19,19,10,0,51,0.0,1017,25,10,286,5,"deoghar,jharkhand"
2009-01-04,25,10,0.0,8.7,5,52,11:05 AM,No moonset,06:28 AM,05:09 PM,6,19,19,19,8,1,45,0.0,1015,25,10,209,4,"deoghar,jharkhand"
2009-01-05,25,11,0.0,8.7,5,60,11:41 AM,12:04 AM,06:28 AM,05:09 PM,6,19,18,19,6,4,44,0.0,1013,25,10,146,4,"deoghar,jharkhand"
2009-01-06,27,13,0.0,8.7,5,67,12:21 PM,01:05 AM,06:28 AM,05:10 PM,8,20,20,20,10,19,48,0.0,1014,27,10,107,6,"deoghar,jharkhand"
2009-01-07,26,18,0.0,8.7,6,74,01:09 PM,02:10 AM,06:28 AM,05:11 PM,11,21,22,21,15,33,54,0.1,1016,26,10,97,9,"deoghar,jharkhand"
2009-01-08,26,17,0.0,7.2,6,82,02:05 PM,03:18 AM,06:28 AM,05:11 PM,13,21,21,21,11,46,62,0.2,1018,26,10,78,6,"deoghar,jharkhand"
2009-01-09,27,16,0.0,8.7,6,89,03:10 PM,04:27 AM,06:29 AM,05:12 PM,12,21,22,21,10,28,57,0.1,1019,27,10,64,6,"deoghar,jharkhand"
2009-01-10,27,15,0.0,8.7,6,96,04:20 PM,05:33 AM,06:29 AM,05:13 PM,12,21,21,21,13,11,57,0.0,1018,27,10,178,7,"deoghar,jharkhand"
2009-01-11,26,15,0.0,8.7,5,100,05:32 PM,06:31 AM,06:29 AM,05:14 PM,10,20,20,20,14,10,56,0.0,1018,26,10,311,8,"deoghar,jharkhand"
2009-01-12,26,14,0.0,8.7,5,89,06:41 PM,07:23 AM,06:29 AM,05:14 PM,10,19,19,19,16,0,59,0.0,1020,26,10,316,9,"deoghar,jharkhand"
2009-01-13,25,12,0.0,8.7,5,82,07:47 PM,08:07 AM,06:29 AM,05:15 PM,7,19,19,19,11,0,50,0.0,1021,25,10,323,6,"deoghar,jharkhand"
2009-01-14,26,12,0.0,8.7,5,75,08:49 PM,08:46 AM,06:29 AM,05:16 PM,6,19,19,19,13,0,45,0.0,1020,26,10,321,8,"deoghar,jharkhand"
2009-01-15,26,12,0.0,8.7,5,68,09:48 PM,09:22 AM,06:29 AM,05:17 PM,6,19,19,19,12,1,45,0.0,1020,26,10,323,7,"deoghar,jharkhand"
2009-01-16,26,12,0.0,8.7,5,60,10:44 PM,09:55 AM,06:29 AM,05:17 PM,7,20,19,20,11,0,47,0.0,1019,26,10,326,6,"deoghar,jharkhand"
2009-01-17,26,12,0.0,8.7,5,53,11:41 PM,10:29 AM,06:29 AM,05:18 PM,7,20,20,20,12,0,44,0.0,1017,26,10,286,7,"deoghar,jharkhand"
2009-01-18,27,12,0.0,8.7,5,46,No moonrise,11:04 AM,06:29 AM,05:19 PM,8,21,20,21,12,0,47,0.0,1015,27,10,287,7,"deoghar,jharkhand"
2009-01-19,28,15,0.0,8.7,6,38,12:36 AM,11:41 AM,06:29 AM,05:19 PM,10,21,21,21,23,0,52,0.0,1014,28,10,293,14,"deoghar,jharkhand"
2009-01-20,28,16,0.0,8.7,6,31,01:31 AM,12:21 PM,06:28 AM,05:20 PM,7,21,21,21,27,4,44,0.0,1013,28,10,294,16,"deoghar,jharkhand"
2009-01-21,26,14,0.0,8.7,5,24,02:26 AM,01:05 PM,06:28 AM,05:21 PM,5,18,18,18,20,12,43,0.0,1014,26,10,305,11,"deoghar,jharkhand"
2009-01-22,26,12,0.0,8.7,5,17,03:20 AM,01:53 PM,06:28 AM,05:22 PM,5,18,18,18,15,2,44,0.0,1014,26,10,296,9,"deoghar,jharkhand"
2009-01-23,27,12,0.0,8.7,5,9,04:11 AM,02:45 PM,06:28 AM,05:22 PM,5,19,19,19,14,0,42,0.0,1012,27,10,293,8,"deoghar,jharkhand"
2009-01-24,28,13,0.0,8.7,5,2,04:59 AM,03:39 PM,06:28 AM,05:23 PM,8,21,21,21,11,0,45,0.0,1012,28,10,214,6,"deoghar,jharkhand"
2009-01-25,29,14,0.0,7.2,6,0,05:43 AM,04:33 PM,06:27 AM,05:24 PM,7,22,22,22,12,27,41,0.0,1012,29,10,247,6,"deoghar,jharkhand"
2009-01-26,31,15,0.0,8.7,6,0,06:22 AM,05:29 PM,06:27 AM,05:25 PM,8,22,23,22,16,0,42,0.0,1012,31,10,295,10,"deoghar,jharkhand"
