date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,27,14,0.0,11.6,6,31,09:55 AM,10:01 PM,06:38 AM,06:04 PM,17,23,23,23,11,2,74,0.0,1014,27,10,113,7,"dharmapuri,tamil+nadu"
2009-01-02,28,17,0.0,11.6,6,38,10:31 AM,10:48 PM,06:38 AM,06:04 PM,17,22,22,22,14,33,76,0.0,1014,28,8,106,9,"dharmapuri,tamil+nadu"
2009-01-03,28,16,0.0,11.6,6,45,11:09 AM,11:37 PM,06:39 AM,06:05 PM,17,22,23,22,13,20,75,0.0,1015,28,8,69,8,"dharmapuri,tamil+nadu"
2009-01-04,28,15,0.0,11.6,6,52,11:48 AM,No moonset,06:39 AM,06:05 PM,16,22,22,22,13,11,73,0.0,1014,28,8,58,8,"dharmapuri,tamil+nadu"
2009-01-05,28,16,0.0,11.6,6,60,12:30 PM,12:28 AM,06:39 AM,06:06 PM,16,22,22,22,13,19,72,0.0,1013,28,8,144,8,"dharmapuri,tamil+nadu"
2009-01-06,28,15,0.0,11.6,6,67,01:17 PM,01:23 AM,06:40 AM,06:07 PM,16,23,23,23,11,3,68,0.0,1013,28,9,55,7,"dharmapuri,tamil+nadu"
2009-01-07,23,17,0.0,11.6,5,74,02:10 PM,02:22 AM,06:40 AM,06:07 PM,18,20,21,20,10,63,89,1.2,1014,23,6,109,7,"dharmapuri,tamil+nadu"
2009-01-08,26,19,0.0,8.7,6,82,03:10 PM,03:27 AM,06:40 AM,06:08 PM,19,22,23,22,12,48,86,1.2,1016,26,7,70,8,"dharmapuri,tamil+nadu"
2009-01-09,28,18,0.0,11.6,6,89,04:15 PM,04:33 AM,06:41 AM,06:08 PM,17,24,24,23,16,43,75,0.0,1016,28,8,58,11,"dharmapuri,tamil+nadu"
2009-01-10,28,19,0.0,11.6,6,96,05:24 PM,05:40 AM,06:41 AM,06:09 PM,17,22,23,22,16,31,73,0.0,1016,28,10,56,11,"dharmapuri,tamil+nadu"
2009-01-11,28,17,0.0,11.6,6,100,06:31 PM,06:42 AM,06:41 AM,06:09 PM,17,22,23,22,15,27,75,0.0,1016,28,9,56,10,"dharmapuri,tamil+nadu"
2009-01-12,28,16,0.0,11.6,6,89,07:35 PM,07:38 AM,06:41 AM,06:10 PM,16,22,23,22,15,5,70,0.0,1017,28,9,90,10,"dharmapuri,tamil+nadu"
2009-01-13,27,15,0.0,11.6,6,82,08:33 PM,08:28 AM,06:42 AM,06:10 PM,16,21,22,21,18,18,73,0.0,1018,27,9,95,13,"dharmapuri,tamil+nadu"
2009-01-14,27,17,0.0,11.6,6,75,09:29 PM,09:14 AM,06:42 AM,06:11 PM,16,21,22,21,18,39,74,0.2,1018,27,9,92,12,"dharmapuri,tamil+nadu"
2009-01-15,27,17,0.0,11.6,6,68,10:21 PM,09:56 AM,06:42 AM,06:11 PM,16,21,22,21,17,33,75,0.0,1018,27,9,97,12,"dharmapuri,tamil+nadu"
2009-01-16,28,17,0.0,11.6,6,60,11:12 PM,10:35 AM,06:42 AM,06:12 PM,17,22,23,22,15,23,74,0.0,1017,28,8,54,10,"dharmapuri,tamil+nadu"
2009-01-17,27,16,0.0,10.2,6,53,No moonrise,11:15 AM,06:42 AM,06:12 PM,17,22,22,22,15,22,77,0.0,1016,27,7,59,10,"dharmapuri,tamil+nadu"
