date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,24,9,0.0,8.7,4,31,10:06 AM,09:55 PM,07:07 AM,05:37 PM,5,16,16,16,15,1,52,0.0,1017,24,10,246,9,"dholpur,rajasthan"
2009-01-02,23,6,0.0,8.7,4,38,10:36 AM,10:49 PM,07:07 AM,05:38 PM,7,16,16,16,7,2,57,0.0,1017,23,10,117,4,"dholpur,rajasthan"
2009-01-03,25,8,0.0,8.7,5,45,11:07 AM,11:45 PM,07:08 AM,05:39 PM,5,17,17,17,15,5,47,0.0,1016,25,10,137,8,"dholpur,rajasthan"
2009-01-04,24,10,0.0,8.7,5,52,11:39 AM,No moonset,07:08 AM,05:39 PM,6,16,17,16,14,6,51,0.0,1014,24,10,106,8,"dholpur,rajasthan"
2009-01-05,23,12,0.0,8.7,5,60,12:14 PM,12:43 AM,07:08 AM,05:40 PM,5,16,17,16,16,19,48,0.0,1013,23,10,84,9,"dholpur,rajasthan"
2009-01-06,24,10,0.0,8.7,5,67,12:54 PM,01:46 AM,07:08 AM,05:41 PM,6,16,17,16,16,2,52,0.0,1015,24,10,41,9,"dholpur,rajasthan"
2009-01-07,23,10,0.0,8.7,5,74,01:41 PM,02:52 AM,07:08 AM,05:42 PM,5,16,17,16,18,4,48,0.0,1018,23,10,113,10,"dholpur,rajasthan"
2009-01-08,19,10,0.0,8.7,4,82,02:36 PM,04:01 AM,07:09 AM,05:42 PM,5,14,15,14,16,25,52,0.0,1021,19,10,38,9,"dholpur,rajasthan"
2009-01-09,21,9,0.0,8.7,4,89,03:41 PM,05:10 AM,07:09 AM,05:43 PM,5,14,15,14,14,27,52,0.0,1021,21,10,105,8,"dholpur,rajasthan"
2009-01-10,24,10,0.0,8.7,5,96,04:51 PM,06:15 AM,07:09 AM,05:44 PM,10,17,17,17,14,25,66,0.0,1020,24,10,63,8,"dholpur,rajasthan"
2009-01-11,24,11,0.0,8.7,5,100,06:04 PM,07:13 AM,07:09 AM,05:44 PM,9,17,18,17,14,3,59,0.0,1020,24,10,260,8,"dholpur,rajasthan"
2009-01-12,23,9,0.0,8.7,4,89,07:15 PM,08:03 AM,07:09 AM,05:45 PM,6,16,16,16,9,11,52,0.0,1021,23,10,146,5,"dholpur,rajasthan"
2009-01-13,24,11,0.0,8.7,5,82,08:22 PM,08:46 AM,07:09 AM,05:46 PM,6,17,17,17,14,7,49,0.0,1022,24,10,48,8,"dholpur,rajasthan"
2009-01-14,26,11,0.0,8.7,5,75,09:25 PM,09:24 AM,07:09 AM,05:47 PM,9,18,18,18,12,9,55,0.0,1022,26,10,217,6,"dholpur,rajasthan"
2009-01-15,26,11,0.0,8.7,5,68,10:25 PM,09:58 AM,07:09 AM,05:48 PM,7,19,19,19,11,7,47,0.0,1020,26,10,250,6,"dholpur,rajasthan"
2009-01-16,28,13,0.0,8.7,5,60,11:23 PM,10:30 AM,07:09 AM,05:48 PM,8,21,21,21,11,5,45,0.0,1019,28,10,79,6,"dholpur,rajasthan"
2009-01-17,26,12,0.0,8.7,5,53,No moonrise,11:03 AM,07:08 AM,05:49 PM,13,20,20,20,10,6,64,0.0,1017,26,10,108,6,"dholpur,rajasthan"
2009-01-18,29,12,0.0,8.7,6,46,12:19 AM,11:37 AM,07:08 AM,05:50 PM,13,21,22,21,14,25,61,0.0,1016,29,10,92,7,"dholpur,rajasthan"
2009-01-19,26,15,0.0,8.7,5,38,01:16 AM,12:12 PM,07:08 AM,05:51 PM,12,20,20,20,22,5,62,0.0,1017,26,10,288,13,"dholpur,rajasthan"
2009-01-20,24,11,0.0,8.7,5,31,02:12 AM,12:52 PM,07:08 AM,05:51 PM,6,16,17,16,23,11,53,0.0,1017,24,10,315,14,"dholpur,rajasthan"
2009-01-21,22,11,0.0,8.7,5,24,03:08 AM,01:36 PM,07:08 AM,05:52 PM,2,15,16,15,22,18,41,0.0,1016,22,10,304,12,"dholpur,rajasthan"
2009-01-22,26,11,0.0,8.7,5,17,04:02 AM,02:23 PM,07:07 AM,05:53 PM,2,17,17,17,17,11,38,0.0,1015,26,10,315,10,"dholpur,rajasthan"
2009-01-23,27,12,0.0,8.7,5,9,04:53 AM,03:16 PM,07:07 AM,05:54 PM,2,18,18,18,24,24,36,0.0,1015,27,10,313,14,"dholpur,rajasthan"
2009-01-24,28,13,0.0,3.9,4,2,05:41 AM,04:10 PM,07:07 AM,05:55 PM,5,19,19,19,18,61,40,0.0,1012,28,10,309,10,"dholpur,rajasthan"
2009-01-25,31,14,0.0,8.7,6,0,06:23 AM,05:06 PM,07:07 AM,05:55 PM,10,23,23,23,12,10,46,0.0,1012,31,10,103,6,"dholpur,rajasthan"
2009-01-26,29,13,0.0,8.7,5,0,07:02 AM,06:01 PM,07:06 AM,05:56 PM,12,22,22,22,11,2,56,0.0,1012,29,10,244,6,"dholpur,rajasthan"
2009-01-27,26,11,0.0,8.7,5,5,07:37 AM,06:56 PM,07:06 AM,05:57 PM,9,20,20,20,15,0,51,0.0,1014,26,10,309,8,"dholpur,rajasthan"
2009-01-28,25,11,0.0,8.7,5,12,08:09 AM,07:51 PM,07:05 AM,05:58 PM,8,19,19,19,16,0,55,0.0,1015,25,10,284,10,"dholpur,rajasthan"
2009-01-29,26,8,0.0,8.7,5,20,08:40 AM,08:45 PM,07:05 AM,05:58 PM,9,19,19,19,9,3,56,0.0,1015,26,10,78,5,"dholpur,rajasthan"
2009-01-30,26,10,0.0,8.7,5,27,09:10 AM,09:41 PM,07:05 AM,05:59 PM,12,21,21,21,12,2,59,0.0,1015,26,10,81,6,"dholpur,rajasthan"
2009-01-31,26,11,0.0,11.0,5,31,09:41 AM,10:37 PM,07:04 AM,06:00 PM,7,18,18,18,19,2,51,0.0,1015,26,10,247,11,"dholpur,rajasthan"
2009-02-01,26,9,0.0,11.0,5,43,10:14 AM,11:37 PM,07:04 AM,06:01 PM,7,19,19,19,14,0,49,0.0,1015,26,10,321,8,"dholpur,rajasthan"
2009-02-02,26,7,0.0,11.0,5,50,10:51 AM,No moonset,07:03 AM,06:01 PM,6,19,19,19,9,1,47,0.0,1016,26,10,91,5,"dholpur,rajasthan"
2009-02-03,29,8,0.0,11.0,5,58,11:34 AM,12:39 AM,07:03 AM,06:02 PM,9,21,21,21,9,0,50,0.0,1014,29,10,96,5,"dholpur,rajasthan"
2009-02-04,29,11,0.0,11.0,5,66,12:24 PM,01:45 AM,07:02 AM,06:03 PM,8,22,22,22,15,0,44,0.0,1014,29,10,107,8,"dholpur,rajasthan"
2009-02-05,29,13,0.0,11.0,5,73,01:22 PM,02:52 AM,07:02 AM,06:04 PM,8,21,21,21,15,1,44,0.0,1014,29,10,120,9,"dholpur,rajasthan"
2009-02-06,30,13,0.0,11.0,6,81,02:27 PM,03:57 AM,07:01 AM,06:04 PM,7,23,23,23,18,1,40,0.0,1015,30,10,244,9,"dholpur,rajasthan"
2009-02-07,27,13,0.0,11.1,5,88,03:38 PM,04:57 AM,07:00 AM,06:05 PM,9,20,20,20,18,0,49,0.0,1016,27,10,338,11,"dholpur,rajasthan"
2009-02-08,27,10,0.0,11.1,5,96,04:49 PM,05:50 AM,07:00 AM,06:06 PM,7,20,20,20,12,0,44,0.0,1017,27,10,173,7,"dholpur,rajasthan"
2009-02-09,29,8,0.0,11.5,5,100,05:58 PM,06:35 AM,06:59 AM,06:06 PM,8,21,21,21,10,5,46,0.0,1016,29,10,106,5,"dholpur,rajasthan"
2009-02-10,31,14,0.0,11.5,6,89,07:04 PM,07:16 AM,06:58 AM,06:07 PM,6,22,21,22,15,9,38,0.0,1012,31,10,194,9,"dholpur,rajasthan"
2009-02-11,24,14,0.0,11.5,5,82,08:06 PM,07:52 AM,06:58 AM,06:08 PM,7,18,19,18,21,5,48,0.0,1013,24,10,293,13,"dholpur,rajasthan"
2009-02-12,25,10,0.0,11.5,5,74,09:07 PM,08:26 AM,06:57 AM,06:09 PM,10,17,18,17,15,13,65,0.0,1014,25,10,318,9,"dholpur,rajasthan"
2009-02-13,28,10,0.0,7.2,4,67,10:06 PM,08:59 AM,06:56 AM,06:09 PM,10,19,19,19,7,37,59,0.0,1012,28,10,230,4,"dholpur,rajasthan"
2009-02-14,29,12,0.0,11.6,6,59,11:04 PM,09:34 AM,06:55 AM,06:10 PM,11,23,23,23,12,3,50,0.0,1012,29,10,200,7,"dholpur,rajasthan"
2009-02-15,28,13,0.0,11.6,5,51,No moonrise,10:09 AM,06:55 AM,06:11 PM,7,20,20,20,17,4,47,0.0,1014,28,10,295,10,"dholpur,rajasthan"
2009-02-16,26,10,0.0,11.6,5,44,12:02 AM,10:48 AM,06:54 AM,06:11 PM,4,19,19,19,16,1,40,0.0,1016,26,10,328,9,"dholpur,rajasthan"
2009-02-17,27,9,0.0,11.6,5,36,12:59 AM,11:31 AM,06:53 AM,06:12 PM,4,20,19,20,15,14,38,0.0,1016,27,10,328,8,"dholpur,rajasthan"
2009-02-18,28,10,0.0,11.6,5,29,01:55 AM,12:17 PM,06:52 AM,06:13 PM,4,20,20,20,17,6,39,0.0,1015,28,10,281,10,"dholpur,rajasthan"
2009-02-19,30,11,0.0,11.6,5,21,02:47 AM,01:08 PM,06:51 AM,06:13 PM,5,21,21,21,18,3,38,0.0,1012,30,10,310,10,"dholpur,rajasthan"
2009-02-20,31,12,0.0,11.6,6,14,03:36 AM,02:02 PM,06:51 AM,06:14 PM,6,23,23,23,12,4,36,0.0,1015,31,10,339,7,"dholpur,rajasthan"
2009-02-21,32,13,0.0,11.6,6,6,04:20 AM,02:57 PM,06:50 AM,06:14 PM,6,23,22,23,16,4,36,0.0,1015,32,10,247,9,"dholpur,rajasthan"
2009-02-22,31,13,0.0,11.6,6,0,05:01 AM,03:53 PM,06:49 AM,06:15 PM,3,23,22,23,13,11,29,0.0,1010,31,10,259,8,"dholpur,rajasthan"
2009-02-23,33,16,0.0,11.6,6,0,05:37 AM,04:48 PM,06:48 AM,06:16 PM,4,24,24,25,12,21,28,0.0,1008,33,10,196,7,"dholpur,rajasthan"
2009-02-24,34,16,0.0,11.6,6,0,06:10 AM,05:44 PM,06:47 AM,06:16 PM,4,25,25,25,17,3,26,0.0,1008,34,10,284,11,"dholpur,rajasthan"
2009-02-25,32,15,0.0,11.6,6,1,06:42 AM,06:39 PM,06:46 AM,06:17 PM,8,24,24,24,17,2,37,0.0,1009,32,10,321,10,"dholpur,rajasthan"
