date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,22,9,0.0,8.7,4,31,10:10 AM,09:56 PM,07:13 AM,05:36 PM,4,14,15,14,19,5,49,0.0,1016,22,10,312,11,"faridabad,haryana"
2009-01-02,22,5,0.0,8.7,4,38,10:39 AM,10:52 PM,07:14 AM,05:37 PM,7,16,16,16,7,2,59,0.0,1017,22,10,327,4,"faridabad,haryana"
2009-01-03,22,6,0.0,8.7,4,45,11:09 AM,11:49 PM,07:14 AM,05:37 PM,6,16,16,16,8,7,56,0.0,1017,22,10,95,5,"faridabad,haryana"
2009-01-04,21,8,0.0,8.7,4,52,11:40 AM,No moonset,07:14 AM,05:38 PM,4,15,16,15,12,22,47,0.0,1015,21,10,87,6,"faridabad,haryana"
2009-01-05,22,11,0.0,8.7,4,60,12:14 PM,12:48 AM,07:14 AM,05:39 PM,7,16,17,16,13,10,59,0.0,1015,22,10,148,7,"faridabad,haryana"
2009-01-06,22,9,0.0,8.7,4,67,12:53 PM,01:51 AM,07:14 AM,05:39 PM,9,15,16,15,11,4,65,0.0,1015,22,10,207,6,"faridabad,haryana"
2009-01-07,21,7,0.0,8.7,4,74,01:39 PM,02:58 AM,07:14 AM,05:40 PM,6,16,16,16,16,3,54,0.0,1018,21,10,214,8,"faridabad,haryana"
2009-01-08,22,6,0.0,8.7,4,82,02:34 PM,04:08 AM,07:15 AM,05:41 PM,6,16,16,16,11,0,55,0.0,1021,22,10,287,7,"faridabad,haryana"
2009-01-09,20,4,0.0,8.7,4,89,03:38 PM,05:17 AM,07:15 AM,05:42 PM,2,14,14,14,11,17,48,0.0,1021,20,10,244,6,"faridabad,haryana"
2009-01-10,22,11,0.0,8.7,5,96,04:49 PM,06:22 AM,07:15 AM,05:43 PM,8,17,17,17,13,12,55,0.0,1020,22,10,208,7,"faridabad,haryana"
2009-01-11,22,7,0.0,8.7,4,100,06:02 PM,07:20 AM,07:15 AM,05:43 PM,7,15,16,15,14,11,58,0.0,1020,22,10,315,9,"faridabad,haryana"
2009-01-12,22,7,0.0,8.7,4,89,07:15 PM,08:09 AM,07:15 AM,05:44 PM,6,14,15,14,13,4,58,0.0,1021,22,10,279,7,"faridabad,haryana"
2009-01-13,22,5,0.0,8.7,4,82,08:22 PM,08:50 AM,07:15 AM,05:45 PM,6,15,15,15,13,19,55,0.0,1022,22,10,253,7,"faridabad,haryana"
2009-01-14,24,7,0.0,8.7,4,75,09:27 PM,09:27 AM,07:15 AM,05:46 PM,6,15,16,15,15,11,54,0.0,1022,24,10,315,9,"faridabad,haryana"
2009-01-15,24,6,0.0,8.7,4,68,10:28 PM,10:00 AM,07:14 AM,05:47 PM,4,16,17,16,14,11,46,0.0,1020,24,10,319,8,"faridabad,haryana"
2009-01-16,25,11,0.0,8.7,5,60,11:27 PM,10:32 AM,07:14 AM,05:47 PM,5,18,18,18,12,15,42,0.0,1019,25,10,205,7,"faridabad,haryana"
2009-01-17,22,13,0.0,7.1,5,53,No moonrise,11:03 AM,07:14 AM,05:48 PM,10,17,17,17,14,33,63,0.0,1018,22,10,252,8,"faridabad,haryana"
2009-01-18,23,13,0.0,7.1,5,46,12:24 AM,11:36 AM,07:14 AM,05:49 PM,13,18,18,18,11,32,76,0.0,1016,23,10,163,6,"faridabad,haryana"
2009-01-19,23,12,0.0,8.7,5,38,01:22 AM,12:11 PM,07:14 AM,05:50 PM,11,17,18,17,21,10,69,0.0,1017,23,10,309,12,"faridabad,haryana"
2009-01-20,22,9,0.0,8.7,4,31,02:19 AM,12:50 PM,07:14 AM,05:51 PM,8,14,15,14,24,15,64,0.0,1017,22,10,300,15,"faridabad,haryana"
2009-01-21,20,10,0.0,8.7,4,24,03:15 AM,01:34 PM,07:13 AM,05:51 PM,3,14,14,14,26,25,46,0.0,1015,20,10,301,15,"faridabad,haryana"
2009-01-22,24,11,0.0,8.7,5,17,04:09 AM,02:21 PM,07:13 AM,05:52 PM,3,17,17,17,18,24,39,0.0,1015,24,10,310,10,"faridabad,haryana"
2009-01-23,25,13,0.0,8.7,5,9,05:01 AM,03:13 PM,07:13 AM,05:53 PM,3,18,18,18,29,20,36,0.0,1014,25,10,307,16,"faridabad,haryana"
2009-01-24,26,15,0.0,5.5,5,2,05:48 AM,04:08 PM,07:12 AM,05:54 PM,6,19,19,19,25,39,42,0.0,1011,26,10,297,14,"faridabad,haryana"
2009-01-25,28,13,0.0,8.7,5,0,06:30 AM,05:04 PM,07:12 AM,05:55 PM,10,21,21,21,12,13,54,0.0,1011,28,10,165,7,"faridabad,haryana"
2009-01-26,26,11,0.0,8.7,5,0,07:08 AM,06:01 PM,07:12 AM,05:56 PM,12,20,20,20,10,5,63,0.0,1011,26,10,225,6,"faridabad,haryana"
2009-01-27,24,10,0.0,8.7,5,5,07:42 AM,06:56 PM,07:11 AM,05:56 PM,12,20,20,20,14,0,61,0.0,1013,24,10,299,9,"faridabad,haryana"
2009-01-28,24,10,0.0,8.7,5,12,08:13 AM,07:52 PM,07:11 AM,05:57 PM,11,18,19,18,17,0,66,0.0,1014,24,10,294,12,"faridabad,haryana"
2009-01-29,24,7,0.0,8.7,4,20,08:43 AM,08:47 PM,07:10 AM,05:58 PM,12,19,19,19,8,3,69,0.0,1015,24,10,323,5,"faridabad,haryana"
2009-01-30,25,9,0.0,8.7,5,27,09:13 AM,09:44 PM,07:10 AM,05:59 PM,11,18,18,18,15,3,66,0.0,1015,25,10,276,9,"faridabad,haryana"
