date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,24,9,0.0,8.7,5,31,09:51 AM,09:38 PM,06:52 AM,05:20 PM,9,18,18,18,9,3,58,0.0,1015,24,10,281,5,"gonda,uttar+pradesh"
2009-01-02,23,8,0.0,8.7,4,38,10:20 AM,10:32 PM,06:52 AM,05:21 PM,6,17,17,17,11,2,50,0.0,1017,23,10,218,6,"gonda,uttar+pradesh"
2009-01-03,23,8,0.0,8.7,4,45,10:50 AM,11:29 PM,06:52 AM,05:22 PM,5,17,17,17,9,5,50,0.0,1017,23,10,213,5,"gonda,uttar+pradesh"
2009-01-04,23,7,0.0,8.7,4,52,11:22 AM,No moonset,06:52 AM,05:22 PM,6,17,17,17,8,4,50,0.0,1015,23,10,159,5,"gonda,uttar+pradesh"
2009-01-05,25,11,0.0,8.7,5,60,11:57 AM,12:27 AM,06:53 AM,05:23 PM,5,18,18,18,8,19,45,0.0,1013,25,10,210,4,"gonda,uttar+pradesh"
2009-01-06,26,13,0.0,8.7,5,67,12:36 PM,01:30 AM,06:53 AM,05:24 PM,5,19,19,19,10,25,40,0.0,1014,26,10,117,6,"gonda,uttar+pradesh"
2009-01-07,26,15,0.0,8.7,5,74,01:23 PM,02:35 AM,06:53 AM,05:24 PM,7,20,19,20,12,21,46,0.0,1017,26,10,106,7,"gonda,uttar+pradesh"
2009-01-08,26,12,0.0,8.7,5,82,02:18 PM,03:45 AM,06:53 AM,05:25 PM,11,19,19,19,8,13,64,0.3,1019,26,10,190,4,"gonda,uttar+pradesh"
2009-01-09,26,12,0.0,8.7,5,89,03:23 PM,04:54 AM,06:53 AM,05:26 PM,11,19,19,19,10,15,63,0.0,1019,26,10,237,5,"gonda,uttar+pradesh"
2009-01-10,26,13,0.0,8.7,5,96,04:33 PM,06:00 AM,06:53 AM,05:27 PM,9,19,19,19,16,5,55,0.0,1019,26,10,291,9,"gonda,uttar+pradesh"
2009-01-11,25,12,0.0,8.7,5,100,05:46 PM,06:58 AM,06:53 AM,05:28 PM,12,19,20,19,17,1,65,0.0,1017,25,10,292,10,"gonda,uttar+pradesh"
2009-01-12,25,11,0.0,8.7,5,89,06:57 PM,07:48 AM,06:53 AM,05:28 PM,7,18,18,18,15,0,52,0.0,1020,25,10,293,9,"gonda,uttar+pradesh"
2009-01-13,24,10,0.0,8.7,5,82,08:05 PM,08:30 AM,06:53 AM,05:29 PM,4,17,17,17,17,6,42,0.0,1021,24,10,309,9,"gonda,uttar+pradesh"
2009-01-14,25,11,0.0,8.7,5,75,09:08 PM,09:07 AM,06:53 AM,05:30 PM,5,17,17,17,17,18,44,0.0,1020,25,10,299,10,"gonda,uttar+pradesh"
2009-01-15,25,10,0.0,8.7,5,68,10:08 PM,09:42 AM,06:53 AM,05:31 PM,5,17,17,17,14,24,44,0.0,1019,25,10,301,8,"gonda,uttar+pradesh"
2009-01-16,26,10,0.0,8.7,5,60,11:07 PM,10:13 AM,06:53 AM,05:31 PM,4,17,17,17,15,29,44,0.0,1018,26,10,307,8,"gonda,uttar+pradesh"
2009-01-17,27,10,0.0,8.7,5,53,No moonrise,10:46 AM,06:53 AM,05:32 PM,7,19,18,19,17,13,47,0.0,1016,27,10,298,9,"gonda,uttar+pradesh"
2009-01-18,29,13,0.0,8.7,5,46,12:03 AM,11:19 AM,06:53 AM,05:33 PM,10,21,21,21,19,2,52,0.0,1015,29,10,291,11,"gonda,uttar+pradesh"
2009-01-19,29,16,0.0,8.7,6,38,01:00 AM,11:55 AM,06:53 AM,05:34 PM,8,22,21,22,29,0,42,0.0,1014,29,10,295,17,"gonda,uttar+pradesh"
2009-01-20,26,14,0.0,8.7,5,31,01:57 AM,12:34 PM,06:52 AM,05:35 PM,9,19,19,19,27,3,54,0.0,1013,26,10,283,16,"gonda,uttar+pradesh"
2009-01-21,24,11,0.0,7.2,5,24,02:53 AM,01:18 PM,06:52 AM,05:35 PM,7,16,17,16,19,27,55,0.0,1012,24,10,281,11,"gonda,uttar+pradesh"
2009-01-22,25,10,0.0,8.7,5,17,03:47 AM,02:06 PM,06:52 AM,05:36 PM,7,17,18,17,16,8,52,0.0,1012,25,10,288,9,"gonda,uttar+pradesh"
2009-01-23,27,10,0.0,8.7,5,9,04:38 AM,02:57 PM,06:52 AM,05:37 PM,7,19,19,19,19,7,48,0.0,1010,27,10,270,11,"gonda,uttar+pradesh"
2009-01-24,26,11,0.0,7.2,5,2,05:26 AM,03:52 PM,06:51 AM,05:38 PM,9,17,18,17,11,50,59,0.0,1010,26,10,175,6,"gonda,uttar+pradesh"
2009-01-25,25,14,0.0,8.7,5,0,06:08 AM,04:48 PM,06:51 AM,05:39 PM,12,19,19,19,10,12,66,0.0,1012,25,10,147,6,"gonda,uttar+pradesh"
2009-01-26,31,15,0.0,8.7,6,0,06:46 AM,05:44 PM,06:51 AM,05:39 PM,12,23,23,23,17,7,55,0.0,1010,31,10,289,10,"gonda,uttar+pradesh"
2009-01-27,30,15,0.0,8.7,6,5,07:21 AM,06:39 PM,06:50 AM,05:40 PM,11,23,23,23,19,0,47,0.0,1011,30,10,313,11,"gonda,uttar+pradesh"
2009-01-28,26,14,0.0,8.7,5,12,07:53 AM,07:34 PM,06:50 AM,05:41 PM,11,20,20,20,20,0,58,0.0,1012,26,10,287,13,"gonda,uttar+pradesh"
2009-01-29,26,11,0.0,8.7,5,20,08:23 AM,08:28 PM,06:49 AM,05:42 PM,10,18,18,18,15,13,59,0.0,1014,26,10,286,9,"gonda,uttar+pradesh"
