date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,24,11,0.0,8.7,5,31,09:46 AM,09:36 PM,06:46 AM,05:20 PM,9,18,18,18,10,2,59,0.0,1015,24,10,278,6,"jaunpur,uttar+pradesh"
2009-01-02,24,9,0.0,8.7,5,38,10:17 AM,10:29 PM,06:46 AM,05:21 PM,8,18,18,18,8,2,56,0.0,1016,24,10,300,4,"jaunpur,uttar+pradesh"
2009-01-03,24,8,0.0,8.7,4,45,10:48 AM,11:25 PM,06:46 AM,05:21 PM,6,17,17,17,8,2,52,0.0,1017,24,10,227,4,"jaunpur,uttar+pradesh"
2009-01-04,24,8,0.0,8.7,5,52,11:20 AM,No moonset,06:46 AM,05:22 PM,5,17,17,17,10,3,47,0.0,1014,24,10,124,5,"jaunpur,uttar+pradesh"
2009-01-05,25,10,0.0,8.7,5,60,11:55 AM,12:22 AM,06:47 AM,05:23 PM,4,18,18,18,12,8,42,0.0,1013,25,10,83,7,"jaunpur,uttar+pradesh"
2009-01-06,22,12,0.0,8.7,5,67,12:36 PM,01:24 AM,06:47 AM,05:24 PM,5,17,17,17,13,18,45,0.0,1014,22,10,90,7,"jaunpur,uttar+pradesh"
2009-01-07,22,14,0.0,8.7,5,74,01:23 PM,02:29 AM,06:47 AM,05:24 PM,9,18,18,18,12,15,60,0.0,1016,22,10,117,7,"jaunpur,uttar+pradesh"
2009-01-08,25,13,0.0,8.7,5,82,02:19 PM,03:38 AM,06:47 AM,05:25 PM,13,19,19,19,15,21,72,0.6,1019,25,9,167,9,"jaunpur,uttar+pradesh"
2009-01-09,26,14,0.0,8.7,5,89,03:23 PM,04:47 AM,06:47 AM,05:26 PM,14,21,21,21,9,8,67,0.0,1019,26,10,127,5,"jaunpur,uttar+pradesh"
2009-01-10,24,15,0.0,8.7,5,96,04:33 PM,05:53 AM,06:47 AM,05:27 PM,12,19,19,19,12,12,63,0.0,1019,24,10,288,7,"jaunpur,uttar+pradesh"
2009-01-11,25,14,0.0,8.7,5,100,05:46 PM,06:51 AM,06:47 AM,05:27 PM,13,19,19,19,17,3,68,0.0,1018,25,10,287,10,"jaunpur,uttar+pradesh"
2009-01-12,25,11,0.0,8.7,5,89,06:56 PM,07:42 AM,06:47 AM,05:28 PM,10,18,18,18,13,0,60,0.0,1020,25,10,290,8,"jaunpur,uttar+pradesh"
2009-01-13,25,11,0.0,8.7,5,82,08:03 PM,08:25 AM,06:47 AM,05:29 PM,6,17,18,17,12,4,50,0.0,1021,25,10,316,7,"jaunpur,uttar+pradesh"
2009-01-14,26,12,0.0,8.7,5,75,09:06 PM,09:03 AM,06:47 AM,05:30 PM,10,18,18,18,11,4,59,0.0,1020,26,10,305,6,"jaunpur,uttar+pradesh"
2009-01-15,26,12,0.0,8.7,5,68,10:05 PM,09:38 AM,06:47 AM,05:30 PM,11,19,19,19,13,12,61,0.0,1019,26,10,301,8,"jaunpur,uttar+pradesh"
2009-01-16,26,12,0.0,8.7,5,60,11:02 PM,10:11 AM,06:47 AM,05:31 PM,8,18,18,18,13,10,53,0.0,1018,26,10,294,7,"jaunpur,uttar+pradesh"
2009-01-17,27,11,0.0,8.7,5,53,11:59 PM,10:44 AM,06:47 AM,05:32 PM,9,19,19,19,14,4,55,0.0,1016,27,10,287,8,"jaunpur,uttar+pradesh"
2009-01-18,29,13,0.0,8.7,6,46,No moonrise,11:18 AM,06:47 AM,05:33 PM,13,21,22,21,16,1,60,0.0,1015,29,10,288,9,"jaunpur,uttar+pradesh"
2009-01-19,28,16,0.0,8.7,6,38,12:55 AM,11:55 AM,06:47 AM,05:33 PM,11,22,22,22,24,3,53,0.0,1014,28,10,284,13,"jaunpur,uttar+pradesh"
2009-01-20,27,16,0.0,8.7,5,31,01:51 AM,12:34 PM,06:47 AM,05:34 PM,9,20,20,20,29,17,51,0.0,1014,27,10,274,17,"jaunpur,uttar+pradesh"
2009-01-21,24,12,0.0,8.7,5,24,02:46 AM,01:19 PM,06:47 AM,05:35 PM,6,17,17,17,24,19,49,0.0,1014,24,10,266,14,"jaunpur,uttar+pradesh"
2009-01-22,24,12,0.0,8.7,5,17,03:40 AM,02:06 PM,06:46 AM,05:36 PM,5,17,18,17,20,12,45,0.0,1013,24,10,261,11,"jaunpur,uttar+pradesh"
2009-01-23,27,12,0.0,8.7,5,9,04:31 AM,02:58 PM,06:46 AM,05:36 PM,6,19,19,19,23,4,46,0.0,1011,27,10,263,13,"jaunpur,uttar+pradesh"
2009-01-24,27,12,0.0,8.7,5,2,05:19 AM,03:53 PM,06:46 AM,05:37 PM,8,17,18,17,13,27,57,0.0,1011,27,10,262,8,"jaunpur,uttar+pradesh"
