date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,25,11,0.0,8.7,5,31,10:12 AM,10:03 PM,07:10 AM,05:49 PM,3,18,18,18,13,1,38,0.0,1016,25,10,80,8,"jhalawar,rajasthan"
2009-01-02,26,11,0.0,8.7,5,38,10:43 AM,10:57 PM,07:10 AM,05:49 PM,2,18,18,18,14,8,36,0.0,1016,26,10,100,8,"jhalawar,rajasthan"
2009-01-03,28,13,0.0,8.7,5,45,11:15 AM,11:51 PM,07:10 AM,05:50 PM,4,19,20,19,16,6,37,0.0,1015,28,10,167,9,"jhalawar,rajasthan"
2009-01-04,27,14,0.0,8.7,5,52,11:48 AM,No moonset,07:11 AM,05:51 PM,5,21,21,21,11,0,36,0.0,1014,27,10,262,6,"jhalawar,rajasthan"
2009-01-05,26,13,0.0,8.7,5,60,12:23 PM,12:48 AM,07:11 AM,05:51 PM,7,20,20,20,15,6,45,0.0,1013,26,10,234,9,"jhalawar,rajasthan"
2009-01-06,26,16,0.0,8.7,5,67,01:05 PM,01:50 AM,07:11 AM,05:52 PM,6,20,20,20,17,11,40,0.0,1013,26,10,122,10,"jhalawar,rajasthan"
2009-01-07,25,13,0.0,8.7,5,74,01:53 PM,02:54 AM,07:11 AM,05:53 PM,5,19,19,19,16,16,42,0.0,1016,25,10,44,10,"jhalawar,rajasthan"
2009-01-08,17,14,0.0,8.7,5,82,02:49 PM,04:03 AM,07:11 AM,05:53 PM,7,15,15,15,22,33,56,0.0,1019,17,10,42,13,"jhalawar,rajasthan"
2009-01-09,19,13,0.0,8.7,5,89,03:54 PM,05:12 AM,07:11 AM,05:54 PM,12,16,16,16,16,43,74,0.1,1020,19,10,77,11,"jhalawar,rajasthan"
2009-01-10,26,15,0.0,8.7,5,96,05:04 PM,06:17 AM,07:12 AM,05:55 PM,13,20,21,20,13,28,68,0.3,1019,26,10,59,9,"jhalawar,rajasthan"
2009-01-11,25,16,0.0,8.7,5,100,06:15 PM,07:16 AM,07:12 AM,05:55 PM,12,20,20,20,15,16,61,0.0,1018,25,10,61,10,"jhalawar,rajasthan"
2009-01-12,21,15,0.0,8.7,5,89,07:26 PM,08:07 AM,07:12 AM,05:56 PM,10,19,19,19,15,38,57,0.0,1020,21,10,61,9,"jhalawar,rajasthan"
