date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,28,13,0.0,8.7,5,31,09:38 AM,09:32 PM,06:32 AM,05:23 PM,9,21,21,21,9,5,49,0.0,1015,28,10,62,5,"jharsuguda,orissa"
2009-01-02,27,14,0.0,8.7,5,38,10:10 AM,10:24 PM,06:33 AM,05:23 PM,9,20,20,20,9,3,50,0.0,1016,27,10,106,5,"jharsuguda,orissa"
2009-01-03,27,13,0.0,8.7,5,45,10:43 AM,11:17 PM,06:33 AM,05:24 PM,10,21,20,21,7,2,54,0.0,1016,27,10,157,4,"jharsuguda,orissa"
2009-01-04,27,13,0.0,8.7,5,52,11:17 AM,No moonset,06:33 AM,05:25 PM,11,21,22,21,9,1,54,0.0,1014,27,10,181,5,"jharsuguda,orissa"
2009-01-05,28,13,0.0,8.7,6,60,11:55 AM,12:13 AM,06:33 AM,05:25 PM,11,21,21,21,8,8,56,0.0,1012,28,10,171,5,"jharsuguda,orissa"
2009-01-06,29,16,0.0,8.7,6,67,12:37 PM,01:12 AM,06:34 AM,05:26 PM,12,21,22,21,12,28,56,0.0,1013,29,10,91,6,"jharsuguda,orissa"
2009-01-07,26,18,0.0,8.7,6,74,01:26 PM,02:16 AM,06:34 AM,05:27 PM,14,21,21,21,15,36,68,0.5,1016,26,10,59,9,"jharsuguda,orissa"
2009-01-08,29,16,0.0,8.7,6,82,02:23 PM,03:23 AM,06:34 AM,05:27 PM,14,22,23,22,12,9,62,0.0,1018,29,10,77,7,"jharsuguda,orissa"
2009-01-09,29,16,0.0,8.7,6,89,03:28 PM,04:31 AM,06:34 AM,05:28 PM,14,22,24,22,10,9,62,0.0,1019,29,10,83,6,"jharsuguda,orissa"
2009-01-10,29,16,0.0,8.7,6,96,04:37 PM,05:37 AM,06:34 AM,05:29 PM,12,22,23,22,8,6,53,0.0,1018,29,10,110,5,"jharsuguda,orissa"
2009-01-11,29,16,0.0,8.7,6,100,05:48 PM,06:37 AM,06:35 AM,05:29 PM,12,22,22,22,9,12,57,0.0,1018,29,10,127,5,"jharsuguda,orissa"
2009-01-12,29,16,0.0,8.7,6,89,06:56 PM,07:30 AM,06:35 AM,05:30 PM,12,22,22,22,11,4,55,0.0,1019,29,10,101,6,"jharsuguda,orissa"
2009-01-13,28,15,0.0,8.7,5,82,08:01 PM,08:15 AM,06:35 AM,05:31 PM,9,21,20,21,11,5,47,0.0,1021,28,10,77,6,"jharsuguda,orissa"
2009-01-14,29,14,0.0,8.7,5,75,09:01 PM,08:55 AM,06:35 AM,05:31 PM,10,21,22,21,8,4,49,0.0,1020,29,10,119,5,"jharsuguda,orissa"
2009-01-15,29,14,0.0,8.7,5,68,09:59 PM,09:33 AM,06:35 AM,05:32 PM,12,22,23,22,9,1,52,0.0,1019,29,10,90,5,"jharsuguda,orissa"
2009-01-16,29,14,0.0,8.7,6,60,10:54 PM,10:07 AM,06:35 AM,05:33 PM,11,23,23,23,7,0,50,0.0,1019,29,10,107,4,"jharsuguda,orissa"
2009-01-17,29,13,0.0,8.7,5,53,11:48 PM,10:42 AM,06:35 AM,05:33 PM,11,23,23,23,6,0,52,0.0,1017,29,10,106,3,"jharsuguda,orissa"
2009-01-18,29,13,0.0,8.7,5,46,No moonrise,11:18 AM,06:35 AM,05:34 PM,9,22,22,22,8,0,45,0.0,1016,29,10,111,5,"jharsuguda,orissa"
