date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,18,6,0.0,8.7,4,31,10:17 AM,09:59 PM,07:26 AM,05:32 PM,-4,10,11,10,14,4,37,0.0,1018,18,10,114,8,"kangra,himachal+pradesh"
2009-01-02,19,7,0.0,8.7,4,38,10:45 AM,10:56 PM,07:26 AM,05:32 PM,-3,11,12,11,15,13,37,0.0,1019,19,10,122,8,"kangra,himachal+pradesh"
2009-01-03,18,8,0.0,8.7,4,45,11:12 AM,11:55 PM,07:26 AM,05:33 PM,-1,12,13,12,11,43,40,0.0,1018,18,10,134,6,"kangra,himachal+pradesh"
2009-01-04,17,9,0.0,8.7,4,52,11:41 AM,No moonset,07:27 AM,05:34 PM,4,12,12,12,11,36,60,3.0,1018,17,10,146,6,"kangra,himachal+pradesh"
2009-01-05,17,8,0.0,8.7,4,60,12:13 PM,12:56 AM,07:27 AM,05:35 PM,2,11,12,11,13,8,51,0.0,1016,17,10,101,7,"kangra,himachal+pradesh"
2009-01-06,16,7,0.0,8.7,4,67,12:50 PM,02:02 AM,07:27 AM,05:35 PM,-1,10,11,10,13,14,46,0.0,1019,16,10,139,7,"kangra,himachal+pradesh"
2009-01-07,16,9,0.0,8.7,4,74,01:34 PM,03:11 AM,07:27 AM,05:36 PM,-1,11,12,11,16,24,41,0.1,1022,16,10,121,9,"kangra,himachal+pradesh"
2009-01-08,19,8,0.0,8.7,4,82,02:27 PM,04:22 AM,07:27 AM,05:37 PM,-3,12,13,12,15,9,34,0.0,1025,19,10,102,8,"kangra,himachal+pradesh"
2009-01-09,19,7,0.0,8.7,4,89,03:32 PM,05:33 AM,07:27 AM,05:38 PM,-5,11,12,11,17,20,30,0.0,1025,19,10,120,9,"kangra,himachal+pradesh"
2009-01-10,19,9,0.0,8.7,4,96,04:43 PM,06:37 AM,07:27 AM,05:39 PM,-2,12,13,12,15,10,37,0.0,1023,19,10,108,8,"kangra,himachal+pradesh"
2009-01-11,20,9,0.0,8.7,4,100,05:58 PM,07:34 AM,07:27 AM,05:40 PM,-3,12,13,12,15,11,35,0.0,1022,20,10,117,8,"kangra,himachal+pradesh"
2009-01-12,19,7,0.0,8.7,4,89,07:13 PM,08:20 AM,07:27 AM,05:41 PM,-4,11,12,11,15,18,33,0.0,1024,19,10,119,9,"kangra,himachal+pradesh"
2009-01-13,20,7,0.0,8.7,4,82,08:23 PM,09:00 AM,07:27 AM,05:41 PM,-5,12,13,12,13,20,30,0.0,1025,20,10,126,7,"kangra,himachal+pradesh"
2009-01-14,21,9,0.0,8.7,4,75,09:30 PM,09:34 AM,07:26 AM,05:42 PM,-6,13,13,13,18,16,26,0.0,1025,21,10,116,9,"kangra,himachal+pradesh"
2009-01-15,22,9,0.0,8.7,4,68,10:33 PM,10:05 AM,07:26 AM,05:43 PM,-3,14,15,14,15,23,31,0.0,1023,22,10,113,8,"kangra,himachal+pradesh"
2009-01-16,21,11,0.0,8.7,4,60,11:34 PM,10:34 AM,07:26 AM,05:44 PM,-0,15,15,15,12,29,37,0.0,1022,21,10,125,7,"kangra,himachal+pradesh"
2009-01-17,20,10,0.0,8.7,4,53,No moonrise,11:04 AM,07:26 AM,05:45 PM,6,15,15,15,13,18,57,0.2,1021,20,10,106,8,"kangra,himachal+pradesh"
2009-01-18,12,10,0.0,3.8,3,46,12:34 AM,11:35 AM,07:26 AM,05:46 PM,7,10,11,10,22,62,77,7.2,1019,12,9,107,12,"kangra,himachal+pradesh"
2009-01-19,19,10,0.0,8.7,4,38,01:34 AM,12:08 PM,07:25 AM,05:47 PM,8,14,14,14,14,7,66,1.5,1021,19,10,169,8,"kangra,himachal+pradesh"
2009-01-20,20,9,0.0,8.7,4,31,02:32 AM,12:45 PM,07:25 AM,05:48 PM,2,13,14,13,14,13,46,0.0,1020,20,10,114,8,"kangra,himachal+pradesh"
2009-01-21,21,9,0.0,7.1,4,24,03:30 AM,01:27 PM,07:25 AM,05:49 PM,2,14,15,14,14,29,43,0.0,1018,21,10,153,8,"kangra,himachal+pradesh"
2009-01-22,19,12,0.0,8.7,4,17,04:25 AM,02:14 PM,07:24 AM,05:49 PM,3,15,15,15,11,20,45,0.0,1018,19,10,92,6,"kangra,himachal+pradesh"
