date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,27,11,0.0,8.7,5,31,09:47 AM,09:44 PM,06:39 AM,05:36 PM,8,19,18,19,11,2,52,0.0,1014,27,10,57,6,"kanker,chhattisgarh"
2009-01-02,27,15,0.0,8.7,5,38,10:20 AM,10:34 PM,06:40 AM,05:36 PM,7,19,19,19,15,2,46,0.0,1016,27,10,74,8,"kanker,chhattisgarh"
2009-01-03,27,13,0.0,8.7,5,45,10:54 AM,11:27 PM,06:40 AM,05:37 PM,7,19,19,19,8,2,49,0.0,1016,27,10,195,5,"kanker,chhattisgarh"
2009-01-04,28,12,0.0,8.7,5,52,11:29 AM,No moonset,06:40 AM,05:38 PM,9,19,19,19,8,1,55,0.0,1014,28,10,248,4,"kanker,chhattisgarh"
2009-01-05,28,13,0.0,8.7,6,60,12:07 PM,12:22 AM,06:41 AM,05:38 PM,11,20,21,20,7,10,58,0.0,1012,28,10,266,4,"kanker,chhattisgarh"
2009-01-06,28,15,0.0,8.7,6,67,12:50 PM,01:21 AM,06:41 AM,05:39 PM,13,22,22,22,7,16,59,0.0,1013,28,10,159,4,"kanker,chhattisgarh"
2009-01-07,26,18,0.0,8.7,6,74,01:40 PM,02:23 AM,06:41 AM,05:40 PM,14,22,23,22,10,30,63,0.2,1015,26,9,178,6,"kanker,chhattisgarh"
2009-01-08,28,16,0.0,8.7,6,82,02:37 PM,03:30 AM,06:41 AM,05:40 PM,13,22,22,22,10,12,57,0.0,1017,28,10,100,5,"kanker,chhattisgarh"
2009-01-09,29,18,0.0,8.7,6,89,03:42 PM,04:38 AM,06:42 AM,05:41 PM,11,22,22,22,8,9,51,0.0,1018,29,10,228,4,"kanker,chhattisgarh"
2009-01-10,30,15,0.0,8.7,6,96,04:52 PM,05:44 AM,06:42 AM,05:42 PM,9,21,21,21,11,4,48,0.0,1017,30,10,97,6,"kanker,chhattisgarh"
2009-01-11,29,16,0.0,8.7,6,100,06:02 PM,06:44 AM,06:42 AM,05:42 PM,8,21,21,21,12,4,44,0.0,1017,29,10,91,6,"kanker,chhattisgarh"
2009-01-12,29,16,0.0,8.7,6,89,07:10 PM,07:37 AM,06:42 AM,05:43 PM,10,21,22,21,12,7,50,0.0,1019,29,10,52,7,"kanker,chhattisgarh"
2009-01-13,28,17,0.0,8.7,6,82,08:13 PM,08:23 AM,06:42 AM,05:44 PM,11,22,22,22,14,9,51,0.0,1020,28,10,92,8,"kanker,chhattisgarh"
2009-01-14,28,15,0.0,8.7,6,75,09:13 PM,09:05 AM,06:42 AM,05:44 PM,9,21,21,21,12,5,48,0.0,1020,28,10,91,7,"kanker,chhattisgarh"
2009-01-15,28,14,0.0,8.7,5,68,10:09 PM,09:43 AM,06:42 AM,05:45 PM,10,20,20,20,11,3,53,0.0,1019,28,10,69,7,"kanker,chhattisgarh"
2009-01-16,28,13,0.0,8.7,5,60,11:03 PM,10:18 AM,06:42 AM,05:46 PM,9,19,19,19,10,0,55,0.0,1019,28,10,55,6,"kanker,chhattisgarh"
2009-01-17,28,12,0.0,8.7,5,53,11:57 PM,10:54 AM,06:42 AM,05:46 PM,8,19,19,19,12,0,51,0.0,1017,28,10,48,7,"kanker,chhattisgarh"
2009-01-18,28,12,0.0,8.7,5,46,No moonrise,11:31 AM,06:42 AM,05:47 PM,8,19,19,19,11,0,52,0.0,1016,28,10,73,7,"kanker,chhattisgarh"
2009-01-19,29,12,0.0,8.7,5,38,12:50 AM,12:09 PM,06:42 AM,05:48 PM,8,20,20,20,9,0,50,0.0,1015,29,10,100,5,"kanker,chhattisgarh"
2009-01-20,29,12,0.0,8.7,5,31,01:44 AM,12:51 PM,06:42 AM,05:48 PM,9,20,20,20,7,0,53,0.0,1015,29,10,53,5,"kanker,chhattisgarh"
2009-01-21,28,13,0.0,8.7,5,24,02:38 AM,01:37 PM,06:42 AM,05:49 PM,7,19,19,19,10,0,50,0.0,1015,28,10,147,6,"kanker,chhattisgarh"
2009-01-22,29,11,0.0,8.7,5,17,03:31 AM,02:25 PM,06:42 AM,05:49 PM,4,18,18,18,10,0,42,0.0,1014,29,10,119,6,"kanker,chhattisgarh"
2009-01-23,31,10,0.0,8.7,5,9,04:22 AM,03:17 PM,06:42 AM,05:50 PM,3,19,19,19,9,0,39,0.0,1012,31,10,54,5,"kanker,chhattisgarh"
2009-01-24,32,12,0.0,8.7,6,2,05:10 AM,04:10 PM,06:42 AM,05:51 PM,6,21,21,21,9,0,42,0.0,1012,32,10,81,5,"kanker,chhattisgarh"
2009-01-25,33,15,0.0,8.7,6,0,05:55 AM,05:04 PM,06:42 AM,05:51 PM,5,22,22,22,10,4,33,0.0,1013,33,10,259,5,"kanker,chhattisgarh"
2009-01-26,34,14,0.0,8.7,6,0,06:36 AM,05:57 PM,06:41 AM,05:52 PM,7,23,23,24,7,4,39,0.0,1013,34,10,249,4,"kanker,chhattisgarh"
2009-01-27,32,17,0.0,8.7,6,5,07:14 AM,06:49 PM,06:41 AM,05:53 PM,9,22,22,23,11,0,45,0.0,1013,32,10,276,6,"kanker,chhattisgarh"
2009-01-28,32,15,0.0,8.7,6,12,07:49 AM,07:41 PM,06:41 AM,05:53 PM,9,23,23,23,6,0,45,0.0,1013,32,10,233,4,"kanker,chhattisgarh"
2009-01-29,32,15,0.0,8.7,6,20,08:22 AM,08:31 PM,06:41 AM,05:54 PM,7,22,22,23,11,2,40,0.0,1014,32,10,177,6,"kanker,chhattisgarh"
2009-01-30,33,17,0.0,8.7,6,27,08:56 AM,09:24 PM,06:40 AM,05:54 PM,8,24,24,24,9,11,38,0.0,1013,33,10,205,5,"kanker,chhattisgarh"
2009-01-31,33,16,0.0,8.7,6,31,09:30 AM,10:17 PM,06:40 AM,05:55 PM,8,23,23,24,8,1,40,0.0,1012,33,10,234,5,"kanker,chhattisgarh"
2009-02-01,32,16,0.0,8.7,6,43,10:06 AM,11:13 PM,06:40 AM,05:56 PM,9,23,23,23,10,1,42,0.0,1013,32,10,202,6,"kanker,chhattisgarh"
2009-02-02,31,14,0.0,8.7,6,50,10:47 AM,No moonset,06:39 AM,05:56 PM,9,22,22,22,9,1,46,0.0,1014,31,10,156,5,"kanker,chhattisgarh"
2009-02-03,32,13,0.0,8.7,6,58,11:32 AM,12:12 AM,06:39 AM,05:57 PM,5,21,21,21,9,0,40,0.0,1014,32,10,156,5,"kanker,chhattisgarh"
2009-02-04,32,14,0.0,8.7,6,66,12:24 PM,01:15 AM,06:39 AM,05:57 PM,5,22,22,22,10,0,35,0.0,1014,32,10,180,5,"kanker,chhattisgarh"
2009-02-05,33,18,0.0,8.7,6,73,01:24 PM,02:20 AM,06:38 AM,05:58 PM,8,24,24,24,10,6,39,0.0,1014,33,10,221,6,"kanker,chhattisgarh"
2009-02-06,32,18,0.0,8.7,6,81,02:29 PM,03:25 AM,06:38 AM,05:58 PM,11,24,24,24,11,5,45,0.0,1013,32,10,199,6,"kanker,chhattisgarh"
2009-02-07,32,15,0.0,8.7,6,88,03:38 PM,04:26 AM,06:37 AM,05:59 PM,8,22,22,23,10,1,42,0.0,1013,32,10,86,6,"kanker,chhattisgarh"
2009-02-08,32,15,0.0,8.7,6,96,04:45 PM,05:22 AM,06:37 AM,05:59 PM,4,22,22,22,13,0,34,0.0,1015,32,10,42,7,"kanker,chhattisgarh"
2009-02-09,31,13,0.0,11.6,6,100,05:51 PM,06:11 AM,06:37 AM,06:00 PM,4,21,21,21,11,0,35,0.0,1015,31,10,109,7,"kanker,chhattisgarh"
2009-02-10,34,14,0.0,11.6,6,89,06:53 PM,06:55 AM,06:36 AM,06:00 PM,7,23,23,23,7,1,40,0.0,1013,34,10,182,4,"kanker,chhattisgarh"
2009-02-11,31,18,0.0,11.6,6,82,07:52 PM,07:35 AM,06:36 AM,06:01 PM,11,24,24,23,18,13,46,0.0,1012,31,10,236,11,"kanker,chhattisgarh"
2009-02-12,31,14,0.0,11.6,6,74,08:49 PM,08:12 AM,06:35 AM,06:01 PM,5,22,21,22,12,0,38,0.0,1012,31,10,260,7,"kanker,chhattisgarh"
