date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,26,10,0.0,8.7,5,31,09:54 AM,09:46 PM,06:51 AM,05:33 PM,7,19,18,19,12,2,49,0.0,1016,26,10,79,7,"katni,madhya+pradesh"
2009-01-02,25,10,0.0,8.7,5,38,10:25 AM,10:39 PM,06:51 AM,05:34 PM,5,18,18,18,12,1,45,0.0,1017,25,10,178,7,"katni,madhya+pradesh"
2009-01-03,27,10,0.0,8.7,5,45,10:57 AM,11:33 PM,06:52 AM,05:35 PM,5,18,18,18,13,3,44,0.0,1017,27,10,167,7,"katni,madhya+pradesh"
2009-01-04,28,11,0.0,8.7,5,52,11:31 AM,No moonset,06:52 AM,05:35 PM,7,20,19,20,12,4,45,0.0,1014,28,10,170,7,"katni,madhya+pradesh"
2009-01-05,28,12,0.0,8.7,5,60,12:07 PM,12:30 AM,06:52 AM,05:36 PM,8,20,20,20,12,11,48,0.0,1012,28,10,168,7,"katni,madhya+pradesh"
2009-01-06,26,16,0.0,8.7,5,67,12:48 PM,01:31 AM,06:52 AM,05:37 PM,7,20,20,20,13,34,44,0.0,1013,26,10,119,7,"katni,madhya+pradesh"
2009-01-07,25,15,0.0,8.7,5,74,01:37 PM,02:35 AM,06:52 AM,05:37 PM,12,19,19,19,14,36,66,1.9,1016,25,10,66,9,"katni,madhya+pradesh"
2009-01-08,24,14,0.0,7.2,5,82,02:33 PM,03:43 AM,06:53 AM,05:38 PM,13,17,17,17,15,40,79,1.2,1019,24,10,89,9,"katni,madhya+pradesh"
2009-01-09,28,15,0.0,8.7,6,89,03:38 PM,04:52 AM,06:53 AM,05:39 PM,14,21,21,21,12,23,70,0.1,1020,28,9,58,7,"katni,madhya+pradesh"
2009-01-10,23,15,0.0,8.7,5,96,04:48 PM,05:57 AM,06:53 AM,05:39 PM,13,18,19,18,15,35,70,0.1,1019,23,10,96,9,"katni,madhya+pradesh"
2009-01-11,23,14,0.0,8.7,5,100,05:59 PM,06:56 AM,06:53 AM,05:40 PM,13,19,19,19,12,25,70,0.0,1019,23,10,70,7,"katni,madhya+pradesh"
