date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,28,14,0.0,8.7,5,31,09:49 AM,09:44 PM,06:44 AM,05:33 PM,7,20,20,20,12,4,45,0.0,1015,28,10,51,7,"kawardha,chhattisgarh"
2009-01-02,28,14,0.0,8.7,5,38,10:21 AM,10:35 PM,06:44 AM,05:34 PM,7,20,20,20,9,4,45,0.0,1016,28,10,84,5,"kawardha,chhattisgarh"
2009-01-03,27,13,0.0,8.7,5,45,10:54 AM,11:29 PM,06:45 AM,05:35 PM,8,20,20,20,9,3,48,0.0,1016,27,10,154,5,"kawardha,chhattisgarh"
2009-01-04,29,12,0.0,8.7,5,52,11:29 AM,No moonset,06:45 AM,05:35 PM,10,21,22,21,7,4,51,0.0,1014,29,10,206,4,"kawardha,chhattisgarh"
2009-01-05,29,14,0.0,8.7,6,60,12:06 PM,12:24 AM,06:45 AM,05:36 PM,11,22,22,22,10,10,52,0.0,1012,29,10,256,6,"kawardha,chhattisgarh"
2009-01-06,29,18,0.0,8.7,6,67,12:48 PM,01:24 AM,06:45 AM,05:37 PM,12,23,23,23,12,24,53,0.0,1013,29,10,144,6,"kawardha,chhattisgarh"
2009-01-07,25,17,0.0,8.7,6,74,01:37 PM,02:28 AM,06:45 AM,05:37 PM,14,21,21,21,14,32,66,0.0,1015,25,10,122,8,"kawardha,chhattisgarh"
2009-01-08,29,17,0.0,8.7,6,82,02:34 PM,03:35 AM,06:46 AM,05:38 PM,13,22,22,22,17,12,59,0.0,1017,29,10,51,9,"kawardha,chhattisgarh"
2009-01-09,30,16,0.0,8.7,6,89,03:39 PM,04:43 AM,06:46 AM,05:39 PM,12,22,23,22,13,6,55,0.0,1018,30,10,63,7,"kawardha,chhattisgarh"
2009-01-10,30,16,0.0,8.7,6,96,04:48 PM,05:49 AM,06:46 AM,05:39 PM,10,22,22,22,11,5,50,0.0,1018,30,10,85,6,"kawardha,chhattisgarh"
2009-01-11,30,16,0.0,8.7,6,100,05:59 PM,06:49 AM,06:46 AM,05:40 PM,11,22,23,22,11,9,49,0.0,1018,30,10,39,6,"kawardha,chhattisgarh"
2009-01-12,30,17,0.0,8.7,6,89,07:08 PM,07:41 AM,06:46 AM,05:41 PM,11,22,23,22,12,11,50,0.0,1019,30,10,58,7,"kawardha,chhattisgarh"
2009-01-13,30,18,0.0,8.7,6,82,08:12 PM,08:26 AM,06:46 AM,05:41 PM,10,23,23,23,13,8,46,0.0,1020,30,10,92,8,"kawardha,chhattisgarh"
2009-01-14,30,16,0.0,8.7,6,75,09:13 PM,09:07 AM,06:46 AM,05:42 PM,10,22,22,22,9,7,48,0.0,1020,30,10,92,5,"kawardha,chhattisgarh"
2009-01-15,30,16,0.0,8.7,6,68,10:10 PM,09:44 AM,06:46 AM,05:43 PM,10,22,22,22,13,3,49,0.0,1019,30,10,36,8,"kawardha,chhattisgarh"
2009-01-16,29,16,0.0,8.7,6,60,11:06 PM,10:19 AM,06:46 AM,05:44 PM,9,21,21,21,13,1,46,0.0,1019,29,10,27,8,"kawardha,chhattisgarh"
2009-01-17,30,14,0.0,8.7,6,53,12:00 AM,10:54 AM,06:46 AM,05:44 PM,8,22,22,22,11,0,43,0.0,1017,30,10,60,6,"kawardha,chhattisgarh"
2009-01-18,30,14,0.0,8.7,6,46,No moonrise,11:30 AM,06:46 AM,05:45 PM,8,22,22,22,10,0,44,0.0,1016,30,10,159,6,"kawardha,chhattisgarh"
2009-01-19,31,14,0.0,8.7,6,38,12:54 AM,12:07 PM,06:46 AM,05:46 PM,8,23,23,23,9,0,41,0.0,1015,31,10,34,5,"kawardha,chhattisgarh"
2009-01-20,31,14,0.0,8.7,6,31,01:49 AM,12:49 PM,06:46 AM,05:46 PM,8,22,22,22,12,4,43,0.0,1015,31,10,166,6,"kawardha,chhattisgarh"
2009-01-21,30,14,0.0,8.7,6,24,02:43 AM,01:34 PM,06:46 AM,05:47 PM,7,21,21,21,12,2,41,0.0,1015,30,10,95,6,"kawardha,chhattisgarh"
2009-01-22,30,12,0.0,8.7,5,17,03:36 AM,02:22 PM,06:46 AM,05:48 PM,1,21,21,21,10,0,27,0.0,1014,30,10,197,5,"kawardha,chhattisgarh"
2009-01-23,33,13,0.0,8.7,6,9,04:27 AM,03:14 PM,06:46 AM,05:48 PM,2,22,22,22,10,0,29,0.0,1013,33,10,192,6,"kawardha,chhattisgarh"
2009-01-24,33,14,0.0,8.7,6,2,05:16 AM,04:07 PM,06:45 AM,05:49 PM,3,23,23,23,13,0,29,0.0,1012,33,10,108,7,"kawardha,chhattisgarh"
