date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,23,7,0.0,8.7,4,31,09:56 AM,09:42 PM,06:58 AM,05:23 PM,4,15,15,15,9,3,50,0.0,1016,23,10,292,5,"kheri,uttar+pradesh"
2009-01-02,23,7,0.0,8.7,4,38,10:25 AM,10:37 PM,06:58 AM,05:24 PM,4,15,15,15,10,1,48,0.0,1017,23,10,226,5,"kheri,uttar+pradesh"
2009-01-03,23,7,0.0,8.7,4,45,10:55 AM,11:34 PM,06:59 AM,05:24 PM,4,15,15,15,8,9,55,0.0,1017,23,10,162,5,"kheri,uttar+pradesh"
2009-01-04,23,6,0.0,8.7,4,52,11:26 AM,No moonset,06:59 AM,05:25 PM,5,16,16,16,8,11,53,0.0,1015,23,10,139,4,"kheri,uttar+pradesh"
2009-01-05,25,10,0.0,8.7,5,60,12:00 PM,12:32 AM,06:59 AM,05:26 PM,4,17,17,17,7,15,47,0.0,1014,25,10,244,4,"kheri,uttar+pradesh"
2009-01-06,23,14,0.0,8.7,5,67,12:39 PM,01:36 AM,06:59 AM,05:27 PM,5,18,18,18,11,43,42,0.0,1015,23,10,112,6,"kheri,uttar+pradesh"
2009-01-07,26,15,0.0,8.7,5,74,01:26 PM,02:42 AM,06:59 AM,05:27 PM,6,18,18,18,9,28,48,0.0,1017,26,10,76,5,"kheri,uttar+pradesh"
2009-01-08,26,12,0.0,8.7,5,82,02:21 PM,03:52 AM,06:59 AM,05:28 PM,7,18,18,18,10,17,47,0.0,1020,26,10,167,6,"kheri,uttar+pradesh"
2009-01-09,27,11,0.0,8.7,5,89,03:25 PM,05:01 AM,06:59 AM,05:29 PM,7,18,18,18,11,18,51,0.0,1020,27,10,195,6,"kheri,uttar+pradesh"
2009-01-10,26,10,0.0,8.7,5,96,04:36 PM,06:06 AM,06:59 AM,05:30 PM,9,18,18,18,13,9,59,0.0,1019,26,10,258,7,"kheri,uttar+pradesh"
