date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,28,17,0.0,8.7,6,31,09:30 AM,09:27 PM,06:23 AM,05:19 PM,18,26,26,25,10,8,68,0.0,1014,28,10,211,7,"khordha,orissa"
2009-01-02,28,18,0.0,8.7,6,38,10:03 AM,10:17 PM,06:23 AM,05:20 PM,17,25,25,24,11,17,70,0.0,1016,28,10,103,7,"khordha,orissa"
2009-01-03,28,18,0.0,8.7,6,45,10:37 AM,11:10 PM,06:23 AM,05:21 PM,17,25,25,24,11,7,69,0.0,1016,28,10,109,7,"khordha,orissa"
2009-01-04,28,17,0.0,8.7,6,52,11:12 AM,No moonset,06:24 AM,05:21 PM,18,27,27,25,9,1,68,0.0,1014,28,10,165,6,"khordha,orissa"
2009-01-05,29,18,0.0,8.7,6,60,11:50 AM,12:05 AM,06:24 AM,05:22 PM,17,26,26,24,15,3,67,0.0,1012,29,10,220,9,"khordha,orissa"
2009-01-06,29,19,0.0,8.7,6,67,12:33 PM,01:03 AM,06:24 AM,05:23 PM,17,25,25,24,16,6,67,0.0,1013,29,10,205,11,"khordha,orissa"
2009-01-07,28,18,0.0,8.7,6,74,01:23 PM,02:06 AM,06:24 AM,05:23 PM,17,25,25,24,15,6,70,0.0,1015,28,10,177,10,"khordha,orissa"
2009-01-08,29,18,0.0,8.7,6,82,02:20 PM,03:13 AM,06:25 AM,05:24 PM,18,26,26,24,14,9,73,0.0,1017,29,10,101,9,"khordha,orissa"
2009-01-09,30,18,0.0,8.7,6,89,03:25 PM,04:21 AM,06:25 AM,05:25 PM,18,25,25,24,13,5,69,0.0,1018,30,10,101,8,"khordha,orissa"
2009-01-10,30,17,0.0,8.7,6,96,04:34 PM,05:27 AM,06:25 AM,05:25 PM,17,25,25,24,10,8,67,0.0,1017,30,10,194,6,"khordha,orissa"
2009-01-11,30,18,0.0,8.7,6,100,05:45 PM,06:27 AM,06:25 AM,05:26 PM,17,26,26,25,10,12,66,0.0,1017,30,10,208,6,"khordha,orissa"
2009-01-12,29,18,0.0,8.7,6,89,06:52 PM,07:20 AM,06:25 AM,05:27 PM,17,26,26,24,11,14,68,0.0,1019,29,10,134,7,"khordha,orissa"
2009-01-13,28,19,0.0,8.7,6,82,07:56 PM,08:06 AM,06:25 AM,05:27 PM,18,25,25,24,13,11,70,0.0,1020,28,10,98,9,"khordha,orissa"
2009-01-14,28,17,0.0,8.7,6,75,08:55 PM,08:48 AM,06:25 AM,05:28 PM,17,25,25,24,9,4,67,0.0,1020,28,10,160,6,"khordha,orissa"
2009-01-15,28,17,0.0,8.7,6,68,09:52 PM,09:26 AM,06:25 AM,05:29 PM,18,27,27,25,11,1,67,0.0,1019,28,10,132,7,"khordha,orissa"
2009-01-16,29,16,0.0,8.7,6,60,10:46 PM,10:02 AM,06:26 AM,05:29 PM,18,26,26,25,10,3,67,0.0,1019,29,10,182,7,"khordha,orissa"
2009-01-17,29,16,0.0,8.7,6,53,11:40 PM,10:37 AM,06:26 AM,05:30 PM,18,27,27,25,11,0,69,0.0,1017,29,10,200,8,"khordha,orissa"
2009-01-18,29,17,0.0,8.7,6,46,No moonrise,11:14 AM,06:26 AM,05:31 PM,19,28,28,26,11,0,68,0.0,1015,29,10,215,7,"khordha,orissa"
2009-01-19,30,16,0.0,8.7,6,38,12:33 AM,11:53 AM,06:25 AM,05:31 PM,16,27,27,26,9,0,58,0.0,1014,30,10,208,6,"khordha,orissa"
2009-01-20,30,18,0.0,8.7,6,31,01:27 AM,12:34 PM,06:25 AM,05:32 PM,15,27,27,26,12,0,55,0.0,1014,30,10,209,7,"khordha,orissa"
2009-01-21,30,17,0.0,8.7,6,24,02:20 AM,01:20 PM,06:25 AM,05:33 PM,16,27,27,25,14,0,60,0.0,1014,30,10,188,9,"khordha,orissa"
2009-01-22,30,17,0.0,8.7,6,17,03:14 AM,02:08 PM,06:25 AM,05:33 PM,17,26,26,26,10,0,64,0.0,1013,30,10,171,6,"khordha,orissa"
2009-01-23,30,15,0.0,8.7,6,9,04:05 AM,03:00 PM,06:25 AM,05:34 PM,18,27,27,26,10,0,65,0.0,1012,30,10,166,6,"khordha,orissa"
2009-01-24,30,18,0.0,8.7,6,2,04:53 AM,03:53 PM,06:25 AM,05:34 PM,19,27,27,25,15,0,69,0.0,1012,30,10,191,10,"khordha,orissa"
2009-01-25,32,19,0.0,8.7,6,0,05:38 AM,04:47 PM,06:25 AM,05:35 PM,19,28,28,26,18,0,68,0.0,1012,32,10,206,12,"khordha,orissa"
2009-01-26,33,19,0.0,8.7,7,0,06:18 AM,05:40 PM,06:25 AM,05:36 PM,17,27,27,27,18,3,60,0.0,1012,33,10,227,10,"khordha,orissa"
2009-01-27,35,19,0.0,8.7,7,5,06:56 AM,06:32 PM,06:24 AM,05:36 PM,14,29,29,28,15,0,45,0.0,1011,35,10,267,9,"khordha,orissa"
2009-01-28,34,19,0.0,8.7,7,12,07:32 AM,07:24 PM,06:24 AM,05:37 PM,14,30,30,29,10,1,43,0.0,1012,34,10,239,6,"khordha,orissa"
2009-01-29,32,20,0.0,8.7,6,20,08:06 AM,08:14 PM,06:24 AM,05:38 PM,18,28,28,26,15,7,63,0.0,1013,32,10,87,10,"khordha,orissa"
