date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,10,1,0.0,8.7,2,31,11:07 AM,10:55 PM,08:14 AM,05:45 PM,-2,1,4,1,24,11,64,0.0,1007,10,10,220,13,"kutch,gujarat"
2009-01-02,14,2,0.0,8.7,3,38,11:30 AM,11:58 PM,08:14 AM,05:46 PM,-0,4,7,4,25,5,65,0.0,1003,14,10,232,14,"kutch,gujarat"
2009-01-03,8,-6,0.7,8.7,2,45,11:53 AM,No moonset,08:14 AM,05:46 PM,-5,-5,1,-5,36,23,68,0.9,1006,8,9,130,23,"kutch,gujarat"
2009-01-04,-5,-9,0.2,8.7,2,52,12:18 PM,01:02 AM,08:14 AM,05:47 PM,-12,-13,-8,-13,17,41,71,0.3,1030,-5,10,117,13,"kutch,gujarat"
2009-01-05,3,-10,0.0,8.7,2,60,12:48 PM,02:10 AM,08:14 AM,05:48 PM,-8,-10,-4,-10,29,16,79,0.0,1013,3,10,228,16,"kutch,gujarat"
2009-01-06,4,-5,0.0,8.7,2,67,01:24 PM,03:23 AM,08:14 AM,05:49 PM,-9,-6,-1,-6,29,22,58,0.0,1006,4,10,308,16,"kutch,gujarat"
2009-01-07,11,-1,0.0,8.7,2,74,02:09 PM,04:37 AM,08:14 AM,05:50 PM,-5,-0,4,-0,42,23,53,0.0,1004,11,10,270,23,"kutch,gujarat"
2009-01-08,15,3,0.0,8.7,3,82,03:06 PM,05:52 AM,08:14 AM,05:51 PM,-0,5,7,5,25,6,63,0.0,1008,15,10,246,13,"kutch,gujarat"
2009-01-09,5,-2,0.0,8.7,2,89,04:14 PM,07:00 AM,08:14 AM,05:52 PM,-3,-3,2,-3,40,28,68,0.0,1014,5,10,197,26,"kutch,gujarat"
2009-01-10,6,-4,0.0,8.7,2,96,05:31 PM,07:58 AM,08:14 AM,05:53 PM,-10,-5,-1,-5,23,7,53,0.0,1028,6,10,285,13,"kutch,gujarat"
2009-01-11,5,-4,0.0,8.7,2,100,06:50 PM,08:46 AM,08:14 AM,05:54 PM,-7,-3,0,-3,24,13,58,0.0,1025,5,10,249,13,"kutch,gujarat"
2009-01-12,2,-7,0.0,8.7,2,89,08:08 PM,09:24 AM,08:13 AM,05:55 PM,-7,-8,-2,-8,38,31,70,0.0,1027,2,10,238,24,"kutch,gujarat"
2009-01-13,8,-7,0.0,8.7,2,82,09:22 PM,09:56 AM,08:13 AM,05:56 PM,-5,-5,-1,-5,32,6,75,0.0,1022,8,10,249,17,"kutch,gujarat"
2009-01-14,3,-3,0.0,5.3,1,75,10:32 PM,10:23 AM,08:13 AM,05:57 PM,-3,-4,-0,-4,28,36,82,0.0,1024,3,10,220,15,"kutch,gujarat"
2009-01-15,5,-5,0.0,8.7,2,68,11:39 PM,10:48 AM,08:12 AM,05:58 PM,-4,-5,-1,-5,20,33,80,0.0,1031,5,10,196,12,"kutch,gujarat"
2009-01-16,13,-1,0.0,8.7,2,60,No moonrise,11:13 AM,08:12 AM,05:59 PM,-3,1,4,1,24,2,65,0.0,1025,13,10,244,12,"kutch,gujarat"
2009-01-17,9,0,0.0,9.9,2,53,12:43 AM,11:39 AM,08:12 AM,06:00 PM,-3,0,4,0,28,4,62,0.0,1025,9,10,325,15,"kutch,gujarat"
2009-01-18,13,1,0.0,9.9,3,46,01:48 AM,12:06 PM,08:11 AM,06:01 PM,-7,2,6,2,44,8,39,0.0,1026,13,10,304,23,"kutch,gujarat"
2009-01-19,13,5,0.0,9.9,3,38,02:50 AM,12:38 PM,08:11 AM,06:02 PM,-8,3,8,3,61,7,33,0.0,1024,13,10,291,35,"kutch,gujarat"
2009-01-20,16,3,0.0,9.9,3,31,03:52 AM,01:15 PM,08:10 AM,06:03 PM,-8,5,8,5,33,1,35,0.0,1024,16,10,307,17,"kutch,gujarat"
2009-01-21,18,3,0.0,9.9,3,24,04:51 AM,01:58 PM,08:10 AM,06:04 PM,-7,7,8,7,19,7,37,0.0,1016,18,10,263,10,"kutch,gujarat"
2009-01-22,18,4,0.0,10.0,3,17,05:45 AM,02:47 PM,08:09 AM,06:06 PM,-4,8,9,8,18,20,40,0.0,1011,18,10,258,10,"kutch,gujarat"
2009-01-23,7,-7,0.2,10.0,2,9,06:33 AM,03:42 PM,08:08 AM,06:07 PM,-6,-4,0,-4,19,32,61,0.3,1023,7,9,60,14,"kutch,gujarat"
2009-01-24,3,-10,0.0,10.0,2,2,07:15 AM,04:41 PM,08:08 AM,06:08 PM,-9,-10,-4,-10,27,17,69,0.0,1024,3,10,181,20,"kutch,gujarat"
2009-01-25,-4,-11,0.0,10.0,2,0,07:51 AM,05:43 PM,08:07 AM,06:09 PM,-14,-13,-8,-13,14,14,63,0.0,1022,-4,10,101,11,"kutch,gujarat"
2009-01-26,-8,-14,0.1,10.0,2,0,08:21 AM,06:45 PM,08:06 AM,06:10 PM,-17,-18,-12,-18,17,35,67,0.1,1027,-8,9,148,13,"kutch,gujarat"
2009-01-27,-6,-17,0.1,10.1,2,5,08:47 AM,07:47 PM,08:06 AM,06:11 PM,-15,-18,-13,-18,13,38,85,0.2,1029,-6,10,221,8,"kutch,gujarat"
2009-01-28,4,-9,0.0,10.1,2,12,09:12 AM,08:49 PM,08:05 AM,06:12 PM,-9,-9,-4,-9,29,19,70,0.0,1019,4,10,262,16,"kutch,gujarat"
2009-01-29,1,-7,0.0,10.1,2,20,09:35 AM,09:51 PM,08:04 AM,06:14 PM,-9,-8,-4,-8,19,20,70,0.0,1026,1,10,240,11,"kutch,gujarat"
2009-01-30,11,-4,0.0,10.1,2,27,09:58 AM,10:55 PM,08:03 AM,06:15 PM,-8,-2,2,-2,28,4,52,0.0,1025,11,10,246,14,"kutch,gujarat"
2009-01-31,15,-0,0.0,10.1,3,31,10:22 AM,No moonset,08:02 AM,06:16 PM,-8,2,5,2,24,1,41,0.0,1014,15,10,244,13,"kutch,gujarat"
2009-02-01,6,-2,0.0,10.2,2,43,10:50 AM,12:01 AM,08:01 AM,06:17 PM,-7,-2,1,-2,20,24,57,0.0,1020,6,10,167,13,"kutch,gujarat"
2009-02-02,8,-3,0.0,10.2,2,50,11:22 AM,01:09 AM,08:01 AM,06:18 PM,-11,-2,1,-2,15,19,42,0.0,1021,8,10,227,8,"kutch,gujarat"
2009-02-03,11,0,0.0,10.2,2,58,12:02 PM,02:20 AM,08:00 AM,06:19 PM,-5,1,4,1,23,10,52,0.0,1024,11,10,265,12,"kutch,gujarat"
2009-02-04,16,1,0.0,10.6,3,66,12:51 PM,03:33 AM,07:59 AM,06:20 PM,-8,4,7,4,30,0,39,0.0,1023,16,10,220,16,"kutch,gujarat"
2009-02-05,17,2,0.0,10.6,3,73,01:52 PM,04:41 AM,07:58 AM,06:22 PM,-7,7,9,7,23,2,37,0.0,1017,17,10,217,12,"kutch,gujarat"
2009-02-06,15,6,0.0,10.7,3,81,03:03 PM,05:43 AM,07:57 AM,06:23 PM,-6,7,10,7,43,20,34,0.0,1008,15,10,235,25,"kutch,gujarat"
2009-02-07,12,2,0.0,10.7,3,88,04:20 PM,06:34 AM,07:56 AM,06:24 PM,-4,4,6,4,22,5,52,0.0,1016,12,10,170,14,"kutch,gujarat"
