date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,22,9,0.0,8.7,4,31,10:09 AM,09:55 PM,07:13 AM,05:33 PM,1,13,14,13,21,7,45,0.0,1016,22,10,307,12,"meerut,uttar+pradesh"
2009-01-02,21,5,0.0,8.7,4,38,10:38 AM,10:50 PM,07:13 AM,05:34 PM,5,14,14,14,6,5,58,0.0,1017,21,10,164,3,"meerut,uttar+pradesh"
2009-01-03,21,7,0.0,8.7,4,45,11:07 AM,11:47 PM,07:13 AM,05:35 PM,5,14,14,14,10,7,57,0.0,1017,21,10,104,6,"meerut,uttar+pradesh"
2009-01-04,21,8,0.0,8.7,4,52,11:38 AM,No moonset,07:14 AM,05:35 PM,4,15,15,15,10,23,51,0.0,1015,21,10,201,5,"meerut,uttar+pradesh"
2009-01-05,22,11,0.0,8.7,4,60,12:11 PM,12:47 AM,07:14 AM,05:36 PM,8,15,16,15,13,20,62,0.1,1015,22,10,140,7,"meerut,uttar+pradesh"
2009-01-06,22,8,0.0,8.7,4,67,12:50 PM,01:50 AM,07:14 AM,05:37 PM,7,14,15,14,11,5,61,0.0,1015,22,10,203,6,"meerut,uttar+pradesh"
2009-01-07,21,6,0.0,8.7,4,74,01:36 PM,02:57 AM,07:14 AM,05:38 PM,6,15,16,15,12,2,58,0.0,1018,21,10,235,6,"meerut,uttar+pradesh"
2009-01-08,22,7,0.0,8.7,4,82,02:31 PM,04:07 AM,07:14 AM,05:38 PM,4,15,15,15,14,0,51,0.0,1021,22,10,292,8,"meerut,uttar+pradesh"
2009-01-09,22,5,0.0,8.7,4,89,03:35 PM,05:17 AM,07:14 AM,05:39 PM,3,14,14,14,10,18,51,0.0,1021,22,10,228,6,"meerut,uttar+pradesh"
2009-01-10,22,11,0.0,8.7,5,96,04:46 PM,06:22 AM,07:14 AM,05:40 PM,8,16,16,16,12,9,59,0.0,1020,22,10,205,7,"meerut,uttar+pradesh"
2009-01-11,22,7,0.0,8.7,4,100,06:00 PM,07:20 AM,07:14 AM,05:41 PM,6,15,15,15,15,15,59,0.0,1020,22,10,304,9,"meerut,uttar+pradesh"
2009-01-12,22,8,0.0,8.7,4,89,07:12 PM,08:08 AM,07:14 AM,05:41 PM,5,13,14,13,15,5,60,0.0,1021,22,10,306,8,"meerut,uttar+pradesh"
2009-01-13,21,4,0.0,8.7,4,82,08:20 PM,08:50 AM,07:14 AM,05:42 PM,4,13,14,13,15,18,55,0.0,1022,21,10,281,8,"meerut,uttar+pradesh"
2009-01-14,23,8,0.0,8.7,4,75,09:25 PM,09:26 AM,07:14 AM,05:43 PM,3,14,14,14,18,13,50,0.0,1022,23,10,303,10,"meerut,uttar+pradesh"
2009-01-15,23,7,0.0,8.7,4,68,10:26 PM,09:59 AM,07:14 AM,05:44 PM,3,15,16,15,16,12,47,0.0,1020,23,10,306,9,"meerut,uttar+pradesh"
2009-01-16,24,11,0.0,8.7,5,60,11:26 PM,10:30 AM,07:14 AM,05:45 PM,3,17,17,17,17,18,39,0.0,1020,24,10,313,9,"meerut,uttar+pradesh"
2009-01-17,22,14,0.0,7.1,5,53,No moonrise,11:01 AM,07:14 AM,05:46 PM,9,17,17,17,19,30,59,0.7,1018,22,10,279,10,"meerut,uttar+pradesh"
2009-01-18,21,14,0.0,7.1,5,46,12:23 AM,11:34 AM,07:13 AM,05:46 PM,10,17,17,17,13,28,65,0.0,1017,21,10,203,6,"meerut,uttar+pradesh"
2009-01-19,23,11,0.0,8.7,5,38,01:21 AM,12:08 PM,07:13 AM,05:47 PM,10,17,18,17,24,7,66,0.0,1017,23,10,302,13,"meerut,uttar+pradesh"
2009-01-20,22,10,0.0,8.7,4,31,02:18 AM,12:47 PM,07:13 AM,05:48 PM,8,14,15,14,28,12,67,0.0,1016,22,10,294,16,"meerut,uttar+pradesh"
2009-01-21,20,10,0.0,8.7,4,24,03:15 AM,01:30 PM,07:13 AM,05:49 PM,4,13,14,13,31,20,51,0.0,1015,20,10,298,18,"meerut,uttar+pradesh"
2009-01-22,22,11,0.0,8.7,5,17,04:09 AM,02:18 PM,07:12 AM,05:50 PM,3,15,15,15,23,21,44,0.0,1014,22,10,303,13,"meerut,uttar+pradesh"
2009-01-23,25,12,0.0,8.7,5,9,05:01 AM,03:10 PM,07:12 AM,05:51 PM,4,17,18,17,32,21,41,0.0,1013,25,10,300,17,"meerut,uttar+pradesh"
2009-01-24,25,15,0.0,7.1,5,2,05:48 AM,04:05 PM,07:12 AM,05:51 PM,6,19,19,19,26,30,45,0.0,1011,25,10,293,14,"meerut,uttar+pradesh"
2009-01-25,27,15,0.0,8.7,5,0,06:30 AM,05:01 PM,07:11 AM,05:52 PM,10,20,20,20,14,19,54,0.0,1011,27,10,138,8,"meerut,uttar+pradesh"
2009-01-26,26,13,0.0,8.7,5,0,07:08 AM,05:58 PM,07:11 AM,05:53 PM,13,20,20,20,10,10,66,0.0,1012,26,10,226,6,"meerut,uttar+pradesh"
2009-01-27,24,10,0.0,8.7,5,5,07:42 AM,06:54 PM,07:11 AM,05:54 PM,12,19,19,19,14,1,67,0.0,1013,24,10,250,8,"meerut,uttar+pradesh"
2009-01-28,24,11,0.0,8.7,5,12,08:12 AM,07:50 PM,07:10 AM,05:55 PM,10,16,17,16,22,0,69,0.0,1014,24,10,286,13,"meerut,uttar+pradesh"
2009-01-29,24,9,0.0,8.7,4,20,08:42 AM,08:46 PM,07:10 AM,05:56 PM,12,17,18,17,9,3,75,0.0,1015,24,9,270,5,"meerut,uttar+pradesh"
2009-01-30,24,10,0.0,8.7,5,27,09:11 AM,09:42 PM,07:09 AM,05:56 PM,11,17,18,17,18,1,70,0.0,1015,24,10,306,10,"meerut,uttar+pradesh"
2009-01-31,23,10,0.0,8.7,5,31,09:41 AM,10:40 PM,07:09 AM,05:57 PM,7,15,16,15,29,2,57,0.0,1014,23,10,304,17,"meerut,uttar+pradesh"
2009-02-01,23,9,0.0,8.7,4,43,10:12 AM,11:41 PM,07:08 AM,05:58 PM,6,14,15,14,20,14,59,0.0,1015,23,10,294,11,"meerut,uttar+pradesh"
2009-02-02,23,7,0.0,8.7,4,50,10:48 AM,No moonset,07:08 AM,05:59 PM,7,16,16,16,14,1,56,0.0,1016,23,10,301,8,"meerut,uttar+pradesh"
2009-02-03,25,7,0.0,10.9,4,58,11:30 AM,12:45 AM,07:07 AM,06:00 PM,10,18,18,18,11,0,63,0.0,1015,25,10,221,6,"meerut,uttar+pradesh"
2009-02-04,27,7,0.0,10.9,5,66,12:18 PM,01:52 AM,07:06 AM,06:00 PM,11,19,18,19,7,1,65,0.0,1015,27,10,125,4,"meerut,uttar+pradesh"
2009-02-05,25,10,0.0,11.0,5,73,01:16 PM,02:59 AM,07:06 AM,06:01 PM,9,17,18,17,15,5,58,0.0,1015,25,10,109,8,"meerut,uttar+pradesh"
2009-02-06,26,11,0.0,11.0,5,81,02:22 PM,04:04 AM,07:05 AM,06:02 PM,8,18,19,18,17,7,51,0.0,1014,26,10,204,9,"meerut,uttar+pradesh"
2009-02-07,25,9,0.0,11.0,5,88,03:33 PM,05:03 AM,07:04 AM,06:03 PM,9,18,18,18,18,1,57,0.0,1016,25,10,294,10,"meerut,uttar+pradesh"
2009-02-08,23,9,0.0,11.0,4,96,04:45 PM,05:55 AM,07:04 AM,06:04 PM,10,16,17,16,15,0,68,0.0,1017,23,10,295,9,"meerut,uttar+pradesh"
2009-02-09,25,8,0.0,10.1,5,100,05:56 PM,06:40 AM,07:03 AM,06:04 PM,8,16,16,16,8,25,64,0.0,1015,25,10,259,5,"meerut,uttar+pradesh"
2009-02-10,25,11,0.0,11.0,5,89,07:03 PM,07:19 AM,07:02 AM,06:05 PM,9,18,18,18,21,12,59,0.0,1012,25,10,103,13,"meerut,uttar+pradesh"
2009-02-11,22,10,0.0,10.1,5,82,08:07 PM,07:54 AM,07:01 AM,06:06 PM,9,16,16,16,14,22,67,0.9,1014,22,10,105,8,"meerut,uttar+pradesh"
2009-02-12,23,9,0.0,11.1,5,74,09:09 PM,08:26 AM,07:01 AM,06:07 PM,9,15,16,15,21,8,64,0.0,1014,23,10,265,12,"meerut,uttar+pradesh"
2009-02-13,25,9,0.0,11.1,5,67,10:09 PM,08:58 AM,07:00 AM,06:07 PM,11,16,17,16,11,6,71,0.0,1011,25,10,201,6,"meerut,uttar+pradesh"
2009-02-14,26,11,0.0,11.5,5,59,11:09 PM,09:31 AM,06:59 AM,06:08 PM,11,19,19,19,16,16,63,0.0,1013,26,10,215,9,"meerut,uttar+pradesh"
2009-02-15,24,13,0.0,11.5,5,51,No moonrise,10:06 AM,06:58 AM,06:09 PM,7,17,18,17,22,5,49,0.0,1013,24,10,299,13,"meerut,uttar+pradesh"
2009-02-16,23,9,0.0,11.5,4,44,12:08 AM,10:44 AM,06:57 AM,06:10 PM,7,15,16,15,18,4,56,0.0,1015,23,10,299,10,"meerut,uttar+pradesh"
2009-02-17,24,9,0.0,11.5,5,36,01:06 AM,11:26 AM,06:56 AM,06:10 PM,8,16,17,16,17,5,57,0.0,1015,24,10,295,9,"meerut,uttar+pradesh"
2009-02-18,26,7,0.0,11.6,5,29,02:02 AM,12:12 PM,06:55 AM,06:11 PM,4,17,17,17,23,6,46,0.0,1013,26,10,302,13,"meerut,uttar+pradesh"
2009-02-19,27,9,0.0,11.6,5,21,02:54 AM,01:03 PM,06:54 AM,06:12 PM,4,18,18,18,24,5,41,0.0,1012,27,10,303,14,"meerut,uttar+pradesh"
2009-02-20,30,11,0.0,11.6,5,14,03:43 AM,01:57 PM,06:54 AM,06:12 PM,6,21,20,21,21,13,41,0.0,1015,30,10,292,11,"meerut,uttar+pradesh"
2009-02-21,30,13,0.0,11.6,6,6,04:27 AM,02:52 PM,06:53 AM,06:13 PM,4,21,20,21,22,4,34,0.0,1014,30,10,320,12,"meerut,uttar+pradesh"
2009-02-22,29,13,0.0,11.6,5,0,05:06 AM,03:49 PM,06:52 AM,06:14 PM,2,20,20,20,21,25,31,0.0,1010,29,10,301,12,"meerut,uttar+pradesh"
2009-02-23,31,15,0.0,11.6,6,0,05:42 AM,04:46 PM,06:51 AM,06:15 PM,5,23,23,23,11,18,31,0.0,1008,31,10,160,6,"meerut,uttar+pradesh"
2009-02-24,30,12,0.0,11.6,6,0,06:14 AM,05:43 PM,06:50 AM,06:15 PM,7,23,23,23,15,4,38,0.0,1008,30,10,206,8,"meerut,uttar+pradesh"
2009-02-25,29,12,0.0,11.6,6,1,06:44 AM,06:39 PM,06:49 AM,06:16 PM,6,22,21,22,20,3,38,0.0,1008,29,10,228,12,"meerut,uttar+pradesh"
2009-02-26,28,15,0.0,11.6,6,9,07:14 AM,07:36 PM,06:48 AM,06:17 PM,4,22,21,22,23,4,32,0.0,1009,28,10,303,13,"meerut,uttar+pradesh"
2009-02-27,29,12,0.0,11.6,5,16,07:44 AM,08:34 PM,06:47 AM,06:17 PM,1,21,20,21,25,1,28,0.0,1010,29,10,312,14,"meerut,uttar+pradesh"
2009-02-28,28,12,0.0,11.6,5,24,08:15 AM,09:35 PM,06:46 AM,06:18 PM,-2,20,19,20,33,0,25,0.0,1010,28,10,298,19,"meerut,uttar+pradesh"
2009-03-01,30,12,0.0,11.6,6,30,08:50 AM,10:38 PM,06:45 AM,06:19 PM,-1,20,20,20,28,5,24,0.0,1009,30,10,298,16,"meerut,uttar+pradesh"
2009-03-02,31,12,0.0,11.6,6,37,09:30 AM,11:44 PM,06:43 AM,06:19 PM,6,23,23,23,17,4,33,0.0,1010,31,10,263,10,"meerut,uttar+pradesh"
2009-03-03,33,12,0.0,11.6,6,45,10:15 AM,No moonset,06:42 AM,06:20 PM,10,24,24,24,13,7,44,0.0,1009,33,10,131,8,"meerut,uttar+pradesh"
2009-03-04,33,15,0.0,11.6,6,52,11:09 AM,12:49 AM,06:41 AM,06:21 PM,9,24,24,24,15,23,39,0.0,1007,33,10,187,8,"meerut,uttar+pradesh"
2009-03-05,32,14,0.0,11.6,6,59,12:10 PM,01:54 AM,06:40 AM,06:21 PM,8,23,23,23,18,13,40,0.0,1008,32,10,273,11,"meerut,uttar+pradesh"
2009-03-06,32,13,0.0,11.6,6,67,01:17 PM,02:53 AM,06:39 AM,06:22 PM,4,22,22,22,16,3,34,0.0,1008,32,10,264,10,"meerut,uttar+pradesh"
2009-03-07,31,13,0.0,11.6,6,74,02:26 PM,03:47 AM,06:38 AM,06:22 PM,3,23,23,23,14,3,29,0.0,1009,31,10,217,8,"meerut,uttar+pradesh"
2009-03-08,31,11,0.0,11.6,6,81,03:36 PM,04:32 AM,06:37 AM,06:23 PM,6,23,22,23,14,3,37,0.0,1009,31,10,302,8,"meerut,uttar+pradesh"
2009-03-09,31,13,0.0,11.6,6,88,04:42 PM,05:13 AM,06:36 AM,06:24 PM,2,23,22,23,16,2,27,0.0,1013,31,10,282,9,"meerut,uttar+pradesh"
2009-03-10,31,10,0.0,11.6,6,96,05:47 PM,05:49 AM,06:35 AM,06:24 PM,0,22,22,22,16,3,25,0.0,1014,31,10,193,9,"meerut,uttar+pradesh"
2009-03-11,30,11,0.0,11.6,6,100,06:50 PM,06:22 AM,06:34 AM,06:25 PM,0,22,21,22,20,0,24,0.0,1013,30,10,300,12,"meerut,uttar+pradesh"
2009-03-12,31,9,0.0,11.6,6,90,07:52 PM,06:54 AM,06:32 AM,06:26 PM,1,22,21,22,23,8,30,0.0,1011,31,10,293,13,"meerut,uttar+pradesh"
2009-03-13,34,10,0.0,11.6,6,83,08:52 PM,07:28 AM,06:31 AM,06:26 PM,5,24,24,25,11,0,32,0.0,1013,34,10,154,6,"meerut,uttar+pradesh"
2009-03-14,34,13,0.0,11.6,6,75,09:53 PM,08:02 AM,06:30 AM,06:27 PM,6,25,25,26,13,1,33,0.0,1013,34,10,103,7,"meerut,uttar+pradesh"
2009-03-15,34,13,0.0,11.6,6,68,10:52 PM,08:39 AM,06:29 AM,06:27 PM,4,25,25,26,11,0,27,0.0,1010,34,10,169,6,"meerut,uttar+pradesh"
2009-03-16,34,12,0.0,11.6,6,61,11:50 PM,09:20 AM,06:28 AM,06:28 PM,4,24,24,25,11,12,28,0.0,1010,34,10,205,6,"meerut,uttar+pradesh"
2009-03-17,34,12,0.0,11.6,6,53,No moonrise,10:05 AM,06:27 AM,06:29 PM,5,25,25,26,14,0,29,0.0,1010,34,10,278,8,"meerut,uttar+pradesh"
2009-03-18,35,15,0.0,11.6,6,46,12:45 AM,10:54 AM,06:25 AM,06:29 PM,3,25,25,26,14,3,25,0.0,1010,35,10,201,8,"meerut,uttar+pradesh"
2009-03-19,36,15,0.0,11.6,7,39,01:36 AM,11:47 AM,06:24 AM,06:30 PM,7,26,26,27,13,8,31,0.0,1009,36,10,142,7,"meerut,uttar+pradesh"
2009-03-20,30,17,0.0,11.6,6,32,02:21 AM,12:42 PM,06:23 AM,06:30 PM,9,24,24,24,14,18,39,0.1,1010,30,10,141,7,"meerut,uttar+pradesh"
2009-03-21,33,15,0.0,11.6,6,24,03:03 AM,01:39 PM,06:22 AM,06:31 PM,6,24,24,25,13,6,34,0.1,1010,33,10,160,7,"meerut,uttar+pradesh"
2009-03-22,33,14,0.0,11.6,6,17,03:40 AM,02:35 PM,06:21 AM,06:31 PM,5,25,25,25,13,4,28,0.0,1010,33,10,228,7,"meerut,uttar+pradesh"
