date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,25,11,0.0,8.7,5,31,09:36 AM,09:26 PM,06:36 AM,05:11 PM,13,21,21,21,9,1,63,0.0,1015,25,10,293,5,"patna,bihar"
2009-01-02,24,11,0.0,8.7,5,38,10:07 AM,10:19 PM,06:36 AM,05:11 PM,13,21,21,21,9,1,63,0.0,1017,24,10,299,5,"patna,bihar"
2009-01-03,24,9,0.0,8.7,5,45,10:38 AM,11:15 PM,06:36 AM,05:12 PM,9,20,20,20,10,1,50,0.0,1017,24,10,301,5,"patna,bihar"
2009-01-04,24,9,0.0,8.7,5,52,11:10 AM,No moonset,06:36 AM,05:13 PM,7,20,20,20,9,1,46,0.0,1015,24,10,169,5,"patna,bihar"
2009-01-05,25,10,0.0,8.7,5,60,11:46 AM,12:12 AM,06:37 AM,05:13 PM,4,18,18,18,7,6,41,0.0,1013,25,10,127,4,"patna,bihar"
2009-01-06,26,11,0.0,8.7,5,67,12:26 PM,01:14 AM,06:37 AM,05:14 PM,6,19,19,19,8,22,43,0.0,1014,26,10,101,5,"patna,bihar"
2009-01-07,26,15,0.0,8.7,5,74,01:13 PM,02:19 AM,06:37 AM,05:15 PM,10,21,21,21,18,29,50,0.1,1016,26,10,62,11,"patna,bihar"
2009-01-08,26,17,0.0,8.7,6,82,02:09 PM,03:28 AM,06:37 AM,05:16 PM,15,21,22,21,10,32,69,2.4,1019,26,10,99,6,"patna,bihar"
2009-01-09,27,17,0.0,8.7,6,89,03:13 PM,04:37 AM,06:37 AM,05:16 PM,14,22,23,22,10,11,59,0.2,1019,27,10,321,6,"patna,bihar"
2009-01-10,27,14,0.0,8.7,5,96,04:23 PM,05:42 AM,06:37 AM,05:17 PM,10,21,22,21,14,6,51,0.0,1019,27,10,276,8,"patna,bihar"
2009-01-11,25,14,0.0,8.7,5,100,05:36 PM,06:41 AM,06:37 AM,05:18 PM,13,21,21,21,16,3,64,0.0,1018,25,10,275,10,"patna,bihar"
2009-01-12,26,14,0.0,8.7,5,89,06:46 PM,07:32 AM,06:37 AM,05:19 PM,13,21,22,21,15,0,61,0.0,1020,26,10,281,10,"patna,bihar"
2009-01-13,24,11,0.0,8.7,5,82,07:53 PM,08:15 AM,06:37 AM,05:19 PM,10,21,21,21,10,0,54,0.0,1021,24,10,297,6,"patna,bihar"
2009-01-14,26,12,0.0,8.7,5,75,08:55 PM,08:53 AM,06:37 AM,05:20 PM,11,22,21,22,12,0,52,0.0,1020,26,10,292,7,"patna,bihar"
2009-01-15,26,11,0.0,8.7,5,68,09:55 PM,09:28 AM,06:37 AM,05:21 PM,10,20,20,20,12,5,55,0.0,1019,26,10,293,7,"patna,bihar"
2009-01-16,26,12,0.0,8.7,5,60,10:52 PM,10:01 AM,06:37 AM,05:22 PM,10,20,20,20,13,9,56,0.0,1018,26,10,280,7,"patna,bihar"
2009-01-17,26,12,0.0,8.7,5,53,11:48 PM,10:34 AM,06:37 AM,05:22 PM,8,21,21,21,15,1,46,0.0,1016,26,10,266,9,"patna,bihar"
2009-01-18,28,13,0.0,8.7,5,46,No moonrise,11:09 AM,06:37 AM,05:23 PM,13,22,23,22,18,0,55,0.0,1014,28,10,276,10,"patna,bihar"
2009-01-19,29,15,0.0,8.7,6,38,12:44 AM,11:45 AM,06:37 AM,05:24 PM,12,22,23,22,26,3,54,0.0,1013,29,10,272,15,"patna,bihar"
2009-01-20,27,16,0.0,8.7,5,31,01:40 AM,12:24 PM,06:37 AM,05:25 PM,10,21,21,21,26,12,50,0.0,1013,27,10,272,16,"patna,bihar"
2009-01-21,25,13,0.0,8.7,5,24,02:35 AM,01:09 PM,06:37 AM,05:25 PM,8,18,18,18,20,14,54,0.0,1013,25,10,269,12,"patna,bihar"
2009-01-22,25,12,0.0,8.7,5,17,03:30 AM,01:57 PM,06:36 AM,05:26 PM,7,18,18,18,18,15,51,0.0,1013,25,10,266,11,"patna,bihar"
2009-01-23,26,12,0.0,8.7,5,9,04:20 AM,02:48 PM,06:36 AM,05:27 PM,10,20,20,20,16,1,52,0.0,1011,26,10,263,10,"patna,bihar"
2009-01-24,27,13,0.0,8.7,5,2,05:08 AM,03:43 PM,06:36 AM,05:28 PM,11,20,20,20,10,9,58,0.0,1011,27,10,197,6,"patna,bihar"
2009-01-25,27,13,0.0,8.7,5,0,05:52 AM,04:38 PM,06:36 AM,05:28 PM,12,20,20,20,9,16,63,0.0,1012,27,10,198,5,"patna,bihar"
2009-01-26,30,13,0.0,8.7,6,0,06:30 AM,05:33 PM,06:35 AM,05:29 PM,14,24,24,24,15,0,59,0.0,1011,30,10,279,9,"patna,bihar"
2009-01-27,31,15,0.0,8.7,6,5,07:06 AM,06:27 PM,06:35 AM,05:30 PM,14,26,26,26,15,1,53,0.0,1011,31,10,257,9,"patna,bihar"
2009-01-28,27,16,0.0,8.7,6,12,07:39 AM,07:22 PM,06:35 AM,05:31 PM,11,22,22,22,21,0,51,0.0,1012,27,10,273,14,"patna,bihar"
2009-01-29,26,12,0.0,8.7,5,20,08:10 AM,08:15 PM,06:34 AM,05:31 PM,10,21,21,21,14,2,53,0.0,1015,26,10,275,8,"patna,bihar"
2009-01-30,27,11,0.0,8.7,5,27,08:41 AM,09:10 PM,06:34 AM,05:32 PM,9,20,20,20,18,7,50,0.0,1013,27,10,275,10,"patna,bihar"
2009-01-31,27,13,0.0,8.7,5,31,09:12 AM,10:06 PM,06:33 AM,05:33 PM,9,21,21,21,24,2,49,0.0,1012,27,10,272,14,"patna,bihar"
2009-02-01,26,13,0.0,8.7,5,43,09:46 AM,11:05 PM,06:33 AM,05:34 PM,8,20,20,20,18,0,48,0.0,1014,26,10,278,11,"patna,bihar"
2009-02-02,26,10,0.0,8.7,5,50,10:23 AM,No moonset,06:32 AM,05:34 PM,10,20,20,20,14,1,54,0.0,1015,26,10,291,9,"patna,bihar"
2009-02-03,27,10,0.0,8.7,5,58,11:06 AM,12:07 AM,06:32 AM,05:35 PM,12,22,22,22,8,0,59,0.0,1014,27,10,292,4,"patna,bihar"
2009-02-04,27,11,0.0,8.7,5,66,11:57 AM,01:12 AM,06:31 AM,05:36 PM,12,22,22,22,9,0,58,0.0,1015,27,10,281,5,"patna,bihar"
2009-02-05,29,11,0.0,8.7,5,73,12:55 PM,02:18 AM,06:31 AM,05:37 PM,13,23,23,23,8,0,58,0.0,1014,29,10,239,4,"patna,bihar"
2009-02-06,30,11,0.0,8.7,5,81,02:00 PM,03:24 AM,06:30 AM,05:37 PM,13,24,24,24,9,0,54,0.0,1014,30,10,187,5,"patna,bihar"
2009-02-07,29,11,0.0,8.7,5,88,03:10 PM,04:24 AM,06:30 AM,05:38 PM,11,24,24,24,12,0,48,0.0,1013,29,10,260,7,"patna,bihar"
2009-02-08,29,14,0.0,8.7,5,96,04:20 PM,05:17 AM,06:29 AM,05:39 PM,11,23,23,23,17,0,48,0.0,1015,29,10,281,10,"patna,bihar"
