date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,25,14,0.0,8.7,5,31,09:27 AM,09:16 PM,06:27 AM,05:01 PM,12,21,21,21,11,1,56,0.0,1015,25,10,298,6,"purnia,bihar"
2009-01-02,25,13,0.0,8.7,5,38,09:57 AM,10:09 PM,06:27 AM,05:01 PM,10,21,21,21,9,0,52,0.0,1017,25,10,318,5,"purnia,bihar"
2009-01-03,25,13,0.0,8.7,5,45,10:28 AM,11:05 PM,06:27 AM,05:02 PM,9,20,20,20,13,1,53,0.0,1017,25,10,299,7,"purnia,bihar"
2009-01-04,24,12,0.0,8.7,5,52,11:00 AM,No moonset,06:27 AM,05:03 PM,6,19,19,19,11,8,45,0.0,1015,24,10,280,6,"purnia,bihar"
2009-01-05,25,13,0.0,8.7,5,60,11:36 AM,12:03 AM,06:28 AM,05:03 PM,6,19,18,19,10,5,44,0.0,1013,25,10,240,6,"purnia,bihar"
2009-01-06,27,12,0.0,8.7,5,67,12:16 PM,01:04 AM,06:28 AM,05:04 PM,9,20,20,20,5,9,49,0.0,1014,27,10,114,3,"purnia,bihar"
2009-01-07,22,18,0.0,8.7,5,74,01:03 PM,02:09 AM,06:28 AM,05:05 PM,10,19,20,19,13,32,53,0.0,1017,22,10,65,7,"purnia,bihar"
2009-01-08,26,17,0.0,8.7,5,82,01:59 PM,03:18 AM,06:28 AM,05:06 PM,13,20,20,20,12,14,63,0.0,1019,26,10,78,7,"purnia,bihar"
2009-01-09,26,15,0.0,8.7,5,89,03:03 PM,04:27 AM,06:28 AM,05:06 PM,14,21,21,21,8,11,68,0.2,1019,26,10,78,5,"purnia,bihar"
2009-01-10,27,14,0.0,8.7,6,96,04:13 PM,05:33 AM,06:28 AM,05:07 PM,13,21,22,21,10,5,60,0.0,1018,27,10,184,5,"purnia,bihar"
2009-01-11,26,15,0.0,8.7,5,100,05:26 PM,06:31 AM,06:28 AM,05:08 PM,11,20,20,20,15,3,57,0.0,1018,26,10,274,9,"purnia,bihar"
2009-01-12,26,14,0.0,8.7,5,89,06:36 PM,07:22 AM,06:28 AM,05:09 PM,13,21,21,21,13,0,65,0.0,1020,26,10,285,7,"purnia,bihar"
2009-01-13,25,13,0.0,8.7,5,82,07:43 PM,08:05 AM,06:28 AM,05:09 PM,13,21,22,21,7,0,64,0.0,1021,25,10,210,4,"purnia,bihar"
2009-01-14,26,14,0.0,8.7,5,75,08:45 PM,08:44 AM,06:28 AM,05:10 PM,13,21,22,21,10,0,61,0.0,1020,26,10,183,5,"purnia,bihar"
2009-01-15,27,13,0.0,8.7,5,68,09:45 PM,09:19 AM,06:28 AM,05:11 PM,9,21,21,21,11,2,47,0.0,1019,27,10,289,6,"purnia,bihar"
2009-01-16,27,14,0.0,8.7,5,60,10:42 PM,09:52 AM,06:28 AM,05:12 PM,8,21,21,21,11,4,45,0.0,1018,27,10,294,6,"purnia,bihar"
2009-01-17,26,15,0.0,8.7,5,53,11:39 PM,10:24 AM,06:28 AM,05:12 PM,8,20,20,20,16,1,47,0.0,1016,26,10,276,9,"purnia,bihar"
2009-01-18,27,14,0.0,8.7,5,46,No moonrise,10:59 AM,06:28 AM,05:13 PM,9,20,21,20,15,1,50,0.0,1014,27,10,260,9,"purnia,bihar"
2009-01-19,28,14,0.0,8.7,5,38,12:35 AM,11:35 AM,06:28 AM,05:14 PM,12,21,21,21,16,1,59,0.0,1013,28,10,266,9,"purnia,bihar"
2009-01-20,27,15,0.0,8.7,5,31,01:31 AM,12:14 PM,06:28 AM,05:15 PM,10,20,20,20,18,5,54,0.0,1013,27,10,272,10,"purnia,bihar"
2009-01-21,25,14,0.0,8.7,5,24,02:26 AM,12:58 PM,06:27 AM,05:16 PM,9,18,19,18,16,6,54,0.0,1013,25,10,284,9,"purnia,bihar"
2009-01-22,26,13,0.0,8.7,5,17,03:20 AM,01:47 PM,06:27 AM,05:16 PM,8,19,19,19,15,7,52,0.0,1012,26,10,277,9,"purnia,bihar"
2009-01-23,26,13,0.0,8.7,5,9,04:11 AM,02:38 PM,06:27 AM,05:17 PM,9,20,20,20,13,0,51,0.0,1011,26,10,243,7,"purnia,bihar"
2009-01-24,27,13,0.0,8.7,5,2,04:59 AM,03:33 PM,06:27 AM,05:18 PM,10,21,22,21,10,2,50,0.0,1012,27,10,76,6,"purnia,bihar"
2009-01-25,28,14,0.0,8.7,6,0,05:42 AM,04:27 PM,06:26 AM,05:19 PM,9,21,21,21,11,8,47,0.0,1012,28,10,195,6,"purnia,bihar"
2009-01-26,28,14,0.0,8.7,5,0,06:21 AM,05:23 PM,06:26 AM,05:19 PM,13,22,23,22,10,0,57,0.0,1011,28,10,191,6,"purnia,bihar"
2009-01-27,30,16,0.0,8.7,6,5,06:57 AM,06:17 PM,06:26 AM,05:20 PM,12,23,24,23,14,0,52,0.0,1011,30,10,203,8,"purnia,bihar"
2009-01-28,28,17,0.0,8.7,6,12,07:30 AM,07:12 PM,06:25 AM,05:21 PM,9,21,21,21,20,0,48,0.0,1012,28,10,270,12,"purnia,bihar"
2009-01-29,27,14,0.0,8.7,5,20,08:00 AM,08:06 PM,06:25 AM,05:22 PM,8,21,22,21,14,0,45,0.0,1014,27,10,274,8,"purnia,bihar"
2009-01-30,28,14,0.0,8.7,5,27,08:31 AM,09:00 PM,06:25 AM,05:22 PM,7,20,20,20,16,2,45,0.0,1013,28,10,270,9,"purnia,bihar"
2009-01-31,27,13,0.0,8.7,5,31,09:03 AM,09:57 PM,06:24 AM,05:23 PM,8,20,20,20,19,1,49,0.0,1012,27,10,269,11,"purnia,bihar"
2009-02-01,27,14,0.0,8.7,5,43,09:36 AM,10:55 PM,06:24 AM,05:24 PM,6,19,19,19,21,0,43,0.0,1014,27,10,272,12,"purnia,bihar"
2009-02-02,26,13,0.0,8.7,5,50,10:13 AM,11:58 PM,06:23 AM,05:25 PM,6,19,19,19,17,0,45,0.0,1015,26,10,273,10,"purnia,bihar"
2009-02-03,27,12,0.0,8.7,5,58,10:56 AM,No moonset,06:23 AM,05:25 PM,7,21,21,21,12,0,42,0.0,1015,27,10,277,7,"purnia,bihar"
2009-02-04,29,13,0.0,8.7,6,66,11:47 AM,01:03 AM,06:22 AM,05:26 PM,8,22,22,22,10,0,42,0.0,1015,29,10,284,5,"purnia,bihar"
2009-02-05,29,14,0.0,8.7,6,73,12:44 PM,02:09 AM,06:22 AM,05:27 PM,9,23,23,23,13,0,44,0.0,1014,29,10,278,7,"purnia,bihar"
2009-02-06,30,14,0.0,8.7,6,81,01:50 PM,03:14 AM,06:21 AM,05:28 PM,11,23,24,23,10,0,48,0.0,1014,30,10,286,6,"purnia,bihar"
2009-02-07,30,15,0.0,8.7,6,88,03:00 PM,04:14 AM,06:21 AM,05:28 PM,9,23,23,23,14,0,42,0.0,1013,30,10,282,8,"purnia,bihar"
2009-02-08,29,15,0.0,8.7,6,96,04:10 PM,05:08 AM,06:20 AM,05:29 PM,7,22,22,22,18,0,41,0.0,1015,29,10,272,11,"purnia,bihar"
2009-02-09,29,15,0.0,8.7,6,100,05:19 PM,05:55 AM,06:19 AM,05:30 PM,8,22,22,22,16,0,42,0.0,1015,29,10,280,9,"purnia,bihar"
2009-02-10,30,13,0.0,8.7,6,89,06:24 PM,06:35 AM,06:19 AM,05:30 PM,9,24,23,24,9,0,44,0.0,1014,30,10,268,5,"purnia,bihar"
2009-02-11,31,15,0.0,8.7,6,82,07:27 PM,07:13 AM,06:18 AM,05:31 PM,8,24,23,24,11,3,39,0.0,1011,31,10,198,6,"purnia,bihar"
2009-02-12,30,15,0.0,8.7,6,74,08:26 PM,07:47 AM,06:17 AM,05:32 PM,6,22,22,23,23,5,36,0.0,1009,30,10,276,14,"purnia,bihar"
2009-02-13,28,15,0.0,8.7,6,67,09:25 PM,08:21 AM,06:17 AM,05:32 PM,9,21,21,21,18,0,47,0.0,1011,28,10,274,10,"purnia,bihar"
2009-02-14,29,15,0.0,8.7,6,59,10:23 PM,08:55 AM,06:16 AM,05:33 PM,9,21,21,21,18,0,46,0.0,1011,29,10,277,10,"purnia,bihar"
2009-02-15,31,15,0.0,8.7,6,51,11:21 PM,09:32 AM,06:15 AM,05:34 PM,7,22,21,22,24,0,41,0.0,1010,31,10,266,14,"purnia,bihar"
2009-02-16,30,15,0.0,8.7,6,44,No moonrise,10:11 AM,06:15 AM,05:34 PM,7,22,21,22,22,0,40,0.0,1013,30,10,268,13,"purnia,bihar"
2009-02-17,30,15,0.0,8.7,6,36,12:17 AM,10:54 AM,06:14 AM,05:35 PM,5,22,21,22,21,0,36,0.0,1012,30,10,274,12,"purnia,bihar"
2009-02-18,31,15,0.0,8.7,6,29,01:13 AM,11:41 AM,06:13 AM,05:36 PM,5,22,21,22,21,0,36,0.0,1011,31,10,266,12,"purnia,bihar"
2009-02-19,30,15,0.0,8.7,6,21,02:05 AM,12:31 PM,06:12 AM,05:36 PM,6,22,21,22,23,0,37,0.0,1011,30,10,263,13,"purnia,bihar"
2009-02-20,32,15,0.0,8.7,6,14,02:54 AM,01:25 PM,06:11 AM,05:37 PM,7,23,23,24,18,3,37,0.0,1013,32,10,269,10,"purnia,bihar"
2009-02-21,31,16,0.0,8.7,6,6,03:39 AM,02:19 PM,06:11 AM,05:37 PM,5,23,23,23,30,6,32,0.0,1010,31,10,260,18,"purnia,bihar"
2009-02-22,31,17,0.0,8.7,6,0,04:19 AM,03:15 PM,06:10 AM,05:38 PM,2,22,22,23,20,1,27,0.0,1007,31,10,267,13,"purnia,bihar"
2009-02-23,31,16,0.0,8.7,6,0,04:56 AM,04:10 PM,06:09 AM,05:39 PM,6,23,23,23,11,19,34,0.0,1009,31,10,240,6,"purnia,bihar"
2009-02-24,33,15,0.0,8.7,6,0,05:30 AM,05:05 PM,06:08 AM,05:39 PM,7,24,24,25,14,1,35,0.0,1007,33,10,185,8,"purnia,bihar"
2009-02-25,33,16,0.0,8.7,6,1,06:02 AM,06:00 PM,06:07 AM,05:40 PM,8,25,25,25,19,2,36,0.0,1007,33,10,227,11,"purnia,bihar"
2009-02-26,32,17,0.0,8.7,6,9,06:33 AM,06:55 PM,06:06 AM,05:40 PM,7,24,24,25,19,0,34,0.0,1007,32,10,265,11,"purnia,bihar"
2009-02-27,33,17,0.0,8.7,6,16,07:05 AM,07:52 PM,06:05 AM,05:41 PM,4,24,24,25,22,1,28,0.0,1008,33,10,260,13,"purnia,bihar"
2009-02-28,32,16,0.0,8.7,6,24,07:39 AM,08:50 PM,06:04 AM,05:41 PM,1,23,23,23,24,0,23,0.0,1008,32,10,262,14,"purnia,bihar"
2009-03-01,30,15,0.0,8.7,6,30,08:15 AM,09:52 PM,06:04 AM,05:42 PM,0,23,22,23,16,0,23,0.0,1010,30,10,216,9,"purnia,bihar"
2009-03-02,31,14,0.0,8.7,6,37,08:56 AM,10:55 PM,06:03 AM,05:43 PM,6,23,23,24,15,1,33,0.0,1011,31,10,102,9,"purnia,bihar"
