date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,30,17,0.0,11.5,6,31,10:01 AM,10:03 PM,06:48 AM,06:00 PM,13,24,24,24,15,2,54,0.0,1013,30,10,107,9,"raichur,karnataka"
2009-01-02,30,18,0.0,11.5,6,38,10:36 AM,10:52 PM,06:49 AM,06:00 PM,13,24,24,24,16,4,52,0.0,1014,30,10,108,9,"raichur,karnataka"
2009-01-03,29,18,0.0,11.5,6,45,11:12 AM,11:42 PM,06:49 AM,06:01 PM,14,24,24,24,17,14,59,0.0,1015,29,10,110,11,"raichur,karnataka"
2009-01-04,29,18,0.0,11.5,6,52,11:49 AM,No moonset,06:49 AM,06:01 PM,15,25,25,24,15,10,59,0.0,1014,29,10,117,9,"raichur,karnataka"
2009-01-05,30,18,0.0,11.5,6,60,12:29 PM,12:35 AM,06:50 AM,06:02 PM,13,24,24,24,13,4,52,0.0,1012,30,10,133,8,"raichur,karnataka"
2009-01-06,30,17,0.0,11.5,6,67,01:14 PM,01:32 AM,06:50 AM,06:03 PM,12,24,24,24,19,3,53,0.0,1012,30,10,131,11,"raichur,karnataka"
2009-01-07,30,18,0.0,11.5,6,74,02:05 PM,02:33 AM,06:50 AM,06:03 PM,11,25,25,24,20,2,49,0.0,1014,30,10,115,12,"raichur,karnataka"
2009-01-08,30,19,0.0,11.5,6,82,03:04 PM,03:39 AM,06:51 AM,06:04 PM,16,25,25,24,21,14,63,0.0,1016,30,10,116,15,"raichur,karnataka"
2009-01-09,31,21,0.0,11.5,7,89,04:09 PM,04:46 AM,06:51 AM,06:04 PM,16,26,26,25,21,19,59,0.0,1016,31,10,124,15,"raichur,karnataka"
2009-01-10,31,20,0.0,11.5,6,96,05:18 PM,05:52 AM,06:51 AM,06:05 PM,13,26,26,25,22,5,51,0.0,1016,31,10,114,14,"raichur,karnataka"
2009-01-11,31,19,0.0,11.6,6,100,06:27 PM,06:53 AM,06:51 AM,06:06 PM,14,25,25,25,21,5,55,0.0,1016,31,10,118,14,"raichur,karnataka"
2009-01-12,31,19,0.0,11.6,6,89,07:33 PM,07:48 AM,06:51 AM,06:06 PM,13,25,25,25,21,4,50,0.0,1018,31,10,108,13,"raichur,karnataka"
2009-01-13,31,18,0.0,11.6,6,82,08:33 PM,08:36 AM,06:52 AM,06:07 PM,14,25,25,24,24,8,53,0.0,1019,31,10,107,16,"raichur,karnataka"
2009-01-14,30,18,0.0,11.6,6,75,09:31 PM,09:20 AM,06:52 AM,06:07 PM,14,26,26,25,19,7,55,0.0,1019,30,10,99,13,"raichur,karnataka"
