date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,28,13,0.0,8.7,5,31,09:56 AM,09:51 PM,06:51 AM,05:40 PM,6,19,19,19,13,3,46,0.0,1015,28,10,40,7,"seoni,madhya+pradesh"
2009-01-02,28,13,0.0,8.7,5,38,10:28 AM,10:42 PM,06:51 AM,05:41 PM,6,19,19,19,9,4,43,0.0,1016,28,10,79,5,"seoni,madhya+pradesh"
2009-01-03,27,10,0.0,8.7,5,45,11:01 AM,11:36 PM,06:52 AM,05:41 PM,6,19,19,19,9,3,45,0.0,1016,27,10,154,6,"seoni,madhya+pradesh"
2009-01-04,29,12,0.0,8.7,5,52,11:36 AM,No moonset,06:52 AM,05:42 PM,9,21,20,21,9,5,50,0.0,1014,29,10,224,5,"seoni,madhya+pradesh"
2009-01-05,28,13,0.0,8.7,6,60,12:13 PM,12:32 AM,06:52 AM,05:43 PM,9,21,22,21,10,27,50,0.0,1012,28,10,223,6,"seoni,madhya+pradesh"
2009-01-06,26,18,0.0,8.7,6,67,12:55 PM,01:32 AM,06:52 AM,05:43 PM,11,21,21,21,8,37,56,0.0,1012,26,10,133,5,"seoni,madhya+pradesh"
2009-01-07,26,17,0.0,8.7,5,74,01:44 PM,02:35 AM,06:53 AM,05:44 PM,14,20,20,20,14,45,68,0.9,1015,26,9,87,9,"seoni,madhya+pradesh"
2009-01-08,26,15,0.0,8.7,5,82,02:41 PM,03:43 AM,06:53 AM,05:45 PM,13,20,20,20,12,25,65,0.0,1017,26,10,80,7,"seoni,madhya+pradesh"
2009-01-09,28,14,0.0,8.7,6,89,03:46 PM,04:51 AM,06:53 AM,05:45 PM,11,21,21,21,9,18,59,0.0,1018,28,9,108,6,"seoni,madhya+pradesh"
2009-01-10,27,15,0.0,8.7,6,96,04:56 PM,05:57 AM,06:53 AM,05:46 PM,11,21,21,21,12,23,54,0.0,1017,27,10,88,7,"seoni,madhya+pradesh"
2009-01-11,30,16,0.0,8.7,6,100,06:06 PM,06:56 AM,06:53 AM,05:47 PM,11,22,22,22,10,32,52,0.0,1018,30,10,94,6,"seoni,madhya+pradesh"
2009-01-12,27,16,0.0,8.7,6,89,07:15 PM,07:49 AM,06:53 AM,05:47 PM,10,21,21,21,12,12,52,0.0,1019,27,10,86,7,"seoni,madhya+pradesh"
2009-01-13,31,15,0.0,8.7,6,82,08:19 PM,08:33 AM,06:53 AM,05:48 PM,11,22,22,22,7,11,51,0.0,1020,31,10,72,4,"seoni,madhya+pradesh"
2009-01-14,30,16,0.0,8.7,6,75,09:20 PM,09:14 AM,06:53 AM,05:49 PM,11,23,23,23,11,8,49,0.0,1020,30,10,47,6,"seoni,madhya+pradesh"
2009-01-15,29,15,0.0,8.7,6,68,10:17 PM,09:51 AM,06:53 AM,05:50 PM,11,22,22,22,12,8,51,0.0,1019,29,10,34,7,"seoni,madhya+pradesh"
2009-01-16,29,16,0.0,8.7,6,60,11:13 PM,10:26 AM,06:53 AM,05:50 PM,8,21,21,21,13,4,43,0.0,1019,29,10,50,8,"seoni,madhya+pradesh"
2009-01-17,30,12,0.0,8.7,6,53,No moonrise,11:01 AM,06:53 AM,05:51 PM,8,22,22,22,10,1,41,0.0,1017,30,10,126,5,"seoni,madhya+pradesh"
2009-01-18,30,13,0.0,8.7,6,46,12:07 AM,11:37 AM,06:53 AM,05:52 PM,8,23,23,23,9,0,40,0.0,1016,30,10,62,5,"seoni,madhya+pradesh"
2009-01-19,30,13,0.0,8.7,6,38,01:01 AM,12:14 PM,06:53 AM,05:52 PM,5,23,22,23,11,1,35,0.0,1015,30,10,36,6,"seoni,madhya+pradesh"
2009-01-20,30,15,0.0,8.7,6,31,01:56 AM,12:56 PM,06:53 AM,05:53 PM,7,22,21,22,15,5,41,0.0,1015,30,10,140,9,"seoni,madhya+pradesh"
2009-01-21,28,15,0.0,8.7,6,24,02:50 AM,01:41 PM,06:53 AM,05:54 PM,5,20,20,20,19,4,39,0.0,1015,28,10,221,11,"seoni,madhya+pradesh"
2009-01-22,30,13,0.0,8.7,6,17,03:44 AM,02:29 PM,06:53 AM,05:54 PM,1,21,21,21,15,6,28,0.0,1014,30,10,221,8,"seoni,madhya+pradesh"
2009-01-23,31,13,0.0,8.7,6,9,04:34 AM,03:21 PM,06:53 AM,05:55 PM,-2,22,21,22,16,0,22,0.0,1013,31,10,11,9,"seoni,madhya+pradesh"
2009-01-24,34,15,0.0,8.7,6,2,05:23 AM,04:14 PM,06:53 AM,05:56 PM,1,23,23,23,11,1,26,0.0,1012,34,10,64,6,"seoni,madhya+pradesh"
2009-01-25,33,14,0.0,5.7,5,0,06:07 AM,05:08 PM,06:52 AM,05:56 PM,2,22,22,23,7,49,28,0.0,1012,33,10,185,4,"seoni,madhya+pradesh"
2009-01-26,33,16,0.0,8.7,6,0,06:47 AM,06:02 PM,06:52 AM,05:57 PM,4,24,24,25,13,0,29,0.0,1012,33,10,238,8,"seoni,madhya+pradesh"
2009-01-27,33,17,0.0,8.7,6,5,07:24 AM,06:55 PM,06:52 AM,05:58 PM,5,24,24,25,12,2,30,0.0,1013,33,10,278,7,"seoni,madhya+pradesh"
2009-01-28,32,17,0.0,8.7,6,12,07:58 AM,07:48 PM,06:52 AM,05:58 PM,4,24,24,24,12,1,29,0.0,1013,32,10,211,7,"seoni,madhya+pradesh"
2009-01-29,34,16,0.0,8.7,6,20,08:31 AM,08:39 PM,06:51 AM,05:59 PM,4,23,23,24,9,5,29,0.0,1013,34,10,81,5,"seoni,madhya+pradesh"
2009-01-30,33,16,0.0,11.5,6,27,09:04 AM,09:32 PM,06:51 AM,06:00 PM,4,24,24,24,9,4,28,0.0,1013,33,10,187,5,"seoni,madhya+pradesh"
2009-01-31,32,17,0.0,11.5,6,31,09:37 AM,10:26 PM,06:51 AM,06:00 PM,5,24,24,24,16,2,32,0.0,1012,32,10,136,9,"seoni,madhya+pradesh"
2009-02-01,31,16,0.0,11.5,6,43,10:13 AM,11:24 PM,06:50 AM,06:01 PM,4,22,22,23,17,1,33,0.0,1014,31,10,126,9,"seoni,madhya+pradesh"
2009-02-02,31,15,0.0,11.5,6,50,10:52 AM,No moonset,06:50 AM,06:01 PM,1,23,22,23,15,0,26,0.0,1014,31,10,94,9,"seoni,madhya+pradesh"
2009-02-03,33,14,0.0,11.5,6,58,11:37 AM,12:24 AM,06:49 AM,06:02 PM,1,24,23,24,10,0,24,0.0,1014,33,10,137,6,"seoni,madhya+pradesh"
2009-02-04,32,15,0.0,11.5,6,66,12:28 PM,01:28 AM,06:49 AM,06:03 PM,2,23,23,24,14,2,26,0.0,1014,32,10,128,8,"seoni,madhya+pradesh"
2009-02-05,32,14,0.0,11.5,6,73,01:27 PM,02:33 AM,06:49 AM,06:03 PM,7,24,24,24,8,5,36,0.0,1013,32,10,222,5,"seoni,madhya+pradesh"
2009-02-06,34,17,0.0,11.6,6,81,02:32 PM,03:38 AM,06:48 AM,06:04 PM,3,24,24,25,12,1,25,0.0,1014,34,10,292,7,"seoni,madhya+pradesh"
2009-02-07,31,17,0.0,11.6,6,88,03:42 PM,04:38 AM,06:48 AM,06:04 PM,0,23,23,23,18,0,23,0.0,1014,31,10,172,10,"seoni,madhya+pradesh"
2009-02-08,32,15,0.0,11.6,6,96,04:50 PM,05:34 AM,06:47 AM,06:05 PM,3,23,23,24,17,0,28,0.0,1015,32,10,102,9,"seoni,madhya+pradesh"
2009-02-09,34,16,0.0,11.6,6,100,05:57 PM,06:21 AM,06:47 AM,06:06 PM,3,25,25,25,14,0,26,0.0,1015,34,10,67,8,"seoni,madhya+pradesh"
