date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,23,8,0.0,8.7,4,31,09:59 AM,09:46 PM,07:02 AM,05:27 PM,4,15,16,15,15,4,47,0.0,1015,23,10,297,9,"shahjahanpur,uttar+pradesh"
2009-01-02,22,5,0.0,8.7,4,38,10:29 AM,10:41 PM,07:02 AM,05:27 PM,5,16,16,16,9,2,52,0.0,1017,22,10,216,5,"shahjahanpur,uttar+pradesh"
2009-01-03,22,7,0.0,8.7,4,45,10:58 AM,11:38 PM,07:02 AM,05:28 PM,6,15,16,15,8,7,58,0.0,1017,22,10,162,5,"shahjahanpur,uttar+pradesh"
2009-01-04,23,7,0.0,8.7,4,52,11:30 AM,No moonset,07:02 AM,05:29 PM,5,16,16,16,9,12,49,0.0,1015,23,10,137,5,"shahjahanpur,uttar+pradesh"
2009-01-05,24,11,0.0,8.7,5,60,12:04 PM,12:36 AM,07:02 AM,05:29 PM,5,17,17,17,10,17,48,0.0,1014,24,10,240,5,"shahjahanpur,uttar+pradesh"
2009-01-06,23,14,0.0,8.7,5,67,12:43 PM,01:39 AM,07:03 AM,05:30 PM,5,17,17,17,11,28,46,0.0,1014,23,10,84,6,"shahjahanpur,uttar+pradesh"
2009-01-07,25,12,0.0,8.7,5,74,01:30 PM,02:46 AM,07:03 AM,05:31 PM,6,17,17,17,13,19,52,0.0,1017,25,10,187,7,"shahjahanpur,uttar+pradesh"
2009-01-08,24,11,0.0,8.7,5,82,02:24 PM,03:55 AM,07:03 AM,05:32 PM,5,17,18,17,15,23,46,0.0,1020,24,10,220,8,"shahjahanpur,uttar+pradesh"
2009-01-09,25,11,0.0,8.7,4,89,03:29 PM,05:05 AM,07:03 AM,05:33 PM,7,17,17,17,14,22,53,0.0,1020,25,10,236,7,"shahjahanpur,uttar+pradesh"
2009-01-10,24,10,0.0,8.7,5,96,04:39 PM,06:10 AM,07:03 AM,05:33 PM,11,18,18,18,13,11,69,0.0,1019,24,10,265,7,"shahjahanpur,uttar+pradesh"
2009-01-11,24,12,0.0,8.7,5,100,05:53 PM,07:08 AM,07:03 AM,05:34 PM,11,18,18,18,17,2,64,0.0,1018,24,10,299,10,"shahjahanpur,uttar+pradesh"
2009-01-12,24,9,0.0,8.7,4,89,07:04 PM,07:57 AM,07:03 AM,05:35 PM,6,16,17,16,15,3,51,0.0,1020,24,10,295,9,"shahjahanpur,uttar+pradesh"
2009-01-13,23,8,0.0,8.7,4,82,08:12 PM,08:39 AM,07:03 AM,05:36 PM,3,15,16,15,16,23,44,0.0,1021,23,10,308,9,"shahjahanpur,uttar+pradesh"
2009-01-14,25,10,0.0,8.7,5,75,09:16 PM,09:16 AM,07:03 AM,05:36 PM,4,16,16,16,19,15,46,0.0,1020,25,10,294,10,"shahjahanpur,uttar+pradesh"
2009-01-15,24,9,0.0,5.5,5,68,10:17 PM,09:50 AM,07:03 AM,05:37 PM,4,17,17,17,17,31,43,0.0,1019,24,10,292,10,"shahjahanpur,uttar+pradesh"
2009-01-16,25,12,0.0,7.1,5,60,11:16 PM,10:21 AM,07:03 AM,05:38 PM,3,16,17,16,18,32,42,0.0,1018,25,10,299,10,"shahjahanpur,uttar+pradesh"
2009-01-17,25,11,0.0,8.7,5,53,No moonrise,10:53 AM,07:03 AM,05:39 PM,8,18,19,18,17,6,53,0.0,1016,25,10,287,10,"shahjahanpur,uttar+pradesh"
2009-01-18,28,13,0.0,8.7,5,46,12:13 AM,11:26 AM,07:02 AM,05:40 PM,10,20,20,20,17,9,54,0.0,1016,28,10,301,9,"shahjahanpur,uttar+pradesh"
2009-01-19,27,15,0.0,8.7,5,38,01:10 AM,12:02 PM,07:02 AM,05:40 PM,8,20,20,20,26,4,47,0.0,1015,27,10,297,16,"shahjahanpur,uttar+pradesh"
2009-01-20,24,12,0.0,8.7,5,31,02:07 AM,12:41 PM,07:02 AM,05:41 PM,9,16,17,16,29,9,63,0.0,1014,24,10,285,18,"shahjahanpur,uttar+pradesh"
2009-01-21,23,12,0.0,8.7,5,24,03:03 AM,01:24 PM,07:02 AM,05:42 PM,5,16,16,16,26,14,48,0.0,1013,23,10,288,16,"shahjahanpur,uttar+pradesh"
2009-01-22,25,12,0.0,8.7,5,17,03:57 AM,02:12 PM,07:01 AM,05:43 PM,5,17,17,17,22,12,46,0.0,1012,25,10,288,13,"shahjahanpur,uttar+pradesh"
2009-01-23,27,12,0.0,8.7,5,9,04:48 AM,03:04 PM,07:01 AM,05:44 PM,5,19,19,19,28,14,41,0.0,1011,27,10,282,15,"shahjahanpur,uttar+pradesh"
2009-01-24,26,14,0.0,3.9,4,2,05:36 AM,03:59 PM,07:01 AM,05:45 PM,8,18,18,18,16,58,53,0.0,1010,26,10,272,9,"shahjahanpur,uttar+pradesh"
2009-01-25,28,15,0.0,8.7,5,0,06:18 AM,04:54 PM,07:00 AM,05:45 PM,12,20,20,20,11,10,60,0.0,1011,28,10,138,6,"shahjahanpur,uttar+pradesh"
2009-01-26,29,12,0.0,8.7,5,0,06:56 AM,05:51 PM,07:00 AM,05:46 PM,12,21,21,21,12,5,60,0.0,1011,29,10,275,7,"shahjahanpur,uttar+pradesh"
2009-01-27,27,12,0.0,8.7,5,5,07:31 AM,06:46 PM,07:00 AM,05:47 PM,13,22,22,22,16,0,61,0.0,1012,27,10,200,9,"shahjahanpur,uttar+pradesh"
2009-01-28,25,12,0.0,8.7,5,12,08:02 AM,07:42 PM,06:59 AM,05:48 PM,11,19,19,19,20,0,65,0.0,1012,25,10,282,13,"shahjahanpur,uttar+pradesh"
2009-01-29,25,11,0.0,8.7,5,20,08:32 AM,08:36 PM,06:59 AM,05:49 PM,13,19,19,19,13,0,70,0.0,1015,25,10,288,8,"shahjahanpur,uttar+pradesh"
2009-01-30,26,11,0.0,8.7,5,27,09:02 AM,09:33 PM,06:58 AM,05:49 PM,11,19,19,19,19,3,64,0.0,1014,26,10,304,11,"shahjahanpur,uttar+pradesh"
