date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,24,10,0.0,8.7,5,31,10:10 AM,10:00 PM,07:10 AM,05:44 PM,3,17,17,17,13,2,41,0.0,1017,24,10,118,7,"sheopur,madhya+pradesh"
2009-01-02,25,10,0.0,8.7,5,38,10:41 AM,10:54 PM,07:10 AM,05:45 PM,2,17,17,17,14,3,40,0.0,1017,25,10,92,7,"sheopur,madhya+pradesh"
2009-01-03,27,11,0.0,8.7,5,45,11:12 AM,11:50 PM,07:10 AM,05:46 PM,4,18,18,18,17,10,41,0.0,1016,27,10,151,9,"sheopur,madhya+pradesh"
2009-01-04,27,12,0.0,8.7,5,52,11:45 AM,No moonset,07:11 AM,05:46 PM,7,19,19,19,13,2,45,0.0,1014,27,10,185,7,"sheopur,madhya+pradesh"
2009-01-05,26,13,0.0,8.7,5,60,12:20 PM,12:47 AM,07:11 AM,05:47 PM,6,18,18,18,18,7,45,0.0,1013,26,10,52,10,"sheopur,madhya+pradesh"
2009-01-06,25,14,0.0,8.7,5,67,01:01 PM,01:49 AM,07:11 AM,05:48 PM,4,18,18,18,23,5,41,0.0,1015,25,10,51,13,"sheopur,madhya+pradesh"
2009-01-07,25,13,0.0,8.7,5,74,01:48 PM,02:54 AM,07:11 AM,05:48 PM,3,17,17,17,26,4,41,0.0,1017,25,10,56,14,"sheopur,madhya+pradesh"
2009-01-08,22,12,0.0,8.7,5,82,02:44 PM,04:03 AM,07:11 AM,05:49 PM,4,16,17,16,26,21,45,0.0,1021,22,10,62,16,"sheopur,madhya+pradesh"
2009-01-09,22,12,0.0,8.7,5,89,03:48 PM,05:12 AM,07:11 AM,05:50 PM,6,16,16,16,19,21,54,0.0,1021,22,10,60,11,"sheopur,madhya+pradesh"
2009-01-10,25,13,0.0,7.1,5,96,04:59 PM,06:17 AM,07:11 AM,05:51 PM,11,18,19,18,19,40,64,0.1,1020,25,10,54,11,"sheopur,madhya+pradesh"
2009-01-11,25,14,0.0,8.7,5,100,06:11 PM,07:16 AM,07:11 AM,05:51 PM,8,19,19,19,17,5,52,0.0,1020,25,10,47,10,"sheopur,madhya+pradesh"
2009-01-12,24,14,0.0,8.7,5,89,07:22 PM,08:06 AM,07:12 AM,05:52 PM,4,18,18,18,19,28,40,0.0,1021,24,10,58,11,"sheopur,madhya+pradesh"
2009-01-13,28,16,0.0,8.7,6,82,08:28 PM,08:50 AM,07:12 AM,05:53 PM,7,21,21,21,19,15,42,0.0,1021,28,10,109,10,"sheopur,madhya+pradesh"
2009-01-14,23,15,0.0,7.1,5,75,09:31 PM,09:28 AM,07:12 AM,05:53 PM,10,19,20,19,13,29,56,0.0,1021,23,10,123,7,"sheopur,madhya+pradesh"
2009-01-15,27,16,0.0,8.7,6,68,10:30 PM,10:03 AM,07:11 AM,05:54 PM,10,21,21,21,15,12,52,0.0,1020,27,10,138,8,"sheopur,madhya+pradesh"
2009-01-16,30,17,0.0,8.7,6,60,11:27 PM,10:36 AM,07:11 AM,05:55 PM,9,23,23,22,14,7,45,0.0,1019,30,10,150,8,"sheopur,madhya+pradesh"
2009-01-17,28,16,0.0,8.7,6,53,No moonrise,11:09 AM,07:11 AM,05:56 PM,10,22,22,22,16,6,49,0.0,1017,28,10,173,8,"sheopur,madhya+pradesh"
2009-01-18,30,17,0.0,8.7,6,46,12:23 AM,11:43 AM,07:11 AM,05:57 PM,9,22,22,23,24,27,45,0.0,1016,30,10,179,14,"sheopur,madhya+pradesh"
2009-01-19,26,16,0.0,8.7,6,38,01:20 AM,12:19 PM,07:11 AM,05:57 PM,10,20,20,20,20,5,54,0.0,1018,26,10,183,12,"sheopur,madhya+pradesh"
2009-01-20,25,13,0.0,8.7,5,31,02:15 AM,12:59 PM,07:11 AM,05:58 PM,6,18,19,18,16,16,45,0.0,1018,25,10,165,9,"sheopur,madhya+pradesh"
2009-01-21,22,14,0.0,8.7,5,24,03:11 AM,01:43 PM,07:11 AM,05:59 PM,0,17,17,17,14,19,33,0.0,1017,22,10,318,8,"sheopur,madhya+pradesh"
2009-01-22,27,12,0.0,10.9,5,17,04:04 AM,02:31 PM,07:10 AM,06:00 PM,-1,18,18,18,14,14,27,0.0,1016,27,10,206,8,"sheopur,madhya+pradesh"
2009-01-23,28,11,0.0,10.9,5,9,04:56 AM,03:23 PM,07:10 AM,06:00 PM,2,19,19,19,14,23,33,0.0,1015,28,10,147,8,"sheopur,madhya+pradesh"
2009-01-24,30,13,0.0,5.5,5,2,05:43 AM,04:17 PM,07:10 AM,06:01 PM,3,20,20,20,9,66,33,0.0,1013,30,10,190,5,"sheopur,madhya+pradesh"
2009-01-25,32,17,0.0,10.9,6,0,06:26 AM,05:13 PM,07:10 AM,06:02 PM,4,23,23,24,16,7,29,0.0,1012,32,10,192,9,"sheopur,madhya+pradesh"
