date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,23,9,0.0,8.7,4,31,09:56 AM,09:43 PM,06:58 AM,05:24 PM,5,17,17,17,13,3,48,0.0,1015,23,10,296,7,"sitapur,uttar+pradesh"
2009-01-02,23,6,0.0,8.7,4,38,10:25 AM,10:37 PM,06:58 AM,05:25 PM,4,16,16,16,10,2,48,0.0,1017,23,10,214,6,"sitapur,uttar+pradesh"
2009-01-03,23,7,0.0,8.7,4,45,10:55 AM,11:34 PM,06:58 AM,05:26 PM,6,16,16,16,8,7,55,0.0,1017,23,10,157,5,"sitapur,uttar+pradesh"
2009-01-04,23,7,0.0,8.7,4,52,11:27 AM,No moonset,06:58 AM,05:26 PM,5,17,17,17,8,11,50,0.0,1015,23,10,142,4,"sitapur,uttar+pradesh"
2009-01-05,24,10,0.0,8.7,5,60,12:01 PM,12:33 AM,06:59 AM,05:27 PM,5,18,18,18,6,16,47,0.0,1013,24,10,241,4,"sitapur,uttar+pradesh"
2009-01-06,24,15,0.0,8.7,5,67,12:40 PM,01:36 AM,06:59 AM,05:28 PM,5,19,19,19,11,36,41,0.0,1014,24,10,112,6,"sitapur,uttar+pradesh"
2009-01-07,26,14,0.0,8.7,5,74,01:27 PM,02:42 AM,06:59 AM,05:29 PM,7,19,19,19,10,20,49,0.0,1017,26,10,73,6,"sitapur,uttar+pradesh"
2009-01-08,26,12,0.0,8.7,5,82,02:22 PM,03:51 AM,06:59 AM,05:29 PM,8,19,19,19,12,17,52,0.0,1019,26,10,154,6,"sitapur,uttar+pradesh"
2009-01-09,26,12,0.0,8.7,5,89,03:27 PM,05:01 AM,06:59 AM,05:30 PM,9,18,18,18,12,16,54,0.0,1019,26,10,186,7,"sitapur,uttar+pradesh"
2009-01-10,26,11,0.0,8.7,5,96,04:37 PM,06:06 AM,06:59 AM,05:31 PM,11,19,19,19,14,8,62,0.0,1019,26,10,303,8,"sitapur,uttar+pradesh"
2009-01-11,25,12,0.0,8.7,5,100,05:50 PM,07:04 AM,06:59 AM,05:32 PM,11,19,19,19,18,1,64,0.0,1018,25,10,296,10,"sitapur,uttar+pradesh"
2009-01-12,25,10,0.0,8.7,5,89,07:02 PM,07:53 AM,06:59 AM,05:32 PM,6,17,17,17,16,2,48,0.0,1020,25,10,296,9,"sitapur,uttar+pradesh"
2009-01-13,24,9,0.0,8.7,5,82,08:09 PM,08:35 AM,06:59 AM,05:33 PM,3,16,17,16,16,13,43,0.0,1021,24,10,307,9,"sitapur,uttar+pradesh"
2009-01-14,26,10,0.0,8.7,5,75,09:13 PM,09:13 AM,06:59 AM,05:34 PM,4,17,17,17,18,14,44,0.0,1020,26,10,298,10,"sitapur,uttar+pradesh"
2009-01-15,25,10,0.0,8.7,5,68,10:13 PM,09:47 AM,06:59 AM,05:35 PM,4,17,17,17,16,21,43,0.0,1019,25,10,296,9,"sitapur,uttar+pradesh"
2009-01-16,26,11,0.0,8.7,5,60,11:12 PM,10:18 AM,06:59 AM,05:36 PM,3,16,17,16,16,21,43,0.0,1018,26,10,307,9,"sitapur,uttar+pradesh"
2009-01-17,27,10,0.0,8.7,5,53,No moonrise,10:50 AM,06:59 AM,05:36 PM,8,19,19,19,17,11,50,0.0,1016,27,10,296,9,"sitapur,uttar+pradesh"
2009-01-18,29,13,0.0,8.7,5,46,12:09 AM,11:24 AM,06:59 AM,05:37 PM,10,21,21,21,18,5,55,0.0,1015,29,10,292,10,"sitapur,uttar+pradesh"
2009-01-19,28,16,0.0,8.7,6,38,01:06 AM,11:59 AM,06:58 AM,05:38 PM,7,21,21,21,28,1,44,0.0,1015,28,10,298,17,"sitapur,uttar+pradesh"
2009-01-20,26,13,0.0,8.7,5,31,02:03 AM,12:38 PM,06:58 AM,05:39 PM,9,18,18,18,29,5,59,0.0,1014,26,10,285,18,"sitapur,uttar+pradesh"
2009-01-21,24,12,0.0,8.7,5,24,02:59 AM,01:22 PM,06:58 AM,05:40 PM,6,16,17,16,24,17,50,0.0,1013,24,10,288,14,"sitapur,uttar+pradesh"
2009-01-22,25,10,0.0,8.7,5,17,03:53 AM,02:10 PM,06:58 AM,05:40 PM,6,17,18,17,19,7,48,0.0,1012,25,10,290,11,"sitapur,uttar+pradesh"
2009-01-23,28,11,0.0,8.7,5,9,04:44 AM,03:02 PM,06:57 AM,05:41 PM,5,19,19,19,25,10,42,0.0,1011,28,10,275,13,"sitapur,uttar+pradesh"
2009-01-24,27,13,0.0,8.7,5,2,05:32 AM,03:56 PM,06:57 AM,05:42 PM,9,18,18,18,14,50,55,0.0,1010,27,10,222,7,"sitapur,uttar+pradesh"
2009-01-25,28,15,0.0,8.7,5,0,06:14 AM,04:52 PM,06:57 AM,05:43 PM,12,20,20,20,12,9,61,0.0,1011,28,10,172,7,"sitapur,uttar+pradesh"
2009-01-26,30,13,0.0,8.7,6,0,06:52 AM,05:48 PM,06:56 AM,05:44 PM,12,22,22,22,14,7,58,0.0,1011,30,10,263,8,"sitapur,uttar+pradesh"
2009-01-27,29,12,0.0,8.7,6,5,07:27 AM,06:43 PM,06:56 AM,05:44 PM,12,22,23,22,17,0,55,0.0,1011,29,10,235,10,"sitapur,uttar+pradesh"
2009-01-28,25,13,0.0,8.7,5,12,07:59 AM,07:39 PM,06:56 AM,05:45 PM,11,19,19,19,21,0,62,0.0,1012,25,10,283,13,"sitapur,uttar+pradesh"
2009-01-29,26,11,0.0,8.7,5,20,08:29 AM,08:33 PM,06:55 AM,05:46 PM,12,19,19,19,15,1,65,0.0,1014,26,10,286,9,"sitapur,uttar+pradesh"
2009-01-30,27,11,0.0,8.7,5,27,08:59 AM,09:29 PM,06:55 AM,05:47 PM,11,20,20,20,19,0,60,0.0,1013,27,10,301,11,"sitapur,uttar+pradesh"
2009-01-31,25,12,0.0,8.7,5,31,09:29 AM,10:26 PM,06:54 AM,05:48 PM,7,17,18,17,25,0,54,0.0,1012,25,10,290,15,"sitapur,uttar+pradesh"
2009-02-01,24,10,0.0,8.7,5,43,10:02 AM,11:27 PM,06:54 AM,05:48 PM,7,16,17,16,17,3,54,0.0,1013,24,10,284,10,"sitapur,uttar+pradesh"
2009-02-02,26,9,0.0,8.7,5,50,10:38 AM,No moonset,06:53 AM,05:49 PM,9,18,19,18,15,0,56,0.0,1015,26,10,288,8,"sitapur,uttar+pradesh"
2009-02-03,27,9,0.0,8.7,5,58,11:21 AM,12:29 AM,06:53 AM,05:50 PM,10,20,20,20,12,0,59,0.0,1014,27,10,277,7,"sitapur,uttar+pradesh"
2009-02-04,27,9,0.0,8.7,5,66,12:10 PM,01:36 AM,06:52 AM,05:51 PM,11,21,21,21,7,0,60,0.0,1014,27,10,273,4,"sitapur,uttar+pradesh"
2009-02-05,28,11,0.0,8.7,5,73,01:08 PM,02:42 AM,06:52 AM,05:51 PM,11,21,21,21,12,0,55,0.0,1014,28,10,143,7,"sitapur,uttar+pradesh"
2009-02-06,29,10,0.0,8.7,5,81,02:13 PM,03:48 AM,06:51 AM,05:52 PM,10,22,22,22,10,1,51,0.0,1014,29,10,118,6,"sitapur,uttar+pradesh"
2009-02-07,28,11,0.0,8.7,5,88,03:24 PM,04:47 AM,06:50 AM,05:53 PM,9,21,21,21,19,1,48,0.0,1014,28,10,237,11,"sitapur,uttar+pradesh"
2009-02-08,27,12,0.0,8.7,5,96,04:35 PM,05:40 AM,06:50 AM,05:54 PM,9,19,20,19,19,0,54,0.0,1016,27,10,288,11,"sitapur,uttar+pradesh"
2009-02-09,27,11,0.0,8.7,5,100,05:45 PM,06:25 AM,06:49 AM,05:54 PM,10,19,20,19,15,1,59,0.0,1015,27,10,244,9,"sitapur,uttar+pradesh"
2009-02-10,28,10,0.0,8.7,5,89,06:51 PM,07:05 AM,06:48 AM,05:55 PM,8,20,20,20,16,14,49,0.0,1012,28,10,98,9,"sitapur,uttar+pradesh"
2009-02-11,27,14,0.0,8.7,5,82,07:55 PM,07:41 AM,06:47 AM,05:56 PM,8,20,20,20,15,16,49,0.0,1012,27,10,200,8,"sitapur,uttar+pradesh"
