date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,25,12,0.0,8.7,5,31,09:31 AM,09:19 PM,06:31 AM,05:03 PM,10,22,22,22,10,1,49,0.0,1016,25,10,286,6,"supaul,bihar"
2009-01-02,24,12,0.0,8.7,5,38,10:01 AM,10:13 PM,06:31 AM,05:04 PM,10,21,22,21,10,0,50,0.0,1017,24,10,306,6,"supaul,bihar"
2009-01-03,24,12,0.0,8.7,5,45,10:31 AM,11:09 PM,06:31 AM,05:05 PM,9,20,20,20,13,1,49,0.0,1017,24,10,293,8,"supaul,bihar"
2009-01-04,24,12,0.0,8.7,5,52,11:04 AM,No moonset,06:32 AM,05:06 PM,6,19,19,19,13,5,44,0.0,1015,24,10,276,7,"supaul,bihar"
2009-01-05,24,12,0.0,8.7,5,60,11:39 AM,12:06 AM,06:32 AM,05:06 PM,5,18,18,18,10,7,42,0.0,1013,24,10,239,6,"supaul,bihar"
2009-01-06,26,11,0.0,8.7,5,67,12:19 PM,01:08 AM,06:32 AM,05:07 PM,6,20,20,20,7,12,42,0.0,1014,26,10,85,4,"supaul,bihar"
2009-01-07,24,17,0.0,8.7,5,74,01:06 PM,02:14 AM,06:32 AM,05:08 PM,8,20,20,20,15,28,48,0.0,1018,24,10,79,9,"supaul,bihar"
2009-01-08,26,17,0.0,8.7,6,82,02:01 PM,03:23 AM,06:32 AM,05:08 PM,12,21,22,21,8,21,58,0.0,1019,26,10,138,4,"supaul,bihar"
2009-01-09,26,16,0.0,8.7,5,89,03:06 PM,04:32 AM,06:32 AM,05:09 PM,15,22,23,22,7,15,68,0.7,1020,26,10,183,4,"supaul,bihar"
2009-01-10,27,14,0.0,8.7,5,96,04:16 PM,05:38 AM,06:32 AM,05:10 PM,9,21,21,21,14,7,49,0.0,1018,27,10,291,8,"supaul,bihar"
2009-01-11,25,14,0.0,8.7,5,100,05:29 PM,06:36 AM,06:32 AM,05:11 PM,12,21,21,21,15,2,58,0.0,1018,25,10,268,10,"supaul,bihar"
2009-01-12,26,14,0.0,8.7,5,89,06:39 PM,07:26 AM,06:32 AM,05:11 PM,14,21,22,21,13,0,64,0.0,1020,26,10,279,8,"supaul,bihar"
2009-01-13,25,12,0.0,8.7,5,82,07:46 PM,08:09 AM,06:32 AM,05:12 PM,13,22,22,22,7,0,59,0.0,1021,25,10,186,4,"supaul,bihar"
2009-01-14,26,12,0.0,8.7,5,75,08:49 PM,08:47 AM,06:32 AM,05:13 PM,13,22,23,22,9,0,58,0.0,1020,26,10,185,5,"supaul,bihar"
