date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,27,14,0.0,8.7,5,31,10:09 AM,10:00 PM,07:07 AM,05:44 PM,-1,19,19,19,13,12,27,0.0,1016,27,10,126,7,"udham+singh+nagar,uttarakhand"
2009-01-02,27,14,0.0,8.7,5,38,10:40 AM,10:54 PM,07:07 AM,05:45 PM,0,20,20,20,10,14,27,0.0,1015,27,10,126,5,"udham+singh+nagar,uttarakhand"
2009-01-03,28,15,0.0,8.7,6,45,11:12 AM,11:49 PM,07:08 AM,05:45 PM,4,22,22,22,9,1,32,0.0,1015,28,10,149,5,"udham+singh+nagar,uttarakhand"
2009-01-04,27,16,0.0,8.7,6,52,11:44 AM,No moonset,07:08 AM,05:46 PM,10,21,22,21,12,6,50,0.0,1014,27,10,220,7,"udham+singh+nagar,uttarakhand"
2009-01-05,25,16,0.0,8.7,5,60,12:20 PM,12:46 AM,07:08 AM,05:47 PM,2,19,19,19,21,4,33,0.0,1015,25,10,24,12,"udham+singh+nagar,uttarakhand"
2009-01-06,24,13,0.0,8.7,5,67,01:01 PM,01:48 AM,07:08 AM,05:47 PM,1,17,18,17,19,1,35,0.0,1016,24,10,22,11,"udham+singh+nagar,uttarakhand"
2009-01-07,24,12,0.0,8.7,5,74,01:49 PM,02:53 AM,07:08 AM,05:48 PM,-2,17,17,17,19,0,29,0.0,1018,24,10,39,11,"udham+singh+nagar,uttarakhand"
2009-01-08,24,12,0.0,8.7,5,82,02:45 PM,04:02 AM,07:09 AM,05:49 PM,-5,16,17,16,24,0,23,0.0,1021,24,10,42,14,"udham+singh+nagar,uttarakhand"
2009-01-09,24,12,0.0,8.7,5,89,03:50 PM,05:11 AM,07:09 AM,05:49 PM,-4,17,17,17,22,1,25,0.0,1021,24,10,28,13,"udham+singh+nagar,uttarakhand"
2009-01-10,25,13,0.0,8.7,5,96,05:00 PM,06:16 AM,07:09 AM,05:50 PM,-3,17,17,17,22,2,26,0.0,1020,25,10,30,13,"udham+singh+nagar,uttarakhand"
2009-01-11,25,13,0.0,8.7,5,100,06:12 PM,07:14 AM,07:09 AM,05:51 PM,-3,17,17,17,22,11,26,0.0,1020,25,10,67,13,"udham+singh+nagar,uttarakhand"
2009-01-12,26,13,0.0,8.7,5,89,07:22 PM,08:05 AM,07:09 AM,05:52 PM,-5,18,18,18,21,5,21,0.0,1021,26,10,34,12,"udham+singh+nagar,uttarakhand"
2009-01-13,27,14,0.0,8.7,5,82,08:28 PM,08:48 AM,07:09 AM,05:52 PM,-4,20,19,20,20,17,20,0.0,1021,27,10,35,11,"udham+singh+nagar,uttarakhand"
2009-01-14,28,16,0.0,8.7,6,75,09:31 PM,09:27 AM,07:09 AM,05:53 PM,-3,20,20,20,21,18,21,0.0,1021,28,10,105,12,"udham+singh+nagar,uttarakhand"
2009-01-15,28,16,0.0,8.7,6,68,10:29 PM,10:02 AM,07:09 AM,05:54 PM,2,21,21,21,18,31,30,0.0,1019,28,10,183,13,"udham+singh+nagar,uttarakhand"
2009-01-16,21,15,0.0,8.7,5,60,11:27 PM,10:35 AM,07:09 AM,05:55 PM,9,17,17,17,22,30,58,0.0,1020,21,10,262,16,"udham+singh+nagar,uttarakhand"
2009-01-17,24,13,0.0,8.7,5,53,No moonrise,11:09 AM,07:09 AM,05:55 PM,11,17,18,17,19,14,65,0.0,1019,24,10,178,13,"udham+singh+nagar,uttarakhand"
2009-01-18,25,14,0.0,8.7,5,46,12:22 AM,11:43 AM,07:09 AM,05:56 PM,8,19,19,19,17,5,54,0.0,1018,25,10,178,10,"udham+singh+nagar,uttarakhand"
2009-01-19,25,14,0.0,8.7,5,38,01:18 AM,12:19 PM,07:09 AM,05:57 PM,2,18,18,18,20,13,36,0.0,1019,25,10,33,12,"udham+singh+nagar,uttarakhand"
2009-01-20,26,13,0.0,8.7,5,31,02:13 AM,01:00 PM,07:08 AM,05:58 PM,2,18,18,18,21,19,37,0.0,1018,26,10,67,13,"udham+singh+nagar,uttarakhand"
2009-01-21,26,15,0.0,8.7,5,24,03:09 AM,01:44 PM,07:08 AM,05:58 PM,-1,20,20,20,16,47,26,0.0,1018,26,10,25,9,"udham+singh+nagar,uttarakhand"
