date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,22,9,0.0,10.0,4,31,08:56 AM,08:42 PM,06:00 AM,04:24 PM,10,14,15,14,4,27,77,0.1,1017,22,9,183,3,"west+kameng,arunachal+pradesh"
2009-01-02,21,8,0.0,7.1,4,38,09:26 AM,09:37 PM,06:01 AM,04:25 PM,9,14,14,14,3,24,77,0.0,1018,21,8,208,2,"west+kameng,arunachal+pradesh"
2009-01-03,23,8,0.0,8.7,4,45,09:56 AM,10:33 PM,06:01 AM,04:25 PM,8,15,15,15,4,7,67,0.0,1018,23,10,113,2,"west+kameng,arunachal+pradesh"
2009-01-04,23,6,0.0,8.7,4,52,10:26 AM,11:33 PM,06:01 AM,04:26 PM,8,15,15,15,4,9,70,0.0,1016,23,10,92,2,"west+kameng,arunachal+pradesh"
2009-01-05,22,10,0.0,8.7,5,60,11:00 AM,No moonset,06:01 AM,04:27 PM,11,16,17,16,6,28,72,0.0,1014,22,10,62,3,"west+kameng,arunachal+pradesh"
2009-01-06,20,11,0.0,8.7,4,67,11:40 AM,12:35 AM,06:01 AM,04:28 PM,12,15,15,15,4,38,84,0.4,1017,20,5,153,2,"west+kameng,arunachal+pradesh"
2009-01-07,22,9,0.0,8.7,4,74,12:25 PM,01:42 AM,06:01 AM,04:28 PM,11,15,16,15,5,17,76,0.0,1019,22,10,198,3,"west+kameng,arunachal+pradesh"
2009-01-08,21,7,0.0,8.7,4,82,01:20 PM,02:51 AM,06:01 AM,04:29 PM,7,14,14,14,4,17,69,0.0,1022,21,10,72,3,"west+kameng,arunachal+pradesh"
2009-01-09,23,7,0.0,8.7,4,89,02:23 PM,04:01 AM,06:02 AM,04:30 PM,7,14,15,14,4,6,67,0.0,1021,23,10,105,2,"west+kameng,arunachal+pradesh"
2009-01-10,23,7,0.0,8.7,4,96,03:35 PM,05:06 AM,06:02 AM,04:31 PM,8,15,15,15,4,3,70,0.0,1019,23,10,69,2,"west+kameng,arunachal+pradesh"
2009-01-11,23,7,0.0,8.7,4,100,04:47 PM,06:04 AM,06:02 AM,04:31 PM,9,16,16,16,4,11,66,0.0,1019,23,10,101,2,"west+kameng,arunachal+pradesh"
2009-01-12,23,9,0.0,8.7,5,89,05:59 PM,06:54 AM,06:02 AM,04:32 PM,9,17,17,17,4,5,65,0.0,1021,23,10,108,2,"west+kameng,arunachal+pradesh"
2009-01-13,24,9,0.0,8.7,5,82,07:08 PM,07:36 AM,06:02 AM,04:33 PM,10,16,16,16,4,9,69,0.0,1022,24,10,145,2,"west+kameng,arunachal+pradesh"
2009-01-14,25,10,0.0,8.7,5,75,08:12 PM,08:13 AM,06:02 AM,04:34 PM,11,18,18,18,5,7,69,0.0,1021,25,10,83,3,"west+kameng,arunachal+pradesh"
2009-01-15,26,11,0.0,8.7,5,68,09:13 PM,08:46 AM,06:01 AM,04:35 PM,12,19,19,19,5,4,69,0.0,1020,26,9,68,3,"west+kameng,arunachal+pradesh"
2009-01-16,26,11,0.0,8.7,5,60,10:11 PM,09:19 AM,06:01 AM,04:36 PM,12,19,19,19,5,4,68,0.0,1019,26,10,66,3,"west+kameng,arunachal+pradesh"
2009-01-17,26,11,0.0,8.7,5,53,11:09 PM,09:50 AM,06:01 AM,04:36 PM,11,19,19,19,5,5,64,0.0,1017,26,10,39,3,"west+kameng,arunachal+pradesh"
2009-01-18,26,11,0.0,8.7,5,46,No moonrise,10:23 AM,06:01 AM,04:37 PM,11,19,19,19,5,19,63,0.0,1016,26,10,121,3,"west+kameng,arunachal+pradesh"
2009-01-19,26,15,0.0,8.7,5,38,12:06 AM,10:58 AM,06:01 AM,04:38 PM,11,20,20,20,4,17,58,0.0,1014,26,10,77,2,"west+kameng,arunachal+pradesh"
2009-01-20,26,14,0.0,8.7,5,31,01:03 AM,11:37 AM,06:01 AM,04:39 PM,11,19,19,19,5,26,61,0.0,1014,26,10,107,3,"west+kameng,arunachal+pradesh"
2009-01-21,27,14,0.0,10.4,5,24,01:59 AM,12:20 PM,06:00 AM,04:40 PM,13,20,21,20,5,18,67,0.0,1014,27,10,96,3,"west+kameng,arunachal+pradesh"
2009-01-22,27,13,0.0,10.4,5,17,02:54 AM,01:08 PM,06:00 AM,04:40 PM,12,21,21,21,6,9,61,0.0,1013,27,10,111,3,"west+kameng,arunachal+pradesh"
2009-01-23,28,13,0.0,10.4,5,9,03:45 AM,01:59 PM,06:00 AM,04:41 PM,13,20,21,20,5,16,64,0.0,1012,28,10,168,3,"west+kameng,arunachal+pradesh"
2009-01-24,28,15,0.0,10.4,6,2,04:32 AM,02:54 PM,06:00 AM,04:42 PM,13,21,21,21,6,18,64,0.0,1013,28,10,81,4,"west+kameng,arunachal+pradesh"
2009-01-25,22,15,0.0,10.1,5,0,05:15 AM,03:50 PM,05:59 AM,04:43 PM,14,18,19,18,6,41,79,0.1,1013,22,10,91,3,"west+kameng,arunachal+pradesh"
2009-01-26,23,15,0.0,10.1,5,0,05:53 AM,04:46 PM,05:59 AM,04:44 PM,14,19,19,19,6,45,75,0.2,1013,23,9,88,4,"west+kameng,arunachal+pradesh"
2009-01-27,25,14,0.0,10.9,5,5,06:28 AM,05:42 PM,05:58 AM,04:45 PM,13,19,19,19,5,40,71,0.1,1014,25,10,83,3,"west+kameng,arunachal+pradesh"
2009-01-28,23,12,0.0,10.9,5,12,06:59 AM,06:37 PM,05:58 AM,04:45 PM,13,17,17,17,6,28,76,0.9,1014,23,8,67,4,"west+kameng,arunachal+pradesh"
2009-01-29,26,10,0.0,10.1,5,20,07:30 AM,07:33 PM,05:58 AM,04:46 PM,12,18,17,18,4,31,75,0.0,1016,26,7,179,2,"west+kameng,arunachal+pradesh"
2009-01-30,27,11,0.0,10.9,5,27,07:59 AM,08:28 PM,05:57 AM,04:47 PM,11,19,19,19,5,8,66,0.0,1014,27,10,52,3,"west+kameng,arunachal+pradesh"
2009-01-31,27,13,0.0,10.9,5,31,08:29 AM,09:26 PM,05:57 AM,04:48 PM,11,20,20,20,5,20,61,0.0,1013,27,10,49,3,"west+kameng,arunachal+pradesh"
2009-02-01,27,13,0.0,10.9,5,43,09:01 AM,10:26 PM,05:56 AM,04:49 PM,11,19,19,19,5,25,65,0.3,1015,27,10,143,3,"west+kameng,arunachal+pradesh"
2009-02-02,26,11,0.0,10.9,5,50,09:38 AM,11:29 PM,05:56 AM,04:49 PM,10,18,18,18,4,7,64,0.0,1016,26,10,120,2,"west+kameng,arunachal+pradesh"
2009-02-03,26,10,0.0,11.0,5,58,10:19 AM,No moonset,05:55 AM,04:50 PM,9,18,18,18,4,6,59,0.0,1016,26,10,58,2,"west+kameng,arunachal+pradesh"
2009-02-04,26,11,0.0,11.0,5,66,11:08 AM,12:35 AM,05:54 AM,04:51 PM,10,18,18,18,3,7,62,0.0,1016,26,10,101,2,"west+kameng,arunachal+pradesh"
2009-02-05,27,10,0.0,10.1,5,73,12:05 PM,01:43 AM,05:54 AM,04:52 PM,10,19,18,19,3,14,64,0.0,1016,27,9,128,2,"west+kameng,arunachal+pradesh"
2009-02-06,29,10,0.0,11.0,5,81,01:11 PM,02:48 AM,05:53 AM,04:53 PM,12,20,20,20,4,3,62,0.0,1016,29,10,47,2,"west+kameng,arunachal+pradesh"
2009-02-07,26,13,0.0,11.0,5,88,02:21 PM,03:48 AM,05:53 AM,04:53 PM,10,19,19,19,6,20,59,0.0,1015,26,10,159,4,"west+kameng,arunachal+pradesh"
2009-02-08,29,15,0.0,11.0,6,96,03:33 PM,04:40 AM,05:52 AM,04:54 PM,11,21,22,21,4,13,53,0.0,1016,29,10,123,2,"west+kameng,arunachal+pradesh"
2009-02-09,30,14,0.0,11.0,6,100,04:43 PM,05:26 AM,05:51 AM,04:55 PM,11,21,21,21,4,10,57,0.0,1016,30,10,111,2,"west+kameng,arunachal+pradesh"
2009-02-10,30,13,0.0,11.1,6,89,05:50 PM,06:05 AM,05:51 AM,04:56 PM,12,22,22,22,4,4,57,0.0,1016,30,10,88,2,"west+kameng,arunachal+pradesh"
2009-02-11,30,13,0.0,11.1,5,82,06:54 PM,06:41 AM,05:50 AM,04:56 PM,11,21,21,21,4,5,55,0.0,1013,30,10,141,2,"west+kameng,arunachal+pradesh"
2009-02-12,28,14,0.0,11.1,5,74,07:55 PM,07:15 AM,05:49 AM,04:57 PM,8,21,21,21,6,10,48,0.0,1011,28,10,138,3,"west+kameng,arunachal+pradesh"
2009-02-13,28,13,0.0,11.1,5,67,08:55 PM,07:47 AM,05:48 AM,04:58 PM,10,20,20,20,5,15,56,0.0,1012,28,10,152,3,"west+kameng,arunachal+pradesh"
2009-02-14,28,12,0.0,11.1,5,59,09:54 PM,08:20 AM,05:48 AM,04:59 PM,12,20,20,20,4,11,62,0.0,1011,28,10,113,2,"west+kameng,arunachal+pradesh"
2009-02-15,30,13,0.0,11.1,6,51,10:52 PM,08:55 AM,05:47 AM,04:59 PM,12,22,22,22,5,7,56,0.0,1012,30,10,160,2,"west+kameng,arunachal+pradesh"
2009-02-16,30,14,0.0,11.5,6,44,11:50 PM,09:34 AM,05:46 AM,05:00 PM,11,22,22,22,5,9,51,0.0,1015,30,10,84,3,"west+kameng,arunachal+pradesh"
2009-02-17,31,13,0.0,11.6,6,36,No moonrise,10:15 AM,05:45 AM,05:01 PM,9,23,23,23,5,3,46,0.0,1014,31,10,119,3,"west+kameng,arunachal+pradesh"
2009-02-18,30,12,0.0,11.6,6,29,12:46 AM,11:02 AM,05:44 AM,05:02 PM,8,22,22,22,5,5,45,0.0,1013,30,10,104,3,"west+kameng,arunachal+pradesh"
2009-02-19,31,13,0.0,11.6,6,21,01:39 AM,11:52 AM,05:43 AM,05:02 PM,9,22,21,22,5,5,46,0.0,1013,31,10,96,3,"west+kameng,arunachal+pradesh"
2009-02-20,31,12,0.0,11.6,6,14,02:28 AM,12:46 PM,05:43 AM,05:03 PM,8,23,22,23,5,3,43,0.0,1016,31,10,95,3,"west+kameng,arunachal+pradesh"
2009-02-21,26,13,0.0,11.6,5,6,03:12 AM,01:42 PM,05:42 AM,05:04 PM,9,18,18,18,6,18,55,0.1,1012,26,10,163,4,"west+kameng,arunachal+pradesh"
2009-02-22,28,12,0.0,11.6,5,0,03:52 AM,02:38 PM,05:41 AM,05:04 PM,8,19,19,19,7,17,52,0.0,1011,28,10,117,5,"west+kameng,arunachal+pradesh"
2009-02-23,28,12,0.0,11.6,6,0,04:28 AM,03:34 PM,05:40 AM,05:05 PM,7,21,21,21,6,17,45,0.0,1012,28,10,86,4,"west+kameng,arunachal+pradesh"
2009-02-24,28,14,0.0,11.6,6,0,05:01 AM,04:30 PM,05:39 AM,05:06 PM,9,21,20,21,7,38,53,1.1,1011,28,10,108,5,"west+kameng,arunachal+pradesh"
2009-02-25,24,15,0.0,11.6,4,1,05:32 AM,05:26 PM,05:38 AM,05:06 PM,14,19,19,19,6,48,76,4.0,1010,24,9,104,4,"west+kameng,arunachal+pradesh"
2009-02-26,23,14,0.0,10.2,5,9,06:02 AM,06:22 PM,05:37 AM,05:07 PM,14,18,19,18,8,44,78,2.4,1011,23,10,179,5,"west+kameng,arunachal+pradesh"
2009-02-27,27,14,0.0,11.6,4,16,06:32 AM,07:21 PM,05:36 AM,05:08 PM,14,20,20,20,6,31,75,1.6,1012,27,9,125,4,"west+kameng,arunachal+pradesh"
2009-02-28,24,13,0.0,11.6,4,24,07:04 AM,08:20 PM,05:35 AM,05:08 PM,12,18,18,18,7,23,72,0.3,1012,24,9,190,4,"west+kameng,arunachal+pradesh"
2009-03-01,27,12,0.0,11.6,5,30,07:39 AM,09:23 PM,05:34 AM,05:09 PM,10,19,18,19,7,11,64,0.3,1015,27,9,139,4,"west+kameng,arunachal+pradesh"
2009-03-02,28,11,0.0,11.6,5,37,08:19 AM,10:27 PM,05:33 AM,05:10 PM,9,19,19,19,6,5,56,0.0,1014,28,10,173,3,"west+kameng,arunachal+pradesh"
2009-03-03,30,12,0.0,11.6,5,45,09:05 AM,11:34 PM,05:32 AM,05:10 PM,10,21,21,21,6,9,54,0.0,1011,30,10,48,3,"west+kameng,arunachal+pradesh"
2009-03-04,31,17,0.0,11.6,6,52,09:58 AM,No moonset,05:31 AM,05:11 PM,12,22,22,22,6,38,56,0.0,1010,31,10,71,4,"west+kameng,arunachal+pradesh"
2009-03-05,26,17,0.0,11.6,6,59,10:59 AM,12:37 AM,05:30 AM,05:11 PM,13,21,22,21,6,37,62,0.0,1009,26,10,109,4,"west+kameng,arunachal+pradesh"
2009-03-06,25,17,0.0,11.6,5,67,12:05 PM,01:38 AM,05:29 AM,05:12 PM,15,19,20,19,7,50,77,1.0,1012,25,10,104,4,"west+kameng,arunachal+pradesh"
2009-03-07,24,17,0.0,10.2,6,74,01:14 PM,02:31 AM,05:28 AM,05:13 PM,15,20,21,20,7,42,74,0.7,1012,24,9,219,4,"west+kameng,arunachal+pradesh"
2009-03-08,30,15,0.0,11.6,6,81,02:23 PM,03:18 AM,05:27 AM,05:13 PM,14,22,22,22,5,27,65,0.0,1013,30,9,66,3,"west+kameng,arunachal+pradesh"
2009-03-09,29,17,0.0,11.6,6,88,03:30 PM,03:59 AM,05:25 AM,05:14 PM,13,22,23,22,5,16,57,0.0,1015,29,10,140,3,"west+kameng,arunachal+pradesh"
2009-03-10,30,15,0.0,11.6,6,96,04:34 PM,04:36 AM,05:24 AM,05:14 PM,13,22,22,22,6,13,59,0.0,1015,30,10,207,4,"west+kameng,arunachal+pradesh"
2009-03-11,32,15,0.0,11.6,6,100,05:37 PM,05:10 AM,05:23 AM,05:15 PM,13,23,23,23,7,9,57,0.1,1012,32,10,168,4,"west+kameng,arunachal+pradesh"
2009-03-12,29,14,0.0,11.6,6,90,06:37 PM,05:43 AM,05:22 AM,05:16 PM,12,23,23,23,7,4,53,0.0,1014,29,10,160,4,"west+kameng,arunachal+pradesh"
2009-03-13,31,12,0.0,11.6,5,83,07:38 PM,06:16 AM,05:21 AM,05:16 PM,2,21,21,21,5,3,33,0.0,1020,31,10,52,3,"west+kameng,arunachal+pradesh"
2009-03-14,33,11,0.0,11.6,6,75,08:37 PM,06:51 AM,05:20 AM,05:17 PM,4,22,21,22,6,9,37,0.0,1016,33,10,86,4,"west+kameng,arunachal+pradesh"
2009-03-15,33,12,0.0,11.6,6,68,09:37 PM,07:29 AM,05:19 AM,05:17 PM,5,22,22,22,6,19,39,0.0,1014,33,10,95,3,"west+kameng,arunachal+pradesh"
2009-03-16,32,14,0.0,11.6,6,61,10:34 PM,08:09 AM,05:18 AM,05:18 PM,5,23,22,23,5,11,35,0.0,1014,32,10,124,2,"west+kameng,arunachal+pradesh"
2009-03-17,33,13,0.0,11.6,6,53,11:30 PM,08:55 AM,05:16 AM,05:18 PM,7,24,24,24,5,4,37,0.0,1013,33,10,161,3,"west+kameng,arunachal+pradesh"
2009-03-18,34,15,0.0,11.6,6,46,No moonrise,09:44 AM,05:15 AM,05:19 PM,7,25,25,25,5,4,37,0.0,1013,34,10,93,3,"west+kameng,arunachal+pradesh"
2009-03-19,34,16,0.0,11.6,6,39,12:20 AM,10:36 AM,05:14 AM,05:20 PM,9,25,25,25,6,6,39,0.1,1013,34,10,76,4,"west+kameng,arunachal+pradesh"
2009-03-20,34,16,0.0,11.6,6,32,01:07 AM,11:32 AM,05:13 AM,05:20 PM,8,25,25,25,6,9,39,0.0,1013,34,10,107,4,"west+kameng,arunachal+pradesh"
2009-03-21,34,18,0.0,11.6,6,24,01:48 AM,12:27 PM,05:12 AM,05:21 PM,9,25,25,25,5,13,38,0.1,1012,34,10,115,3,"west+kameng,arunachal+pradesh"
2009-03-22,34,17,0.0,11.6,6,17,02:25 AM,01:23 PM,05:11 AM,05:21 PM,12,25,25,25,7,20,47,0.2,1013,34,10,138,4,"west+kameng,arunachal+pradesh"
