date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,30,14,0.0,8.7,6,31,10:01 AM,09:57 PM,06:53 AM,05:49 PM,7,24,24,24,8,0,36,0.0,1014,30,10,89,5,"yeotmal,maharashtra"
2009-01-02,29,16,0.0,8.7,6,38,10:34 AM,10:48 PM,06:54 AM,05:50 PM,7,22,22,22,14,3,38,0.0,1015,29,10,103,8,"yeotmal,maharashtra"
2009-01-03,29,15,0.0,8.7,6,45,11:08 AM,11:41 PM,06:54 AM,05:50 PM,7,23,23,23,12,2,38,0.0,1016,29,10,121,7,"yeotmal,maharashtra"
2009-01-04,30,15,0.0,8.7,6,52,11:43 AM,No moonset,06:54 AM,05:51 PM,11,24,24,24,9,4,48,0.0,1014,30,10,132,5,"yeotmal,maharashtra"
2009-01-05,30,17,0.0,8.7,6,60,12:20 PM,12:36 AM,06:54 AM,05:51 PM,11,24,24,24,10,7,46,0.0,1012,30,10,187,6,"yeotmal,maharashtra"
2009-01-06,30,20,0.0,8.7,6,67,01:04 PM,01:35 AM,06:55 AM,05:52 PM,10,25,25,25,17,31,41,0.0,1012,30,10,163,11,"yeotmal,maharashtra"
2009-01-07,29,22,0.0,8.7,6,74,01:54 PM,02:38 AM,06:55 AM,05:53 PM,11,26,26,25,14,43,41,0.0,1014,29,10,116,9,"yeotmal,maharashtra"
2009-01-08,30,20,0.0,8.7,6,82,02:51 PM,03:45 AM,06:55 AM,05:53 PM,10,24,24,24,12,26,43,0.0,1016,30,10,110,8,"yeotmal,maharashtra"
2009-01-09,30,16,0.0,8.7,6,89,03:56 PM,04:53 AM,06:55 AM,05:54 PM,10,24,24,24,11,8,43,0.0,1017,30,10,103,6,"yeotmal,maharashtra"
2009-01-10,32,19,0.0,8.7,6,96,05:06 PM,05:58 AM,06:56 AM,05:55 PM,9,25,25,25,15,12,40,0.0,1016,32,10,134,9,"yeotmal,maharashtra"
2009-01-11,31,19,0.0,8.7,6,100,06:15 PM,06:58 AM,06:56 AM,05:55 PM,11,25,25,25,13,23,41,0.0,1017,31,10,88,8,"yeotmal,maharashtra"
2009-01-12,32,23,0.0,8.7,7,89,07:24 PM,07:51 AM,06:56 AM,05:56 PM,11,27,27,26,14,30,38,0.0,1018,32,10,89,9,"yeotmal,maharashtra"
2009-01-13,31,20,0.0,8.7,6,82,08:27 PM,08:37 AM,06:56 AM,05:57 PM,11,26,26,26,14,6,41,0.0,1019,31,10,113,9,"yeotmal,maharashtra"
2009-01-14,31,19,0.0,8.7,6,75,09:27 PM,09:19 AM,06:56 AM,05:57 PM,11,26,26,25,14,8,43,0.0,1020,31,10,104,8,"yeotmal,maharashtra"
